t,ref_x,ref_y,ref_z,sim_x,sim_y,sim_z,ref_vx,ref_vy,ref_vz,sim_vx,sim_vy,sim_vz,ref_thrust,ref_tx,ref_ty,ref_tz,ref_yaw,ref_ox,ref_oy,ref_oz,cmd_thrust,cmd_tx,cmd_ty,cmd_tz
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.264870,-0.000000,0.000000,0.000000
0.001000,-0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000029,0.264870,0.000000,-0.000000,-0.000000,-0.000000,0.000001,-0.000005,-0.000000,0.264867,0.000000,-0.000000,-0.000000
0.002000,-0.000000,0.000000,1.000000,-0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000058,0.264870,0.000000,-0.000000,-0.000000,-0.000000,0.000003,-0.000020,-0.000000,0.264864,0.000000,-0.000000,0.000000
0.003000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000085,0.264870,0.000000,-0.000000,-0.000000,-0.000000,0.000007,-0.000044,-0.000000,0.264861,0.000000,-0.000000,0.000000
0.004000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000112,0.264870,0.000000,-0.000001,-0.000000,-0.000000,0.000013,-0.000078,-0.000000,0.264858,0.000000,-0.000000,0.000000
0.005000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000138,0.264870,0.000000,-0.000001,-0.000000,-0.000000,0.000020,-0.000122,-0.000000,0.264855,0.000000,-0.000000,0.000000
0.006000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000163,0.264870,0.000000,-0.000001,-0.000000,-0.000000,0.000029,-0.000176,-0.000000,0.264852,0.000000,-0.000000,0.000000
0.007000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000187,0.264870,0.000000,-0.000001,-0.000000,-0.000000,0.000040,-0.000238,-0.000000,0.264850,0.000000,-0.000000,0.000000
0.008000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000210,0.264870,0.000000,-0.000001,-0.000000,-0.000000,0.000052,-0.000310,-0.000000,0.264847,0.000000,-0.000000,0.000000
0.009000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000232,0.264870,0.000000,-0.000001,-0.000000,-0.000000,0.000065,-0.000391,-0.000000,0.264845,0.000000,-0.000000,0.000000
0.010000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000001,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000254,0.264870,0.000000,-0.000002,-0.000000,-0.000000,0.000081,-0.000482,-0.000000,0.264842,0.000000,-0.000001,0.000000
0.011000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000002,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000275,0.264870,0.000000,-0.000002,-0.000000,-0.000000,0.000097,-0.000581,-0.000000,0.264840,0.000000,-0.000001,0.000000
0.012000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000002,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000295,0.264870,0.000000,-0.000002,-0.000000,-0.000000,0.000115,-0.000689,-0.000000,0.264838,0.000000,-0.000001,0.000000
0.013000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000002,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000315,0.264870,0.000000,-0.000002,-0.000000,-0.000000,0.000135,-0.000806,-0.000000,0.264835,0.000000,-0.000001,0.000000
0.014000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000003,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000334,0.264870,0.000000,-0.000002,-0.000000,-0.000000,0.000156,-0.000932,-0.000000,0.264833,0.000000,-0.000001,0.000000
0.015000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000003,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000352,0.264870,0.000000,-0.000002,-0.000000,-0.000000,0.000179,-0.001067,-0.000000,0.264831,0.000000,-0.000001,0.000000
0.016000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000003,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000370,0.264870,0.000000,-0.000002,-0.000000,-0.000000,0.000203,-0.001210,-0.000000,0.264829,0.000000,-0.000001,0.000000
0.017000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000004,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000387,0.264870,0.000000,-0.000003,-0.000000,-0.000000,0.000228,-0.001362,-0.000000,0.264827,0.000000,-0.000002,0.000000
0.018000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,1.000004,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000403,0.264870,0.000000,-0.000003,-0.000000,-0.000000,0.000255,-0.001522,-0.000000,0.264825,0.000000,-0.000002,0.000000
