scenario,controller,n_robots,vehicle_id,t_start,t_end,n_samples,n_raw,rate_hz_est,nan_fraction,pos_rmse_m,pos_rmse_x,pos_rmse_y,pos_rmse_z,pos_peak_m,pos_peak_z,dz_cmd_m,dz_mean_m,dz_err_mean_m,dz_err_rms_m,a_res_rms,a_res_z_mean,a_res_z_rms,a_hat_res_rms,a_hat_vs_a_res_rmse,e_R_rmse,e_R_peak,notes,effort_proxy,fs_hz,gyro_band_frac,gyro_x_band_pow,gyro_x_dom_hz,gyro_y_band_pow,gyro_y_dom_hz,gyro_z_band_pow,gyro_z_dom_hz,motor_mean_ratio,motor_rms_ratio,motor_sat_frac,motor_spread_mean,spectrum_ok,tau_peak,tau_rms
C5,geometric,1,cf5,0.0,21.956,10979,10979,500.0,0.0,0.025295143813475404,0.007172832257937592,0.0034012090248970407,0.024017213725010898,0.02947544389826894,0.02605099999999999,,,,,0.17561747446802775,-0.047568734675289194,0.10100426691246941,0.0,0.17561747446802775,0.029241579082501374,0.05877991510711801,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan
C5,geometric,1,__formation__,,,,,,,,,,,,,nan,nan,nan,nan,,,,,,,,not stacked / dz_cmd not given / fewer than 2 vehicles with data,,,,,,,,,,,,,,,,
