time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd,multi_front,multi_back,multi_left,multi_right,multi_up,ai_feat_count,vo_x,vo_y,vo_sigma,pg_x,pg_y,lc_count
0,0.1973,0.5065,0.0090,0.0015,0.0042,-0.0003,0.84,-0.36,-27.28,0,3.663,-0.040,-0.171,0.190,-0.005,0.015,1.000,0.000,0.000,0.000,0.0090,0,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.2010,1.1210,0.6550,2.7090,256,0.0000,0.0000,0.0000,0.0000,0.0000,0
101,0.1970,0.5068,0.0090,-0.0005,0.0046,-0.0010,0.85,-0.34,-27.15,0,3.669,0.019,0.179,-0.141,-0.005,0.016,0.999,0.000,0.000,0.000,0.0090,0,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,2.0850,0.0000,1.1210,0.6550,2.7090,247,0.0000,0.0000,0.0000,0.0000,0.0000,0
202,0.1973,0.5065,0.0090,0.0013,0.0035,-0.0016,0.85,-0.31,-27.01,0,3.669,-0.066,-0.093,-0.002,-0.006,0.016,0.999,0.000,0.000,0.000,0.0100,0,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,2.0850,0.0000,1.1220,0.6310,2.6940,252,0.0000,0.0000,0.0000,0.0000,0.0000,0
304,0.1962,0.5066,0.0094,-0.0033,0.0034,0.0006,0.86,-0.36,-26.88,0,3.658,-0.132,0.078,-0.030,-0.007,0.018,0.995,0.000,0.000,0.000,0.0080,0,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,2.1320,0.1970,1.1220,0.6310,2.6940,240,0.0000,0.0000,0.0000,0.0000,0.0000,0
406,0.1969,0.5065,0.0088,0.0005,0.0033,-0.0034,0.86,-0.35,-26.75,0,3.669,0.027,-0.033,0.345,-0.004,0.017,0.998,0.000,0.000,0.000,0.0090,0,-3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,2.1320,0.1970,1.1230,0.5800,2.7110,270,0.0000,0.0000,0.0000,0.0000,0.0000,0
507,0.1965,0.5067,0.0088,-0.0009,0.0044,-0.0032,0.85,-0.33,-26.61,0,3.669,-0.089,0.075,0.052,-0.008,0.019,0.998,0.000,0.000,0.000,0.0100,1,4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1870,1.1230,0.5800,2.7110,270,0.0000,0.0000,0.0000,0.0000,0.0000,0
609,0.1961,0.5065,0.0092,-0.0022,0.0042,-0.0009,0.86,-0.35,-26.48,0,3.669,-0.021,-0.211,0.016,-0.007,0.016,0.997,0.000,0.000,0.000,0.0080,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1870,1.1190,0.0000,2.7160,222,0.0000,0.0000,0.0000,0.0000,0.0000,0
709,0.1964,0.5067,0.0086,-0.0013,0.0051,-0.0045,0.86,-0.35,-26.35,0,3.669,-0.086,0.057,0.074,-0.006,0.016,0.998,0.000,0.000,0.000,0.0110,-3,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1970,1.1190,0.0000,2.7160,277,0.0000,0.0000,0.0000,0.0000,0.0000,0
810,0.1963,0.5065,0.0095,-0.0022,0.0037,0.0003,0.84,-0.35,-26.22,0,3.669,-0.135,-0.106,-0.025,-0.006,0.016,1.000,0.000,0.000,0.000,0.0110,0,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1970,1.1220,0.0000,0.0000,299,0.0000,0.0000,0.0000,0.0000,0.0000,0
912,0.1969,0.5065,0.0101,0.0008,0.0034,0.0034,0.85,-0.35,-26.09,0,3.663,-0.137,0.260,0.418,-0.006,0.014,0.996,0.000,0.000,0.000,0.0120,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,2.0930,0.2010,1.1220,0.0000,0.0000,372,0.0000,0.0000,0.0000,0.0000,0.0000,0
1014,0.1972,0.5064,0.0110,0.0013,0.0027,0.0059,0.84,-0.36,-25.96,0,3.663,0.032,0.003,-0.061,-0.006,0.016,1.000,0.000,0.000,0.000,0.0100,2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,2.0930,0.2010,1.1230,0.6600,2.6980,372,0.0000,0.0000,0.0000,0.0000,0.0000,0
1114,0.1973,0.5067,0.0107,0.0019,0.0043,0.0020,0.85,-0.36,-25.83,0,3.669,-0.138,0.324,-0.009,-0.007,0.016,0.998,0.000,0.000,0.000,0.0090,0,4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1980,1.1230,0.6600,2.6980,382,0.0000,0.0000,0.0000,0.0000,0.0000,0
