time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd,multi_front,multi_back,multi_left,multi_right,multi_up,ai_feat_count,vo_x,vo_y,vo_sigma,pg_x,pg_y,lc_count,canfly,is_tumbled,ctrltarget_z,motor_m1req,ctrltarget_x,ctrltarget_y,motor_m2req,motor_m3req,motor_m4req
0,-1.2167,-1.1396,0.0118,0.0039,0.0004,0.0051,-0.65,0.87,-5.97,0,4.133,-0.035,-0.075,-0.133,0.016,-0.013,1.002,0.000,0.000,0.000,0.0100,2,4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2980,0.8270,1.4070,1.3050,2.7040,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
100,-1.2175,-1.1400,0.0122,-0.0007,-0.0012,0.0065,-0.65,0.86,-5.94,0,4.144,-0.035,-0.079,-0.173,0.016,-0.010,1.002,0.000,0.000,0.000,0.0120,-2,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.3020,0.8290,1.4070,1.3050,2.6970,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
201,-1.2184,-1.1403,0.0114,-0.0049,-0.0029,0.0020,-0.65,0.87,-5.91,0,4.138,-0.121,-0.162,0.141,0.015,-0.011,1.000,0.000,0.000,0.000,0.0140,2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.3020,0.8290,1.3920,1.3050,2.6970,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
302,-1.2166,-1.1396,0.0118,0.0059,0.0006,0.0036,-0.69,0.83,-5.89,0,4.144,-0.081,-0.670,-0.037,0.015,-0.010,1.001,0.000,0.000,0.000,0.0090,1,5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2950,0.8360,1.3920,1.3050,2.7120,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
403,-1.2173,-1.1395,0.0131,0.0019,0.0002,0.0091,-0.65,0.85,-5.85,0,4.133,0.392,0.243,-0.270,0.015,-0.012,1.002,0.000,0.000,0.000,0.0070,0,-3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2950,0.8360,1.3840,1.2980,2.7120,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
504,-1.2178,-1.1399,0.0116,0.0003,-0.0019,0.0018,-0.67,0.89,-5.82,0,4.144,0.143,0.067,-0.253,0.017,-0.013,1.002,0.000,0.000,0.000,0.0100,1,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2920,0.8280,1.3840,1.2980,2.6980,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
606,-1.2184,-1.1399,0.0093,-0.0030,-0.0022,-0.0078,-0.65,0.86,-5.79,0,4.138,-0.230,-0.096,0.300,0.015,-0.009,1.002,0.000,0.000,0.000,0.0110,3,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2920,0.8280,1.3980,1.3040,2.6980,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
707,-1.2168,-1.1400,0.0093,0.0063,-0.0031,-0.0051,-0.69,0.84,-5.77,0,4.144,0.042,0.083,0.057,0.016,-0.011,1.002,0.000,0.000,0.000,0.0140,-5,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2980,0.8290,1.3980,1.3040,2.6970,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
808,-1.2184,-1.1394,0.0100,-0.0030,0.0003,0.0002,-0.59,0.88,-5.74,0,4.138,-0.005,-0.022,-0.120,0.016,-0.011,1.000,0.000,0.000,0.000,0.0090,0,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2980,0.8290,1.4030,1.2990,2.6970,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
909,-1.2184,-1.1398,0.0121,-0.0025,-0.0016,0.0095,-0.65,0.82,-5.71,0,4.144,0.122,-0.190,-0.257,0.016,-0.010,1.002,0.000,0.000,0.000,0.0080,-5,-6,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2940,0.8280,1.4030,1.2990,2.7020,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
1009,-1.2178,-1.1397,0.0109,0.0007,-0.0002,0.0029,-0.66,0.87,-5.68,0,4.133,-0.042,-0.117,-0.412,0.016,-0.010,1.004,0.000,0.000,0.000,0.0110,-4,7,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2940,0.8280,1.4030,1.3060,2.7020,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
1110,-1.2169,-1.1395,0.0097,0.0058,0.0002,-0.0016,-0.62,0.83,-5.65,0,4.144,0.009,-0.053,-0.100,0.015,-0.012,1.004,0.000,0.000,0.000,0.0100,0,4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2910,0.8280,1.4030,1.3060,2.6970,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
1211,-1.2179,-1.1390,0.0104,0.0000,0.0034,0.0026,-0.66,0.85,-5.62,0,4.138,0.151,0.039,-0.192,0.014,-0.012,1.001,0.000,0.000,0.000,0.0090,-4,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2910,0.8280,1.3960,1.3080,2.6970,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
1313,-1.2184,-1.1394,0.0103,-0.0024,0.0013,0.0028,-0.62,0.81,-5.59,0,4.144,0.011,-0.153,0.047,0.016,-0.010,1.001,0.000,0.000,0.000,0.0120,-1,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2870,0.8280,1.3960,1.3080,2.6960,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
1413,-1.2184,-1.1394,0.0098,-0.0024,0.0018,0.0009,-0.65,0.82,-5.57,0,4.138,0.132,0.237,-0.077,0.013,-0.012,1.002,0.000,0.000,0.000,0.0120,-2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2870,0.8280,1.4080,1.3040,2.6960,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
1514,-1.2179,-1.1392,0.0110,-0.0006,0.0025,0.0066,-0.66,0.86,-5.54,0,4.144,0.154,-0.207,-0.198,0.015,-0.013,1.001,0.000,0.000,0.000,0.0090,-1,8,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2960,0.8300,1.4080,1.3040,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
1566,-1.2167,-1.1392,0.0119,0.0062,0.0017,0.0098,-0.63,0.82,-5.51,0,4.138,-0.210,0.073,0.065,0.016,-0.011,1.001,0.000,0.000,0.000,0.0100,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,1.2960,0.8300,1.3890,1.3020,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.0000,0,0.0000,0.0000,0,0,0
