time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y,acc_x,acc_y,acc_z,ref_x,ref_y,ref_z,est_x,est_y
0,-0.0071,-0.0023,-0.0033,0.23,-1.31,-0.02,0.009,-0.153,0.075,0.171,0.0045,-0.0201,-0.0271,0.0061,1.0012,0.0000,0.0000,0.3000,0.0000,0.0000
10,-0.0046,0.0071,-0.0030,0.16,-1.33,-0.02,0.009,-0.369,-0.221,0.127,0.0045,-0.0190,-0.0248,0.0074,1.0007,0.0000,0.0000,0.3000,0.0000,0.0000
20,-0.0079,0.0102,0.0019,0.14,-1.30,-0.02,0.009,-0.134,-0.035,0.151,0.0041,-0.0184,-0.0248,0.0049,1.0069,0.0000,0.0000,0.3000,0.0000,0.0000
30,-0.0031,-0.0028,0.0022,0.24,-1.34,-0.02,0.009,-0.963,0.377,-0.160,0.0043,-0.0201,-0.0174,-0.0017,1.0003,0.0000,0.0000,0.3000,0.0000,0.0000
40,-0.0033,0.0034,0.0022,0.19,-1.34,-0.02,0.009,-0.174,0.393,0.408,0.0043,-0.0199,-0.0232,0.0012,0.9992,0.0000,0.0000,0.3000,0.0000,0.0000
50,-0.0057,0.0069,0.0023,0.16,-1.32,-0.02,0.009,0.816,2.146,-0.039,0.0045,-0.0176,-0.0262,-0.0036,1.0029,0.0000,0.0000,0.3000,0.0000,0.0000
60,-0.0044,-0.0022,0.0026,0.23,-1.33,-0.02,0.009,0.279,0.860,-0.405,0.0041,-0.0178,-0.0321,0.0131,1.0187,0.0000,0.0000,0.3000,0.0000,0.0000
70,-0.0043,-0.0008,0.0059,0.22,-1.33,-0.02,0.009,-0.305,0.814,-0.833,0.0047,-0.0194,-0.0179,-0.0105,0.9845,0.0000,0.0000,0.3000,0.0000,0.0000
80,-0.0026,0.0115,0.0061,0.12,-1.35,-0.02,0.009,0.216,-1.292,0.094,0.0047,-0.0188,-0.0294,-0.0103,0.9864,0.0000,0.0000,0.3000,0.0000,0.0000
90,-0.0024,0.0097,0.0059,0.13,-1.33,-0.02,0.009,0.065,1.800,-0.567,0.0047,-0.0192,-0.0272,-0.0015,1.0178,0.0000,0.0000,0.3000,0.0000,0.0000
101,0.0035,-0.0002,0.0064,0.21,-1.38,-0.02,0.009,-0.387,0.584,0.647,0.0039,-0.0184,-0.0250,-0.0084,1.0000,0.0000,0.0000,0.3000,0.0000,0.0000
110,0.0057,0.0030,0.0076,0.18,-1.37,-0.02,0.009,0.455,1.572,-1.124,0.0046,-0.0186,-0.0319,-0.0078,0.9902,0.0000,0.0000,0.3000,0.0000,0.0000
120,0.0079,0.0003,0.0068,0.20,-1.39,-0.02,0.009,0.422,2.259,0.485,0.0046,-0.0194,-0.0225,-0.0048,1.0345,0.0000,0.0000,0.3000,0.0000,0.0000
130,0.0053,0.0045,0.0058,0.16,-1.36,-0.02,0.009,-0.667,3.474,1.919,0.0048,-0.0193,-0.0165,-0.0262,1.0344,0.0000,0.0000,0.3000,0.0000,0.0000
140,0.0111,0.0028,0.0069,0.18,-1.41,-0.02,0.009,-2.621,5.113,0.349,0.0051,-0.0160,-0.0300,0.0004,0.9973,0.0000,0.0000,0.3000,0.0000,0.0000
149,0.0130,-0.0022,0.0067,0.22,-1.42,-0.03,0.008,-9.805,6.681,0.664,0.0058,-0.0182,-0.0096,0.0053,1.0002,0.0000,0.0000,0.3000,0.0000,0.0000
160,0.0165,-0.0022,0.0064,0.19,-1.45,-0.01,0.008,-6.501,9.916,2.329,0.0060,-0.0164,-0.0078,-0.0159,0.9922,0.0000,0.0000,0.3000,0.0000,0.0000
170,0.0196,0.0161,0.0069,0.03,-1.50,-0.00,0.008,-4.958,0.944,3.899,0.0063,-0.0161,-0.0055,-0.0238,1.0423,0.0000,0.0000,0.3000,0.0000,0.0000
180,0.0253,0.0030,0.0098,0.07,-1.59,0.00,0.008,-9.910,1.586,6.526,0.0065,-0.0154,-0.0071,-0.0231,1.0698,0.0000,0.0000,0.3000,0.0000,0.0000
190,0.0277,0.0130,0.0097,-0.09,-1.70,0.01,0.006,-14.950,-4.398,7.946,0.0119,-0.0194,-0.0072,-0.0111,1.0816,0.0000,0.0000,0.3000,0.0000,0.0000
201,0.0305,0.0141,0.0094,-0.14,-1.73,0.04,0.006,-22.995,-4.071,4.904,0.0128,-0.0183,0.0106,-0.0162,1.0992,0.0000,0.0000,0.3000,0.0000,0.0000
210,0.0330,0.0177,0.0088,-0.24,-1.73,0.10,0.006,-29.184,-10.589,3.571,0.0172,-0.0197,0.0189,-0.0168,1.1035,0.0000,0.0000,0.3000,0.0000,0.0000
220,0.0657,-0.0063,0.0051,-0.18,-1.95,0.18,0.006,-40.049,-20.717,1.986,0.0202,-0.0203,0.0055,-0.0102,1.1106,0.0000,0.0000,0.3000,0.0000,0.0000
230,0.0710,0.0010,0.0116,-0.44,-1.93,0.25,0.006,-50.530,-25.626,0.221,0.0208,-0.0195,-0.0017,-0.0139,1.1249,0.0000,0.0000,0.3000,0.0000,0.0000
239,0.0957,-0.0063,0.0171,-0.62,-2.02,0.29,0.006,-55.861,-34.455,1.136,0.0223,-0.0144,0.0169,-0.0256,1.1379,0.0000,0.0000,0.3000,0.0000,0.0000
250,0.1113,-0.0081,0.0244,-0.96,-1.96,0.32,0.011,-58.785,-42.787,-1.049,0.0276,-0.0195,0.0156,-0.0174,1.1480,0.0000,0.0000,0.3000,0.0000,0.0000
259,0.1122,-0.0012,0.0350,-1.47,-1.69,0.32,0.011,-48.412,-55.909,-4.142,0.0279,-0.0212,0.0083,-0.0225,1.1458,0.0000,0.0000,0.3000,0.0000,0.0000
269,0.1183,0.0314,0.0510,-2.24,-1.42,0.33,0.011,-38.766,-70.267,-4.436,0.0251,-0.0254,0.0095,-0.0178,1.1406,0.0000,0.0000,0.3000,0.0000,0.0000
279,0.1446,0.0046,0.0627,-2.59,-1.22,0.36,0.011,-24.210,-70.354,-3.223,0.0249,-0.0260,0.0120,-0.0178,1.1522,0.0000,0.0000,0.3000,0.0000,0.0000
289,0.1400,0.0000,0.0782,-3.04,-0.65,0.36,0.000,-13.424,-68.055,-0.520,0.0251,-0.0281,0.0099,-0.0148,1.1474,0.0000,0.0000,0.3000,0.0000,0.0000
299,0.1167,-0.0182,0.0991,-3.27,0.19,0.34,0.000,-1.211,-58.073,-2.073,0.0273,-0.0280,0.0110,-0.0168,1.1443,0.0000,0.0000,0.3000,0.0000,0.0000
309,0.1082,-0.0143,0.1143,-3.54,0.98,0.35,0.000,18.976,-39.431,-0.146,0.0316,-0.0263,0.0103,-0.0230,1.1681,0.0000,0.0000,0.3000,0.0000,0.0000
319,0.1020,-0.0183,0.0986,-3.63,1.69,0.38,0.000,33.467,-30.389,0.924,0.0371,-0.0256,0.0068,-0.0214,1.1681,0.0000,0.0000,0.3000,0.0000,0.0000
329,0.1048,-0.0090,0.1128,-3.70,2.26,0.41,0.000,35.377,-17.219,0.621,0.0380,-0.0237,0.0068,-0.0312,1.1558,0.0000,0.0000,0.3000,0.0000,0.0000
339,0.1439,0.0128,0.1225,-3.69,2.37,0.48,0.000,39.531,-6.389,-0.290,0.0384,-0.0213,0.0198,-0.0290,1.1556,0.0000,0.0000,0.3000,0.0000,0.0000
349,0.1391,0.0199,0.1366,-3.39,2.70,0.51,0.000,50.276,-12.016,1.992,0.0397,-0.0184,0.0133,-0.0280,1.1504,0.0000,0.0000,0.3000,0.0000,0.0000
359,0.1302,0.0364,0.1524,-3.12,2.94,0.53,0.000,39.828,-11.898,0.362,0.0395,-0.0158,0.0029,-0.0337,1.1494,0.0000,0.0000,0.3000,0.0000,0.0000
369,0.1156,0.0535,0.1335,-2.84,3.10,0.53,0.000,19.252,-5.738,1.145,0.0410,-0.0138,-0.0042,-0.0302,1.1388,0.0000,0.0000,0.3000,0.0000,0.0000
379,0.1143,0.0737,0.1469,-2.47,3.15,0.58,0.000,-0.107,0.313,1.402,0.0398,-0.0131,0.0015,-0.0286,1.1371,0.0000,0.0000,0.3000,0.0000,0.0000
389,0.1000,0.0896,0.1612,-2.12,3.32,0.59,0.011,-16.497,8.431,1.321,0.0404,-0.0130,0.0071,-0.0276,1.1442,0.0000,0.0000,0.3000,0.0000,0.0000
400,0.0964,0.0998,0.1747,-1.90,3.39,0.62,0.011,-23.269,14.202,1.725,0.0458,-0.0131,0.0172,-0.0198,1.1344,0.0000,0.0000,0.3000,0.0000,0.0000
409,0.0765,0.1019,0.1902,-1.83,3.51,0.61,0.011,-29.790,23.811,3.059,0.0490,-0.0096,0.0113,-0.0181,1.1356,0.0000,0.0000,0.3000,0.0000,0.0000
419,0.0694,0.1003,0.1966,-1.91,3.44,0.61,0.011,-26.818,21.958,3.435,0.0494,-0.0085,0.0071,-0.0198,1.1232,0.0000,0.0000,0.3000,0.0000,0.0000
429,0.0894,0.0977,0.2097,-2.07,3.10,0.65,0.011,-27.644,23.587,4.355,0.0511,-0.0083,0.0085,-0.0180,1.1125,0.0000,0.0000,0.3000,0.0000,0.0000
439,0.0966,0.1169,0.2203,-2.47,2.78,0.73,0.011,-18.412,18.000,3.036,0.0516,-0.0117,0.0109,-0.0168,1.1007,0.0000,0.0000,0.3000,0.0000,0.0000
449,0.0875,0.1210,0.2339,-2.76,2.58,0.75,0.027,-8.035,8.753,2.260,0.0506,-0.0107,0.0117,-0.0159,1.0925,0.0000,0.0000,0.3000,0.0000,0.0000
459,0.0874,0.1208,0.2473,-3.00,2.30,0.76,0.027,3.067,0.412,2.862,0.0558,-0.0070,0.0145,-0.0169,1.0743,0.0000,0.0000,0.3000,0.0000,0.0000
469,0.0805,0.0997,0.2649,-3.00,2.11,0.71,0.027,15.335,-3.408,2.373,0.0550,-0.0064,0.0125,-0.0174,1.0676,0.0000,0.0000,0.3000,0.0000,0.0000
479,0.0659,0.1055,0.2764,-3.12,2.07,0.70,0.027,27.663,-7.005,2.611,0.0592,-0.0038,0.0147,-0.0233,1.0580,0.0000,0.0000,0.3000,0.0000,0.0000
489,0.0882,0.1268,0.2814,-3.25,1.83,0.82,0.048,36.289,-8.784,3.440,0.0582,-0.0056,0.0084,-0.0208,1.0446,0.0000,0.0000,0.3000,0.0000,0.0000
499,0.0746,0.1292,0.2921,-3.11,1.92,0.81,0.048,39.148,-3.935,4.105,0.0560,-0.0049,0.0032,-0.0231,1.0340,0.0000,0.0000,0.3000,0.0000,0.0000
510,0.0913,0.1430,0.2948,-2.94,1.81,0.90,0.048,38.560,0.963,2.113,0.0546,-0.0034,0.0048,-0.0233,1.0250,0.0000,0.0000,0.3000,0.0000,0.0000
519,0.0759,0.1289,0.3275,-2.44,2.00,0.85,0.048,34.232,4.258,0.556,0.0530,-0.0050,0.0037,-0.0241,1.0211,0.0000,0.0000,0.3000,0.0000,0.0000
530,0.0547,0.1298,0.3351,-2.04,2.19,0.85,0.048,25.374,12.452,0.043,0.0518,-0.0048,0.0063,-0.0276,1.0203,0.0000,0.0000,0.3000,0.0000,0.0000
539,0.0394,0.1344,0.3399,-1.65,2.28,0.85,0.048,14.235,16.826,-0.478,0.0507,-0.0053,0.0085,-0.0228,1.0183,0.0000,0.0000,0.3000,0.0000,0.0000
550,0.0235,0.1205,0.3462,-1.17,2.33,0.79,0.077,4.331,18.479,-0.102,0.0476,-0.0030,0.0103,-0.0264,1.0151,0.0000,0.0000,0.3000,0.0000,0.0000
559,0.0111,0.1164,0.3495,-0.84,2.29,0.75,0.077,1.503,15.884,0.889,0.0465,-0.0032,0.0098,-0.0251,1.0041,0.0000,0.0000,0.3000,0.0000,0.0000
570,0.0003,0.1116,0.3819,-0.57,2.16,0.71,0.077,-0.908,8.520,2.055,0.0464,0.0001,0.0096,-0.0226,0.9940,0.0000,0.0000,0.3000,0.0000,0.0000
581,-0.0232,0.1146,0.3836,-0.52,2.12,0.68,0.077,-3.747,3.032,2.807,0.0462,0.0006,0.0086,-0.0224,0.9834,0.0000,0.0000,0.3000,0.0000,0.0000
589,-0.0318,0.1075,0.3859,-0.44,1.99,0.65,0.100,-1.950,-1.690,2.279,0.0461,0.0044,0.0093,-0.0169,0.9765,0.0000,0.0000,0.3000,0.0000,0.0000
599,-0.0343,0.1215,0.3858,-0.54,1.88,0.71,0.100,-0.606,1.651,2.651,0.0455,0.0046,0.0061,-0.0184,0.9733,0.0000,0.0000,0.3000,0.0000,0.0000
609,-0.0369,0.1181,0.3866,-0.54,1.83,0.72,0.100,2.262,-0.450,2.169,0.0452,0.0057,0.0080,-0.0204,0.9696,0.0000,0.0000,0.3000,0.0000,0.0000
620,-0.0389,0.1325,0.4168,-0.66,1.81,0.79,0.100,5.378,2.606,1.820,0.0446,0.0069,0.0082,-0.0206,0.9593,0.0000,0.0000,0.3000,0.0000,0.0000
629,-0.0432,0.1273,0.4158,-0.62,1.82,0.80,0.100,8.241,6.430,1.931,0.0436,0.0070,0.0105,-0.0216,0.9491,0.0000,0.0000,0.3000,0.0000,0.0000
640,-0.0458,0.1269,0.4137,-0.59,1.82,0.82,0.100,9.047,10.145,2.239,0.0431,0.0088,0.0102,-0.0202,0.9428,0.0000,0.0000,0.3000,0.0000,0.0000
649,-0.0493,0.1279,0.4109,-0.56,1.80,0.84,0.111,11.615,15.644,1.946,0.0414,0.0097,0.0098,-0.0204,0.9386,0.0000,0.0000,0.3000,-0.0005,0.0013
659,-0.0557,0.1218,0.4087,-0.43,1.77,0.83,0.111,13.640,16.355,0.812,0.0401,0.0109,0.0069,-0.0198,0.9407,0.0000,0.0000,0.3000,-0.0011,0.0025
669,-0.0579,0.1246,0.3926,-0.36,1.68,0.86,0.111,12.231,15.828,1.328,0.0400,0.0114,0.0047,-0.0189,0.9339,0.0000,0.0000,0.3000,-0.0016,0.0037
679,-0.0674,0.1249,0.3872,-0.25,1.60,0.87,0.111,12.839,16.196,0.822,0.0381,0.0135,0.0116,-0.0228,0.9244,0.0000,0.0000,0.3000,-0.0023,0.0050
689,-0.0736,0.1251,0.3812,-0.12,1.46,0.88,0.137,12.871,17.158,-0.160,0.0373,0.0143,0.0089,-0.0228,0.9244,0.0000,0.0000,0.3000,-0.0030,0.0062
699,-0.0793,0.1260,0.3749,-0.00,1.33,0.89,0.137,11.560,15.316,-0.154,0.0354,0.0161,0.0089,-0.0237,0.9221,0.0000,0.0000,0.3000,-0.0038,0.0075
709,-0.0815,0.1260,0.3689,0.13,1.17,0.90,0.137,8.788,13.950,-0.013,0.0342,0.0164,0.0125,-0.0223,0.9212,0.0000,0.0000,0.3000,-0.0046,0.0088
719,-0.0829,0.1225,0.3804,0.30,0.99,0.90,0.137,7.802,12.284,-0.028,0.0325,0.0181,0.0153,-0.0220,0.9201,0.0000,0.0000,0.3000,-0.0055,0.0100
729,-0.0905,0.1253,0.3724,0.39,0.87,0.90,0.137,6.768,8.483,-0.576,0.0316,0.0187,0.0118,-0.0183,0.9193,0.0000,0.0000,0.3000,-0.0064,0.0112
739,-0.0974,0.1223,0.3647,0.51,0.77,0.89,0.137,5.177,8.302,-0.656,0.0295,0.0199,0.0049,-0.0174,0.9184,0.0000,0.0000,0.3000,-0.0074,0.0125
749,-0.0987,0.1215,0.3570,0.59,0.65,0.89,0.148,3.198,9.415,-0.522,0.0290,0.0201,0.0090,-0.0211,0.9176,0.0000,0.0000,0.3000,-0.0083,0.0137
760,-0.0996,0.1169,0.3496,0.69,0.54,0.88,0.148,3.837,6.977,-1.911,0.0283,0.0214,0.0095,-0.0201,0.9097,0.0000,0.0000,0.3000,-0.0093,0.0148
769,-0.1056,0.1154,0.3277,0.74,0.50,0.88,0.148,2.596,6.359,-1.672,0.0264,0.0229,0.0100,-0.0207,0.9080,0.0000,0.0000,0.3000,-0.0104,0.0160
