time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y,acc_x,acc_y,acc_z,ref_x,ref_y,ref_z,est_x,est_y
0,-0.0219,0.0454,-0.0032,-0.87,0.89,-0.61,0.008,0.099,0.112,-0.209,-0.0192,0.0254,0.0132,-0.0131,1.0021,0.0000,0.0000,0.3000,0.0000,0.0000
9,-0.0245,0.0302,-0.0024,-0.74,0.91,-0.61,0.006,0.154,0.094,-0.481,-0.0196,0.0255,0.0125,-0.0112,1.0026,0.0000,0.0000,0.3000,0.0000,0.0000
19,-0.0246,0.0287,-0.0023,-0.72,0.91,-0.62,0.006,-0.070,0.097,-0.383,-0.0191,0.0248,0.0128,-0.0120,1.0024,0.0000,0.0000,0.3000,0.0000,0.0000
30,-0.0247,0.0291,-0.0025,-0.72,0.90,-0.62,0.006,0.003,-0.283,-0.168,-0.0189,0.0250,0.0136,-0.0015,0.9966,0.0000,0.0000,0.3000,0.0000,0.0000
40,-0.0256,0.0285,-0.0093,-0.72,0.91,-0.63,0.006,0.031,-0.460,-0.457,-0.0206,0.0255,0.0066,-0.0026,0.9951,0.0000,0.0000,0.3000,0.0000,0.0000
49,-0.0232,0.0243,-0.0088,-0.67,0.88,-0.63,0.006,-1.459,-0.691,-1.342,-0.0197,0.0259,0.0052,-0.0254,0.9993,0.0000,0.0000,0.3000,0.0000,0.0000
60,-0.0221,0.0253,-0.0085,-0.67,0.86,-0.63,0.006,-3.441,-0.582,-2.672,-0.0202,0.0254,0.0019,-0.0157,1.0035,0.0000,0.0000,0.3000,0.0000,0.0000
70,-0.0319,0.0275,-0.0085,-0.68,0.93,-0.64,0.008,0.017,-2.676,-1.824,-0.0202,0.0264,0.0209,-0.0165,0.9928,0.0000,0.0000,0.3000,0.0000,0.0000
80,-0.0269,0.0294,-0.0084,-0.69,0.88,-0.64,0.008,-0.499,-1.848,-0.285,-0.0204,0.0253,0.0141,-0.0211,0.9999,0.0000,0.0000,0.3000,0.0000,0.0000
90,-0.0294,0.0265,-0.0067,-0.66,0.89,-0.65,0.008,-1.114,-1.072,-0.713,-0.0198,0.0238,0.0116,-0.0208,1.0197,0.0000,0.0000,0.3000,0.0000,0.0000
100,-0.0293,0.0319,-0.0061,-0.69,0.90,-0.65,0.008,0.443,-0.121,-1.061,-0.0207,0.0253,0.0065,-0.0208,0.9831,0.0000,0.0000,0.3000,0.0000,0.0000
110,-0.0307,0.0255,-0.0057,-0.64,0.92,-0.65,0.008,0.825,-1.698,0.989,-0.0205,0.0264,0.0032,-0.0076,1.0001,0.0000,0.0000,0.3000,0.0000,0.0000
119,-0.0272,0.0168,-0.0057,-0.56,0.89,-0.65,0.008,-1.423,0.537,6.041,-0.0203,0.0244,0.0081,0.0172,0.9986,0.0000,0.0000,0.3000,0.0000,0.0000
130,-0.0319,0.0251,-0.0059,-0.61,0.92,-0.65,0.008,1.309,-2.740,3.245,-0.0198,0.0275,-0.0209,-0.0037,1.0258,0.0000,0.0000,0.3000,0.0000,0.0000
140,-0.0307,0.0307,-0.0039,-0.65,0.92,-0.65,0.008,-1.665,2.371,5.403,-0.0205,0.0268,0.0053,-0.0200,1.0101,0.0000,0.0000,0.3000,0.0000,0.0000
150,-0.0296,0.0196,-0.0046,-0.56,0.90,-0.61,0.008,-9.562,4.539,9.342,-0.0204,0.0264,0.0159,-0.0044,0.9916,0.0000,0.0000,0.3000,0.0000,0.0000
160,-0.0271,0.0360,-0.0050,-0.70,0.89,-0.56,0.008,-10.588,1.691,8.438,-0.0197,0.0290,0.0115,0.0034,0.9878,0.0000,0.0000,0.3000,0.0000,0.0000
170,-0.0309,0.0315,-0.0048,-0.65,0.91,-0.53,0.008,-0.531,2.956,9.040,-0.0198,0.0310,0.0130,-0.0076,1.0497,0.0000,0.0000,0.3000,0.0000,0.0000
180,-0.0303,0.0292,-0.0021,-0.70,0.84,-0.45,0.008,-7.076,-2.311,9.118,-0.0198,0.0304,0.0125,-0.0101,1.0934,0.0000,0.0000,0.3000,0.0000,0.0000
190,-0.0262,0.0426,-0.0010,-0.92,0.77,-0.35,0.008,-5.562,-2.282,9.605,-0.0186,0.0310,0.0232,-0.0159,1.0897,0.0000,0.0000,0.3000,0.0000,0.0000
199,-0.0270,0.0528,-0.0028,-1.01,0.74,-0.26,0.008,-5.278,-9.824,8.310,-0.0188,0.0315,0.0152,-0.0216,1.1063,0.0000,0.0000,0.3000,0.0000,0.0000
210,-0.0267,0.0486,-0.0028,-1.02,0.73,-0.17,0.009,-17.292,-25.452,4.331,-0.0190,0.0320,-0.0042,-0.0236,1.1452,0.0000,0.0000,0.3000,0.0000,0.0000
219,-0.0197,0.0511,0.0034,-1.11,0.68,-0.07,0.009,-36.717,-30.858,2.716,-0.0192,0.0326,-0.0007,-0.0190,1.1730,0.0000,0.0000,0.3000,0.0000,0.0000
230,-0.0210,0.0531,0.0124,-1.14,0.75,0.02,0.009,-42.870,-26.149,4.266,-0.0194,0.0331,0.0132,-0.0229,1.2052,0.0000,0.0000,0.3000,0.0000,0.0000
240,-0.0225,0.0554,0.0239,-1.27,0.95,0.09,0.009,-30.385,-15.105,0.221,-0.0197,0.0337,0.0156,-0.0228,1.2139,0.0000,0.0000,0.3000,0.0000,0.0000
251,-0.0244,0.0579,0.0349,-1.57,1.24,0.12,0.009,-30.095,-10.672,1.897,-0.0192,0.0339,0.0154,-0.0159,1.2274,0.0000,0.0000,0.3000,0.0000,0.0000
