time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z
0,-0.0057,0.0020,0.0081,-0.28,-0.18,25.92,0.014,-0.064,-0.069,0.029
0,-0.0084,0.0053,0.0080,-0.32,-0.17,25.90,0.014,0.045,0.071,0.177
0,0.0019,0.0049,0.0083,-0.27,-0.25,25.87,0.014,0.039,0.027,0.077
0,0.0037,-0.0017,0.0084,-0.22,-0.24,25.85,0.011,-0.004,-0.204,0.088
0,0.0041,0.0025,0.0082,-0.25,-0.25,25.82,0.011,0.184,-0.096,-0.089
0,-0.0060,0.0024,0.0024,-0.28,-0.18,25.79,0.011,-0.019,-0.157,-0.012
0,0.0052,-0.0024,0.0026,-0.21,-0.25,25.77,0.011,0.093,0.187,-0.087
0,0.0061,-0.0017,0.0027,-0.21,-0.25,25.74,0.011,-0.220,-0.031,0.098
0,0.0040,0.0023,0.0029,-0.25,-0.25,25.72,0.012,-0.132,0.268,0.016
0,-0.0051,0.0003,0.0031,-0.27,-0.17,25.69,0.012,0.115,0.153,0.132
0,-0.0028,0.0038,0.0017,-0.29,-0.20,25.67,0.012,-0.074,-0.103,-0.027
0,-0.0057,-0.0002,0.0017,-0.27,-0.17,25.64,0.012,0.074,0.097,0.094
0,-0.0010,-0.0041,0.0018,-0.22,-0.19,25.62,0.012,-0.010,0.176,-0.149
1,0.0003,-0.0008,0.0019,-0.24,-0.21,25.59,0.011,-0.085,0.212,-0.047
1,0.0018,-0.0013,0.0019,-0.23,-0.22,25.57,0.011,-0.047,0.137,0.085
1,0.0062,-0.0004,-0.0014,-0.22,-0.26,25.54,0.011,0.094,-0.023,-0.146
1,-0.0010,-0.0012,-0.0012,-0.24,-0.20,25.52,0.011,0.032,0.023,0.355
1,0.0035,0.0024,-0.0009,-0.25,-0.25,25.49,0.011,0.146,-0.047,-0.123
1,-0.0022,0.0061,-0.0007,-0.30,-0.22,25.46,0.015,-0.180,0.214,0.045
1,0.0009,0.0098,-0.0009,-0.31,-0.25,25.44,0.015,0.311,0.131,0.044
1,-0.0062,0.0034,0.0059,-0.29,-0.18,25.41,0.015,0.227,0.007,-0.251
1,0.0014,-0.0020,0.0062,-0.22,-0.22,25.39,0.015,-0.086,0.025,0.357
