time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,range_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,0.3913,1.6619,0.0080,-0.0069,-0.0048,-0.0061,0.57,-0.50,-11.75,0,0.009,0.105,-0.337,0.055,-0.010,0.009,0.997,0.000,0.000,0.000
0,0.3914,1.6623,0.0080,-0.0065,-0.0024,-0.0063,0.65,-0.50,-11.75,0,0.009,0.277,-0.015,0.198,-0.010,0.008,0.998,0.000,0.000,0.000
0,0.3914,1.6625,0.0079,-0.0062,-0.0012,-0.0065,0.61,-0.44,-11.73,0,0.009,-0.100,-0.106,0.161,-0.012,0.009,0.998,0.000,0.000,0.000
0,0.3927,1.6634,0.0079,0.0007,0.0035,-0.0066,0.62,-0.45,-11.71,0,0.009,0.007,-0.238,0.145,-0.012,0.009,0.996,0.000,0.000,0.000
0,0.3923,1.6615,0.0083,-0.0017,-0.0067,-0.0043,0.62,-0.45,-11.70,0,0.009,0.282,-0.343,-0.282,-0.012,0.010,0.996,0.000,0.000,0.000
0,0.3912,1.6626,0.0083,-0.0076,-0.0004,-0.0044,0.61,-0.47,-11.69,0,0.009,0.277,-0.198,-0.108,-0.010,0.010,0.999,0.000,0.000,0.000
0,0.3914,1.6623,0.0082,-0.0065,-0.0019,-0.0047,0.64,-0.41,-11.68,0,0.009,0.057,-0.062,0.057,-0.010,0.008,1.000,0.000,0.000,0.000
0,0.3913,1.6623,0.0082,-0.0068,-0.0020,-0.0050,0.59,-0.46,-11.67,0,0.009,0.204,0.006,-0.019,-0.010,0.010,1.000,0.000,0.000,0.000
1,0.3918,1.6624,0.0085,-0.0042,-0.0013,-0.0031,0.59,-0.46,-11.66,0,0.009,0.257,0.115,-0.016,-0.011,0.011,1.000,0.000,0.000,0.000
1,0.3903,1.6621,0.0085,-0.0123,-0.0034,-0.0036,0.58,-0.46,-11.65,0,0.005,0.238,-0.293,0.153,-0.010,0.010,0.999,0.000,0.000,0.000
1,0.3916,1.6629,0.0084,-0.0049,0.0014,-0.0037,0.62,-0.50,-11.65,0,0.005,0.258,-0.477,-0.175,-0.008,0.010,0.998,0.000,0.000,0.000
1,0.3916,1.6629,0.0084,-0.0051,0.0014,-0.0038,0.66,-0.44,-11.64,0,0.005,-0.102,-0.305,0.025,-0.008,0.008,0.998,0.000,0.000,0.000
1,0.3917,1.6634,0.0084,-0.0045,0.0036,-0.0038,0.60,-0.45,-11.62,0,0.005,0.292,0.027,0.070,-0.009,0.009,1.001,0.000,0.000,0.000
1,0.3924,1.6623,0.0083,-0.0006,-0.0025,-0.0038,0.61,-0.45,-11.61,0,0.010,0.105,-0.031,0.231,-0.011,0.010,1.000,0.000,0.000,0.000
1,0.3909,1.6617,0.0068,-0.0090,-0.0056,-0.0114,0.61,-0.47,-11.60,0,0.010,0.130,-0.375,-0.065,-0.011,0.011,1.000,0.000,0.000,0.000
1,0.3914,1.6630,0.0067,-0.0060,0.0016,-0.0113,0.61,-0.49,-11.59,0,0.010,-0.076,-0.233,-0.166,-0.010,0.009,0.997,0.000,0.000,0.000
2,0.3913,1.6627,0.0066,-0.0060,0.0003,-0.0115,0.57,-0.41,-11.58,0,0.010,0.075,-0.246,-0.004,-0.009,0.008,0.999,0.000,0.000,0.000
2,0.3917,1.6624,0.0065,-0.0037,-0.0015,-0.0117,0.61,-0.45,-11.57,0,0.010,-0.027,-0.122,0.048,-0.010,0.009,0.999,0.000,0.000,0.000
2,0.3922,1.6625,0.0079,-0.0010,-0.0010,-0.0035,0.60,-0.45,-11.55,0,0.010,0.310,-0.224,-0.099,-0.011,0.009,0.998,0.000,0.000,0.000
2,0.3906,1.6638,0.0079,-0.0096,0.0056,-0.0034,0.60,-0.46,-11.54,0,0.009,-0.028,-0.114,0.297,-0.009,0.011,1.001,0.000,0.000,0.000
2,0.3913,1.6627,0.0079,-0.0058,-0.0002,-0.0034,0.57,-0.43,-11.53,0,0.009,0.334,-0.336,-0.063,-0.009,0.011,1.000,0.000,0.000,0.000
2,0.3914,1.6629,0.0078,-0.0054,0.0009,-0.0037,0.65,-0.50,-11.52,0,0.009,0.083,0.140,0.207,-0.011,0.012,0.997,0.000,0.000,0.000
2,0.3916,1.6629,0.0078,-0.0041,0.0005,-0.0038,0.64,-0.46,-11.51,0,0.009,0.256,-0.060,-0.026,-0.010,0.011,0.996,0.000,0.000,0.000
3,0.3910,1.6637,0.0078,-0.0069,0.0045,-0.0039,0.62,-0.45,-11.50,0,0.011,0.005,-0.241,0.296,-0.010,0.011,0.998,0.000,0.000,0.000
3,0.3922,1.6616,0.0083,-0.0007,-0.0066,-0.0012,0.63,-0.45,-11.48,0,0.011,0.152,-0.139,0.231,-0.010,0.009,0.998,0.000,0.000,0.000
3,0.3914,1.6620,0.0083,-0.0050,-0.0042,-0.0011,0.56,-0.49,-11.47,0,0.011,0.106,-0.296,-0.168,-0.014,0.009,0.997,0.000,0.000,0.000
3,0.3912,1.6623,0.0083,-0.0058,-0.0026,-0.0011,0.63,-0.46,-11.46,0,0.011,0.235,-0.131,-0.078,-0.010,0.012,0.996,0.000,0.000,0.000
