time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy
0,-1.0403,-1.5538,0.0105,0.0013,-0.0012,0.0060,-1.47,0.75,-1.90,0,4.028,0.101,0.018,-0.316,0.015,-0.028,0.000,0.000,0.000,0.000,0.0100,4,-6
50,-1.0407,-1.5535,0.0104,-0.0002,-0.0002,0.0054,-1.47,0.75,-1.89,0,4.028,-0.310,-0.064,0.041,0.015,-0.027,0.000,0.000,0.000,0.000,0.0100,0,0
101,-1.0394,-1.5544,0.0107,0.0065,-0.0052,0.0064,-1.46,0.75,-1.88,0,4.022,-0.024,-0.133,-0.033,0.014,-0.027,0.000,0.000,0.000,0.000,0.0120,2,-3
152,-1.0400,-1.5542,0.0112,0.0027,-0.0034,0.0089,-1.46,0.76,-1.87,0,4.033,-0.296,-0.164,0.119,0.015,-0.028,0.000,0.000,0.000,0.000,0.0080,0,0
204,-1.0394,-1.5546,0.0117,0.0058,-0.0057,0.0101,-1.47,0.76,-1.86,0,4.022,-0.260,-0.094,0.019,0.014,-0.027,0.000,0.000,0.000,0.000,0.0080,-4,-4
254,-1.0402,-1.5538,0.0093,0.0018,-0.0010,-0.0018,-1.48,0.76,-1.85,0,4.033,-0.131,0.231,0.167,0.015,-0.028,0.000,0.000,0.000,0.000,0.0100,1,0
305,-1.0393,-1.5546,0.0093,0.0065,-0.0057,0.0003,-1.48,0.75,-1.84,0,4.028,0.280,-0.043,-0.180,0.012,-0.028,0.000,0.000,0.000,0.000,0.0110,-1,0
356,-1.0402,-1.5540,0.0102,0.0009,-0.0035,0.0053,-1.47,0.75,-1.83,0,4.033,-0.098,-0.214,0.167,0.015,-0.028,0.000,0.000,0.000,0.000,0.0070,3,-4
407,-1.0402,-1.5540,0.0106,0.0008,-0.0037,0.0064,-1.47,0.76,-1.82,0,4.022,0.258,0.116,-0.240,0.013,-0.027,0.000,0.000,0.000,0.000,0.0070,3,-2
458,-1.0399,-1.5541,0.0082,0.0025,-0.0037,-0.0047,-1.47,0.75,-1.82,0,4.033,0.074,0.120,-0.082,0.013,-0.027,0.000,0.000,0.000,0.000,0.0110,0,0
509,-1.0392,-1.5549,0.0080,0.0059,-0.0075,-0.0034,-1.48,0.76,-1.81,0,4.022,0.082,-0.076,0.268,0.013,-0.026,0.000,0.000,0.000,0.000,0.0070,2,0
560,-1.0399,-1.5536,0.0085,0.0020,-0.0004,-0.0010,-1.51,0.81,-1.79,0,4.033,-0.085,0.076,0.042,0.015,-0.027,0.000,0.000,0.000,0.000,0.0080,0,-1
611,-1.0394,-1.5550,0.0085,0.0052,-0.0076,0.0007,-1.46,0.76,-1.79,0,4.028,0.058,0.197,0.081,0.014,-0.027,0.000,0.000,0.000,0.000,0.0090,0,-1
