time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z
0,-19.7781,15.4044,0.0104,0.0030,0.0026,0.0076,-1.73,-0.09,-31.35,0,4.138,0.094,0.144,-0.288,-0.001,-0.029,0.000,0.000,0.000,0.000,0.0090,-10,5,0.00,0.00,0.00,0.0000,0.0000,0.0000
51,-19.7785,15.4032,0.0101,0.0003,-0.0054,0.0061,-1.74,-0.11,-31.21,0,4.133,0.121,0.082,-0.578,-0.003,-0.030,0.000,0.000,0.000,0.000,0.0070,-10,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000
102,-19.7785,15.4046,0.0099,0.0007,0.0018,0.0046,-1.78,-0.15,-31.07,0,4.144,-0.410,0.084,-0.281,-0.003,-0.028,0.000,0.000,0.000,0.000,0.0060,38,1,0.00,0.00,0.00,0.0000,0.0000,0.0000
153,-19.7774,15.4054,0.0088,0.0054,0.0054,0.0000,-1.38,-0.13,-30.93,0,4.133,-0.273,0.260,-0.046,0.000,-0.027,0.000,0.000,0.000,0.000,0.0110,-2,-5,0.00,0.00,0.00,0.0000,0.0000,0.0000
204,-19.7851,15.3963,0.0073,-0.0311,-0.0394,-0.0047,-1.34,-0.13,-30.79,0,4.144,-0.263,0.153,-0.245,-0.001,-0.029,0.000,0.000,0.000,0.000,0.0080,-10,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
256,-19.7851,15.3945,0.0091,-0.0257,-0.0414,0.0051,-1.44,-0.12,-30.66,0,4.133,0.046,0.110,-0.084,-0.003,-0.029,0.000,0.000,0.000,0.000,0.0140,-3,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000
307,-19.7846,15.3964,0.0090,-0.0171,-0.0245,0.0046,-1.53,-0.15,-30.52,0,4.144,-0.167,0.179,-0.206,-0.002,-0.030,0.000,0.000,0.000,0.000,0.0070,-21,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000
358,-19.7849,15.3947,0.0118,-0.0158,-0.0282,0.0173,-1.69,-0.17,-30.39,0,4.133,-0.291,-0.034,-0.349,-0.001,-0.029,0.000,0.000,0.000,0.000,0.0100,0,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000
408,-19.7788,15.4051,0.0102,0.0159,0.0265,0.0073,-1.96,-0.15,-30.25,0,4.144,-0.095,0.043,-0.422,-0.003,-0.027,0.000,0.000,0.000,0.000,0.0100,2,-3,0.00,0.00,0.00,0.0000,0.0000,0.0000
459,-19.7792,15.4049,0.0106,0.0112,0.0205,0.0087,-1.86,-0.15,-30.12,0,4.133,-0.383,0.076,-0.203,-0.002,-0.029,0.000,0.000,0.000,0.000,0.0060,-22,-10,0.00,0.00,0.00,0.0000,0.0000,0.0000
510,-19.7787,15.4053,0.0107,0.0115,0.0191,0.0081,-2.07,-0.22,-29.98,0,4.144,-0.150,-0.031,-0.203,-0.002,-0.028,0.000,0.000,0.000,0.000,0.0110,-12,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000
561,-19.7773,15.4054,0.0091,0.0147,0.0152,0.0007,-1.94,-0.17,-29.84,0,4.133,-0.204,0.042,0.184,-0.001,-0.031,0.000,0.000,0.000,0.000,0.0100,10,-6,0.00,0.00,0.00,0.0000,0.0000,0.0000
613,-19.7795,15.4040,0.0104,0.0013,0.0043,0.0076,-1.59,-0.16,-29.71,0,4.144,-0.078,0.325,-0.377,-0.002,-0.029,0.000,0.000,0.000,0.000,0.0110,-9,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000
