time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z
0,-1.3803,0.0065,0.0080,0.0031,-0.0099,-0.0011,-1.07,0.40,-43.82,0,4.028,-0.105,0.045,0.078,0.011,-0.020,1.000,0.000,0.000,0.000,0.0100,-4,8,0.00,0.00,0.00,0.0000,0.0000,0.0000
102,-1.3803,0.0064,0.0089,0.0033,-0.0096,0.0039,-1.06,0.41,-43.60,0,4.038,0.140,0.285,0.008,0.010,-0.022,0.998,0.000,0.000,0.000,0.0070,-5,8,0.00,0.00,0.00,0.0000,0.0000,0.0000
203,-1.3805,0.0062,0.0082,0.0018,-0.0109,-0.0008,-1.07,0.40,-43.39,0,4.028,0.149,0.002,0.078,0.012,-0.017,1.000,0.000,0.000,0.000,0.0080,-4,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000
304,-1.3813,0.0057,0.0082,-0.0020,-0.0135,-0.0005,-1.09,0.48,-43.18,0,4.033,0.359,0.167,0.008,0.011,-0.021,1.001,0.000,0.000,0.000,0.0070,7,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000
405,-1.3800,0.0072,0.0077,0.0049,-0.0066,-0.0023,-1.03,0.41,-42.97,0,4.022,0.295,-0.040,-0.065,0.011,-0.021,1.000,0.000,0.000,0.000,0.0100,-4,2,0.00,0.00,0.00,0.0000,0.0000,0.0000
506,-1.3807,0.0062,0.0088,0.0015,-0.0112,0.0037,-1.09,0.43,-42.76,0,4.038,0.046,0.339,0.016,0.011,-0.019,1.001,0.000,0.000,0.000,0.0090,4,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000
607,-1.3807,0.0065,0.0090,0.0014,-0.0097,0.0042,-1.07,0.41,-42.55,0,4.028,-0.141,0.137,-0.034,0.010,-0.020,0.999,0.000,0.000,0.000,0.0110,2,2,0.00,0.00,0.00,0.0000,0.0000,0.0000
708,-1.3797,0.0073,0.0102,0.0073,-0.0046,0.0088,-1.04,0.42,-42.34,0,4.038,0.230,0.188,-0.066,0.011,-0.021,1.001,0.000,0.000,0.000,0.0080,-1,2,0.00,0.00,0.00,0.0000,0.0000,0.0000
810,-1.3803,0.0067,0.0096,0.0042,-0.0076,0.0043,-1.01,0.42,-42.14,0,4.028,-0.056,0.159,-0.083,0.009,-0.019,0.998,0.000,0.000,0.000,0.0090,0,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000
912,-1.3804,0.0068,0.0095,0.0036,-0.0063,0.0030,-1.06,0.42,-41.93,0,4.038,-0.186,-0.189,-0.023,0.009,-0.019,0.999,0.000,0.000,0.000,0.0060,3,-8,0.00,0.00,0.00,0.0000,0.0000,0.0000
