time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,motor_m1,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,0.0247,-0.2710,0.0087,-0.0192,-0.0734,-0.0070,-0.09,-0.25,-24.04,0,0.000,-0.032,0.136,0.095,-0.001,-0.009,1.002,0.000,0.000,0.000
101,0.0244,-0.2708,0.0087,-0.0200,-0.0683,-0.0061,-0.20,-0.24,-24.01,0,0.000,-0.010,-0.031,0.293,-0.003,-0.009,1.001,0.000,0.000,0.000
203,0.0251,-0.2711,0.0087,-0.0150,-0.0674,-0.0056,-0.17,-0.25,-23.99,0,0.000,-0.101,-0.117,0.221,-0.003,-0.009,1.001,0.000,0.000,0.000
305,0.0245,-0.2720,0.0086,-0.0176,-0.0693,-0.0060,-0.17,-0.24,-23.96,0,0.000,-0.089,-0.075,0.227,-0.000,-0.011,1.002,0.000,0.000,0.000
406,0.0253,-0.2703,0.0089,-0.0127,-0.0569,-0.0041,-0.20,-0.22,-23.94,0,0.000,0.111,-0.134,-0.302,-0.000,-0.010,1.001,0.000,0.000,0.000
507,0.0249,-0.2715,0.0084,-0.0138,-0.0608,-0.0062,-0.31,-0.20,-23.92,0,0.000,-0.086,0.075,0.077,-0.003,-0.009,1.000,0.000,0.000,0.000
608,0.0247,-0.2721,0.0083,-0.0144,-0.0613,-0.0060,-0.28,-0.21,-23.89,0,0.000,0.125,-0.082,-0.102,-0.002,-0.011,1.000,0.000,0.000,0.000
710,0.0243,-0.2719,0.0083,-0.0158,-0.0574,-0.0054,-0.28,-0.21,-23.87,0,0.000,0.025,0.286,-0.028,-0.001,-0.011,1.002,0.000,0.000,0.000
811,0.0248,-0.2702,0.0085,-0.0119,-0.0453,-0.0041,-0.32,-0.19,-23.84,0,0.000,-0.071,-0.192,0.057,-0.003,-0.009,1.000,0.000,0.000,0.000
912,0.0246,-0.2711,0.0074,-0.0124,-0.0487,-0.0095,-0.34,-0.22,-23.82,0,0.000,-0.077,0.046,0.125,-0.005,-0.009,0.999,0.000,0.000,0.000
1014,0.0245,-0.2715,0.0073,-0.0125,-0.0487,-0.0094,-0.36,-0.19,-23.80,0,0.000,-0.184,-0.021,0.082,-0.003,-0.011,1.000,0.000,0.000,0.000
1115,0.0243,-0.2710,0.0073,-0.0131,-0.0433,-0.0090,-0.35,-0.19,-23.77,0,0.000,0.007,-0.238,-0.043,-0.004,-0.008,1.002,0.000,0.000,0.000
1216,0.0250,-0.2713,0.0072,-0.0082,-0.0433,-0.0089,-0.28,-0.23,-23.75,0,0.000,-0.093,-0.149,0.020,-0.003,-0.009,1.003,0.000,0.000,0.000
1317,0.0244,-0.2711,0.0071,-0.0108,-0.0400,-0.0085,-0.28,-0.23,-23.73,0,0.000,0.106,0.092,-0.343,-0.002,-0.011,0.999,0.000,0.000,0.000
1419,0.0243,-0.2719,0.0070,-0.0111,-0.0427,-0.0086,-0.25,-0.26,-23.71,0,0.000,0.002,0.164,-0.233,-0.004,-0.011,0.999,0.000,0.000,0.000
1520,0.0245,-0.2741,0.0086,-0.0096,-0.0526,-0.0002,-0.25,-0.26,-23.71,0,0.000,0.004,0.031,0.030,-0.006,-0.010,0.997,0.000,0.000,0.000
1621,0.0244,-0.2746,0.0086,-0.0097,-0.0531,-0.0001,-0.36,-0.22,-23.69,0,0.000,-0.210,-0.004,-0.096,-0.004,-0.011,0.998,0.000,0.000,0.000
1722,0.0246,-0.2761,0.0086,-0.0077,-0.0589,-0.0004,-0.29,-0.24,-23.64,0,0.000,-0.015,-0.134,0.016,-0.004,-0.011,1.001,0.000,0.000,0.000
1823,0.0246,-0.2740,0.0088,-0.0073,-0.0445,0.0014,-0.29,-0.24,-23.64,0,0.000,-0.309,-0.075,0.020,-0.003,-0.008,1.001,0.000,0.000,0.000
1924,0.0242,-0.2755,0.0088,-0.0092,-0.0504,0.0010,-0.48,-0.22,-23.62,0,0.000,-0.128,-0.026,-0.139,-0.002,-0.008,0.999,0.000,0.000,0.000
2025,0.0242,-0.2766,0.0102,-0.0091,-0.0545,0.0080,-0.26,-0.22,-23.59,0,0.000,-0.150,0.120,-0.091,-0.003,-0.011,0.999,0.000,0.000,0.000
2126,0.0255,-0.2732,0.0105,-0.0016,-0.0324,0.0096,-0.35,-0.22,-23.55,0,0.000,-0.028,-0.430,0.224,-0.004,-0.011,0.997,0.000,0.000,0.000
2227,0.0234,-0.2779,0.0105,-0.0133,-0.0574,0.0085,-0.35,-0.22,-23.55,0,0.000,-0.101,0.056,-0.210,-0.002,-0.011,0.999,0.000,0.000,0.000
2328,0.0236,-0.2774,0.0107,-0.0114,-0.0516,0.0093,-0.52,-0.16,-23.50,0,0.000,-0.027,-0.047,-0.390,-0.003,-0.008,1.001,0.000,0.000,0.000
2429,0.0239,-0.2773,0.0109,-0.0092,-0.0484,0.0097,-0.52,-0.16,-23.50,0,0.000,-0.010,-0.071,-0.069,-0.003,-0.009,1.002,0.000,0.000,0.000
