time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd,multi_front,multi_back,multi_left,multi_right,multi_up,ai_feat_count,vo_x,vo_y,vo_sigma,pg_x,pg_y,lc_count
0,5.2604,3.5202,0.0104,0.0064,-0.0005,0.0103,0.19,-0.81,-3.24,0,3.959,-0.023,-0.082,-0.027,-0.019,0.001,1.000,0.000,0.000,0.000,0.0070,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9310,0.5290,1.1580,1.2490,2.7030,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
101,5.2606,3.5201,0.0092,0.0036,-0.0015,0.0026,0.20,-0.78,-3.23,0,3.964,0.024,0.128,-0.064,-0.018,0.003,1.000,0.000,0.000,0.000,0.0090,-5,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9260,0.5090,1.1620,1.2500,2.7100,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
202,5.2611,3.5207,0.0092,0.0041,0.0020,0.0023,0.18,-0.79,-3.22,0,3.959,-0.101,-0.186,0.082,-0.018,0.002,1.001,0.000,0.000,0.000,0.0090,3,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9260,0.5090,1.1620,1.2500,2.7100,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
303,5.2604,3.5162,0.0093,-0.0016,-0.0209,0.0023,0.40,-0.79,-3.21,0,3.964,0.048,-0.103,-0.064,-0.016,0.003,1.001,0.000,0.000,0.000,0.0080,3,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9280,0.5200,1.1620,1.2510,2.7020,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
404,5.2604,3.5152,0.0088,-0.0033,-0.0223,-0.0003,0.33,-0.79,-3.20,0,3.959,-0.004,0.269,0.012,-0.018,0.004,1.003,0.000,0.000,0.000,0.0080,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9280,0.5200,1.1620,1.2510,2.7020,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
505,5.2600,3.5163,0.0085,-0.0063,-0.0119,-0.0009,0.29,-0.77,-3.19,0,3.964,0.111,-0.140,-0.063,-0.015,0.002,1.000,0.000,0.000,0.000,0.0070,4,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9240,0.5460,1.1580,1.2580,2.7180,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
606,5.2605,3.5160,0.0078,-0.0032,-0.0105,-0.0037,0.25,-0.78,-3.18,0,3.954,-0.220,-0.238,0.191,-0.018,0.002,1.001,0.000,0.000,0.000,0.0060,-1,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9240,0.5460,1.1580,1.2580,2.7180,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
707,5.2595,3.5089,0.0067,-0.0091,-0.0433,-0.0076,0.38,-0.79,-3.16,0,3.964,-0.070,-0.289,0.084,-0.017,0.002,1.002,0.000,0.000,0.000,0.0070,-2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9240,0.5230,1.1650,1.2450,2.7010,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
808,5.2599,3.5089,0.0067,-0.0057,-0.0351,-0.0050,0.32,-0.79,-3.16,0,3.954,-0.272,-0.049,0.276,-0.016,0.005,1.003,0.000,0.000,0.000,0.0040,-3,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9240,0.5230,1.1650,1.2450,2.7010,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
909,5.2597,3.5093,0.0052,-0.0069,-0.0263,-0.0100,0.24,-0.81,-3.15,0,3.970,-0.209,0.091,-0.035,-0.017,0.004,1.000,0.000,0.000,0.000,0.0080,-3,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9210,0.5320,1.1650,1.2520,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1010,5.2594,3.5087,0.0062,-0.0078,-0.0243,-0.0034,0.20,-0.81,-3.14,0,3.959,0.209,-0.228,0.005,-0.017,0.003,1.001,0.000,0.000,0.000,0.0080,-1,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9210,0.5320,1.1650,1.2520,2.7060,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1111,5.2597,3.4998,0.0067,-0.0068,-0.0637,-0.0008,0.47,-0.85,-3.14,0,3.964,0.155,0.019,-0.040,-0.017,0.001,1.003,0.000,0.000,0.000,0.0070,1,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9200,0.5500,1.1640,1.2520,2.7130,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1212,5.2598,3.5011,0.0071,-0.0065,-0.0456,0.0021,0.40,-0.95,-3.13,0,3.954,-0.046,-0.018,-0.033,-0.018,0.003,1.001,0.000,0.000,0.000,0.0050,3,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9200,0.5500,1.1640,1.2520,2.7130,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1313,5.2622,3.5068,0.0070,0.0056,-0.0053,0.0028,0.04,-0.85,-3.12,0,3.964,0.024,0.052,-0.120,-0.016,0.001,1.003,0.000,0.000,0.000,0.0090,-1,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9250,0.0000,1.1630,1.2470,2.7010,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1414,5.2620,3.5070,0.0081,0.0024,-0.0020,0.0085,0.07,-0.87,-3.11,0,3.954,0.181,-0.248,-0.522,-0.018,0.002,1.001,0.000,0.000,0.000,0.0060,-2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9250,0.0000,1.1630,1.2470,2.7010,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1515,5.2622,3.5068,0.0074,0.0020,-0.0014,0.0038,0.01,-0.86,-3.11,0,3.964,0.142,0.049,-0.011,-0.016,-0.000,1.000,0.000,0.000,0.000,0.0070,-4,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9240,0.5420,1.1590,1.2500,2.7110,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1566,5.2618,3.5071,0.0074,-0.0015,0.0009,0.0031,-0.16,-0.87,-3.10,0,3.959,-0.172,-0.114,-0.239,-0.017,0.002,1.000,0.000,0.000,0.000,0.0080,4,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9240,0.5420,1.1590,1.2500,2.7110,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1617,5.2639,3.5163,0.0076,0.0094,0.0464,0.0034,-0.28,-0.89,-3.09,0,3.964,0.162,-0.056,-0.246,-0.016,0.004,1.001,0.000,0.000,0.000,0.0050,-3,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9210,0.0000,1.1640,1.2510,2.7110,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1668,5.2625,3.5132,0.0069,-0.0002,0.0216,0.0003,-0.10,-0.81,-3.08,0,3.954,-0.184,0.078,-0.428,-0.018,0.002,1.003,0.000,0.000,0.000,0.0070,-1,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9210,0.0000,1.1640,1.2510,2.7110,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1718,5.2627,3.5131,0.0070,0.0005,0.0176,0.0018,-0.02,-0.84,-3.07,0,3.964,-0.238,-0.132,0.392,-0.018,0.003,1.002,0.000,0.000,0.000,0.0100,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9260,0.0000,1.1630,1.2490,2.7050,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1770,5.2621,3.5132,0.0086,-0.0039,0.0140,0.0085,-0.22,-0.90,-3.06,0,3.954,-0.058,-0.150,-0.024,-0.016,0.003,1.003,0.000,0.000,0.000,0.0110,0,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9260,0.0000,1.1630,1.2490,2.7050,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1821,5.2627,3.5260,0.0100,-0.0012,0.0735,0.0135,-0.40,-0.85,-3.06,0,3.964,-0.074,-0.069,0.123,-0.019,0.002,0.998,0.000,0.000,0.000,0.0090,0,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9180,0.0000,1.1630,1.2510,2.7120,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1872,5.2640,3.5396,0.0092,0.0048,0.1274,0.0061,-0.66,-0.90,-3.05,0,3.959,-0.027,0.007,-0.161,-0.018,0.003,1.000,0.000,0.000,0.000,0.0050,0,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9180,0.0000,1.1630,1.2510,2.7120,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1923,5.2626,3.5406,0.0082,-0.0050,0.1096,0.0008,-0.56,-0.83,-3.04,0,3.964,-0.090,-0.005,-0.096,-0.018,0.003,1.000,0.000,0.000,0.000,0.0060,1,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9370,0.4760,1.1630,1.2490,2.7070,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
1974,5.2628,3.5405,0.0082,-0.0041,0.0852,0.0031,-0.32,-0.86,-3.03,0,3.954,0.243,-0.216,-0.333,-0.016,0.001,1.002,0.000,0.000,0.000,0.0050,-24,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9370,0.4760,1.1630,1.2490,2.7070,0,0.0000,0.0000,0.0000,0.0000,0.0000,0
