time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z
0,-0.0079,-0.0114,-0.0099,-0.96,0.63,-50.42,0.007,-0.061,-0.079,-0.315
0,-0.0009,-0.0024,-0.0098,-1.05,0.65,-50.37,0.007,-0.174,-0.169,-0.142
0,-0.0069,-0.0044,-0.0099,-1.00,0.67,-50.32,0.008,-0.096,-0.153,0.009
0,-0.0070,-0.0106,-0.0101,-0.97,0.63,-50.28,0.008,0.091,0.119,-0.039
0,-0.0134,-0.0203,-0.0094,-0.88,0.60,-50.23,0.008,0.062,-0.498,-0.147
0,-0.0333,-0.0324,-0.0102,-0.70,0.63,-50.18,0.008,-0.154,-0.164,-0.273
0,-0.0352,-0.0340,-0.0105,-0.68,0.64,-50.13,0.010,0.048,-0.074,-0.035
0,-0.0307,-0.0268,-0.0099,-0.75,0.66,-50.08,0.010,0.251,0.016,-0.181
0,-0.0288,-0.0265,-0.0036,-0.77,0.65,-50.04,0.010,-0.141,-0.128,-0.219
0,-0.0287,-0.0187,-0.0034,-0.81,0.69,-49.99,0.010,0.035,0.167,0.083
0,-0.0275,-0.0250,-0.0035,-0.79,0.65,-49.94,0.010,0.066,-0.201,-0.280
0,-0.0278,-0.0254,-0.0037,-0.79,0.64,-49.89,0.010,0.011,-0.190,-0.122
0,-0.0306,-0.0230,-0.0037,-0.79,0.67,-49.84,0.007,0.066,-0.016,-0.152
1,-0.0235,-0.0173,-0.0031,-0.86,0.67,-49.80,0.007,-0.166,-0.157,0.020
1,-0.0187,-0.0211,-0.0063,-0.87,0.62,-49.75,0.007,0.000,0.026,0.057
1,-0.0265,-0.0260,-0.0067,-0.80,0.63,-49.70,0.007,-0.057,-0.211,-0.032
1,-0.0262,-0.0259,-0.0066,-0.81,0.64,-49.66,0.008,0.007,0.037,-0.178
1,-0.0241,-0.0240,-0.0064,-0.83,0.64,-49.61,0.008,0.094,-0.014,0.114
1,-0.0241,-0.0179,-0.0051,-0.87,0.68,-49.56,0.008,-0.019,-0.149,-0.047
1,-0.0297,-0.0229,-0.0054,-0.80,0.67,-49.51,0.008,-0.111,0.123,-0.301
1,-0.0174,-0.0203,-0.0048,-0.90,0.63,-49.46,0.008,-0.243,-0.032,0.042
1,-0.0204,-0.0167,-0.0049,-0.90,0.67,-49.41,0.008,0.130,0.035,-0.287
1,-0.0115,-0.0182,-0.0047,-0.95,0.61,-49.37,0.007,-0.078,0.001,0.065
