time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y,acc_x,acc_y,acc_z,ref_x,ref_y,ref_z,est_x,est_y
0,0.0051,-0.0078,0.0066,-0.59,1.52,0.04,0.010,-0.291,-0.094,0.081,-0.0060,-0.0175,0.0286,-0.0082,0.9994,0.0000,0.0000,0.2200,0.0000,0.0000
9,0.0003,-0.0012,0.0070,-0.64,1.55,0.04,0.009,0.228,0.264,-0.102,-0.0045,-0.0175,0.0276,-0.0098,1.0025,0.0000,0.0000,0.2200,0.0000,0.0000
20,0.0015,-0.0044,0.0071,-0.61,1.54,0.04,0.009,-0.101,-0.230,0.184,-0.0056,-0.0180,0.0293,-0.0081,1.0073,0.0000,0.0000,0.2200,0.0000,0.0000
29,0.0097,-0.0037,0.0072,-0.62,1.48,0.04,0.009,0.274,0.261,-0.197,-0.0056,-0.0160,0.0266,-0.0115,1.0016,0.0000,0.0000,0.2200,0.0000,0.0000
40,0.0035,-0.0054,0.0029,-0.60,1.53,0.04,0.009,-0.042,-0.146,0.020,-0.0054,-0.0167,0.0364,-0.0120,0.9958,0.0000,0.0000,0.2200,0.0000,0.0000
49,0.0035,0.0056,0.0030,-0.68,1.53,0.04,0.009,-0.119,-0.670,-0.371,-0.0054,-0.0161,0.0268,-0.0189,1.0106,0.0000,0.0000,0.2200,0.0000,0.0000
60,0.0007,0.0029,0.0033,-0.65,1.53,0.04,0.010,-0.668,-0.683,-1.235,-0.0050,-0.0125,0.0157,-0.0158,1.0092,0.0000,0.0000,0.2200,0.0000,0.0000
70,-0.0008,0.0039,0.0041,-0.65,1.52,0.04,0.010,1.678,-0.533,0.349,-0.0052,-0.0167,0.0164,-0.0154,0.9915,0.0000,0.0000,0.2200,0.0000,0.0000
80,-0.0034,0.0082,0.0035,-0.67,1.53,0.04,0.010,1.363,-2.162,-0.046,-0.0052,-0.0166,0.0258,-0.0109,1.0140,0.0000,0.0000,0.2200,0.0000,0.0000
90,-0.0036,0.0286,0.0032,-0.82,1.51,0.04,0.010,-1.884,-0.396,-1.538,-0.0054,-0.0175,0.0170,-0.0249,1.0237,0.0000,0.0000,0.2200,0.0000,0.0000
100,-0.0073,0.0054,0.0052,-0.62,1.53,0.04,0.010,-0.105,-1.915,1.422,-0.0050,-0.0160,0.0262,-0.0086,0.9955,0.0000,0.0000,0.2200,0.0000,0.0000
109,-0.0099,0.0065,0.0054,-0.62,1.55,0.03,0.009,-1.490,-1.771,0.552,-0.0054,-0.0149,0.0207,-0.0053,1.0022,0.0000,0.0000,0.2200,0.0000,0.0000
120,-0.0132,0.0025,0.0049,-0.59,1.56,0.03,0.009,0.587,-1.163,-0.702,-0.0061,-0.0132,-0.0013,0.0107,1.0113,0.0000,0.0000,0.2200,0.0000,0.0000
129,-0.0129,0.0118,0.0067,-0.66,1.55,0.04,0.009,0.482,3.167,-3.471,-0.0056,-0.0132,0.0074,-0.0145,0.9806,0.0000,0.0000,0.2200,0.0000,0.0000
140,-0.0173,0.0183,0.0041,-0.71,1.58,0.05,0.009,2.777,-0.378,-0.213,-0.0053,-0.0160,0.0072,-0.0356,1.0206,0.0000,0.0000,0.2200,0.0000,0.0000
