time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,motor_m1,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,70.4961,40.2413,0.0130,5.6662,4.3813,0.0062,-1.60,-0.10,-0.48,0,0.000,0.016,0.028,-0.019,0.022,-0.001,1.002,0.000,0.000,0.000
101,70.8910,40.0569,0.0122,5.7005,4.3681,0.0012,-1.60,-0.10,-0.48,0,0.000,0.085,-0.062,0.128,0.022,0.000,1.001,0.000,0.000,0.000
202,70.9481,40.1006,0.0122,5.7029,4.3708,0.0014,-1.60,-0.10,-0.48,0,0.000,-0.204,-0.046,-0.211,0.023,0.000,1.002,0.000,0.000,0.000
304,71.0051,40.1443,0.0122,5.7055,4.3734,0.0018,-1.60,-0.10,-0.48,0,0.000,-0.049,-0.211,-0.307,0.023,0.003,1.002,0.000,0.000,0.000
405,71.0622,40.1880,0.0122,5.7081,4.3761,0.0021,-1.60,-0.10,-0.48,0,0.000,0.192,-0.175,-0.399,0.024,0.002,1.001,0.000,0.000,0.000
507,71.1193,40.2318,0.0122,5.7107,4.3789,0.0024,-1.60,-0.10,-0.48,0,0.000,-0.171,0.111,-0.029,0.025,0.000,1.001,0.000,0.000,0.000
608,71.2410,40.2455,0.0121,5.7190,4.3794,0.0024,-1.60,-0.10,-0.48,0,0.000,-0.124,-0.136,-0.028,0.023,-0.001,1.002,0.000,0.000,0.000
709,71.2982,40.2893,0.0122,5.7213,4.3822,0.0026,-1.59,-0.10,-0.48,0,0.000,-0.238,-0.084,-0.032,0.024,-0.001,1.001,0.000,0.000,0.000
810,71.3555,40.3332,0.0122,5.7237,4.3851,0.0028,-1.60,-0.13,-0.48,0,0.000,-0.216,0.413,0.140,0.025,0.000,1.001,0.000,0.000,0.000
911,71.4127,40.3770,0.0122,5.7261,4.3881,0.0031,-1.60,-0.13,-0.48,0,0.000,0.045,0.085,-0.466,0.025,0.002,1.001,0.000,0.000,0.000
1013,71.4700,40.4209,0.0122,5.7287,4.3911,0.0033,-1.60,-0.13,-0.48,0,0.000,0.008,-0.141,0.008,0.026,0.001,1.002,0.000,0.000,0.000
1114,72.0971,40.2030,0.0112,5.7839,4.3745,-0.0028,-1.60,-0.13,-0.48,0,0.000,-0.025,-0.153,-0.173,0.027,-0.001,1.002,0.000,0.000,0.000
1215,72.1550,40.2468,0.0112,5.7864,4.3772,-0.0025,-1.60,-0.13,-0.48,0,0.000,-0.165,0.059,0.081,0.024,-0.001,1.002,0.000,0.000,0.000
1316,72.2128,40.2906,0.0112,5.7890,4.3799,-0.0023,-1.60,-0.13,-0.48,0,0.000,-0.071,0.034,-0.416,0.024,0.002,0.999,0.000,0.000,0.000
1417,72.2707,40.3344,0.0111,5.7917,4.3827,-0.0021,-1.59,-0.09,-0.48,0,0.000,-0.421,-0.009,0.072,0.025,0.001,1.000,0.000,0.000,0.000
1518,72.3287,40.3782,0.0111,5.7944,4.3857,-0.0019,-1.59,-0.09,-0.48,0,0.000,-0.108,0.037,0.068,0.024,0.001,1.002,0.000,0.000,0.000
1620,71.5609,40.6195,0.0120,5.7219,4.4045,0.0035,-1.59,-0.10,-0.48,0,0.000,-0.139,-0.002,-0.293,0.025,0.001,1.003,0.000,0.000,0.000
1721,71.6182,40.6636,0.0120,5.7247,4.4071,0.0037,-1.59,-0.09,-0.49,0,0.000,-0.018,0.049,-0.075,0.023,0.000,1.002,0.000,0.000,0.000
1822,71.6754,40.7077,0.0120,5.7272,4.4099,0.0040,-1.59,-0.08,-0.49,0,0.000,0.108,-0.119,-0.218,0.022,0.001,1.004,0.000,0.000,0.000
1923,71.7327,40.7518,0.0121,5.7297,4.4128,0.0040,-1.59,-0.08,-0.49,0,0.000,-0.106,0.066,0.010,0.024,-0.002,1.002,0.000,0.000,0.000
2025,71.7900,40.7959,0.0121,5.7323,4.4157,0.0041,-1.58,-0.08,-0.49,0,0.000,-0.266,0.196,0.072,0.026,0.000,1.002,0.000,0.000,0.000
2126,71.6464,40.9345,0.0125,5.7162,4.4256,0.0065,-1.59,-0.08,-0.49,0,0.000,-0.194,0.169,0.029,0.024,0.001,1.002,0.000,0.000,0.000
2229,71.7036,40.9788,0.0126,5.7187,4.4284,0.0069,-1.59,-0.08,-0.49,0,0.000,-0.243,-0.111,-0.106,0.024,0.002,1.001,0.000,0.000,0.000
2330,71.7608,41.0231,0.0127,5.7210,4.4312,0.0072,-1.59,-0.08,-0.49,0,0.000,-0.202,-0.263,-0.032,0.024,-0.001,1.002,0.000,0.000,0.000
2431,71.8180,41.0674,0.0128,5.7233,4.4341,0.0076,-1.60,-0.10,-0.49,0,0.000,-0.125,0.037,-0.301,0.024,-0.000,1.001,0.000,0.000,0.000
2532,71.8752,41.1118,0.0128,5.7259,4.4367,0.0079,-1.60,-0.10,-0.49,0,0.000,-0.244,0.121,-0.034,0.024,-0.001,0.999,0.000,0.000,0.000
2634,72.0473,40.7793,0.0116,5.7413,4.4134,0.0006,-1.60,-0.10,-0.49,0,0.000,-0.146,-0.105,-0.141,0.024,0.001,1.001,0.000,0.000,0.000
