time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy
0,-1.0669,-1.4165,0.0093,0.0018,-0.0048,0.0105,-2.43,0.46,-11.01,0,4.086,-0.134,0.032,0.108,0.007,-0.042,0.000,0.000,0.000,0.000,0.0060,4,3
50,-1.0672,-1.4158,0.0082,0.0007,-0.0018,0.0035,-2.39,0.46,-10.96,0,4.080,-0.216,-0.119,0.123,0.008,-0.046,0.000,0.000,0.000,0.000,0.0070,1,-2
102,-1.0674,-1.4158,0.0078,-0.0002,-0.0020,0.0012,-2.42,0.42,-10.91,0,4.086,0.188,0.170,-0.144,0.010,-0.044,0.000,0.000,0.000,0.000,0.0060,-2,-3
153,-1.0680,-1.4164,0.0071,-0.0039,-0.0058,-0.0009,-2.42,0.43,-10.86,0,4.080,-0.031,0.021,0.114,0.010,-0.045,0.000,0.000,0.000,0.000,0.0080,-2,4
204,-1.0671,-1.4163,0.0075,0.0011,-0.0051,0.0029,-2.43,0.46,-10.80,0,4.086,-0.092,-0.021,-0.122,0.010,-0.046,0.000,0.000,0.000,0.000,0.0090,3,0
255,-1.0672,-1.4158,0.0084,0.0010,-0.0030,0.0074,-2.39,0.42,-10.76,0,4.086,0.201,-0.009,-0.164,0.007,-0.045,0.000,0.000,0.000,0.000,0.0060,1,0
306,-1.0679,-1.4161,0.0076,-0.0027,-0.0047,0.0027,-2.40,0.45,-10.70,0,4.086,-0.196,-0.090,0.328,0.009,-0.044,0.000,0.000,0.000,0.000,0.0070,-1,4
357,-1.0672,-1.4159,0.0074,0.0012,-0.0030,0.0025,-2.39,0.42,-10.64,0,4.080,0.240,-0.079,-0.252,0.009,-0.043,0.000,0.000,0.000,0.000,0.0090,2,-2
408,-1.0676,-1.4157,0.0084,-0.0014,-0.0015,0.0076,-2.41,0.42,-10.59,0,4.086,-0.027,-0.158,-0.160,0.008,-0.044,0.000,0.000,0.000,0.000,0.0090,2,-5
459,-1.0678,-1.4159,0.0090,-0.0028,-0.0018,0.0104,-2.40,0.41,-10.53,0,4.080,-0.107,-0.005,0.258,0.008,-0.047,0.000,0.000,0.000,0.000,0.0090,0,-1
510,-1.0672,-1.4158,0.0094,0.0013,-0.0022,0.0111,-2.43,0.41,-10.48,0,4.086,0.049,-0.271,-0.012,0.007,-0.045,0.000,0.000,0.000,0.000,0.0090,0,0
561,-1.0673,-1.4164,0.0097,0.0008,-0.0052,0.0113,-2.39,0.42,-10.43,0,4.080,0.138,0.014,-0.112,0.005,-0.045,0.000,0.000,0.000,0.000,0.0070,3,-1
612,-1.0674,-1.4158,0.0089,-0.0001,-0.0021,0.0055,-2.39,0.43,-10.38,0,4.086,0.163,-0.013,-0.147,0.009,-0.046,0.000,0.000,0.000,0.000,0.0090,4,-3
663,-1.0678,-1.4157,0.0092,-0.0020,-0.0019,0.0065,-2.38,0.43,-10.32,0,4.080,0.218,0.104,-0.032,0.009,-0.045,0.000,0.000,0.000,0.000,0.0030,-3,6
714,-1.0673,-1.4167,0.0065,0.0013,-0.0076,-0.0065,-2.41,0.44,-10.27,0,4.086,0.328,0.035,-0.380,0.008,-0.046,0.000,0.000,0.000,0.000,0.0080,1,2
764,-1.0671,-1.4166,0.0070,0.0018,-0.0064,-0.0013,-2.39,0.45,-10.22,0,4.080,-0.177,-0.062,0.134,0.008,-0.043,0.000,0.000,0.000,0.000,0.0050,-3,5
816,-1.0669,-1.4167,0.0060,0.0023,-0.0065,-0.0044,-2.43,0.47,-10.17,0,4.086,-0.117,0.144,0.083,0.010,-0.045,0.000,0.000,0.000,0.000,0.0090,0,0
867,-1.0679,-1.4163,0.0073,-0.0033,-0.0048,0.0038,-2.40,0.47,-10.12,0,4.086,-0.007,0.268,-0.140,0.006,-0.046,0.000,0.000,0.000,0.000,0.0060,-5,3
