time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z
0,2.0231,0.2366,-0.0049,-0.89,-0.16,-1.22,0.014,-0.102,0.199,-0.012
0,2.0248,0.2375,-0.0048,-0.89,-0.16,-1.21,0.017,0.021,-0.046,0.003
0,2.0269,0.2386,-0.0046,-0.89,-0.16,-1.21,0.017,-0.183,-0.188,-0.074
0,1.8462,0.2994,0.0026,-0.91,-0.07,-1.21,0.017,-0.157,0.150,-0.176
0,1.8476,0.3005,0.0027,-0.91,-0.07,-1.21,0.017,-0.075,-0.081,0.065
0,1.8492,0.3014,0.0028,-0.91,-0.07,-1.21,0.017,0.096,0.134,-0.374
0,1.8511,0.3026,0.0028,-0.91,-0.07,-1.21,0.016,-0.114,-0.237,-0.119
0,1.8527,0.3039,0.0028,-0.91,-0.07,-1.21,0.016,-0.284,-0.068,-0.048
0,1.8390,0.3107,0.0042,-0.91,-0.06,-1.21,0.016,-0.012,0.075,0.122
0,1.8407,0.3118,0.0044,-0.91,-0.06,-1.21,0.016,-0.117,-0.205,-0.149
0,1.8424,0.3130,0.0046,-0.92,-0.06,-1.21,0.016,0.042,0.172,0.021
0,1.8440,0.3143,0.0049,-0.92,-0.06,-1.21,0.014,-0.157,0.078,-0.084
0,1.8456,0.3155,0.0051,-0.92,-0.06,-1.21,0.014,0.227,-0.171,-0.183
1,1.8445,0.3120,0.0007,-0.92,-0.06,-1.20,0.014,-0.356,-0.089,0.292
1,1.8459,0.3128,0.0008,-0.91,-0.06,-1.21,0.014,-0.068,0.207,-0.001
1,1.8475,0.3136,0.0012,-0.92,-0.06,-1.20,0.014,-0.360,-0.292,0.130
1,1.8475,0.3136,0.0012,-0.92,-0.06,-1.20,0.016,-0.002,0.025,0.028
1,1.8505,0.3157,0.0017,-0.92,-0.06,-1.20,0.016,0.010,-0.118,-0.083
1,1.8614,0.3152,0.0036,-0.92,-0.06,-1.20,0.016,-0.057,0.364,-0.013
1,1.8627,0.3163,0.0038,-0.92,-0.06,-1.20,0.016,0.012,-0.204,0.032
1,1.8642,0.3174,0.0039,-0.92,-0.06,-1.20,0.016,0.101,-0.035,-0.245
1,1.8658,0.3185,0.0041,-0.92,-0.06,-1.20,0.017,0.216,-0.129,-0.354
1,1.8675,0.3197,0.0044,-0.92,-0.06,-1.20,0.017,-0.311,-0.006,0.311
1,1.8693,0.3208,0.0045,-0.92,-0.06,-1.19,0.017,-0.139,0.017,0.145
1,1.8973,0.3188,0.0076,-0.91,-0.07,-1.20,0.017,-0.146,-0.024,0.175
1,1.8990,0.3199,0.0077,-0.91,-0.07,-1.19,0.017,-0.235,0.003,0.020
1,1.9007,0.3210,0.0079,-0.91,-0.07,-1.19,0.017,-0.305,0.144,0.143
1,1.9023,0.3219,0.0081,-0.91,-0.07,-1.19,0.017,0.207,0.119,-0.183
1,1.9103,0.3222,0.0093,-0.91,-0.07,-1.19,0.017,0.128,0.154,-0.175
2,1.9118,0.3233,0.0096,-0.91,-0.07,-1.19,0.017,-0.148,-0.260,-0.064
