time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z
0,0.0061,-0.0245,-0.0029,-0.05,-0.34,3.51,0.008,0.024,-0.052,-0.022
0,-0.0010,-0.0127,-0.0022,-0.15,-0.29,3.50,0.010,0.212,-0.125,-0.281
0,0.0020,-0.0021,0.0007,-0.22,-0.31,3.50,0.010,0.106,-0.136,-0.190
0,-0.0002,-0.0057,0.0007,-0.20,-0.30,3.50,0.010,-0.085,0.002,-0.091
0,0.0019,-0.0052,0.0010,-0.20,-0.31,3.50,0.010,-0.046,0.366,0.178
0,0.0010,0.0057,0.0010,-0.28,-0.31,3.49,0.007,-0.172,0.128,0.117
0,-0.0004,0.0091,0.0010,-0.31,-0.30,3.49,0.007,-0.046,-0.146,0.001
0,0.0005,-0.0048,-0.0039,-0.19,-0.30,3.48,0.007,-0.261,-0.124,0.353
0,0.0001,-0.0171,-0.0040,-0.09,-0.29,3.48,0.007,-0.026,-0.099,0.006
0,-0.0051,-0.0233,-0.0041,-0.05,-0.24,3.48,0.007,-0.441,0.031,0.201
0,0.0008,-0.0217,-0.0038,-0.06,-0.29,3.48,0.007,-0.198,0.039,-0.177
0,-0.0154,-0.0167,-0.0035,-0.11,-0.17,3.47,0.010,0.053,0.222,0.183
1,-0.0123,-0.0200,-0.0034,-0.08,-0.19,3.47,0.010,-0.378,0.107,0.369
1,-0.0066,-0.0482,-0.0001,0.14,-0.22,3.47,0.010,-0.105,0.140,0.273
1,0.0004,-0.0819,-0.0030,0.41,-0.27,3.47,0.010,0.033,0.184,-0.027
1,0.0011,-0.0884,-0.0039,0.46,-0.27,3.46,0.007,0.031,0.001,0.189
1,0.0040,-0.0801,-0.0022,0.38,-0.30,3.46,0.007,-0.069,0.076,0.120
1,0.0014,-0.0756,-0.0049,0.34,-0.28,3.46,0.007,0.038,-0.189,0.052
1,0.0035,-0.0733,-0.0043,0.31,-0.30,3.46,0.007,-0.028,0.127,-0.095
1,0.0008,-0.0669,-0.0034,0.25,-0.28,3.45,0.007,-0.347,-0.041,-0.135
1,-0.0022,-0.0719,-0.0038,0.29,-0.26,3.45,0.007,-0.111,0.001,-0.135
1,-0.0023,-0.0655,-0.0029,0.23,-0.26,3.45,0.008,0.112,0.042,0.229
1,0.0003,-0.0846,-0.0050,0.38,-0.27,3.44,0.008,0.036,0.043,-0.295
1,0.0072,-0.1394,-0.0107,0.82,-0.30,3.44,0.008,-0.154,0.109,0.145
1,0.0023,-0.1150,-0.0047,0.60,-0.27,3.44,0.008,-0.054,0.088,-0.010
1,0.0039,-0.1375,-0.0091,0.78,-0.27,3.44,0.009,0.160,-0.137,-0.233
1,0.0042,-0.1372,-0.0088,0.76,-0.27,3.43,0.009,-0.255,0.017,-0.008
2,0.0026,-0.1283,-0.0027,0.67,-0.27,3.43,0.009,0.085,-0.157,0.160
2,0.0057,-0.1224,-0.0015,0.62,-0.30,3.42,0.009,-0.246,-0.071,-0.174
2,0.0034,-0.1206,-0.0008,0.59,-0.28,3.42,0.009,-0.057,0.001,0.080
2,0.0033,-0.1218,-0.0007,0.59,-0.28,3.42,0.009,-0.104,-0.217,-0.144
2,0.0028,-0.1129,0.0015,0.50,-0.28,3.42,0.010,-0.018,-0.161,0.020
2,0.0038,-0.1248,-0.0005,0.59,-0.28,3.41,0.010,-0.249,-0.367,-0.006
2,0.0027,-0.1437,0.0007,0.73,-0.26,3.41,0.010,0.232,0.030,-0.104
2,0.0023,-0.1143,0.0072,0.47,-0.27,3.40,0.010,-0.032,-0.126,-0.111
2,0.0032,-0.1066,0.0087,0.40,-0.28,3.40,0.008,0.091,0.254,-0.083
2,0.0028,-0.0982,0.0100,0.32,-0.28,3.40,0.008,-0.128,0.046,0.339
2,0.0064,-0.0987,0.0054,0.33,-0.31,3.39,0.008,0.129,-0.111,-0.262
2,0.0051,-0.0974,0.0057,0.31,-0.30,3.39,0.008,-0.127,0.023,0.157
2,0.0009,-0.0870,0.0073,0.22,-0.27,3.39,0.008,-0.242,-0.063,0.063
2,0.0007,-0.0792,0.0084,0.15,-0.27,3.38,0.008,-0.152,0.013,0.168
3,0.0010,-0.0798,0.0084,0.15,-0.27,3.38,0.007,0.154,-0.116,-0.166
3,0.0073,-0.0865,0.0011,0.21,-0.32,3.37,0.007,0.072,-0.204,0.279
3,0.0125,-0.0992,-0.0002,0.30,-0.36,3.37,0.007,-0.116,0.164,0.198
3,0.0075,-0.1003,-0.0000,0.30,-0.32,3.37,0.007,-0.085,-0.029,0.002
3,0.0078,-0.1080,-0.0011,0.36,-0.31,3.36,0.010,0.144,-0.061,-0.357
3,0.0074,-0.1019,0.0004,0.30,-0.31,3.36,0.010,-0.067,0.094,0.328
3,0.0074,-0.1031,0.0035,0.30,-0.31,3.36,0.010,-0.176,-0.003,0.015
3,0.0117,-0.0991,0.0041,0.26,-0.35,3.35,0.010,0.127,0.041,-0.018
3,0.0072,-0.0853,0.0066,0.15,-0.32,3.35,0.010,-0.048,0.051,-0.075
3,0.0047,-0.0824,0.0072,0.12,-0.30,3.34,0.010,-0.204,-0.203,0.189
3,0.0022,-0.0799,0.0076,0.09,-0.28,3.34,0.013,-0.087,-0.143,0.092
3,0.0055,-0.0758,0.0083,0.05,-0.31,3.34,0.013,0.070,0.123,-0.254
3,0.0028,-0.0683,0.0159,-0.02,-0.29,3.34,0.013,0.192,0.098,-0.049
3,0.0028,-0.0683,0.0157,-0.02,-0.29,3.33,0.013,-0.113,0.062,0.012
3,0.0024,-0.0637,0.0162,-0.06,-0.29,3.33,0.011,0.072,0.116,-0.008
3,0.0046,-0.0635,0.0164,-0.06,-0.31,3.33,0.011,-0.436,0.005,0.044
3,0.0035,-0.0646,0.0137,-0.05,-0.30,3.32,0.011,0.185,0.161,-0.156
3,0.0028,-0.0514,0.0146,-0.16,-0.30,3.32,0.011,0.107,0.145,0.041
3,0.0042,-0.0531,0.0144,-0.15,-0.31,3.32,0.011,-0.162,-0.230,-0.415
3,0.0052,-0.0513,0.0145,-0.16,-0.31,3.31,0.011,-0.187,0.067,-0.057
3,0.0026,-0.0474,0.0148,-0.19,-0.30,3.31,0.008,0.013,0.128,-0.113
3,-0.0000,-0.0225,0.0165,-0.40,-0.29,3.30,0.008,-0.321,0.006,0.125
3,-0.0060,-0.0153,0.0062,-0.45,-0.24,3.30,0.008,-0.065,0.256,-0.129
3,-0.0004,-0.0126,0.0065,-0.47,-0.29,3.30,0.008,0.048,-0.048,0.010
4,-0.0003,-0.0336,0.0067,-0.29,-0.28,3.30,0.008,0.046,0.043,-0.068
4,0.0020,-0.0359,0.0065,-0.27,-0.30,3.29,0.008,0.037,0.178,-0.128
4,0.0030,-0.0334,-0.0004,-0.29,-0.31,3.29,0.008,-0.191,-0.099,0.244
4,-0.0029,-0.0295,-0.0001,-0.32,-0.27,3.29,0.008,0.026,0.014,0.111
4,0.0003,-0.0255,0.0002,-0.35,-0.29,3.28,0.008,-0.172,-0.341,-0.257
4,0.0002,-0.0254,0.0004,-0.35,-0.29,3.28,0.008,0.049,0.154,-0.260
4,0.0006,-0.0283,0.0002,-0.32,-0.29,3.28,0.010,0.133,0.068,-0.032
4,0.0050,-0.0205,0.0005,-0.38,-0.33,3.28,0.010,-0.030,0.022,0.097
4,0.0053,-0.0272,0.0006,-0.33,-0.33,3.27,0.010,-0.007,0.080,0.014
4,0.0001,-0.0187,0.0008,-0.40,-0.29,3.27,0.010,-0.338,-0.021,0.093
4,0.0024,-0.0184,0.0009,-0.39,-0.31,3.26,0.009,-0.225,0.083,0.073
4,-0.0011,-0.0173,0.0010,-0.40,-0.28,3.26,0.009,-0.296,-0.170,0.145
4,0.0023,-0.0160,-0.0012,-0.41,-0.31,3.26,0.009,-0.117,0.055,0.120
4,0.0032,-0.0147,-0.0010,-0.42,-0.32,3.25,0.009,-0.097,0.199,0.198
4,-0.0016,-0.0125,-0.0009,-0.44,-0.28,3.25,0.009,-0.140,0.142,0.116
4,-0.0018,-0.0076,-0.0008,-0.47,-0.28,3.25,0.009,0.215,0.225,-0.179
4,-0.0001,-0.0148,-0.0007,-0.41,-0.29,3.25,0.007,-0.068,-0.042,0.009
4,-0.0073,-0.0142,-0.0008,-0.42,-0.23,3.24,0.007,0.035,0.255,0.058
4,-0.0028,0.0158,-0.0060,-0.64,-0.28,3.24,0.007,-0.260,0.178,0.210
4,-0.0072,0.0344,-0.0067,-0.78,-0.25,3.24,0.007,-0.039,-0.230,0.222
4,-0.0069,0.0355,-0.0067,-0.78,-0.26,3.23,0.009,-0.171,-0.127,0.352
4,-0.0054,0.0359,-0.0067,-0.78,-0.27,3.23,0.009,-0.118,-0.166,0.135
4,-0.0039,0.0338,-0.0044,-0.75,-0.28,3.23,0.009,0.064,0.003,-0.293
4,-0.0052,0.0339,-0.0044,-0.74,-0.27,3.23,0.009,0.065,-0.116,-0.026
4,-0.0025,0.0305,-0.0042,-0.71,-0.29,3.23,0.009,0.250,-0.213,-0.180
4,-0.0040,0.0366,-0.0045,-0.75,-0.28,3.22,0.009,-0.009,0.005,-0.020
4,-0.0049,0.0317,-0.0040,-0.71,-0.27,3.22,0.010,-0.207,-0.082,0.215
4,-0.0062,0.0343,-0.0043,-0.72,-0.26,3.21,0.010,0.023,-0.291,-0.077
4,0.0012,-0.0082,0.0014,-0.36,-0.30,3.22,0.010,-0.192,0.066,0.107
4,0.0102,-0.0428,0.0001,-0.08,-0.35,3.22,0.010,-0.185,-0.126,0.106
4,0.0099,-0.0428,0.0001,-0.08,-0.35,3.22,0.007,-0.022,-0.142,-0.045
4,0.0080,-0.0349,0.0011,-0.15,-0.34,3.21,0.007,-0.210,-0.264,0.066
4,0.0134,-0.0348,-0.0045,-0.15,-0.38,3.21,0.007,-0.172,-0.212,0.015
