time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd,multi_front,multi_back,multi_left,multi_right,multi_up,ai_feat_count,vo_x,vo_y,vo_sigma,pg_x,pg_y,lc_count,canfly,is_tumbled,ctrltarget_z,motor_m1req,ctrltarget_x,ctrltarget_y,motor_m2req,motor_m3req,motor_m4req
0,-0.0034,0.0081,0.0064,0.0005,-0.0014,-0.0064,-0.21,-0.61,0.10,0,4.091,-0.295,-0.191,0.081,-0.013,-0.003,0.999,0.000,0.000,0.000,0.0060,-7,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1050,1.2790,1.1690,2.6960,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.3000,0,-0.0000,0.0004,0,0,0
150,-0.0023,0.0081,0.0061,0.0067,-0.0018,-0.0056,-0.21,-0.68,0.09,0,4.096,0.096,0.077,-0.160,-0.010,-0.003,1.001,0.000,0.000,0.000,0.0080,-3,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1060,1.2790,1.1690,2.6920,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.3000,0,-0.0000,0.0004,0,0,0
301,-0.0044,0.0081,0.0067,-0.0049,-0.0018,-0.0011,-0.18,-0.59,0.09,0,4.096,-0.141,0.211,0.151,-0.013,-0.003,1.000,0.000,0.000,0.000,0.0080,-7,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1060,1.2830,1.1700,2.6920,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.3000,0,-0.0000,0.0004,0,0,0
453,-0.0037,0.0086,0.0067,-0.0005,0.0011,-0.0014,-0.24,-0.65,0.09,0,4.096,0.034,-0.322,0.124,-0.015,-0.002,1.000,0.000,0.000,0.000,0.0080,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1060,1.2830,1.1700,2.6970,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.3000,0,-0.0000,0.0004,0,0,0
604,-0.0042,0.0081,0.0076,-0.0038,-0.0021,0.0032,-0.14,-0.60,0.09,0,4.091,-0.272,0.197,-0.013,-0.013,-0.004,1.001,0.000,0.000,0.000,0.0050,-2,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1060,1.2830,1.1690,2.6970,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.3000,0,-0.0000,0.0004,0,0,0
755,-0.0037,0.0089,0.0078,-0.0010,0.0026,0.0038,-0.20,-0.61,0.10,0,4.096,0.053,-0.008,-0.105,-0.012,0.001,1.000,0.000,0.000,0.000,0.0050,1,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1050,1.2830,1.1690,2.7020,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.3000,0,-0.0000,0.0004,0,0,0
907,-0.0046,0.0083,0.0065,-0.0057,-0.0004,-0.0030,-0.14,-0.61,0.10,0,4.091,0.084,0.031,-0.061,-0.013,-0.002,0.998,0.000,0.000,0.000,0.0060,-3,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1050,1.2790,1.1650,2.7020,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.3000,0,-0.0000,0.0004,0,0,0
959,-0.0043,0.0080,0.0056,-0.0035,-0.0014,-0.0058,-0.17,-0.63,0.10,0,4.096,0.153,-0.040,0.137,-0.013,-0.002,0.999,0.000,0.000,0.000,0.0090,-3,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1020,1.2790,1.1650,2.7030,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.3000,0,-0.0000,0.0004,0,0,0
1010,-0.0045,0.0080,0.0069,-0.0049,-0.0009,0.0018,-0.17,-0.63,0.10,0,4.096,0.065,-0.255,0.431,-0.012,-0.001,1.002,0.000,0.000,0.000,0.0070,2,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1020,1.2770,1.1690,2.7030,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.3000,0,-0.0000,0.0004,0,0,0
1061,-0.0042,0.0086,0.0070,-0.0028,0.0024,0.0021,-0.14,-0.65,0.10,0,4.091,0.039,-0.125,-0.101,-0.012,-0.003,1.002,0.000,0.000,0.000,0.0060,-3,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.0000,0.1050,1.2770,1.1690,2.7030,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0.3000,0,-0.0000,0.0004,0,0,0
