time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z
0,0.4069,-0.8303,0.0097,-0.0228,-0.0322,0.0019,-1.25,0.47,-49.34,0,4.154,-0.147,0.164,0.102,0.010,-0.027,0.000,0.000,0.000,0.000,0.0100,0,1,0.00,0.00,0.00,0.0000,0.0000,0.0000
101,0.4066,-0.8311,0.0100,-0.0197,-0.0296,0.0028,-1.34,0.50,-49.10,0,4.144,-0.186,0.116,-0.164,0.012,-0.026,0.000,0.000,0.000,0.000,0.0050,0,1,0.00,0.00,0.00,0.0000,0.0000,0.0000
202,0.4026,-0.8290,0.0092,-0.0337,-0.0136,-0.0014,-1.35,0.66,-48.85,0,4.154,-0.146,-0.057,0.248,0.012,-0.026,0.000,0.000,0.000,0.000,0.0050,0,11,0.00,0.00,0.00,0.0000,0.0000,0.0000
303,0.4023,-0.8305,0.0071,-0.0284,-0.0179,-0.0092,-1.37,0.69,-48.61,0,4.144,0.046,-0.091,0.130,0.011,-0.026,0.000,0.000,0.000,0.000,0.0100,4,-7,0.00,0.00,0.00,0.0000,0.0000,0.0000
404,0.4024,-0.8293,0.0064,-0.0221,-0.0084,-0.0100,-1.42,0.55,-48.38,0,4.154,-0.152,0.144,-0.056,0.013,-0.027,0.000,0.000,0.000,0.000,0.0100,8,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000
505,0.4002,-0.8275,0.0078,-0.0280,0.0029,-0.0010,-1.40,0.66,-48.15,0,4.144,-0.046,0.059,0.058,0.008,-0.024,0.000,0.000,0.000,0.000,0.0100,4,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000
606,0.4004,-0.8267,0.0094,-0.0199,0.0072,0.0071,-1.50,0.65,-47.91,0,4.154,-0.193,0.087,-0.097,0.008,-0.026,0.000,0.000,0.000,0.000,0.0100,2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
707,0.4006,-0.8270,0.0101,-0.0145,0.0043,0.0090,-1.53,0.62,-47.67,0,4.144,0.007,0.028,-0.032,0.010,-0.023,0.000,0.000,0.000,0.000,0.0080,0,2,0.00,0.00,0.00,0.0000,0.0000,0.0000
808,0.4001,-0.8274,0.0111,-0.0134,0.0017,0.0126,-1.53,0.61,-47.44,0,4.154,0.009,-0.150,0.029,0.010,-0.024,0.000,0.000,0.000,0.000,0.0080,1,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000
909,0.3998,-0.8269,0.0102,-0.0108,0.0038,0.0057,-1.63,0.50,-47.20,0,4.144,0.094,-0.274,0.037,0.010,-0.026,0.000,0.000,0.000,0.000,0.0090,5,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
1010,0.4042,-0.8240,0.0098,0.0139,0.0189,0.0032,-1.70,0.54,-46.98,0,4.154,-0.080,0.016,-0.043,0.012,-0.026,0.000,0.000,0.000,0.000,0.0090,1,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000
