time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y,acc_x,acc_y,acc_z,ref_x,ref_y,ref_z,est_x,est_y
0,0.0064,-0.0322,0.0078,-0.07,0.01,-0.03,0.009,-0.080,0.126,-0.015,0.0065,0.0082,0.0043,-0.0090,1.0049,0.0000,0.0000,0.3000,0.0000,0.0000
9,-0.0005,-0.0653,0.0062,0.19,0.07,-0.03,0.009,-0.113,-0.040,-0.103,0.0067,0.0098,0.0008,-0.0134,1.0048,0.0000,0.0000,0.3000,0.0000,0.0000
19,-0.0005,-0.0541,0.0082,0.09,0.07,-0.03,0.009,-0.082,-0.192,-0.156,0.0061,0.0081,-0.0012,-0.0128,1.0085,0.0000,0.0000,0.3000,0.0000,0.0000
29,0.0008,-0.0443,0.0098,-0.00,0.07,-0.03,0.009,0.106,0.619,0.033,0.0072,0.0081,-0.0012,-0.0092,1.0042,0.0000,0.0000,0.3000,0.0000,0.0000
39,-0.0025,-0.0516,0.0097,0.05,0.09,-0.03,0.009,-0.019,-0.746,0.327,0.0063,0.0081,0.0061,-0.0124,1.0013,0.0000,0.0000,0.3000,0.0000,0.0000
50,0.0035,-0.0497,0.0046,0.02,0.05,-0.03,0.009,-0.763,-1.182,-0.683,0.0061,0.0066,-0.0052,-0.0138,1.0047,0.0000,0.0000,0.3000,0.0000,0.0000
59,-0.0010,-0.0481,0.0053,0.00,0.09,-0.03,0.009,-0.949,0.460,1.167,0.0063,0.0100,-0.0026,-0.0220,1.0070,0.0000,0.0000,0.3000,0.0000,0.0000
70,-0.0024,-0.0545,0.0056,0.04,0.09,-0.03,0.011,-1.859,1.369,1.186,0.0062,0.0096,0.0023,-0.0183,0.9941,0.0000,0.0000,0.3000,0.0000,0.0000
79,-0.0014,-0.0348,0.0082,-0.12,0.08,-0.03,0.011,-1.112,-0.623,-0.820,0.0063,0.0069,-0.0015,-0.0092,1.0076,0.0000,0.0000,0.3000,0.0000,0.0000
89,-0.0015,-0.0346,0.0086,-0.13,0.09,-0.03,0.011,-0.757,0.268,-0.995,0.0060,0.0068,-0.0017,-0.0013,0.9964,0.0000,0.0000,0.3000,0.0000,0.0000
