time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,range_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,0.8723,0.1978,0.0118,0.0000,0.0072,-0.0069,-1.47,0.04,-37.80,0,0.013,-0.017,0.014,0.066,0.005,-0.028,0.999,0.000,0.000,0.000
0,0.8717,0.1960,0.0118,-0.0031,-0.0026,-0.0069,-1.50,0.03,-37.76,0,0.013,-0.288,-0.062,-0.469,0.001,-0.027,0.999,0.000,0.000,0.000
0,0.8724,0.1955,0.0117,0.0007,-0.0054,-0.0069,-1.50,0.07,-37.73,0,0.013,-0.017,-0.223,-0.050,-0.000,-0.026,1.000,0.000,0.000,0.000
0,0.8730,0.1959,0.0116,0.0039,-0.0034,-0.0068,-1.49,0.06,-37.69,0,0.013,-0.034,0.185,-0.299,0.003,-0.025,0.999,0.000,0.000,0.000
0,0.8723,0.1964,0.0122,0.0004,-0.0006,-0.0036,-1.53,0.10,-37.65,0,0.013,-0.208,-0.176,0.158,0.002,-0.028,1.000,0.000,0.000,0.000
0,0.8723,0.1961,0.0121,0.0008,-0.0025,-0.0035,-1.47,0.04,-37.62,0,0.013,-0.070,0.024,0.126,0.001,-0.027,1.001,0.000,0.000,0.000
0,0.8722,0.1976,0.0121,-0.0002,0.0054,-0.0036,-1.49,0.07,-37.58,0,0.013,-0.002,-0.053,-0.212,0.001,-0.027,1.001,0.000,0.000,0.000
0,0.8724,0.1955,0.0121,0.0011,-0.0059,-0.0034,-1.54,0.11,-37.55,0,0.013,-0.171,-0.108,0.003,0.002,-0.028,0.999,0.000,0.000,0.000
1,0.8722,0.1962,0.0121,-0.0003,-0.0018,-0.0033,-1.52,0.11,-37.51,0,0.013,-0.060,0.300,-0.071,0.004,-0.030,0.999,0.000,0.000,0.000
1,0.8723,0.1977,0.0120,0.0004,0.0063,-0.0033,-1.50,0.05,-37.47,0,0.013,-0.122,-0.013,0.013,0.004,-0.029,0.998,0.000,0.000,0.000
1,0.8720,0.1974,0.0124,-0.0010,0.0042,-0.0011,-1.48,0.07,-37.44,0,0.012,0.213,0.241,-0.414,0.003,-0.028,0.999,0.000,0.000,0.000
1,0.8728,0.1963,0.0124,0.0029,-0.0020,-0.0009,-1.47,0.04,-37.40,0,0.012,-0.315,-0.009,-0.387,0.003,-0.027,1.000,0.000,0.000,0.000
1,0.8722,0.1963,0.0124,-0.0004,-0.0024,-0.0007,-1.49,0.06,-37.37,0,0.012,-0.095,-0.255,-0.025,0.004,-0.025,1.000,0.000,0.000,0.000
1,0.8726,0.1957,0.0124,0.0016,-0.0056,-0.0008,-1.46,0.03,-37.33,0,0.012,-0.027,0.268,-0.219,0.001,-0.028,1.001,0.000,0.000,0.000
1,0.8723,0.1964,0.0122,0.0003,-0.0019,-0.0017,-1.48,0.03,-37.30,0,0.012,0.078,0.076,-0.143,0.001,-0.028,0.999,0.000,0.000,0.000
1,0.8725,0.1952,0.0122,0.0011,-0.0085,-0.0018,-1.46,0.05,-37.26,0,0.015,0.173,0.203,-0.219,0.002,-0.028,1.001,0.000,0.000,0.000
1,0.8727,0.1956,0.0122,0.0025,-0.0066,-0.0018,-1.48,0.04,-37.23,0,0.015,-0.014,-0.011,-0.187,0.004,-0.029,1.000,0.000,0.000,0.000
2,0.8722,0.1955,0.0122,-0.0006,-0.0068,-0.0017,-1.51,0.11,-37.19,0,0.015,0.111,-0.154,-0.440,0.001,-0.026,0.999,0.000,0.000,0.000
2,0.8726,0.1957,0.0122,0.0018,-0.0055,-0.0016,-1.53,0.10,-37.16,0,0.015,0.009,0.068,0.003,0.002,-0.025,0.999,0.000,0.000,0.000
2,0.8719,0.1972,0.0122,-0.0021,0.0033,-0.0016,-1.48,0.04,-37.12,0,0.015,-0.040,-0.015,-0.491,0.001,-0.028,1.000,0.000,0.000,0.000
2,0.8722,0.1976,0.0134,-0.0006,0.0050,0.0048,-1.51,0.10,-37.09,0,0.016,0.073,0.076,-0.123,0.000,-0.029,1.000,0.000,0.000,0.000
2,0.8727,0.1959,0.0135,0.0025,-0.0053,0.0050,-1.51,0.10,-37.05,0,0.016,-0.031,0.079,-0.096,0.002,-0.027,1.000,0.000,0.000,0.000
2,0.8719,0.1972,0.0135,-0.0021,0.0026,0.0051,-1.48,0.03,-37.02,0,0.016,-0.011,0.189,-0.342,-0.001,-0.026,1.000,0.000,0.000,0.000
2,0.8719,0.1973,0.0136,-0.0020,0.0026,0.0051,-1.52,0.03,-36.99,0,0.016,0.116,0.071,-0.065,0.001,-0.027,0.999,0.000,0.000,0.000
