time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,-0.8336,0.3022,0.0101,0.0002,0.0071,0.0039,-0.20,0.84,-0.39,0,4.112,-0.080,0.076,-0.276,0.018,-0.000,1.001,0.000,0.000,0.000
101,-0.8341,0.3019,0.0102,-0.0023,0.0055,0.0043,-0.20,0.84,-0.39,0,4.112,0.059,-0.112,-0.445,0.017,-0.003,1.004,0.000,0.000,0.000
202,-0.8339,0.3019,0.0102,-0.0010,0.0055,0.0046,-0.23,0.89,-0.39,0,4.112,-0.347,0.024,-0.060,0.017,-0.003,1.003,0.000,0.000,0.000
303,-0.8339,0.3020,0.0106,-0.0008,0.0058,0.0064,-0.16,0.84,-0.40,0,4.107,-0.136,0.096,0.150,0.014,-0.002,1.000,0.000,0.000,0.000
404,-0.8350,0.3027,0.0106,-0.0070,0.0093,0.0065,-0.18,0.83,-0.40,0,4.107,-0.201,0.055,-0.084,0.012,-0.003,1.000,0.000,0.000,0.000
506,-0.8339,0.3013,0.0107,-0.0001,0.0011,0.0069,-0.19,0.83,-0.40,0,4.101,-0.022,-0.123,-0.012,0.015,-0.002,1.001,0.000,0.000,0.000
608,-0.8337,0.3018,0.0108,0.0015,0.0037,0.0070,-0.16,0.83,-0.39,0,4.101,-0.130,0.194,-0.070,0.015,-0.002,1.001,0.000,0.000,0.000
710,-0.8337,0.3020,0.0109,0.0017,0.0049,0.0074,-0.20,0.82,-0.39,0,4.101,-0.451,0.054,-0.207,0.016,-0.003,1.002,0.000,0.000,0.000
811,-0.8337,0.3013,0.0110,0.0018,0.0009,0.0077,-0.16,0.83,-0.39,0,4.107,-0.190,0.068,-0.044,0.016,-0.003,1.000,0.000,0.000,0.000
912,-0.8334,0.3022,0.0106,0.0029,0.0059,0.0056,-0.18,0.82,-0.40,0,4.112,0.002,0.049,-0.061,0.013,-0.000,0.999,0.000,0.000,0.000
1013,-0.8337,0.3013,0.0107,0.0014,0.0009,0.0056,-0.19,0.82,-0.40,0,4.112,0.001,0.077,-0.360,0.012,-0.002,1.001,0.000,0.000,0.000
1114,-0.8337,0.3018,0.0107,0.0013,0.0033,0.0058,-0.17,0.81,-0.40,0,4.112,0.045,0.282,0.144,0.015,-0.002,1.003,0.000,0.000,0.000
1215,-0.8337,0.3020,0.0108,0.0013,0.0045,0.0058,-0.25,0.66,-0.40,0,4.112,-0.193,-0.368,-0.052,0.015,-0.004,1.002,0.000,0.000,0.000
1317,-0.8335,0.3016,0.0108,0.0026,0.0019,0.0060,-0.06,0.67,-0.39,0,4.107,0.092,0.106,0.195,0.014,-0.002,1.002,0.000,0.000,0.000
1418,-0.8300,0.3032,0.0101,0.0216,0.0111,0.0017,-0.05,0.66,-0.39,0,4.107,-0.087,-0.012,-0.080,0.016,-0.001,1.002,0.000,0.000,0.000
1519,-0.8301,0.2993,0.0102,0.0203,-0.0113,0.0021,-0.03,0.67,-0.39,0,4.101,-0.417,-0.000,0.014,0.017,0.002,1.002,0.000,0.000,0.000
1620,-0.8297,0.2988,0.0102,0.0215,-0.0130,0.0021,-0.03,0.67,-0.39,0,4.101,-0.094,-0.122,-0.218,0.016,-0.000,1.001,0.000,0.000,0.000
1721,-0.8301,0.2988,0.0102,0.0184,-0.0125,0.0026,-0.07,0.71,-0.39,0,4.101,-0.348,-0.040,0.003,0.015,-0.003,1.002,0.000,0.000,0.000
1822,-0.8295,0.2980,0.0102,0.0210,-0.0166,0.0026,-0.07,0.71,-0.39,0,4.101,-0.211,-0.225,-0.447,0.014,-0.002,1.003,0.000,0.000,0.000
1923,-0.8299,0.2990,0.0102,0.0179,-0.0101,0.0026,-0.13,0.73,-0.39,0,4.107,0.167,-0.264,0.013,0.016,-0.004,1.000,0.000,0.000,0.000
2024,-0.8301,0.2986,0.0102,0.0162,-0.0117,0.0028,-0.13,0.73,-0.39,0,4.112,-0.235,-0.141,0.116,0.015,-0.002,1.000,0.000,0.000,0.000
2125,-0.8301,0.2982,0.0103,0.0156,-0.0130,0.0029,-0.13,0.74,-0.39,0,4.112,-0.222,-0.179,-0.197,0.013,-0.001,1.000,0.000,0.000,0.000
2226,-0.8301,0.2996,0.0103,0.0150,-0.0044,0.0033,-0.06,0.71,-0.38,0,4.107,-0.031,0.139,-0.068,0.015,0.000,1.002,0.000,0.000,0.000
2327,-0.8303,0.2996,0.0104,0.0133,-0.0041,0.0036,-0.11,0.74,-0.39,0,4.107,-0.152,0.143,-0.228,0.015,-0.004,1.003,0.000,0.000,0.000
2428,-0.8295,0.2980,0.0098,0.0171,-0.0130,0.0007,-0.11,0.74,-0.39,0,4.107,0.064,-0.054,-0.244,0.015,-0.004,1.002,0.000,0.000,0.000
2529,-0.8299,0.2988,0.0098,0.0143,-0.0080,0.0010,-0.11,0.74,-0.39,0,4.101,-0.268,-0.191,-0.072,0.016,-0.003,1.002,0.000,0.000,0.000
2630,-0.8297,0.2988,0.0098,0.0144,-0.0080,0.0010,-0.07,0.73,-0.38,0,4.101,-0.119,-0.304,-0.031,0.013,-0.002,1.001,0.000,0.000,0.000
2731,-0.8296,0.2987,0.0098,0.0145,-0.0078,0.0010,-0.08,0.75,-0.38,0,4.101,-0.271,0.039,-0.037,0.013,-0.002,1.003,0.000,0.000,0.000
2833,-0.8294,0.2978,0.0098,0.0150,-0.0122,0.0012,-0.13,0.76,-0.39,0,4.107,-0.085,0.055,0.152,0.015,-0.001,1.004,0.000,0.000,0.000
2934,-0.8296,0.2978,0.0104,0.0131,-0.0117,0.0041,-0.14,0.78,-0.39,0,4.112,-0.184,-0.187,-0.149,0.013,-0.000,1.002,0.000,0.000,0.000
0,-0.8296,0.2987,0.0104,0.0126,-0.0063,0.0044,-0.14,0.79,-0.38,0,4.112,-0.050,0.152,0.021,0.014,-0.000,1.000,0.000,0.000,0.000
0,-0.8301,0.2989,0.0105,0.0096,-0.0047,0.0046,-0.14,0.79,-0.38,0,4.112,-0.346,-0.201,-0.095,0.014,-0.002,1.001,0.000,0.000,0.000
0,-0.8301,0.2987,0.0105,0.0090,-0.0056,0.0047,-0.07,0.63,-0.39,0,4.112,-0.193,0.031,0.147,0.012,-0.003,1.003,0.000,0.000,0.000
0,-0.8299,0.2987,0.0106,0.0096,-0.0052,0.0050,-0.08,0.67,-0.39,0,4.107,-0.249,0.066,-0.024,0.014,-0.003,1.003,0.000,0.000,0.000
0,-0.8262,0.2972,0.0108,0.0292,-0.0131,0.0061,-0.16,0.74,-0.39,0,4.107,-0.272,-0.139,-0.158,0.016,-0.001,1.000,0.000,0.000,0.000
1,-0.8268,0.2972,0.0109,0.0242,-0.0122,0.0065,-0.16,0.74,-0.39,0,4.101,-0.259,-0.069,-0.098,0.016,0.000,1.000,0.000,0.000,0.000
1,-0.8281,0.2989,0.0110,0.0161,-0.0021,0.0070,-0.17,0.75,-0.39,0,4.101,-0.231,0.156,0.161,0.013,-0.002,1.001,0.000,0.000,0.000
1,-0.8280,0.2989,0.0111,0.0162,-0.0020,0.0072,-0.07,0.75,-0.37,0,4.101,0.115,0.037,-0.219,0.012,-0.001,1.000,0.000,0.000,0.000
1,-0.8282,0.2989,0.0112,0.0140,-0.0019,0.0076,-0.17,0.78,-0.39,0,4.107,-0.228,0.155,-0.072,0.015,-0.001,0.999,0.000,0.000,0.000
1,-0.8281,0.2967,0.0108,0.0144,-0.0141,0.0052,-0.15,0.75,-0.39,0,4.112,-0.064,0.055,-0.132,0.015,-0.001,1.001,0.000,0.000,0.000
1,-0.8287,0.2989,0.0109,0.0103,-0.0012,0.0055,-0.24,0.84,-0.39,0,4.112,-0.348,-0.088,0.029,0.013,0.000,1.003,0.000,0.000,0.000
1,-0.8278,0.2985,0.0109,0.0148,-0.0033,0.0055,-0.24,0.86,-0.39,0,4.112,-0.145,-0.006,-0.117,0.014,-0.000,1.003,0.000,0.000,0.000
1,-0.8298,0.3005,0.0110,0.0032,0.0078,0.0058,-0.23,0.85,-0.39,0,4.112,-0.205,0.210,-0.083,0.015,-0.001,1.003,0.000,0.000,0.000
2,-0.8302,0.3005,0.0111,0.0003,0.0077,0.0058,-0.24,0.85,-0.39,0,4.107,-0.154,-0.002,-0.080,0.013,-0.003,1.003,0.000,0.000,0.000
2,-0.8300,0.3003,0.0098,0.0015,0.0064,-0.0009,-0.24,0.84,-0.39,0,4.107,-0.119,0.028,-0.135,0.013,-0.005,1.002,0.000,0.000,0.000
2,-0.8300,0.3005,0.0098,0.0015,0.0076,-0.0008,-0.24,0.84,-0.39,0,4.101,-0.100,0.164,-0.176,0.015,-0.002,1.001,0.000,0.000,0.000
2,-0.8300,0.3005,0.0098,0.0013,0.0080,-0.0005,-0.25,0.83,-0.40,0,4.101,-0.269,0.034,0.095,0.012,-0.003,1.002,0.000,0.000,0.000
2,-0.8300,0.3006,0.0098,0.0013,0.0083,-0.0002,-0.30,1.07,-0.39,0,4.101,-0.307,-0.057,-0.120,0.012,-0.000,1.000,0.000,0.000,0.000
2,-0.8297,0.3008,0.0098,0.0026,0.0094,0.0001,-0.24,1.09,-0.38,0,4.101,-0.007,-0.092,-0.116,0.014,-0.000,1.001,0.000,0.000,0.000
2,-0.8352,0.3023,0.0090,-0.0281,0.0171,-0.0038,-0.35,1.01,-0.39,0,4.107,-0.172,0.045,0.339,0.015,0.001,1.002,0.000,0.000,0.000
2,-0.8359,0.3009,0.0089,-0.0307,0.0084,-0.0035,-0.28,1.05,-0.39,0,4.112,-0.225,0.127,-0.053,0.018,-0.000,1.002,0.000,0.000,0.000
2,-0.8344,0.3034,0.0090,-0.0214,0.0221,-0.0030,-0.25,0.98,-0.39,0,4.112,-0.109,0.082,-0.037,0.015,-0.001,1.002,0.000,0.000,0.000
3,-0.8355,0.3023,0.0090,-0.0270,0.0148,-0.0027,-0.23,0.95,-0.39,0,4.112,0.275,-0.126,-0.151,0.015,0.002,1.003,0.000,0.000,0.000
3,-0.8344,0.3016,0.0090,-0.0197,0.0106,-0.0022,-0.24,0.99,-0.39,0,4.107,-0.054,0.158,-0.003,0.015,-0.001,1.002,0.000,0.000,0.000
3,-0.8339,0.3013,0.0090,-0.0164,0.0091,-0.0019,-0.24,0.98,-0.39,0,4.107,-0.255,-0.100,-0.011,0.015,-0.002,1.000,0.000,0.000,0.000
3,-0.8350,0.3015,0.0090,-0.0217,0.0102,-0.0019,-0.07,0.97,-0.39,0,4.107,0.001,-0.038,-0.432,0.016,-0.002,1.000,0.000,0.000,0.000
3,-0.8350,0.3018,0.0090,-0.0204,0.0112,-0.0016,-0.07,0.91,-0.39,0,4.101,-0.153,0.041,0.002,0.015,-0.005,1.001,0.000,0.000,0.000
3,-0.8350,0.2978,0.0090,-0.0196,-0.0106,-0.0010,-0.08,1.03,-0.39,0,4.101,0.047,-0.103,0.049,0.014,-0.003,1.002,0.000,0.000,0.000
3,-0.8339,0.2978,0.0091,-0.0127,-0.0098,-0.0005,-0.08,0.95,-0.39,0,4.101,-0.353,-0.076,0.289,0.015,-0.002,1.002,0.000,0.000,0.000
3,-0.8370,0.2978,0.0103,-0.0286,-0.0091,0.0061,-0.08,0.92,-0.39,0,4.107,-0.034,-0.028,-0.060,0.016,-0.002,1.003,0.000,0.000,0.000
3,-0.8352,0.2978,0.0105,-0.0180,-0.0087,0.0065,-0.08,0.96,-0.39,0,4.112,-0.001,-0.061,-0.010,0.015,-0.002,1.002,0.000,0.000,0.000
3,-0.8348,0.2976,0.0106,-0.0147,-0.0095,0.0066,-0.08,0.92,-0.39,0,4.112,-0.230,0.230,-0.127,0.014,-0.002,0.999,0.000,0.000,0.000
3,-0.8359,0.2974,0.0106,-0.0198,-0.0103,0.0066,-0.11,0.92,-0.39,0,4.112,-0.087,-0.292,0.193,0.013,-0.002,1.001,0.000,0.000,0.000
3,-0.8352,0.2974,0.0107,-0.0155,-0.0099,0.0070,-0.10,0.90,-0.39,0,4.112,-0.215,0.002,-0.076,0.014,-0.005,1.004,0.000,0.000,0.000
3,-0.8352,0.2980,0.0100,-0.0146,-0.0060,0.0035,-0.10,0.90,-0.39,0,4.107,-0.326,-0.059,0.041,0.014,-0.002,1.004,0.000,0.000,0.000
4,-0.8350,0.2976,0.0101,-0.0127,-0.0079,0.0037,-0.12,0.89,-0.39,0,4.107,-0.301,0.108,-0.090,0.015,-0.002,1.002,0.000,0.000,0.000
4,-0.8351,0.2975,0.0101,-0.0128,-0.0080,0.0039,-0.08,0.84,-0.40,0,4.101,-0.030,-0.042,-0.206,0.014,-0.000,1.001,0.000,0.000,0.000
4,-0.8351,0.2978,0.0102,-0.0123,-0.0064,0.0039,-0.11,0.84,-0.40,0,4.101,0.025,0.077,0.127,0.012,-0.001,1.003,0.000,0.000,0.000
4,-0.8340,0.2966,0.0102,-0.0060,-0.0119,0.0041,-0.11,0.88,-0.39,0,4.107,0.134,-0.075,-0.072,0.016,-0.005,1.002,0.000,0.000,0.000
4,-0.8339,0.2973,0.0097,-0.0057,-0.0080,0.0020,-0.12,0.86,-0.39,0,4.107,-0.274,0.099,-0.229,0.016,-0.002,1.002,0.000,0.000,0.000
4,-0.8350,0.2973,0.0097,-0.0113,-0.0075,0.0023,-0.12,0.82,-0.40,0,4.112,-0.107,-0.021,-0.302,0.014,-0.003,1.000,0.000,0.000,0.000
4,-0.8348,0.2973,0.0098,-0.0095,-0.0071,0.0024,-0.13,0.86,-0.40,0,4.112,-0.270,0.121,-0.051,0.015,-0.004,1.000,0.000,0.000,0.000
4,-0.8339,0.2973,0.0098,-0.0045,-0.0065,0.0026,-0.19,0.87,-0.39,0,4.112,0.103,0.085,-0.106,0.014,-0.001,1.001,0.000,0.000,0.000
4,-0.8350,0.2974,0.0098,-0.0102,-0.0060,0.0028,-0.14,0.85,-0.40,0,4.112,-0.264,0.230,0.028,0.014,-0.000,1.002,0.000,0.000,0.000
4,-0.8353,0.2987,0.0113,-0.0108,0.0011,0.0100,-0.15,0.84,-0.40,0,4.107,-0.249,0.132,0.208,0.015,-0.002,1.001,0.000,0.000,0.000
4,-0.8351,0.2976,0.0114,-0.0091,-0.0047,0.0102,-0.16,0.84,-0.40,0,4.107,0.300,-0.115,-0.129,0.015,-0.003,1.001,0.000,0.000,0.000
4,-0.8348,0.2978,0.0115,-0.0075,-0.0034,0.0102,-0.12,0.90,-0.39,0,4.101,-0.055,0.154,0.211,0.015,-0.001,1.003,0.000,0.000,0.000
4,-0.8350,0.2978,0.0116,-0.0083,-0.0032,0.0103,-0.12,0.80,-0.40,0,4.101,-0.092,0.102,-0.080,0.016,-0.002,1.003,0.000,0.000,0.000
4,-0.8366,0.2970,0.0117,-0.0160,-0.0073,0.0103,-0.15,0.83,-0.40,0,4.107,0.102,0.213,-0.069,0.014,-0.002,0.999,0.000,0.000,0.000
4,-0.8344,0.2967,0.0120,-0.0038,-0.0080,0.0114,-0.12,0.82,-0.40,0,4.107,-0.225,-0.076,0.177,0.015,-0.001,1.001,0.000,0.000,0.000
4,-0.8350,0.2974,0.0121,-0.0069,-0.0041,0.0116,-0.15,0.81,-0.40,0,4.107,-0.306,0.232,-0.048,0.016,-0.002,1.002,0.000,0.000,0.000
4,-0.8351,0.2967,0.0122,-0.0064,-0.0072,0.0118,-0.17,0.81,-0.40,0,4.112,-0.127,0.132,-0.212,0.018,-0.002,1.005,0.000,0.000,0.000
4,-0.8348,0.2974,0.0123,-0.0048,-0.0033,0.0122,-0.14,0.81,-0.40,0,4.112,-0.164,-0.046,0.070,0.014,-0.001,1.001,0.000,0.000,0.000
5,-0.8350,0.2976,0.0125,-0.0056,-0.0018,0.0124,-0.16,0.81,-0.40,0,4.107,-0.053,-0.148,0.004,0.015,0.000,1.001,0.000,0.000,0.000
5,-0.8350,0.2970,0.0115,-0.0051,-0.0050,0.0070,-0.17,0.81,-0.40,0,4.107,-0.294,-0.069,-0.051,0.012,-0.001,1.000,0.000,0.000,0.000
5,-0.8350,0.2974,0.0116,-0.0048,-0.0023,0.0072,-0.19,0.79,-0.40,0,4.107,-0.060,0.107,0.195,0.012,-0.001,1.001,0.000,0.000,0.000
5,-0.8352,0.2974,0.0116,-0.0054,-0.0021,0.0075,-0.18,0.81,-0.40,0,4.107,-0.283,-0.056,0.113,0.015,-0.002,1.002,0.000,0.000,0.000
5,-0.8348,0.2978,0.0117,-0.0026,0.0005,0.0079,-0.15,0.79,-0.40,0,4.101,-0.400,0.200,0.278,0.014,-0.002,1.002,0.000,0.000,0.000
5,-0.8352,0.2976,0.0118,-0.0048,-0.0004,0.0079,-0.19,0.79,-0.40,0,4.101,-0.026,0.153,-0.081,0.013,0.003,1.002,0.000,0.000,0.000
5,-0.8348,0.2968,0.0107,-0.0021,-0.0047,0.0019,-0.20,0.78,-0.40,0,4.107,-0.185,0.017,-0.020,0.015,0.000,1.003,0.000,0.000,0.000
0,-0.8348,0.2976,0.0107,-0.0022,0.0004,0.0019,-0.20,0.79,-0.40,0,4.112,-0.139,0.140,0.012,0.016,-0.002,1.001,0.000,0.000,0.000
0,-0.8348,0.2978,0.0107,-0.0021,0.0017,0.0020,-0.19,0.82,-0.40,0,4.112,-0.248,-0.171,-0.106,0.014,-0.001,1.002,0.000,0.000,0.000
0,-0.8350,0.2978,0.0107,-0.0031,0.0017,0.0023,-0.15,0.77,-0.40,0,4.112,-0.156,0.157,-0.058,0.013,-0.002,1.002,0.000,0.000,0.000
0,-0.8356,0.2976,0.0108,-0.0065,0.0008,0.0025,-0.17,0.77,-0.40,0,4.112,-0.032,0.083,0.162,0.012,-0.001,1.002,0.000,0.000,0.000
0,-0.8346,0.2968,0.0100,-0.0003,-0.0035,-0.0012,-0.18,0.78,-0.40,0,4.107,-0.175,0.381,0.037,0.014,-0.003,1.005,0.000,0.000,0.000
0,-0.8346,0.2972,0.0100,-0.0001,-0.0007,-0.0009,-0.20,0.78,-0.40,0,4.107,-0.179,0.243,0.323,0.014,-0.003,1.001,0.000,0.000,0.000
0,-0.8350,0.2974,0.0100,-0.0022,0.0007,-0.0008,-0.19,0.80,-0.40,0,4.101,-0.119,-0.099,0.020,0.015,-0.002,1.002,0.000,0.000,0.000
1,-0.8349,0.2978,0.0100,-0.0021,0.0032,-0.0006,-0.08,0.71,-0.39,0,4.101,-0.082,0.356,0.057,0.017,-0.002,1.002,0.000,0.000,0.000
1,-0.8356,0.2974,0.0100,-0.0055,0.0009,-0.0004,-0.12,0.76,-0.39,0,4.101,-0.253,0.013,-0.094,0.017,-0.001,1.001,0.000,0.000,0.000
1,-0.8336,0.2950,0.0113,0.0061,-0.0130,0.0069,-0.16,0.76,-0.40,0,4.107,-0.169,0.051,0.024,0.017,-0.001,1.003,0.000,0.000,0.000
1,-0.8346,0.2959,0.0114,0.0001,-0.0076,0.0071,-0.15,0.81,-0.39,0,4.112,-0.059,0.114,-0.045,0.016,-0.001,1.003,0.000,0.000,0.000
1,-0.8346,0.2966,0.0115,0.0002,-0.0028,0.0076,-0.14,0.75,-0.39,0,4.112,-0.006,0.159,-0.098,0.016,-0.002,1.002,0.000,0.000,0.000
1,-0.8358,0.2963,0.0115,-0.0066,-0.0048,0.0077,-0.17,0.76,-0.40,0,4.112,0.012,-0.036,-0.302,0.014,-0.004,1.001,0.000,0.000,0.000
1,-0.8346,0.2961,0.0116,0.0007,-0.0057,0.0080,-0.15,0.72,-0.40,0,4.112,-0.326,-0.007,-0.094,0.017,-0.001,1.001,0.000,0.000,0.000
2,-0.8347,0.2966,0.0101,0.0001,-0.0019,-0.0004,-0.15,0.72,-0.40,0,4.107,-0.063,-0.145,-0.268,0.018,-0.001,0.999,0.000,0.000,0.000
2,-0.8336,0.2960,0.0101,0.0072,-0.0051,-0.0002,-0.24,0.84,-0.40,0,4.107,0.167,-0.185,-0.315,0.017,-0.001,1.001,0.000,0.000,0.000
2,-0.8338,0.2960,0.0101,0.0060,-0.0046,0.0002,-0.20,0.85,-0.40,0,4.101,-0.195,0.148,-0.261,0.016,-0.003,1.003,0.000,0.000,0.000
2,-0.8363,0.2978,0.0102,-0.0085,0.0059,0.0007,-0.19,0.83,-0.40,0,4.101,-0.202,0.076,0.288,0.013,-0.004,1.004,0.000,0.000,0.000
2,-0.8367,0.2972,0.0102,-0.0103,0.0023,0.0008,-0.23,0.82,-0.41,0,4.101,0.091,0.040,-0.323,0.015,-0.002,1.001,0.000,0.000,0.000
2,-0.8363,0.2968,0.0101,-0.0075,0.0000,0.0006,-0.23,0.82,-0.41,0,4.101,-0.259,0.168,0.070,0.016,-0.001,1.002,0.000,0.000,0.000
2,-0.8363,0.2978,0.0101,-0.0068,0.0059,0.0006,-0.24,0.82,-0.41,0,4.112,-0.126,0.084,0.070,0.014,-0.002,1.003,0.000,0.000,0.000
2,-0.8363,0.2978,0.0101,-0.0064,0.0061,0.0007,-0.23,0.86,-0.41,0,4.112,-0.186,-0.031,-0.061,0.014,-0.003,1.002,0.000,0.000,0.000
3,-0.8364,0.2979,0.0102,-0.0063,0.0065,0.0009,-0.24,0.86,-0.40,0,4.112,-0.052,0.129,-0.105,0.017,-0.003,1.001,0.000,0.000,0.000
3,-0.8373,0.2979,0.0097,-0.0108,0.0061,-0.0012,-0.20,0.82,-0.40,0,4.112,-0.190,-0.029,-0.102,0.017,-0.001,1.003,0.000,0.000,0.000
3,-0.8374,0.2980,0.0097,-0.0110,0.0062,-0.0010,-0.24,0.82,-0.41,0,4.107,-0.105,0.320,0.114,0.014,-0.001,1.005,0.000,0.000,0.000
3,-0.8367,0.2973,0.0097,-0.0064,0.0022,-0.0007,-0.23,0.81,-0.40,0,4.107,0.041,0.408,0.051,0.015,-0.000,1.003,0.000,0.000,0.000
3,-0.8367,0.2982,0.0097,-0.0060,0.0074,-0.0004,-0.18,0.74,-0.40,0,4.107,-0.213,-0.041,0.018,0.015,0.000,1.001,0.000,0.000,0.000
3,-0.8367,0.2980,0.0097,-0.0057,0.0058,-0.0001,-0.20,0.74,-0.40,0,4.101,-0.023,0.088,0.099,0.016,0.001,1.002,0.000,0.000,0.000
3,-0.8354,0.2969,0.0097,0.0022,-0.0008,0.0001,-0.22,0.78,-0.40,0,4.101,-0.154,-0.311,-0.472,0.015,-0.003,1.003,0.000,0.000,0.000
3,-0.8354,0.2973,0.0103,0.0025,0.0019,0.0033,-0.22,0.79,-0.40,0,4.107,-0.074,0.095,-0.074,0.013,-0.004,1.002,0.000,0.000,0.000
3,-0.8362,0.2977,0.0103,-0.0024,0.0044,0.0036,-0.22,0.83,-0.41,0,4.112,0.000,-0.038,-0.192,0.014,-0.001,1.000,0.000,0.000,0.000
4,-0.8364,0.2977,0.0104,-0.0033,0.0045,0.0040,-0.21,0.79,-0.41,0,4.112,-0.211,-0.110,0.098,0.016,-0.000,1.003,0.000,0.000,0.000
4,-0.8373,0.2980,0.0104,-0.0078,0.0058,0.0041,-0.21,0.74,-0.41,0,4.112,0.038,-0.257,-0.390,0.013,-0.002,1.001,0.000,0.000,0.000
4,-0.8367,0.2977,0.0103,-0.0037,0.0046,0.0034,-0.21,0.77,-0.41,0,4.107,-0.260,0.029,0.044,0.014,-0.001,1.001,0.000,0.000,0.000
4,-0.8356,0.2977,0.0103,0.0026,0.0046,0.0037,-0.21,0.77,-0.41,0,4.107,0.047,-0.147,-0.375,0.017,0.000,1.001,0.000,0.000,0.000
4,-0.8363,0.2978,0.0104,-0.0010,0.0044,0.0041,-0.21,0.78,-0.41,0,4.101,-0.383,-0.037,-0.122,0.018,-0.002,1.002,0.000,0.000,0.000
4,-0.8363,0.2978,0.0104,-0.0010,0.0044,0.0041,-0.28,0.80,-0.42,0,4.101,-0.328,0.080,-0.056,0.018,-0.003,1.000,0.000,0.000,0.000
4,-0.8365,0.2978,0.0105,-0.0019,0.0047,0.0045,-0.20,0.98,-0.41,0,4.101,-0.126,0.135,0.218,0.016,-0.001,1.001,0.000,0.000,0.000
4,-0.8369,0.2993,0.0105,-0.0042,0.0131,0.0044,-0.30,1.17,-0.43,0,4.101,-0.077,0.057,0.151,0.015,-0.001,1.003,0.000,0.000,0.000
4,-0.8413,0.2978,0.0090,-0.0273,0.0046,-0.0033,-0.30,1.17,-0.42,0,4.101,-0.058,0.075,-0.037,0.015,0.000,1.004,0.000,0.000,0.000
4,-0.8456,0.3000,0.0088,-0.0510,0.0166,-0.0047,-0.29,1.15,-0.42,0,4.112,-0.065,0.047,-0.209,0.014,0.000,1.001,0.000,0.000,0.000
4,-0.8466,0.3003,0.0087,-0.0516,0.0173,-0.0044,-0.29,1.15,-0.42,0,4.112,-0.191,-0.042,0.250,0.015,-0.001,0.999,0.000,0.000,0.000
4,-0.8463,0.3001,0.0087,-0.0497,0.0163,-0.0042,-0.33,1.12,-0.42,0,4.112,-0.179,0.135,-0.386,0.014,-0.003,1.000,0.000,0.000,0.000
4,-0.8473,0.3005,0.0101,-0.0507,0.0171,0.0035,-0.29,1.10,-0.42,0,4.112,0.112,-0.273,-0.211,0.013,-0.003,1.001,0.000,0.000,0.000
4,-0.8467,0.3012,0.0101,-0.0474,0.0213,0.0037,-0.28,1.07,-0.42,0,4.107,-0.001,0.115,-0.064,0.013,-0.000,1.001,0.000,0.000,0.000
4,-0.8471,0.3007,0.0102,-0.0454,0.0170,0.0046,-0.28,1.06,-0.42,0,4.107,-0.219,-0.204,-0.163,0.014,0.000,1.000,0.000,0.000,0.000
5,-0.8468,0.3006,0.0103,-0.0417,0.0164,0.0050,-0.16,1.01,-0.42,0,4.101,0.037,0.153,-0.226,0.017,-0.001,1.001,0.000,0.000,0.000
5,-0.8472,0.3008,0.0104,-0.0421,0.0167,0.0050,-0.20,0.99,-0.42,0,4.101,-0.184,-0.206,0.210,0.016,-0.000,1.003,0.000,0.000,0.000
5,-0.8463,0.2979,0.0106,-0.0359,0.0006,0.0060,-0.22,1.02,-0.42,0,4.107,-0.115,0.097,-0.072,0.014,-0.003,1.003,0.000,0.000,0.000
5,-0.8462,0.2989,0.0100,-0.0339,0.0060,0.0026,-0.22,1.02,-0.42,0,4.107,-0.033,0.036,0.011,0.015,-0.002,1.001,0.000,0.000,0.000
5,-0.8472,0.2994,0.0100,-0.0374,0.0087,0.0025,-0.25,1.00,-0.42,0,4.107,-0.016,-0.041,0.009,0.015,-0.002,1.002,0.000,0.000,0.000
5,-0.8476,0.2995,0.0100,-0.0377,0.0090,0.0025,-0.25,0.98,-0.41,0,4.112,-0.299,0.253,-0.046,0.014,-0.003,1.004,0.000,0.000,0.000
5,-0.8475,0.3003,0.0100,-0.0353,0.0129,0.0028,-0.19,0.91,-0.41,0,4.112,-0.020,-0.439,-0.245,0.015,-0.003,1.004,0.000,0.000,0.000
5,-0.8474,0.3005,0.0096,-0.0331,0.0136,0.0008,-0.25,0.94,-0.41,0,4.107,0.077,0.166,-0.150,0.018,-0.001,1.004,0.000,0.000,0.000
5,-0.8460,0.2990,0.0097,-0.0247,0.0050,0.0015,-0.20,0.93,-0.42,0,4.107,0.025,0.069,-0.144,0.015,-0.001,1.001,0.000,0.000,0.000
5,-0.8467,0.3004,0.0097,-0.0283,0.0125,0.0013,-0.24,0.92,-0.41,0,4.107,-0.147,-0.242,-0.385,0.015,-0.002,1.003,0.000,0.000,0.000
5,-0.8469,0.2994,0.0097,-0.0280,0.0069,0.0015,-0.24,0.92,-0.41,0,4.107,-0.133,0.267,-0.034,0.015,-0.001,1.004,0.000,0.000,0.000
5,-0.8468,0.3003,0.0097,-0.0264,0.0116,0.0019,-0.23,0.85,-0.41,0,4.101,-0.095,0.011,-0.249,0.013,-0.002,1.003,0.000,0.000,0.000
5,-0.8471,0.3005,0.0098,-0.0266,0.0117,0.0023,-0.22,0.89,-0.41,0,4.101,-0.076,0.241,-0.149,0.014,-0.002,1.001,0.000,0.000,0.000
