time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y
0,0.0021,-0.0123,0.0040,-1.57,2.52,-91.57,0.010,-0.169,0.775,0.071,-4.4368,4.6472
0,0.0066,-0.0171,0.0040,-1.61,2.48,-91.49,0.010,-0.133,0.424,-0.118,-4.4368,4.6470
0,0.0066,-0.0122,0.0043,-1.61,2.52,-91.41,0.010,-0.069,0.163,-0.220,-4.4379,4.6471
0,0.0019,-0.0120,0.0045,-1.57,2.52,-91.33,0.010,-0.152,0.283,-0.010,-4.4360,4.6462
0,0.0020,-0.0127,0.0047,-1.57,2.51,-91.25,0.010,-0.110,0.154,-0.010,-4.4366,4.6472
0,-0.0040,-0.0125,0.0049,-1.53,2.51,-91.16,0.010,-0.159,0.299,0.189,-4.4368,4.6473
0,0.0072,-0.0175,0.0032,-1.62,2.48,-91.08,0.010,-0.187,0.175,0.180,-4.4368,4.6470
0,0.0037,-0.0111,0.0036,-1.59,2.53,-91.00,0.010,-0.101,0.353,0.374,-4.4351,4.6470
0,0.0027,-0.0112,0.0039,-1.58,2.52,-90.92,0.010,0.011,0.165,-0.145,-4.4364,4.6468
0,0.0030,-0.0126,0.0041,-1.58,2.52,-90.84,0.010,-0.163,0.353,0.102,-4.4366,4.6470
0,0.0126,-0.0129,0.0029,-1.66,2.52,-90.75,0.010,-0.218,0.380,-0.163,-4.4366,4.6475
0,0.0051,-0.0139,0.0035,-1.60,2.51,-90.67,0.010,-0.285,0.152,-0.050,-4.4366,4.6474
1,0.0039,-0.0126,0.0038,-1.59,2.52,-90.59,0.010,-0.298,0.355,0.071,-4.4350,4.6469
1,0.0037,-0.0101,0.0041,-1.59,2.54,-90.51,0.013,0.001,0.489,-0.007,-4.4354,4.6461
1,0.0039,-0.0108,0.0044,-1.59,2.54,-90.43,0.013,-0.300,0.060,-0.160,-4.4365,4.6468
1,0.0127,-0.0133,0.0046,-1.66,2.52,-90.35,0.013,-0.083,0.519,0.028,-4.4359,4.6474
1,0.0101,-0.0180,0.0100,-1.64,2.48,-90.27,0.013,-0.299,-0.032,-0.090,-4.4365,4.6472
1,0.0038,-0.0138,0.0103,-1.59,2.51,-90.19,0.013,-0.204,0.500,0.002,-4.4367,4.6472
1,0.0076,-0.0100,0.0107,-1.62,2.54,-90.11,0.010,-0.230,0.271,-0.089,-4.4350,4.6470
1,0.0038,-0.0113,0.0114,-1.59,2.53,-90.03,0.010,-0.076,0.127,0.084,-4.4365,4.6470
1,0.0026,-0.0114,0.0069,-1.58,2.53,-89.95,0.010,-0.383,0.423,0.326,-4.4365,4.6465
1,0.0127,-0.0124,0.0072,-1.66,2.52,-89.86,0.010,-0.052,0.261,-0.073,-4.4365,4.6464
1,0.0040,-0.0125,0.0077,-1.59,2.52,-89.79,0.010,-0.159,0.251,0.050,-4.4349,4.6468
1,0.0040,-0.0149,0.0078,-1.59,2.50,-89.70,0.010,0.101,0.170,-0.317,-4.4347,4.6459
2,0.0122,-0.0123,0.0081,-1.66,2.52,-89.62,0.010,-0.299,0.277,-0.160,-4.4365,4.6468
2,0.0129,-0.0170,0.0086,-1.67,2.48,-89.54,0.010,0.084,0.131,-0.184,-4.4356,4.6468
2,0.0028,-0.0121,0.0056,-1.59,2.52,-89.46,0.010,-0.301,0.276,-0.002,-4.4365,4.6468
2,0.0078,-0.0120,0.0059,-1.62,2.52,-89.38,0.010,-0.171,0.108,-0.101,-4.4359,4.6472
2,0.0031,-0.0121,0.0064,-1.59,2.52,-89.31,0.008,-0.412,0.003,0.118,-4.4384,4.6465
2,0.0105,-0.0121,0.0068,-1.64,2.52,-89.23,0.008,-0.219,-0.176,-0.233,-4.4384,4.6469
2,0.0068,-0.0112,-0.0002,-1.61,2.53,-89.15,0.008,-0.089,0.231,-0.028,-4.4396,4.6472
2,-0.0067,-0.0148,0.0001,-1.50,2.50,-89.07,0.008,-0.258,0.056,0.050,-4.4436,4.6494
2,-0.0059,-0.0123,0.0004,-1.51,2.53,-88.99,0.008,-0.332,0.279,-0.013,-4.4428,4.6494
2,-0.0123,-0.0101,0.0007,-1.46,2.55,-88.91,0.011,-0.126,0.420,-0.082,-4.4427,4.6486
