time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,range_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,0.0047,-0.0021,0.0108,-0.0024,0.0019,-0.0008,1.58,0.05,0.10,0,0.008,-0.229,0.040,-0.147,0.002,0.032,1.000,0.000,0.000,0.000
0,0.0057,-0.0015,0.0096,0.0036,0.0057,-0.0073,1.58,0.08,0.10,0,0.006,-0.102,-0.223,-0.142,0.002,0.031,1.001,0.000,0.000,0.000
0,0.0057,-0.0013,0.0096,0.0035,0.0068,-0.0075,1.64,0.10,0.10,0,0.006,0.003,-0.057,-0.178,0.001,0.031,0.998,0.000,0.000,0.000
0,0.0051,-0.0013,0.0095,-0.0004,0.0067,-0.0075,1.63,0.06,0.10,0,0.006,-0.105,0.146,-0.097,0.001,0.031,0.997,0.000,0.000,0.000
0,0.0047,-0.0025,0.0094,-0.0027,-0.0003,-0.0074,1.62,0.08,0.10,0,0.006,-0.113,0.141,0.142,0.002,0.032,1.002,0.000,0.000,0.000
0,0.0055,-0.0023,0.0094,0.0022,0.0011,-0.0075,1.61,0.09,0.10,0,0.013,0.020,-0.061,-0.004,0.001,0.030,1.002,0.000,0.000,0.000
0,0.0051,-0.0023,0.0079,-0.0000,0.0015,-0.0148,1.58,0.05,0.11,0,0.013,-0.173,-0.193,0.026,0.000,0.029,1.000,0.000,0.000,0.000
0,0.0047,-0.0021,0.0078,-0.0023,0.0029,-0.0148,1.58,0.07,0.11,0,0.013,0.145,-0.202,0.106,0.001,0.031,0.999,0.000,0.000,0.000
1,0.0057,-0.0014,0.0076,0.0035,0.0064,-0.0147,1.60,0.07,0.11,0,0.013,0.096,0.134,0.157,0.004,0.031,1.000,0.000,0.000,0.000
1,0.0053,-0.0014,0.0075,0.0011,0.0064,-0.0149,1.59,0.07,0.11,0,0.013,0.074,0.230,-0.102,0.001,0.029,0.998,0.000,0.000,0.000
1,0.0053,-0.0018,0.0073,0.0010,0.0042,-0.0150,1.59,0.06,0.11,0,0.013,-0.103,0.231,0.025,0.002,0.032,0.999,0.000,0.000,0.000
1,0.0053,-0.0015,0.0096,0.0010,0.0062,-0.0020,1.60,0.10,0.11,0,0.013,-0.012,0.124,-0.056,0.002,0.033,1.000,0.000,0.000,0.000
1,0.0055,-0.0015,0.0096,0.0020,0.0061,-0.0018,1.60,0.06,0.11,0,0.013,-0.221,-0.004,0.206,0.002,0.029,0.999,0.000,0.000,0.000
1,0.0047,-0.0017,0.0096,-0.0027,0.0048,-0.0019,1.59,0.07,0.11,0,0.013,-0.031,-0.109,0.032,0.002,0.029,0.999,0.000,0.000,0.000
2,0.0055,-0.0017,0.0096,0.0020,0.0049,-0.0018,1.60,0.02,0.11,0,0.013,-0.235,-0.207,0.095,0.001,0.034,1.002,0.000,0.000,0.000
2,0.0053,-0.0015,0.0095,0.0011,0.0060,-0.0018,1.58,0.04,0.11,0,0.011,0.063,-0.073,0.260,0.001,0.031,1.002,0.000,0.000,0.000
2,0.0065,-0.0017,0.0110,0.0077,0.0046,0.0057,1.58,0.07,0.11,0,0.011,0.200,0.014,0.089,0.001,0.029,1.000,0.000,0.000,0.000
2,0.0061,-0.0013,0.0110,0.0052,0.0072,0.0057,1.58,0.07,0.11,0,0.011,-0.407,-0.218,0.016,-0.003,0.030,0.997,0.000,0.000,0.000
2,0.0055,-0.0013,0.0111,0.0017,0.0071,0.0058,1.58,0.08,0.11,0,0.011,0.034,0.218,0.005,0.000,0.028,0.996,0.000,0.000,0.000
2,0.0055,-0.0012,0.0112,0.0018,0.0072,0.0056,1.58,0.08,0.11,0,0.011,-0.207,0.020,0.151,0.003,0.030,0.999,0.000,0.000,0.000
2,0.0053,-0.0012,0.0112,0.0005,0.0071,0.0058,1.60,0.07,0.11,0,0.011,0.166,-0.347,-0.109,0.001,0.028,0.997,0.000,0.000,0.000
3,0.0053,-0.0012,0.0112,0.0005,0.0077,0.0054,1.60,0.07,0.11,0,0.010,0.082,-0.059,-0.082,0.001,0.030,0.998,0.000,0.000,0.000
3,0.0053,-0.0016,0.0112,0.0005,0.0050,0.0056,1.59,0.05,0.11,0,0.010,-0.162,-0.049,-0.138,0.005,0.031,0.999,0.000,0.000,0.000
3,0.0053,-0.0016,0.0113,0.0003,0.0051,0.0056,1.59,0.06,0.11,0,0.010,-0.152,0.125,0.203,0.003,0.030,0.998,0.000,0.000,0.000
3,0.0058,-0.0013,0.0113,0.0026,0.0062,0.0052,1.59,0.12,0.11,0,0.010,-0.155,-0.273,-0.065,0.001,0.029,0.999,0.000,0.000,0.000
3,0.0057,-0.0011,0.0114,0.0025,0.0071,0.0050,1.61,0.08,0.11,0,0.010,-0.102,-0.215,-0.057,0.002,0.028,1.000,0.000,0.000,0.000
