time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y,acc_x,acc_y,acc_z,ref_x,ref_y,ref_z,est_x,est_y
0,-0.0711,0.0536,0.0036,-0.03,0.01,0.01,0.016,-0.036,0.359,0.038,-0.0716,0.0510,-0.0038,0.0019,0.9989,0.0000,0.0000,0.2200,0.0000,0.0000
9,-0.0715,0.0539,0.0037,-0.03,0.01,0.01,0.016,0.373,-0.460,0.143,-0.0723,0.0516,-0.0073,0.0007,1.0006,0.0000,0.0000,0.2200,0.0000,0.0000
19,-0.0716,0.0542,0.0063,-0.03,0.01,0.01,0.016,-0.030,-0.315,-0.060,-0.0730,0.0521,-0.0026,0.0040,0.9983,0.0000,0.0000,0.2200,0.0000,0.0000
30,-0.0718,0.0547,0.0063,-0.03,0.00,0.01,0.014,-0.065,0.215,-0.438,-0.0740,0.0529,0.0069,0.0079,1.0019,0.0000,0.0000,0.2200,0.0000,0.0000
40,-0.0719,0.0550,0.0064,-0.03,0.01,0.01,0.014,-0.062,0.092,-0.212,-0.0747,0.0534,0.0098,0.0173,1.0074,0.0000,0.0000,0.2200,0.0000,0.0000
49,-0.0724,0.0552,0.0063,-0.03,0.01,0.01,0.014,-0.008,0.524,-0.926,-0.0755,0.0540,-0.0115,0.0014,0.9957,0.0000,0.0000,0.2200,0.0000,0.0000
60,-0.0735,0.0556,0.0029,-0.03,0.01,0.00,0.014,-0.040,-0.080,-1.501,-0.0762,0.0545,-0.0025,-0.0161,0.9841,0.0000,0.0000,0.2200,0.0000,0.0000
69,-0.0737,0.0559,0.0027,-0.03,0.00,0.00,0.014,0.407,-0.123,-0.614,-0.0769,0.0551,-0.0020,-0.0093,1.0015,0.0000,0.0000,0.2200,0.0000,0.0000
80,-0.0737,0.0560,0.0026,-0.03,0.00,0.00,0.014,-0.340,-0.220,1.327,-0.0777,0.0557,-0.0053,0.0095,1.0154,0.0000,0.0000,0.2200,0.0000,0.0000
89,-0.0737,0.0561,0.0028,-0.03,0.00,0.00,0.019,-0.349,-0.292,7.179,-0.0777,0.0557,-0.0074,0.0196,1.0138,0.0000,0.0000,0.2200,0.0000,0.0000
100,-0.0737,0.0561,0.0029,-0.03,0.01,0.00,0.019,0.383,0.064,13.905,-0.0785,0.0562,-0.0057,0.0124,0.9805,0.0000,0.0000,0.2200,0.0000,0.0000
109,-0.0737,0.0562,0.0020,-0.03,0.01,0.01,0.019,3.902,0.918,17.341,-0.0792,0.0568,-0.0097,-0.0223,1.0222,0.0000,0.0000,0.2200,0.0000,0.0000
119,-0.0731,0.0557,0.0112,-0.04,0.01,0.05,0.019,-3.580,-4.652,16.218,-0.0799,0.0574,-0.0077,-0.0041,1.0425,0.0000,0.0000,0.2200,0.0000,0.0000
130,-0.0731,0.0557,0.0124,-0.03,0.00,0.18,0.012,-6.714,-5.592,14.210,-0.0814,0.0585,0.0175,-0.0152,0.9724,0.0000,0.0000,0.2200,0.0000,0.0000
139,-0.0731,0.0558,0.0124,-0.02,0.00,0.34,0.012,4.288,26.316,13.777,-0.0822,0.0591,-0.0073,-0.0114,0.9504,0.0000,0.0000,0.2200,0.0000,0.0000
149,-0.0731,0.0558,0.0112,-0.02,0.02,0.52,0.012,-9.143,-20.961,11.411,-0.0829,0.0597,0.0253,-0.0292,1.0248,0.0000,0.0000,0.2200,0.0000,0.0000
159,-0.0739,0.0565,0.0025,-0.03,0.01,0.66,0.012,7.017,16.569,9.721,-0.0836,0.0602,0.0199,-0.0214,1.1072,0.0000,0.0000,0.2200,0.0000,0.0000
169,-0.0739,0.0565,0.0054,-0.05,-0.07,0.81,0.012,-16.805,-17.192,7.578,-0.0844,0.0609,0.0036,-0.0153,0.9802,0.0000,0.0000,0.2200,0.0000,0.0000
180,-0.0737,0.0566,0.0017,-0.12,0.11,0.93,0.012,-8.794,-0.500,4.145,-0.0852,0.0614,0.0095,-0.0166,1.0035,0.0000,0.0000,0.2200,0.0000,0.0000
189,-0.0740,0.0568,-0.0036,0.02,0.02,1.05,0.016,-11.576,2.021,2.351,-0.0858,0.0619,0.0113,-0.0158,1.0330,0.0000,0.0000,0.2200,0.0000,0.0000
201,-0.0740,0.0568,0.0024,-0.06,0.08,1.13,0.016,-1.417,-8.988,2.923,-0.0866,0.0625,0.0063,-0.0172,1.0671,0.0000,0.0000,0.2200,0.0000,0.0000
209,-0.0741,0.0569,0.0096,-0.16,0.07,1.18,0.016,-6.577,-20.783,2.071,-0.0873,0.0631,0.0181,-0.0079,1.1333,0.0000,0.0000,0.2200,0.0000,0.0000
220,-0.0742,0.0571,0.0105,-0.31,0.07,1.20,0.016,-23.597,-29.738,3.019,-0.0881,0.0636,0.0163,-0.0184,1.1558,0.0000,0.0000,0.2200,0.0000,0.0000
229,-0.0743,0.0576,0.0115,-0.33,0.09,1.23,0.014,-26.297,-27.571,-0.410,-0.0890,0.0645,0.0147,-0.0187,1.1313,0.0000,0.0000,0.2200,0.0000,0.0000
240,-0.0745,0.0582,0.0156,-0.38,0.25,1.25,0.014,-41.555,-32.819,-3.175,-0.0898,0.0651,-0.0001,-0.0249,1.1342,0.0000,0.0000,0.2200,0.0000,0.0000
249,-0.0750,0.0590,0.0235,-0.55,0.50,1.28,0.014,-44.292,-25.935,-1.276,-0.0906,0.0657,0.0071,-0.0278,1.1626,0.0000,0.0000,0.2200,0.0000,0.0000
259,-0.0763,0.0603,0.0330,-0.83,0.80,1.30,0.014,-32.019,-13.877,-1.802,-0.0913,0.0663,0.0091,-0.0200,1.1643,0.0000,0.0000,0.2200,0.0000,0.0000
