time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z
0,-0.0024,0.0004,-0.0002,0.20,-0.10,-37.96,0.008,0.042,-0.402,0.213
0,-0.0026,0.0022,-0.0003,0.19,-0.09,-37.92,0.008,-0.140,-0.074,-0.116
0,-0.0030,0.0022,-0.0003,0.20,-0.09,-37.89,0.008,0.043,-0.158,0.056
0,-0.0087,0.0052,0.0008,0.21,-0.04,-37.85,0.008,-0.017,0.028,0.377
0,-0.0012,-0.0037,0.0010,0.22,-0.13,-37.81,0.008,0.078,0.072,-0.045
0,-0.0005,-0.0026,0.0010,0.21,-0.12,-37.78,0.007,0.186,-0.261,-0.078
0,-0.0005,-0.0029,0.0008,0.21,-0.12,-37.74,0.007,-0.056,0.013,-0.054
0,0.0034,0.0005,-0.0011,0.17,-0.13,-37.70,0.007,0.184,0.047,-0.069
0,0.0019,0.0030,-0.0012,0.17,-0.11,-37.67,0.007,-0.046,-0.261,-0.128
0,-0.0003,-0.0018,-0.0012,0.21,-0.12,-37.63,0.007,0.194,-0.206,-0.188
0,-0.0003,-0.0018,-0.0013,0.21,-0.12,-37.59,0.007,-0.082,-0.011,0.078
0,0.0003,-0.0007,-0.0014,0.19,-0.12,-37.56,0.005,-0.244,-0.302,0.236
1,-0.0090,-0.0016,-0.0015,0.24,-0.06,-37.52,0.005,-0.080,-0.400,0.185
1,-0.0008,0.0151,-0.0069,0.10,-0.04,-37.48,0.005,-0.026,0.057,-0.050
1,-0.0008,-0.0000,-0.0063,0.20,-0.11,-37.44,0.005,0.044,-0.181,0.011
1,-0.0038,0.0021,-0.0061,0.19,-0.08,-37.41,0.007,-0.042,-0.039,0.146
1,-0.0013,-0.0011,-0.0060,0.20,-0.11,-37.37,0.007,0.150,-0.205,-0.265
1,-0.0019,0.0043,-0.0040,0.17,-0.08,-37.33,0.007,0.075,-0.467,-0.166
1,0.0011,0.0020,-0.0039,0.18,-0.11,-37.29,0.007,0.327,-0.390,0.039
1,-0.0032,0.0065,-0.0039,0.17,-0.06,-37.26,0.007,0.168,-0.143,0.018
1,-0.0033,0.0067,-0.0040,0.17,-0.06,-37.22,0.007,-0.002,-0.269,0.230
1,-0.0043,0.0028,-0.0041,0.20,-0.07,-37.19,0.009,-0.100,-0.013,0.015
1,-0.0109,-0.0001,-0.0043,0.25,-0.04,-37.15,0.009,0.296,-0.171,-0.242
1,-0.0057,0.0068,0.0018,0.18,-0.04,-37.11,0.009,0.074,-0.190,-0.139
2,-0.0026,0.0027,0.0019,0.19,-0.08,-37.08,0.009,0.326,-0.217,-0.269
2,-0.0062,-0.0023,0.0019,0.24,-0.08,-37.04,0.007,0.008,-0.188,0.059
2,-0.0018,0.0034,0.0021,0.19,-0.08,-37.01,0.007,0.143,-0.486,-0.108
2,-0.0101,0.0004,0.0007,0.24,-0.04,-36.97,0.007,-0.031,-0.260,-0.142
2,0.0011,0.0012,0.0010,0.18,-0.11,-36.93,0.007,-0.145,0.006,-0.047
2,-0.0030,-0.0000,0.0011,0.21,-0.09,-36.90,0.007,0.259,-0.025,-0.189
2,-0.0009,-0.0012,0.0011,0.21,-0.10,-36.86,0.007,0.134,-0.082,0.092
2,-0.0023,0.0072,0.0011,0.16,-0.06,-36.83,0.006,0.347,-0.001,0.028
2,-0.0070,0.0030,0.0012,0.21,-0.05,-36.79,0.006,0.333,-0.070,-0.106
