time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z
0,0.1941,1.3749,0.0084,-0.0008,-0.0002,-0.0052,-1.28,0.45,-55.87,0,4.128,0.040,-0.226,0.291,0.008,-0.024,0.000,0.000,0.000,0.000,0.0120,4,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
50,0.1939,1.3748,0.0098,-0.0011,-0.0019,0.0029,-1.32,0.45,-55.59,0,4.133,0.233,0.097,-0.116,0.008,-0.025,0.000,0.000,0.000,0.000,0.0100,4,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
101,0.1937,1.3746,0.0100,-0.0015,-0.0023,0.0027,-1.31,0.44,-55.32,0,4.123,0.317,-0.175,0.081,0.008,-0.024,0.000,0.000,0.000,0.000,0.0080,3,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000
152,0.1933,1.3747,0.0093,-0.0024,-0.0024,-0.0012,-1.31,0.44,-55.06,0,4.133,0.068,-0.421,-0.152,0.008,-0.026,0.000,0.000,0.000,0.000,0.0090,9,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
203,0.1938,1.3747,0.0091,0.0009,-0.0020,-0.0014,-1.26,0.44,-54.80,0,4.123,0.048,-0.230,0.108,0.009,-0.028,0.000,0.000,0.000,0.000,0.0080,3,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
254,0.1936,1.3746,0.0086,-0.0004,-0.0032,-0.0038,-1.31,0.45,-54.53,0,4.133,0.310,-0.372,-0.233,0.008,-0.025,0.000,0.000,0.000,0.000,0.0060,2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
305,0.1938,1.3746,0.0074,-0.0001,-0.0031,-0.0097,-1.32,0.45,-54.28,0,4.128,0.194,0.133,0.085,0.010,-0.025,0.000,0.000,0.000,0.000,0.0050,-1,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
356,0.1926,1.3738,0.0061,-0.0064,-0.0074,-0.0138,-1.29,0.45,-54.02,0,4.133,0.069,0.056,0.188,0.009,-0.026,0.000,0.000,0.000,0.000,0.0060,8,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000
407,0.1936,1.3748,0.0057,-0.0004,-0.0017,-0.0122,-1.27,0.46,-53.76,0,4.128,0.253,0.048,-0.277,0.008,-0.026,0.000,0.000,0.000,0.000,0.0090,2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
458,0.1931,1.3743,0.0067,-0.0026,-0.0045,-0.0036,-1.30,0.46,-53.50,0,4.133,0.137,-0.089,-0.234,0.009,-0.025,0.000,0.000,0.000,0.000,0.0100,8,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
509,0.1937,1.3747,0.0081,0.0003,-0.0014,0.0051,-1.27,0.46,-53.24,0,4.123,0.057,0.171,-0.239,0.010,-0.025,0.000,0.000,0.000,0.000,0.0080,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
560,0.1928,1.3741,0.0083,-0.0045,-0.0049,0.0049,-1.30,0.47,-52.99,0,4.133,0.180,-0.014,0.005,0.008,-0.026,0.000,0.000,0.000,0.000,0.0100,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
611,0.1937,1.3747,0.0092,0.0004,-0.0012,0.0082,-1.35,0.47,-52.73,0,4.128,0.068,-0.017,-0.110,0.008,-0.027,0.000,0.000,0.000,0.000,0.0080,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
662,0.1936,1.3746,0.0089,-0.0011,-0.0016,0.0047,-1.34,0.47,-52.48,0,4.133,0.144,0.098,-0.122,0.006,-0.025,0.000,0.000,0.000,0.000,0.0090,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
713,0.1928,1.3740,0.0091,-0.0059,-0.0058,0.0047,-1.29,0.47,-52.22,0,4.123,-0.049,0.299,0.089,0.007,-0.026,0.000,0.000,0.000,0.000,0.0090,-5,3,0.00,0.00,0.00,0.0000,0.0000,0.0000
764,0.1915,1.3730,0.0092,-0.0124,-0.0103,0.0038,-1.29,0.50,-51.97,0,4.133,-0.028,0.070,0.124,0.008,-0.024,0.000,0.000,0.000,0.000,0.0060,-3,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
815,0.1919,1.3733,0.0080,-0.0098,-0.0086,-0.0041,-1.29,0.47,-51.72,0,4.123,0.210,0.241,0.066,0.007,-0.027,0.000,0.000,0.000,0.000,0.0070,-8,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
866,0.1920,1.3734,0.0075,-0.0091,-0.0080,-0.0053,-1.34,0.47,-51.47,0,4.128,0.099,0.023,0.185,0.005,-0.029,0.000,0.000,0.000,0.000,0.0080,8,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
917,0.1936,1.3747,0.0076,-0.0022,-0.0020,-0.0033,-1.26,0.47,-51.22,0,4.123,0.096,0.056,0.344,0.010,-0.026,0.000,0.000,0.000,0.000,0.0080,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
968,0.1935,1.3746,0.0077,-0.0023,-0.0023,-0.0018,-1.34,0.47,-50.97,0,4.133,-0.142,-0.557,-0.018,0.008,-0.026,0.000,0.000,0.000,0.000,0.0090,-2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
1020,0.1919,1.3733,0.0082,-0.0103,-0.0087,0.0010,-1.29,0.48,-50.73,0,4.123,0.252,-0.148,-0.141,0.008,-0.024,0.000,0.000,0.000,0.000,0.0090,3,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
1070,0.1929,1.3741,0.0086,-0.0045,-0.0040,0.0027,-1.28,0.47,-50.48,0,4.133,0.019,-0.093,0.034,0.009,-0.026,0.000,0.000,0.000,0.000,0.0080,-3,1,0.00,0.00,0.00,0.0000,0.0000,0.0000
