time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y,acc_x,acc_y,acc_z
0,-0.0200,0.0083,0.0079,-1.00,0.33,-76.71,0.007,0.255,-0.675,0.021,-0.3238,1.1856,-0.0004,-0.0244,0.9993
101,-0.0183,0.0084,0.0080,-1.02,0.33,-76.64,0.007,0.275,-0.463,0.111,-0.3230,1.1865,-0.0010,-0.0250,1.0007
202,-0.0123,0.0058,0.0082,-1.06,0.30,-76.56,0.007,0.408,-0.869,-0.098,-0.3231,1.1858,0.0007,-0.0249,0.9996
304,-0.0085,0.0104,0.0002,-1.10,0.33,-76.49,0.007,0.522,-0.456,0.068,-0.3235,1.1857,0.0039,-0.0251,0.9993
405,-0.0089,0.0065,0.0001,-1.09,0.30,-76.42,0.007,0.301,-0.147,0.310,-0.3230,1.1865,0.0034,-0.0242,0.9978
506,-0.0114,0.0060,-0.0001,-1.07,0.30,-76.35,0.009,0.310,-0.161,0.007,-0.3229,1.1859,0.0009,-0.0231,0.9984
607,-0.0089,0.0103,-0.0000,-1.10,0.33,-76.28,0.009,0.512,-0.510,0.341,-0.3260,1.1839,-0.0003,-0.0236,0.9988
708,-0.0082,0.0067,0.0000,-1.09,0.30,-76.21,0.009,0.450,-0.553,-0.227,-0.3248,1.1861,-0.0003,-0.0258,0.9990
809,-0.0241,-0.0035,0.0000,-0.95,0.25,-76.14,0.009,0.451,-0.312,0.044,-0.3244,1.1862,-0.0015,-0.0253,0.9987
910,-0.0178,0.0077,0.0003,-1.02,0.32,-76.06,0.009,0.462,-0.417,0.234,-0.3245,1.1863,-0.0008,-0.0247,1.0013
1011,-0.0151,0.0081,0.0001,-1.05,0.32,-75.99,0.008,0.462,-0.490,-0.060,-0.3229,1.1857,-0.0003,-0.0232,0.9987
1112,-0.0158,0.0085,0.0000,-1.04,0.33,-75.92,0.008,0.459,-0.465,0.077,-0.3231,1.1866,0.0008,-0.0233,1.0014
1214,-0.0071,0.0053,0.0002,-1.10,0.28,-75.86,0.008,0.377,-0.413,0.101,-0.3232,1.1849,0.0006,-0.0230,1.0003
1315,-0.0087,0.0102,-0.0026,-1.10,0.32,-75.78,0.008,0.302,-0.377,-0.124,-0.3233,1.1853,0.0025,-0.0258,0.9977
1416,-0.0091,0.0011,-0.0024,-1.08,0.25,-75.71,0.008,0.513,-0.483,0.266,-0.3239,1.1847,0.0013,-0.0259,0.9992
1518,-0.0098,0.0037,-0.0024,-1.08,0.28,-75.64,0.007,0.188,-0.528,-0.100,-0.3239,1.1849,-0.0001,-0.0253,1.0007
1620,-0.0127,0.0006,-0.0023,-1.05,0.26,-75.57,0.007,0.360,-0.300,0.086,-0.3231,1.1866,0.0027,-0.0229,1.0005
1721,-0.0128,0.0019,-0.0056,-1.05,0.27,-75.50,0.007,0.417,-0.260,-0.132,-0.3243,1.1863,0.0035,-0.0228,0.9991
1822,-0.0089,0.0103,-0.0057,-1.10,0.33,-75.43,0.007,0.354,-0.644,-0.035,-0.3239,1.1857,0.0010,-0.0234,0.9990
1923,-0.0148,0.0084,-0.0058,-1.05,0.32,-75.36,0.007,0.115,-0.418,0.095,-0.3243,1.1863,0.0022,-0.0248,0.9983
2024,-0.0128,0.0052,-0.0056,-1.06,0.29,-75.29,0.010,0.360,-0.348,0.026,-0.3235,1.1864,0.0025,-0.0225,0.9998
2125,-0.0146,0.0081,-0.0056,-1.05,0.32,-75.22,0.010,0.460,-0.256,-0.033,-0.3236,1.1865,0.0021,-0.0208,1.0026
2227,-0.0242,-0.0044,-0.0056,-0.95,0.25,-75.15,0.010,0.517,-0.733,-0.259,-0.3237,1.1866,0.0034,-0.0242,1.0004
2328,-0.0103,0.0090,0.0004,-1.09,0.32,-75.09,0.010,0.467,-0.559,0.245,-0.3237,1.1858,0.0017,-0.0227,0.9994
2429,-0.0109,0.0093,0.0004,-1.09,0.33,-75.02,0.010,0.490,-0.237,-0.054,-0.3239,1.1859,0.0006,-0.0232,1.0006
2530,-0.0110,0.0052,0.0004,-1.08,0.30,-74.95,0.011,0.307,-0.507,-0.030,-0.3236,1.1867,0.0010,-0.0242,1.0008
2631,-0.0113,0.0054,0.0006,-1.07,0.30,-74.88,0.011,0.144,-0.266,0.243,-0.3237,1.1868,-0.0004,-0.0241,0.9973
2732,-0.0097,0.0095,0.0055,-1.09,0.33,-74.81,0.011,0.244,-0.393,-0.180,-0.3234,1.1869,0.0011,-0.0245,0.9982
2833,-0.0102,0.0097,0.0054,-1.09,0.33,-74.74,0.011,0.508,-0.622,-0.192,-0.3246,1.1863,0.0028,-0.0240,0.9972
2934,-0.0088,0.0098,0.0055,-1.10,0.33,-74.67,0.011,0.500,-0.350,0.032,-0.3244,1.1866,0.0018,-0.0255,0.9994
0,-0.0147,0.0066,0.0056,-1.04,0.32,-74.60,0.011,0.070,-0.510,0.021,-0.3228,1.1865,0.0012,-0.0258,0.9988
51,-0.0136,0.0081,0.0055,-1.06,0.33,-74.53,0.011,0.416,-0.415,-0.189,-0.3227,1.1852,0.0016,-0.0222,1.0003
102,-0.0056,0.0076,0.0056,-1.12,0.31,-74.46,0.011,0.374,-0.316,0.248,-0.3236,1.1850,0.0005,-0.0221,1.0011
154,-0.0053,0.0011,0.0076,-1.10,0.26,-74.39,0.011,0.659,-0.076,0.014,-0.3245,1.1847,0.0009,-0.0224,1.0005
205,-0.0103,-0.0002,0.0075,-1.06,0.26,-74.32,0.011,0.255,-0.596,-0.112,-0.3235,1.1855,-0.0001,-0.0217,0.9991
256,-0.0152,-0.0014,0.0074,-1.03,0.26,-74.25,0.010,0.234,-0.238,0.020,-0.3238,1.1867,-0.0021,-0.0255,0.9986
307,-0.0097,0.0027,0.0075,-1.08,0.28,-74.18,0.010,0.350,-0.717,-0.049,-0.3233,1.1868,0.0017,-0.0260,0.9980
359,-0.0112,0.0087,0.0060,-1.08,0.33,-74.11,0.010,0.351,-0.489,0.004,-0.3249,1.1863,-0.0005,-0.0229,0.9980
410,-0.0088,0.0092,0.0061,-1.10,0.33,-74.04,0.010,0.722,-0.540,-0.351,-0.3244,1.1855,0.0009,-0.0248,0.9999
461,-0.0167,0.0069,0.0060,-1.03,0.33,-73.98,0.010,0.487,-0.244,0.127,-0.3238,1.1867,0.0009,-0.0243,1.0022
511,-0.0141,0.0028,0.0060,-1.04,0.29,-73.91,0.006,0.186,-0.347,-0.160,-0.3240,1.1863,0.0002,-0.0253,1.0003
562,-0.0110,0.0086,0.0059,-1.08,0.33,-73.84,0.006,0.308,-0.532,-0.197,-0.3241,1.1858,0.0013,-0.0232,1.0025
614,-0.0119,0.0071,0.0058,-1.07,0.32,-73.77,0.006,0.664,-0.393,-0.203,-0.3249,1.1863,0.0004,-0.0233,1.0014
665,-0.0124,0.0043,-0.0052,-1.06,0.30,-73.70,0.006,-0.051,-0.334,-0.214,-0.3240,1.1866,0.0010,-0.0254,1.0002
716,-0.0167,0.0067,-0.0051,-1.03,0.33,-73.63,0.006,0.222,-0.513,-0.197,-0.3238,1.1859,0.0025,-0.0243,0.9989
767,-0.0122,0.0079,-0.0049,-1.07,0.32,-73.57,0.010,0.358,-0.465,0.144,-0.3245,1.1864,0.0018,-0.0249,1.0003
818,-0.0111,0.0045,-0.0046,-1.07,0.30,-73.50,0.010,0.287,-0.324,-0.107,-0.3246,1.1855,0.0012,-0.0231,1.0013
869,-0.0142,0.0072,-0.0015,-1.05,0.32,-73.43,0.010,0.296,-0.507,-0.156,-0.3236,1.1851,0.0015,-0.0218,0.9986
920,-0.0151,0.0020,-0.0014,-1.04,0.29,-73.36,0.010,0.220,-0.629,-0.058,-0.3236,1.1858,0.0019,-0.0205,0.9979
972,-0.0096,0.0001,-0.0013,-1.08,0.26,-73.29,0.010,0.252,-0.499,0.069,-0.3235,1.1860,0.0035,-0.0218,1.0004
1023,-0.0096,0.0038,-0.0013,-1.09,0.29,-73.23,0.011,0.406,-0.332,-0.091,-0.3240,1.1850,0.0010,-0.0224,1.0009
1073,-0.0100,0.0049,-0.0011,-1.08,0.30,-73.16,0.011,0.211,-0.507,0.129,-0.3234,1.1854,0.0005,-0.0248,1.0004
1125,-0.0119,-0.0005,-0.0011,-1.06,0.27,-73.09,0.011,0.393,-0.436,0.036,-0.3238,1.1867,0.0001,-0.0259,1.0008
1175,-0.0085,0.0019,0.0031,-1.09,0.28,-73.02,0.011,0.284,-0.330,-0.124,-0.3241,1.1866,0.0008,-0.0226,0.9979
1226,-0.0104,0.0087,0.0030,-1.08,0.33,-72.96,0.011,0.352,-0.618,0.099,-0.3251,1.1847,0.0014,-0.0218,0.9963
1278,-0.0114,0.0082,0.0031,-1.07,0.33,-72.89,0.007,0.360,-0.492,0.051,-0.3239,1.1867,0.0032,-0.0239,1.0001
1329,-0.0168,-0.0022,0.0033,-1.01,0.27,-72.82,0.007,0.194,-0.467,0.283,-0.3248,1.1859,0.0046,-0.0223,1.0009
1380,-0.0103,0.0085,-0.0031,-1.09,0.33,-72.75,0.007,0.171,-0.330,0.278,-0.3236,1.1851,0.0024,-0.0227,1.0019
1431,-0.0152,0.0046,-0.0032,-1.04,0.32,-72.68,0.007,0.208,-0.251,0.268,-0.3243,1.1865,0.0022,-0.0218,0.9992
1483,-0.0088,0.0005,-0.0034,-1.07,0.27,-72.62,0.007,0.153,-0.582,-0.073,-0.3235,1.1868,0.0024,-0.0243,1.0024
1533,-0.0122,0.0079,-0.0035,-1.07,0.34,-72.55,0.011,0.241,-0.488,-0.136,-0.3243,1.1866,0.0010,-0.0234,1.0018
1585,-0.0077,0.0088,-0.0033,-1.11,0.34,-72.48,0.011,0.258,-0.499,-0.084,-0.3245,1.1849,0.0019,-0.0218,1.0005
1635,-0.0120,0.0071,-0.0031,-1.07,0.33,-72.41,0.011,0.273,-0.476,0.185,-0.3241,1.1860,0.0028,-0.0227,0.9998
1686,-0.0126,-0.0015,0.0021,-1.04,0.27,-72.34,0.011,0.128,-0.369,0.074,-0.3242,1.1860,0.0019,-0.0232,1.0013
1737,-0.0106,0.0040,0.0023,-1.07,0.31,-72.27,0.011,0.366,-0.509,0.127,-0.3239,1.1851,0.0022,-0.0242,1.0018
1789,-0.0112,0.0043,0.0026,-1.07,0.31,-72.21,0.009,0.206,-0.590,-0.082,-0.3247,1.1866,0.0018,-0.0244,0.9998
1840,-0.0096,-0.0002,0.0027,-1.07,0.27,-72.14,0.009,0.370,-0.299,0.002,-0.3242,1.1851,-0.0006,-0.0240,0.9992
1891,-0.0131,0.0073,0.0008,-1.06,0.34,-72.07,0.009,0.132,-0.786,0.131,-0.3242,1.1867,0.0007,-0.0233,1.0000
1942,-0.0104,-0.0007,0.0011,-1.06,0.28,-72.00,0.009,0.315,-0.261,0.084,-0.3244,1.1859,0.0034,-0.0234,0.9994
1993,-0.0108,0.0079,0.0013,-1.08,0.35,-71.94,0.009,0.231,-0.436,0.238,-0.3244,1.1866,0.0021,-0.0219,0.9993
2044,-0.0120,0.0037,0.0014,-1.06,0.32,-71.87,0.014,0.576,-0.256,-0.081,-0.3231,1.1855,-0.0002,-0.0220,0.9988
2095,-0.0120,0.0074,0.0013,-1.07,0.35,-71.80,0.014,0.206,-0.204,0.209,-0.3243,1.1856,0.0032,-0.0213,0.9982
2146,-0.0051,0.0012,0.0016,-1.11,0.28,-71.73,0.014,0.474,-0.493,-0.071,-0.3242,1.1867,0.0019,-0.0211,0.9987
2197,-0.0113,0.0017,0.0113,-1.06,0.30,-71.66,0.014,0.117,-0.249,0.037,-0.3243,1.1868,0.0008,-0.0235,0.9980
2249,-0.0108,0.0079,0.0113,-1.08,0.35,-71.60,0.014,0.325,-0.545,-0.038,-0.3238,1.1853,0.0008,-0.0231,0.9984
2299,-0.0113,0.0083,0.0112,-1.07,0.35,-71.53,0.008,0.685,-0.398,-0.280,-0.3243,1.1868,-0.0000,-0.0213,0.9990
2351,-0.0083,0.0001,0.0113,-1.07,0.28,-71.46,0.008,0.589,-0.348,-0.011,-0.3243,1.1852,-0.0006,-0.0239,0.9994
2401,-0.0109,0.0081,0.0022,-1.07,0.35,-71.40,0.008,0.130,-0.431,0.141,-0.3237,1.1870,0.0000,-0.0246,1.0006
2452,-0.0105,-0.0006,0.0022,-1.06,0.28,-71.33,0.008,0.664,-0.468,-0.487,-0.3238,1.1871,0.0026,-0.0218,0.9983
2504,-0.0076,0.0094,0.0021,-1.10,0.35,-71.27,0.008,-0.022,-0.550,0.089,-0.3239,1.1872,0.0018,-0.0251,0.9982
2554,-0.0080,0.0099,0.0020,-1.10,0.35,-71.20,0.008,0.475,-0.377,-0.108,-0.3236,1.1863,0.0023,-0.0272,0.9993
2605,-0.0086,0.0103,0.0020,-1.09,0.36,-71.13,0.008,0.597,-0.526,0.275,-0.3240,1.1861,0.0007,-0.0252,1.0015
2656,-0.0071,0.0053,0.0022,-1.09,0.31,-71.06,0.008,0.413,-0.240,0.155,-0.3247,1.1858,0.0003,-0.0241,1.0002
2707,-0.0096,0.0042,-0.0033,-1.07,0.31,-71.00,0.008,0.344,-0.097,-0.310,-0.3248,1.1868,0.0009,-0.0253,1.0011
2758,-0.0132,0.0029,-0.0036,-1.04,0.31,-70.93,0.008,0.229,-0.625,-0.268,-0.3245,1.1852,0.0020,-0.0241,1.0010
2810,-0.0138,0.0078,-0.0037,-1.05,0.35,-70.86,0.011,0.105,-0.721,-0.032,-0.3248,1.1863,0.0004,-0.0222,1.0003
2861,-0.0122,-0.0010,-0.0034,-1.04,0.28,-70.80,0.011,0.385,-0.381,-0.072,-0.3240,1.1863,0.0004,-0.0223,1.0000
2913,-0.0142,0.0051,0.0003,-1.04,0.33,-70.73,0.011,0.211,-0.408,-0.152,-0.3239,1.1872,-0.0001,-0.0227,1.0000
2964,-0.0103,0.0052,0.0005,-1.07,0.32,-70.66,0.011,0.741,-0.397,-0.111,-0.3240,1.1873,-0.0007,-0.0257,0.9991
3015,-0.0093,0.0093,0.0006,-1.09,0.35,-70.60,0.011,0.183,-0.848,0.018,-0.3241,1.1874,0.0021,-0.0223,0.9994
3065,-0.0098,0.0096,0.0007,-1.09,0.35,-70.53,0.007,0.207,-0.392,-0.051,-0.3241,1.1873,0.0004,-0.0237,1.0005
3117,-0.0103,0.0100,0.0007,-1.08,0.36,-70.47,0.007,0.442,-0.424,-0.472,-0.3267,1.1865,-0.0004,-0.0233,0.9995
3167,-0.0108,0.0105,0.0007,-1.08,0.36,-70.40,0.007,0.358,-0.579,-0.209,-0.3244,1.1873,0.0029,-0.0241,1.0015
3218,-0.0240,0.0055,-0.0060,-0.97,0.36,-70.34,0.007,0.453,-0.385,0.083,-0.3243,1.1862,0.0023,-0.0244,1.0019
3269,-0.0115,0.0096,-0.0057,-1.07,0.36,-70.27,0.007,0.456,-0.434,-0.024,-0.3255,1.1857,0.0034,-0.0230,1.0012
3321,-0.0108,0.0037,-0.0056,-1.06,0.31,-70.21,0.010,0.263,-0.516,0.100,-0.3246,1.1872,0.0016,-0.0249,1.0001
3373,-0.0171,0.0016,-0.0056,-1.01,0.31,-70.14,0.010,0.492,-0.385,0.051,-0.3245,1.1861,0.0003,-0.0232,1.0008
3423,-0.0122,0.0089,-0.0022,-1.06,0.35,-70.07,0.010,0.057,-0.778,0.080,-0.3246,1.1872,0.0010,-0.0245,1.0000
3474,-0.0116,0.0031,-0.0019,-1.05,0.31,-70.01,0.010,0.170,-0.414,-0.215,-0.3244,1.1853,0.0014,-0.0241,1.0021
3525,-0.0120,0.0083,-0.0018,-1.06,0.35,-69.94,0.010,0.291,-0.413,-0.298,-0.3245,1.1872,0.0005,-0.0245,0.9984
3576,-0.0112,-0.0013,-0.0015,-1.04,0.28,-69.88,0.011,0.284,-0.492,-0.433,-0.3236,1.1862,0.0013,-0.0244,0.9999
3628,-0.0119,0.0082,-0.0014,-1.06,0.35,-69.81,0.011,0.196,-0.269,-0.071,-0.3250,1.1870,0.0030,-0.0260,1.0016
3679,-0.0073,0.0030,-0.0012,-1.09,0.30,-69.75,0.011,0.375,-0.186,0.045,-0.3247,1.1871,0.0038,-0.0226,1.0028
3731,-0.0143,0.0072,0.0032,-1.05,0.35,-69.68,0.011,0.438,-0.718,-0.215,-0.3240,1.1873,0.0023,-0.0227,1.0001
3782,-0.0130,0.0074,0.0031,-1.06,0.35,-69.62,0.011,0.350,-0.681,0.055,-0.3244,1.1864,0.0029,-0.0237,0.9979
3833,-0.0096,0.0085,0.0032,-1.09,0.34,-69.55,0.011,0.597,-0.578,-0.231,-0.3248,1.1869,0.0002,-0.0227,0.9986
3885,-0.0119,0.0035,0.0034,-1.06,0.31,-69.48,0.011,0.483,-0.351,0.099,-0.3249,1.1869,-0.0010,-0.0252,0.9993
3936,-0.0118,-0.0030,0.0058,-1.04,0.27,-69.42,0.011,0.423,-0.577,-0.051,-0.3242,1.1865,0.0008,-0.0245,0.9987
3986,-0.0139,0.0064,0.0059,-1.05,0.35,-69.36,0.011,0.410,-0.784,-0.050,-0.3243,1.1865,0.0010,-0.0240,0.9997
4038,-0.0145,0.0065,0.0058,-1.04,0.35,-69.29,0.011,0.465,-0.588,-0.248,-0.3245,1.1864,0.0020,-0.0219,0.9995
4088,-0.0107,0.0038,0.0058,-1.06,0.32,-69.23,0.011,0.454,-0.265,0.183,-0.3255,1.1848,0.0001,-0.0220,1.0014
4140,-0.0120,0.0036,0.0058,-1.06,0.33,-69.16,0.011,0.212,-0.418,-0.075,-0.3263,1.1863,-0.0011,-0.0212,1.0010
4191,-0.0167,-0.0045,0.0056,-1.00,0.28,-69.10,0.011,0.165,-0.439,-0.031,-0.3250,1.1870,0.0000,-0.0234,1.0002
4242,-0.0206,0.0033,0.0060,-0.99,0.35,-69.03,0.011,0.183,-0.403,0.249,-0.3246,1.1854,0.0005,-0.0219,0.9990
