time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,range_z,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,1.9217,5.6323,0.0094,0.0100,0.0080,0.0023,1.14,0.78,-64.10,0,0.009,-0.377,0.228,0.323,0.012,0.023,1.000,0.000,0.000,0.000
0,1.9225,5.6342,0.0094,0.0141,0.0176,0.0023,1.18,0.77,-64.04,0,0.009,-0.043,-0.128,-0.051,0.015,0.022,1.001,0.000,0.000,0.000
0,1.9225,5.6332,0.0095,0.0136,0.0119,0.0026,1.12,0.74,-63.98,0,0.009,-0.028,-0.092,-0.190,0.015,0.023,0.999,0.000,0.000,0.000
0,1.9218,5.6326,0.0095,0.0095,0.0085,0.0027,1.11,0.76,-63.92,0,0.009,-0.201,0.155,0.321,0.014,0.025,0.998,0.000,0.000,0.000
0,1.9234,5.6327,0.0095,0.0179,0.0085,0.0028,1.16,0.76,-63.86,0,0.009,-0.144,-0.022,0.044,0.013,0.021,1.001,0.000,0.000,0.000
0,1.9234,5.6331,0.0093,0.0173,0.0107,0.0016,1.20,0.74,-63.80,0,0.008,-0.274,-0.104,-0.306,0.011,0.021,1.001,0.000,0.000,0.000
0,1.9227,5.6328,0.0094,0.0126,0.0084,0.0017,1.16,0.73,-63.74,0,0.008,0.020,0.059,0.016,0.015,0.023,1.003,0.000,0.000,0.000
1,1.9221,5.6320,0.0094,0.0089,0.0039,0.0019,1.22,0.74,-63.68,0,0.008,0.140,0.161,-0.093,0.017,0.023,1.003,0.000,0.000,0.000
1,1.9229,5.6322,0.0094,0.0133,0.0046,0.0019,1.23,0.76,-63.62,0,0.008,-0.082,-0.088,0.040,0.015,0.025,1.002,0.000,0.000,0.000
1,1.9217,5.6318,0.0095,0.0064,0.0025,0.0019,1.22,0.79,-63.56,0,0.008,-0.012,0.117,0.171,0.013,0.025,1.000,0.000,0.000,0.000
1,1.9213,5.6321,0.0088,0.0041,0.0039,-0.0015,1.18,0.76,-63.50,0,0.010,0.115,0.077,-0.197,0.013,0.026,1.002,0.000,0.000,0.000
1,1.9213,5.6330,0.0088,0.0038,0.0088,-0.0013,1.21,0.73,-63.44,0,0.010,-0.120,-0.163,-0.124,0.016,0.023,1.002,0.000,0.000,0.000
1,1.9224,5.6328,0.0088,0.0092,0.0073,-0.0010,1.19,0.73,-63.38,0,0.010,0.037,-0.047,-0.068,0.013,0.024,0.999,0.000,0.000,0.000
1,1.9223,5.6319,0.0088,0.0090,0.0018,-0.0007,1.22,0.75,-63.32,0,0.010,-0.096,0.017,0.010,0.013,0.025,0.998,0.000,0.000,0.000
1,1.9227,5.6321,0.0088,0.0110,0.0026,-0.0004,1.23,0.77,-63.26,0,0.010,-0.167,-0.144,-0.215,0.013,0.024,1.002,0.000,0.000,0.000
2,1.9220,5.6322,0.0093,0.0067,0.0032,0.0022,1.23,0.73,-63.20,0,0.011,0.053,0.055,0.149,0.011,0.024,1.002,0.000,0.000,0.000
2,1.9216,5.6325,0.0093,0.0047,0.0046,0.0024,1.23,0.73,-63.14,0,0.011,0.029,0.401,0.105,0.013,0.022,1.000,0.000,0.000,0.000
2,1.9220,5.6317,0.0094,0.0067,0.0003,0.0026,1.17,0.73,-63.08,0,0.011,0.014,-0.002,-0.047,0.012,0.023,0.999,0.000,0.000,0.000
2,1.9220,5.6317,0.0094,0.0069,0.0003,0.0026,1.23,0.75,-63.02,0,0.011,0.032,-0.000,-0.090,0.013,0.023,1.000,0.000,0.000,0.000
2,1.9234,5.6324,0.0094,0.0141,0.0042,0.0025,1.20,0.73,-62.96,0,0.011,0.130,-0.127,-0.172,0.014,0.024,1.002,0.000,0.000,0.000
2,1.9220,5.6322,0.0101,0.0064,0.0030,0.0064,1.17,0.76,-62.90,0,0.012,-0.464,-0.131,0.304,0.012,0.023,1.000,0.000,0.000,0.000
2,1.9228,5.6321,0.0102,0.0103,0.0027,0.0066,1.16,0.76,-62.84,0,0.012,-0.048,0.161,-0.028,0.013,0.022,1.002,0.000,0.000,0.000
2,1.9231,5.6330,0.0103,0.0113,0.0072,0.0066,1.22,0.77,-62.79,0,0.012,-0.198,-0.056,-0.325,0.016,0.024,1.000,0.000,0.000,0.000
3,1.9234,5.6332,0.0103,0.0128,0.0081,0.0066,1.20,0.81,-62.73,0,0.012,-0.076,0.048,0.029,0.015,0.023,1.000,0.000,0.000,0.000
3,1.9222,5.6328,0.0104,0.0057,0.0056,0.0067,1.18,0.79,-62.67,0,0.012,-0.110,0.242,-0.063,0.011,0.023,1.003,0.000,0.000,0.000
3,1.9222,5.6338,0.0111,0.0054,0.0106,0.0102,1.18,0.73,-62.61,0,0.012,0.081,0.176,-0.076,0.013,0.021,1.001,0.000,0.000,0.000
3,1.9229,5.6337,0.0113,0.0093,0.0099,0.0103,1.26,0.76,-62.55,0,0.012,-0.090,0.011,0.102,0.014,0.022,1.000,0.000,0.000,0.000
3,1.9235,5.6325,0.0114,0.0120,0.0034,0.0105,1.26,0.75,-62.49,0,0.012,-0.111,0.086,-0.183,0.013,0.023,1.000,0.000,0.000,0.000
3,1.9217,5.6323,0.0115,0.0021,0.0020,0.0108,1.27,0.74,-62.43,0,0.012,-0.054,-0.090,0.022,0.011,0.025,1.001,0.000,0.000,0.000
3,1.9218,5.6322,0.0116,0.0027,0.0008,0.0108,1.21,0.74,-62.37,0,0.012,0.213,0.090,-0.249,0.013,0.024,1.000,0.000,0.000,0.000
3,1.9217,5.6319,0.0118,0.0021,-0.0005,0.0117,1.19,0.75,-62.31,0,0.012,-0.001,0.007,-0.200,0.014,0.023,0.999,0.000,0.000,0.000
3,1.9228,5.6324,0.0120,0.0079,0.0027,0.0120,1.19,0.75,-62.25,0,0.012,0.120,-0.132,-0.258,0.012,0.024,1.000,0.000,0.000,0.000
3,1.9231,5.6328,0.0121,0.0090,0.0046,0.0120,1.21,0.73,-62.20,0,0.012,0.066,0.137,0.276,0.013,0.023,1.001,0.000,0.000,0.000
3,1.9232,5.6329,0.0122,0.0092,0.0047,0.0121,1.19,0.75,-62.14,0,0.012,0.092,-0.237,-0.071,0.013,0.024,1.001,0.000,0.000,0.000
3,1.9232,5.6324,0.0123,0.0090,0.0020,0.0122,1.21,0.78,-62.08,0,0.012,-0.003,-0.434,-0.546,0.013,0.022,1.000,0.000,0.000,0.000
3,1.9234,5.6330,0.0123,0.0097,0.0053,0.0116,1.22,0.74,-62.02,0,0.008,-0.080,-0.040,0.009,0.013,0.023,1.000,0.000,0.000,0.000
3,1.9227,5.6333,0.0124,0.0056,0.0072,0.0116,1.27,0.75,-61.96,0,0.008,-0.053,-0.004,-0.294,0.012,0.024,1.002,0.000,0.000,0.000
3,1.9231,5.6326,0.0126,0.0077,0.0027,0.0116,1.20,0.78,-61.90,0,0.008,-0.040,-0.279,-0.057,0.012,0.025,1.000,0.000,0.000,0.000
4,1.9219,5.6322,0.0127,0.0004,0.0003,0.0118,1.23,0.78,-61.85,0,0.008,0.036,-0.013,-0.143,0.014,0.023,1.001,0.000,0.000,0.000
4,1.9230,5.6335,0.0128,0.0073,0.0081,0.0121,1.23,0.74,-61.79,0,0.008,0.030,0.165,0.089,0.013,0.024,1.001,0.000,0.000,0.000
4,1.9225,5.6332,0.0108,0.0040,0.0061,0.0006,1.25,0.74,-61.73,0,0.010,0.119,0.202,-0.275,0.013,0.022,1.002,0.000,0.000,0.000
4,1.9229,5.6325,0.0108,0.0060,0.0016,0.0007,1.28,0.80,-61.67,0,0.010,-0.087,-0.004,-0.226,0.014,0.024,1.004,0.000,0.000,0.000
4,1.9225,5.6323,0.0108,0.0037,0.0005,0.0009,1.23,0.73,-61.61,0,0.010,0.006,0.051,-0.261,0.013,0.025,1.001,0.000,0.000,0.000
4,1.9214,5.6331,0.0108,-0.0026,0.0052,0.0010,1.28,0.75,-61.56,0,0.010,-0.195,0.235,-0.138,0.013,0.024,1.000,0.000,0.000,0.000
4,1.9230,5.6323,0.0109,0.0066,0.0005,0.0014,1.23,0.74,-61.50,0,0.010,0.209,0.407,-0.061,0.013,0.022,1.002,0.000,0.000,0.000
4,1.9217,5.6320,0.0105,-0.0007,-0.0007,-0.0004,1.26,0.77,-61.44,0,0.008,-0.284,-0.123,-0.081,0.014,0.023,1.000,0.000,0.000,0.000
4,1.9228,5.6324,0.0105,0.0049,0.0012,-0.0002,1.22,0.74,-61.38,0,0.008,0.157,0.129,-0.105,0.013,0.022,1.002,0.000,0.000,0.000
4,1.9219,5.6326,0.0105,0.0002,0.0025,0.0002,1.27,0.77,-61.32,0,0.008,-0.067,0.170,-0.047,0.011,0.024,1.002,0.000,0.000,0.000
4,1.9229,5.6325,0.0106,0.0060,0.0018,0.0004,1.23,0.78,-61.26,0,0.008,-0.078,-0.114,-0.179,0.013,0.027,1.001,0.000,0.000,0.000
4,1.9216,5.6327,0.0106,-0.0012,0.0030,0.0005,1.21,0.72,-61.21,0,0.008,-0.235,0.035,0.099,0.014,0.023,1.000,0.000,0.000,0.000
4,1.9223,5.6333,0.0095,0.0024,0.0060,-0.0053,1.21,0.72,-61.15,0,0.010,0.035,0.145,-0.014,0.013,0.023,1.003,0.000,0.000,0.000
4,1.9232,5.6324,0.0094,0.0076,0.0009,-0.0051,1.20,0.74,-61.09,0,0.010,-0.264,-0.184,0.102,0.011,0.024,1.003,0.000,0.000,0.000
4,1.9233,5.6324,0.0094,0.0077,0.0009,-0.0050,1.20,0.82,-61.03,0,0.010,-0.134,-0.077,0.166,0.013,0.025,1.001,0.000,0.000,0.000
4,1.9234,5.6327,0.0093,0.0079,0.0026,-0.0048,1.19,0.78,-60.97,0,0.010,0.009,0.034,-0.167,0.013,0.023,1.003,0.000,0.000,0.000
4,1.9226,5.6345,0.0093,0.0038,0.0126,-0.0046,1.25,0.73,-60.92,0,0.010,-0.375,0.043,-0.367,0.014,0.025,1.002,0.000,0.000,0.000
