time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y
3,-0.0228,-0.0187,-0.0030,-0.33,-0.52,-42.72,0.010,0.009,0.583,-0.061,0.7696,1.0926
3,-0.0238,-0.0154,-0.0026,-0.36,-0.49,-42.67,0.010,-0.079,-0.124,0.093,0.7690,1.0926
3,-0.0182,-0.0167,-0.0023,-0.39,-0.53,-42.63,0.010,0.037,0.024,0.031,0.7694,1.0927
3,-0.0185,-0.0140,-0.0020,-0.41,-0.52,-42.59,0.010,-0.287,0.275,0.322,0.7685,1.0911
3,-0.0211,-0.0138,-0.0019,-0.40,-0.50,-42.54,0.011,-0.242,0.379,-0.024,0.7704,1.0913
3,-0.0179,-0.0125,-0.0015,-0.43,-0.52,-42.50,0.011,0.097,-0.034,-0.043,0.7690,1.0923
3,-0.0225,-0.0216,-0.0016,-0.36,-0.54,-42.47,0.011,-0.166,0.248,0.189,0.7694,1.0917
3,-0.0110,-0.0195,0.0017,-0.43,-0.59,-42.42,0.011,-0.087,0.138,0.148,0.7692,1.0915
3,-0.0182,-0.0136,0.0022,-0.44,-0.52,-42.38,0.009,-0.042,0.153,0.092,0.7698,1.0922
3,-0.0158,-0.0165,0.0025,-0.44,-0.55,-42.34,0.009,0.118,0.192,-0.185,0.7703,1.0928
4,-0.0162,-0.0171,0.0025,-0.44,-0.55,-42.30,0.009,0.058,0.054,0.129,0.7698,1.0922
4,-0.0123,-0.0129,-0.0007,-0.49,-0.55,-42.26,0.009,-0.128,0.263,0.062,0.7696,1.0924
4,-0.0086,-0.0089,-0.0003,-0.53,-0.56,-42.21,0.009,-0.060,0.280,0.139,0.7692,1.0919
4,-0.0112,-0.0124,-0.0001,-0.50,-0.56,-42.17,0.009,0.080,0.475,-0.050,0.7683,1.0908
4,-0.0116,-0.0116,0.0004,-0.51,-0.55,-42.13,0.007,-0.121,0.105,-0.214,0.7694,1.0889
4,-0.0135,-0.0139,0.0006,-0.49,-0.55,-42.09,0.007,-0.232,0.361,0.213,0.7661,1.0877
4,-0.0185,-0.0196,0.0006,-0.43,-0.55,-42.05,0.007,-0.337,0.215,0.230,0.7671,1.0888
4,-0.0116,-0.0292,-0.0062,-0.42,-0.65,-42.01,0.007,-0.399,0.447,-0.050,0.7679,1.0901
4,-0.0294,-0.0349,-0.0065,-0.29,-0.57,-41.97,0.011,-0.096,0.128,-0.106,0.7665,1.0907
4,-0.0230,-0.0278,-0.0056,-0.38,-0.57,-41.93,0.011,-0.349,0.013,0.215,0.7650,1.0904
4,-0.0178,-0.0204,-0.0048,-0.46,-0.56,-41.88,0.011,-0.170,0.190,0.329,0.7661,1.0903
4,-0.0245,-0.0164,0.0007,-0.46,-0.50,-41.84,0.011,0.087,0.100,-0.048,0.7655,1.0908
4,-0.0313,-0.0180,0.0007,-0.41,-0.47,-41.79,0.011,-0.392,0.374,0.107,0.7656,1.0907
4,-0.0243,-0.0177,0.0011,-0.46,-0.51,-41.75,0.011,0.075,0.275,-0.276,0.7631,1.0875
4,-0.0264,-0.0142,0.0012,-0.47,-0.48,-41.71,0.009,-0.051,0.203,0.097,0.7629,1.0863
4,-0.0244,-0.0146,0.0013,-0.48,-0.50,-41.67,0.009,0.056,0.184,-0.254,0.7618,1.0873
4,-0.0376,-0.0317,0.0003,-0.32,-0.51,-41.63,0.009,-0.115,0.210,0.007,0.7626,1.0873
4,-0.0371,-0.0370,-0.0008,-0.29,-0.55,-41.59,0.009,-0.137,0.232,-0.216,0.7624,1.0867
4,-0.0413,-0.0305,-0.0004,-0.32,-0.48,-41.55,0.010,-0.064,0.029,-0.040,0.7634,1.0879
4,-0.0350,-0.0292,0.0004,-0.36,-0.52,-41.51,0.010,0.059,0.038,-0.039,0.7610,1.0847
4,-0.0351,-0.0317,0.0005,-0.36,-0.53,-41.47,0.010,-0.157,0.144,0.032,0.7595,1.0852
4,-0.0277,-0.0237,0.0026,-0.45,-0.54,-41.43,0.010,-0.222,0.230,-0.031,0.7602,1.0861
4,-0.0405,-0.0403,0.0019,-0.28,-0.55,-41.39,0.010,-0.350,0.130,0.062,0.7604,1.0856
4,-0.0468,-0.0361,0.0019,-0.28,-0.49,-41.34,0.010,-0.160,0.295,0.039,0.7594,1.0835
4,-0.0405,-0.0300,0.0030,-0.36,-0.49,-41.30,0.012,-0.194,0.150,-0.004,0.7615,1.0856
4,-0.0378,-0.0313,0.0034,-0.37,-0.52,-41.26,0.012,-0.373,0.071,0.041,0.7622,1.0874
4,-0.0416,-0.0416,0.0029,-0.30,-0.55,-41.22,0.012,-0.078,0.067,0.138,0.7620,1.0875
4,-0.0281,-0.0284,0.0097,-0.46,-0.56,-41.18,0.012,-0.023,0.290,0.220,0.7626,1.0870
4,-0.0229,-0.0176,0.0105,-0.56,-0.54,-41.14,0.010,-0.186,0.061,-0.001,0.7639,1.0821
5,-0.0228,-0.0162,0.0106,-0.57,-0.54,-41.10,0.010,-0.077,0.147,-0.136,0.7632,1.0800
5,-0.0184,-0.0187,0.0105,-0.59,-0.58,-41.06,0.010,-0.165,0.087,-0.251,0.7638,1.0795
5,-0.0107,-0.0447,0.0069,-0.47,-0.76,-41.03,0.010,-0.069,0.035,0.184,0.7634,1.0812
5,-0.0139,-0.0543,0.0064,-0.40,-0.79,-40.99,0.010,0.208,0.095,0.168,0.7632,1.0819
5,-0.0097,-0.0549,0.0066,-0.42,-0.82,-40.96,0.010,-0.191,0.345,-0.072,0.7669,1.0846
5,-0.0113,-0.0432,0.0080,-0.49,-0.74,-40.91,0.009,-0.141,-0.019,-0.142,0.7672,1.0855
5,-0.0116,-0.0374,0.0087,-0.53,-0.71,-40.87,0.009,-0.281,0.251,0.209,0.7673,1.0844
5,0.0110,-0.0197,0.0102,-0.75,-0.75,-40.83,0.009,-0.054,0.011,-0.202,0.7675,1.0856
5,0.0121,-0.0136,0.0048,-0.79,-0.72,-40.79,0.009,-0.137,-0.084,-0.102,0.7684,1.0853
5,0.0121,-0.0195,0.0050,-0.75,-0.75,-40.75,0.012,-0.034,0.160,-0.051,0.7664,1.0884
5,0.0128,-0.0119,0.0053,-0.80,-0.71,-40.71,0.012,0.078,-0.127,-0.127,0.7666,1.0892
5,0.0172,-0.0127,0.0053,-0.82,-0.74,-40.67,0.012,0.058,0.081,-0.156,0.7668,1.0891
5,0.0053,0.0047,0.0087,-0.87,-0.58,-40.62,0.012,-0.127,0.016,0.076,0.7670,1.0887
5,0.0064,0.0094,0.0087,-0.90,-0.56,-40.58,0.012,-0.008,0.142,0.042,0.7669,1.0890
5,0.0071,0.0084,0.0091,-0.89,-0.57,-40.55,0.012,-0.166,0.042,-0.026,0.7663,1.0895
5,0.0079,0.0057,0.0092,-0.88,-0.59,-40.51,0.010,-0.106,-0.218,0.277,0.7656,1.0877
5,0.0075,0.0072,0.0092,-0.88,-0.59,-40.47,0.010,0.043,0.001,-0.198,0.7669,1.0880
5,0.0038,0.0098,0.0092,-0.88,-0.55,-40.43,0.010,-0.168,0.227,0.043,0.7669,1.0890
5,-0.0003,-0.0005,0.0055,-0.79,-0.58,-40.39,0.010,-0.257,0.222,0.212,0.7672,1.0890
5,0.0069,0.0009,0.0056,-0.84,-0.62,-40.35,0.010,-0.134,0.146,0.072,0.7673,1.0891
5,0.0070,0.0062,0.0057,-0.87,-0.59,-40.31,0.010,-0.107,0.252,-0.099,0.7689,1.0907
5,0.0084,0.0058,0.0057,-0.88,-0.60,-40.27,0.010,0.012,0.065,-0.155,0.7688,1.0908
5,0.0087,0.0059,0.0028,-0.88,-0.60,-40.23,0.010,-0.026,0.211,-0.016,0.7668,1.0895
5,0.0176,0.0148,0.0027,-0.98,-0.61,-40.19,0.010,0.002,0.424,-0.164,0.7676,1.0904
5,0.0159,0.0148,0.0030,-0.97,-0.60,-40.15,0.010,-0.135,0.406,0.212,0.7669,1.0895
5,0.0045,0.0066,0.0038,-0.85,-0.57,-40.11,0.008,-0.075,-0.071,-0.173,0.7694,1.0900
5,0.0090,0.0115,0.0039,-0.91,-0.57,-40.07,0.008,-0.139,0.275,-0.090,0.7683,1.0899
5,0.0043,0.0054,0.0044,-0.84,-0.58,-40.03,0.008,-0.150,0.330,0.074,0.7709,1.0936
5,0.0185,0.0080,-0.0024,-0.93,-0.66,-39.99,0.008,-0.188,0.340,-0.005,0.7710,1.0938
6,0.0114,0.0069,-0.0019,-0.89,-0.61,-39.95,0.012,-0.050,0.087,0.128,0.7708,1.0929
6,0.0253,0.0271,-0.0024,-1.08,-0.60,-39.92,0.012,0.037,0.106,-0.426,0.7711,1.0929
6,0.0249,0.0267,-0.0019,-1.08,-0.60,-39.88,0.012,-0.092,0.401,0.016,0.7711,1.0935
6,0.0230,0.0206,0.0039,-1.02,-0.62,-39.84,0.012,-0.293,0.295,0.086,0.7713,1.0938
6,0.0238,0.0198,0.0039,-1.02,-0.63,-39.80,0.012,0.175,-0.078,-0.146,0.7716,1.0941
6,0.0227,0.0223,0.0039,-1.02,-0.61,-39.76,0.012,-0.025,0.414,-0.181,0.7711,1.0931
6,0.0233,0.0230,0.0043,-1.02,-0.61,-39.72,0.007,-0.384,0.119,-0.126,0.7700,1.0938
6,0.0236,0.0231,0.0048,-1.02,-0.62,-39.68,0.007,-0.019,0.287,-0.081,0.7709,1.0939
6,0.0198,0.0165,0.0055,-0.96,-0.62,-39.65,0.007,-0.062,0.361,-0.082,0.7716,1.0947
6,0.0132,0.0198,-0.0029,-0.95,-0.57,-39.61,0.007,-0.196,0.074,-0.025,0.7703,1.0936
6,0.0176,0.0192,-0.0028,-0.97,-0.60,-39.57,0.009,-0.217,0.091,-0.151,0.7705,1.0934
6,0.0207,0.0227,-0.0031,-1.00,-0.60,-39.53,0.009,0.126,0.294,-0.029,0.7697,1.0905
6,0.0133,0.0150,-0.0024,-0.91,-0.59,-39.49,0.009,-0.135,0.240,0.088,0.7666,1.0903
6,0.0137,0.0135,-0.0028,-0.90,-0.60,-39.45,0.009,-0.067,0.059,-0.305,0.7701,1.0933
6,0.0090,-0.0031,-0.0023,-0.77,-0.66,-39.41,0.009,-0.213,0.072,0.106,0.7702,1.0930
6,-0.0086,-0.0041,-0.0018,-0.67,-0.55,-39.38,0.009,0.014,0.336,0.276,0.7717,1.0934
6,0.0112,0.0125,-0.0011,-0.88,-0.60,-39.34,0.010,0.025,0.237,-0.314,0.7685,1.0959
6,0.0108,0.0102,-0.0010,-0.86,-0.61,-39.30,0.010,-0.057,0.181,0.130,0.7689,1.0951
6,0.0190,0.0113,-0.0009,-0.91,-0.65,-39.26,0.010,-0.101,0.157,-0.026,0.7713,1.0991
6,0.0004,0.0254,0.0013,-0.90,-0.47,-39.23,0.010,-0.264,0.314,0.175,0.7708,1.0985
6,0.0025,0.0196,0.0015,-0.87,-0.51,-39.19,0.009,0.061,0.531,-0.064,0.7709,1.0995
6,0.0159,0.0407,0.0008,-1.07,-0.49,-39.15,0.009,-0.181,0.103,0.015,0.7712,1.0989
6,0.0124,0.0350,0.0017,-1.01,-0.50,-39.11,0.009,0.089,0.226,-0.170,0.7708,1.0987
6,0.0121,0.0389,-0.0001,-1.03,-0.48,-39.07,0.009,0.000,0.059,0.073,0.7709,1.0992
6,0.0136,0.0340,0.0003,-1.01,-0.52,-39.03,0.009,0.028,0.036,-0.075,0.7715,1.1000
6,0.0106,0.0312,0.0006,-0.98,-0.52,-39.00,0.009,-0.056,0.309,-0.026,0.7717,1.1004
6,0.0108,0.0324,0.0007,-0.97,-0.52,-38.96,0.010,-0.029,0.207,0.275,0.7742,1.1066
7,0.0142,0.0354,0.0006,-1.00,-0.52,-38.92,0.010,-0.275,0.112,0.014,0.7734,1.1056
7,0.0144,0.0357,0.0005,-1.00,-0.52,-38.88,0.010,-0.379,-0.204,-0.115,0.7727,1.1047
7,0.0279,0.0684,-0.0003,-1.26,-0.45,-38.85,0.010,-0.132,0.310,0.239,0.7725,1.1044
7,0.0222,0.0599,0.0013,-1.17,-0.46,-38.81,0.008,-0.009,0.336,-0.243,0.7708,1.1002
7,0.0175,0.0527,0.0024,-1.10,-0.47,-38.77,0.008,-0.115,0.078,-0.102,0.7674,1.0942
7,0.0153,0.0486,0.0029,-1.06,-0.48,-38.73,0.008,-0.110,0.136,-0.182,0.7658,1.0935
7,0.0056,0.0236,-0.0000,-0.86,-0.54,-38.69,0.008,-0.204,0.003,0.324,0.7660,1.0944
7,-0.0131,-0.0104,0.0006,-0.55,-0.59,-38.65,0.008,-0.209,0.449,0.053,0.7651,1.0930
7,-0.0210,-0.0135,0.0003,-0.50,-0.56,-38.62,0.008,-0.010,0.094,0.172,0.7668,1.0930
7,-0.0190,-0.0083,0.0009,-0.54,-0.55,-38.58,0.009,-0.241,0.071,0.042,0.7671,1.0938
7,-0.0230,-0.0162,0.0007,-0.48,-0.56,-38.54,0.009,-0.312,0.073,0.163,0.7651,1.0933
7,-0.0128,-0.0155,0.0014,-0.54,-0.62,-38.50,0.009,-0.054,0.326,-0.123,0.7662,1.0930
7,-0.0103,-0.0108,0.0006,-0.58,-0.62,-38.46,0.009,-0.115,0.051,-0.147,0.7654,1.0930
7,-0.0208,-0.0136,0.0004,-0.52,-0.56,-38.43,0.006,-0.330,0.208,0.071,0.7661,1.0935
7,-0.0139,-0.0151,0.0008,-0.55,-0.61,-38.39,0.006,-0.031,0.206,-0.252,0.7655,1.0927
7,-0.0172,-0.0143,0.0009,-0.54,-0.59,-38.35,0.006,0.053,0.188,-0.225,0.7656,1.0932
