time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y,acc_x,acc_y,acc_z,ref_x,ref_y,ref_z,est_x,est_y
0,-0.0585,0.0926,0.0080,-0.15,0.00,-0.02,0.015,-0.202,0.087,0.058,-0.0583,0.0851,-0.0024,0.0035,0.9995,0.0000,0.0000,0.2200,0.0000,0.0000
10,-0.0589,0.0929,0.0080,-0.15,0.00,-0.03,0.015,-0.188,-0.064,-0.282,-0.0589,0.0861,-0.0025,0.0031,0.9976,0.0000,0.0000,0.2200,0.0000,0.0000
20,-0.0595,0.0938,0.0044,-0.15,0.00,-0.02,0.015,-0.038,-0.118,-0.335,-0.0595,0.0870,-0.0018,0.0044,0.9992,0.0000,0.0000,0.2200,0.0000,0.0000
30,-0.0597,0.0941,0.0043,-0.15,0.00,-0.03,0.015,-0.774,-0.246,0.044,-0.0601,0.0880,-0.0046,0.0022,0.9985,0.0000,0.0000,0.2200,0.0000,0.0000
40,-0.0598,0.0946,0.0042,-0.15,0.00,-0.03,0.012,0.071,0.076,0.601,-0.0612,0.0899,-0.0189,-0.0169,0.9953,0.0000,0.0000,0.2200,0.0000,0.0000
50,-0.0599,0.0952,0.0040,-0.15,0.00,-0.03,0.012,-0.262,0.083,1.687,-0.0619,0.0908,0.0024,0.0007,1.0014,0.0000,0.0000,0.2200,0.0000,0.0000
60,-0.0602,0.0958,0.0039,-0.15,0.00,-0.03,0.012,-0.656,0.233,3.667,-0.0625,0.0918,-0.0165,-0.0020,0.9981,0.0000,0.0000,0.2200,0.0000,0.0000
69,-0.0608,0.0971,-0.0054,-0.16,0.00,-0.03,0.012,-0.227,-0.327,-1.956,-0.0631,0.0928,-0.0115,-0.0026,0.9984,0.0000,0.0000,0.2200,0.0000,0.0000
80,-0.0608,0.0973,-0.0055,-0.16,0.00,-0.03,0.012,-0.403,-0.547,-0.803,-0.0637,0.0938,-0.0005,-0.0165,0.9915,0.0000,0.0000,0.2200,0.0000,0.0000
90,-0.0608,0.0976,-0.0057,-0.15,0.00,-0.03,0.012,0.618,-0.017,-2.356,-0.0644,0.0948,-0.0157,-0.0193,0.9905,0.0000,0.0000,0.2200,0.0000,0.0000
100,-0.0608,0.0978,-0.0057,-0.15,0.01,-0.03,0.013,0.190,0.469,-2.166,-0.0651,0.0961,-0.0087,-0.0086,1.0144,0.0000,0.0000,0.2200,0.0000,0.0000
110,-0.0608,0.0981,-0.0058,-0.16,0.01,-0.04,0.013,2.270,-0.391,-7.420,-0.0657,0.0971,0.0093,-0.0090,0.9945,0.0000,0.0000,0.2200,0.0000,0.0000
119,-0.0610,0.0987,-0.0080,-0.16,0.01,-0.05,0.013,3.178,0.348,-13.855,-0.0663,0.0981,-0.0032,-0.0102,1.0476,0.0000,0.0000,0.2200,0.0000,0.0000
130,-0.0610,0.0989,-0.0079,-0.16,0.02,-0.07,0.013,-2.259,-5.610,-7.337,-0.0670,0.0991,0.0076,0.0128,0.9445,0.0000,0.0000,0.2200,0.0000,0.0000
140,-0.0611,0.0992,-0.0081,-0.17,0.01,-0.11,0.013,-17.025,5.709,-7.894,-0.0676,0.1001,-0.0075,-0.0045,0.9141,0.0000,0.0000,0.2200,0.0000,0.0000
150,-0.0611,0.0995,-0.0079,-0.15,0.02,-0.21,0.013,6.043,-0.300,-8.959,-0.0682,0.1011,0.0028,-0.0372,1.1227,0.0000,0.0000,0.2200,0.0000,0.0000
160,-0.0611,0.0998,-0.0063,-0.16,-0.02,-0.32,0.013,21.364,-2.142,-8.226,-0.0688,0.1021,0.0039,-0.0114,1.0038,0.0000,0.0000,0.2200,0.0000,0.0000
169,-0.0611,0.1001,-0.0040,-0.14,-0.03,-0.39,0.013,-17.879,-10.193,-7.178,-0.0688,0.1021,0.0094,-0.0102,0.9798,0.0000,0.0000,0.2200,0.0000,0.0000
180,-0.0611,0.1003,-0.0054,-0.30,0.01,-0.47,0.013,-2.599,0.991,-7.792,-0.0694,0.1032,0.0240,-0.0151,0.9956,0.0000,0.0000,0.2200,0.0000,0.0000
189,-0.0611,0.1008,-0.0155,-0.23,0.05,-0.55,0.013,0.405,1.205,-6.351,-0.0700,0.1042,0.0118,0.0024,1.0712,0.0000,0.0000,0.2200,0.0000,0.0000
199,-0.0612,0.1012,-0.0083,-0.22,0.03,-0.63,0.013,-19.060,-5.784,-4.304,-0.0706,0.1051,0.0241,-0.0203,1.0614,0.0000,0.0000,0.2200,0.0000,0.0000
