t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,a_res_x,a_res_y,a_res_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,rnn_pred_x,rnn_pred_y,rnn_pred_z,rnn_clamped,ctrltarget_x,ctrltarget_y,ctrltarget_z,motor_m1,motor_m2,motor_m3,motor_m4,e_r_x,e_r_y,e_r_z,e_r_norm
-0.1000,-0.003153,0.823749,1.186142,0.010115,-0.040249,0.014227,0.469105,0.096809,0.022444,-6.039402,-6.748330,-0.273935,-0.008104,-0.002516,1.007123,0.000000,0.000000,0.000000,0.000405,-0.000029,-0.000011,1.873672,1.498016,0.292572,0.000000,0.000000,0.000000,0.000000,-0.000000,0.799990,1.650010,49461.000000,52157.000000,52074.000000,56565.000000,-0.011303,0.000003,-0.000056,0.011303
-0.0980,-0.003053,0.823342,1.186286,0.009949,-0.041054,0.014509,0.422482,0.173579,0.018179,-6.424679,-6.526755,-0.598241,-0.007929,-0.001792,1.008053,0.000000,0.000000,0.000000,0.000405,-0.000029,-0.000011,1.873672,1.498016,0.292572,0.000000,0.000000,0.000000,0.000000,-0.000000,0.799990,1.650010,49294.000000,52257.000000,51986.000000,56664.000000,-0.011303,0.000003,-0.000056,0.011303
-0.0960,-0.003053,0.823342,1.186286,0.009949,-0.041054,0.014509,0.422482,0.173579,0.018179,-6.910218,-6.445327,-0.626983,-0.008249,-0.000962,1.008175,0.000000,0.000000,0.000000,0.000405,-0.000029,-0.000011,1.873672,1.498016,0.292572,0.000000,0.000000,0.000000,0.000000,-0.000000,0.799990,1.650010,49265.000000,52244.000000,51993.000000,56691.000000,-0.011303,0.000003,-0.000056,0.011303
-0.0940,-0.003053,0.823342,1.186286,0.009949,-0.041054,0.014509,0.422482,0.173579,0.018179,-7.629778,-6.595976,-0.511045,-0.009087,-0.000263,1.007720,0.000000,0.000000,0.000000,0.000405,-0.000029,-0.000011,1.873672,1.498016,0.292572,0.000000,0.000000,0.000000,0.000000,-0.000000,0.799990,1.650010,49269.000000,52182.000000,52067.000000,56677.000000,-0.011303,0.000003,-0.000056,0.011303
-0.0921,-0.003053,0.823342,1.186286,0.009949,-0.041054,0.014509,0.422482,0.173579,0.018179,-8.250133,-6.476315,-0.510195,-0.010466,0.000130,1.006572,0.000000,0.000000,0.000000,0.000405,-0.000029,-0.000011,1.873672,1.498016,0.292572,0.000000,0.000000,0.000000,0.000000,-0.000000,0.799990,1.650010,49247.000000,52153.000000,52088.000000,56701.000000,-0.011303,0.000003,-0.000056,0.011303
-0.0901,-0.003053,0.823342,1.186286,0.009949,-0.041054,0.014509,0.422482,0.173579,0.018179,-8.484385,-6.221381,-0.469620,-0.011717,0.000333,1.005971,0.000000,0.000000,0.000000,0.000405,-0.000029,-0.000011,1.873672,1.498016,0.292572,0.000000,0.000000,0.000000,0.000000,-0.000000,0.799990,1.650010,49264.000000,52120.000000,52100.000000,56705.000000,-0.011303,0.000003,-0.000056,0.011303
-0.0881,-0.002955,0.822928,1.186434,0.009649,-0.041782,0.015243,0.350744,0.238880,0.012548,-8.719227,-6.058561,-0.526617,-0.012371,0.000814,1.005614,0.000000,0.000000,0.000000,0.000405,-0.000029,-0.000011,1.873672,1.498016,0.292572,0.000000,0.000000,0.000000,0.000000,-0.000000,0.799990,1.650010,49190.000000,52128.000000,52097.000000,56729.000000,-0.011303,0.000003,-0.000056,0.011303
-0.0861,-0.002989,0.822983,1.186599,0.009492,-0.041533,0.015131,0.350744,0.238880,0.012548,-8.925232,-5.859920,-0.776562,-0.013120,0.001002,1.005738,0.000000,0.000000,0.000000,0.000405,-0.000029,-0.000011,1.873672,1.498016,0.292572,0.000000,0.000000,0.000000,0.000000,-0.000000,0.799990,1.650010,49091.000000,52195.000000,52015.000000,56810.000000,-0.011303,0.000003,-0.000056,0.011303
-0.0841,-0.002989,0.822983,1.186599,0.009492,-0.041533,0.015131,0.350744,0.238880,0.012548,-9.477567,-5.296021,-0.746043,-0.013278,0.001131,1.005857,0.000000,0.000000,0.000000,0.000405,-0.000029,-0.000011,1.873672,1.498016,0.292572,0.000000,0.000000,0.000000,0.000000,-0.000000,0.799990,1.650010,49104.000000,52139.000000,52024.000000,56838.000000,-0.011303,0.000003,-0.000056,0.011303
-0.0822,-0.002989,0.822983,1.186599,0.009492,-0.041533,0.015131,0.350744,0.238880,0.012548,-9.623045,-4.296221,-0.368285,-0.013152,0.001275,1.005678,0.000000,0.000000,0.000000,0.000405,-0.000029,-0.000011,1.873672,1.498016,0.292572,0.000000,0.000000,0.000000,0.000000,-0.000000,0.799990,1.650010,49288.000000,51966.000000,52115.000000,56772.000000,-0.011303,0.000003,-0.000056,0.011303
