t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,a_res_x,a_res_y,a_res_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,rnn_pred_x,rnn_pred_y,rnn_pred_z,rnn_clamped,ctrltarget_x,ctrltarget_y,ctrltarget_z,motor_m1,motor_m2,motor_m3,motor_m4,e_r_x,e_r_y,e_r_z,e_r_norm
-0.0579,-0.004060,-0.192867,0.975459,-0.006533,0.015335,-0.004432,-0.216183,0.244592,-0.156448,-2.680012,-0.719193,0.198975,0.003932,-0.016350,0.998742,-0.003318,-0.081833,-0.548653,0.000000,0.000000,0.000000,12.447819,-11.999670,1.773484,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37222.000000,38576.000000,39568.000000,39263.000000,-0.042843,-0.024696,-0.003091,0.049548
-0.0562,-0.004060,-0.192867,0.975459,-0.006533,0.015335,-0.004432,-0.216183,0.244592,-0.156448,-2.145450,-1.539329,0.163593,0.005855,-0.015249,1.000405,0.010702,-0.115658,-0.535918,0.000000,0.000000,0.000000,8.009478,-8.072178,1.196136,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37208.000000,38628.000000,39565.000000,39228.000000,-0.042652,-0.024659,-0.003089,0.049364
-0.0543,-0.004060,-0.192867,0.975459,-0.006533,0.015335,-0.004432,-0.216183,0.244592,-0.156448,-0.230536,-1.728128,-0.314877,0.005165,-0.014802,1.005075,0.035442,-0.145800,-0.481341,0.000000,0.000000,0.000000,13.259790,-3.408458,-4.369863,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37149.000000,38807.000000,39401.000000,39275.000000,-0.042485,-0.024622,-0.003086,0.049201
-0.0523,-0.004128,-0.192712,0.975414,-0.006950,0.015706,-0.004611,-0.247856,0.244628,-0.156564,1.126430,-0.825563,-0.024067,0.008144,-0.012741,1.005695,0.052015,-0.154152,-0.435022,0.000000,0.000000,0.000000,13.342767,5.633129,0.541865,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37276.000000,38748.000000,39425.000000,39214.000000,-0.043488,-0.024844,-0.003104,0.050180
-0.0503,-0.004128,-0.192712,0.975414,-0.006950,0.015706,-0.004611,-0.247856,0.244628,-0.156564,1.233238,1.223859,0.563652,0.012851,-0.011094,1.009080,0.065821,-0.146343,-0.422888,0.000000,0.000000,0.000000,6.501847,15.896118,5.277340,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37486.000000,38552.000000,39497.000000,39135.000000,-0.043442,-0.024865,-0.003104,0.050151
-0.0482,-0.004128,-0.192712,0.975414,-0.006950,0.015706,-0.004611,-0.247856,0.244628,-0.156564,0.426636,2.050742,0.681641,0.014121,-0.011441,1.012286,0.090585,-0.129810,-0.416205,0.000000,0.000000,0.000000,-10.040408,13.174287,2.623399,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37515.000000,38475.000000,39525.000000,39156.000000,-0.043455,-0.024919,-0.003105,0.050190
-0.0463,-0.004128,-0.192712,0.975414,-0.006950,0.015706,-0.004611,-0.247856,0.244628,-0.156564,0.474542,0.888800,0.691705,0.014234,-0.013033,1.017377,0.120169,-0.116668,-0.392094,0.000000,0.000000,0.000000,1.104041,-8.108049,-0.378895,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37481.000000,38510.000000,39562.000000,39117.000000,-0.043496,-0.024982,-0.003107,0.050256
-0.0444,-0.004062,-0.192860,0.975201,-0.006723,0.015196,-0.005488,-0.247856,0.244628,-0.156564,0.301399,0.535859,0.188211,0.011641,-0.010801,1.014565,0.137130,-0.116622,-0.351507,0.000000,0.000000,0.000000,-2.314506,-7.159485,-2.848735,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37392.000000,38674.000000,39484.000000,39257.000000,-0.042927,-0.024758,-0.003097,0.049651
-0.0424,-0.004132,-0.192706,0.975151,-0.007146,0.015626,-0.004366,-0.240887,0.238003,-0.152576,-0.292372,1.244300,-0.006693,0.010215,-0.009995,1.012734,0.135695,-0.116679,-0.313321,0.000000,0.000000,0.000000,-3.273757,5.402418,-3.408391,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37320.000000,38649.000000,39430.000000,39319.000000,-0.043416,-0.024945,-0.003040,0.050164
-0.0404,-0.004132,-0.192706,0.975151,-0.007146,0.015626,-0.004366,-0.240887,0.238003,-0.152576,1.555433,0.540464,-0.219875,0.006201,-0.008459,1.005159,0.119515,-0.109512,-0.320538,0.000000,0.000000,0.000000,7.431666,-0.958636,-1.092789,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37305.000000,38777.000000,39347.000000,39292.000000,-0.043406,-0.024977,-0.003040,0.050172
