# meta:t_zero=scenario_start
t,cf231_active.a_res_x,cf231_active.a_res_y,cf231_active.a_res_z,cf231_active.acc_x,cf231_active.acc_y,cf231_active.acc_z,cf231_active.alp_x,cf231_active.alp_y,cf231_active.alp_z,cf231_active.ctrltarget_x,cf231_active.ctrltarget_y,cf231_active.ctrltarget_z,cf231_active.e_r_norm,cf231_active.e_r_x,cf231_active.e_r_y,cf231_active.e_r_z,cf231_active.f_res_x,cf231_active.f_res_y,cf231_active.f_res_z,cf231_active.gyro_x,cf231_active.gyro_y,cf231_active.gyro_z,cf231_active.motor_m1,cf231_active.motor_m2,cf231_active.motor_m3,cf231_active.motor_m4,cf231_active.pitch_deg,cf231_active.rnn_clamped,cf231_active.rnn_pred_x,cf231_active.rnn_pred_y,cf231_active.rnn_pred_z,cf231_active.roll_deg,cf231_active.tau_x,cf231_active.tau_y,cf231_active.tau_z,cf231_active.vx,cf231_active.vy,cf231_active.vz,cf231_active.x,cf231_active.y,cf231_active.yaw_deg,cf231_active.z,cf_second.a_res_x,cf_second.a_res_y,cf_second.a_res_z,cf_second.acc_x,cf_second.acc_y,cf_second.acc_z,cf_second.alp_x,cf_second.alp_y,cf_second.alp_z,cf_second.ctrltarget_x,cf_second.ctrltarget_y,cf_second.ctrltarget_z,cf_second.e_r_norm,cf_second.e_r_x,cf_second.e_r_y,cf_second.e_r_z,cf_second.f_res_x,cf_second.f_res_y,cf_second.f_res_z,cf_second.gyro_x,cf_second.gyro_y,cf_second.gyro_z,cf_second.motor_m1,cf_second.motor_m2,cf_second.motor_m3,cf_second.motor_m4,cf_second.pitch_deg,cf_second.rnn_clamped,cf_second.rnn_pred_x,cf_second.rnn_pred_y,cf_second.rnn_pred_z,cf_second.roll_deg,cf_second.tau_x,cf_second.tau_y,cf_second.tau_z,cf_second.vx,cf_second.vy,cf_second.vz,cf_second.x,cf_second.y,cf_second.yaw_deg,cf_second.z,rel.cf231_active_cf_second.vx,rel.cf231_active_cf_second.vy,rel.cf231_active_cf_second.vz,rel.cf231_active_cf_second.x,rel.cf231_active_cf_second.y,rel.cf231_active_cf_second.z,rel.cf_second_cf231_active.vx,rel.cf_second_cf231_active.vy,rel.cf_second_cf231_active.vz,rel.cf_second_cf231_active.x,rel.cf_second_cf231_active.y,rel.cf_second_cf231_active.z
0.020000,-0.023614,-0.031010,-0.512753,-0.002188,-0.005146,0.999261,4.353722,-1.528523,9.081888,-0.000000,-0.200001,1.000000,0.052102,-0.046043,-0.024212,-0.002894,-0.000968,-0.001271,-0.021023,3.321014,-2.460678,1.188756,37662.173170,38590.526085,39820.571679,38928.304253,0.414103,0.000000,0.000000,0.000000,0.000000,-0.090721,0.000000,0.000000,0.000000,-0.005804,0.017414,-0.006341,-0.003355,-0.191673,-0.152452,0.974886,0.000000,0.000000,0.000000,-0.008842,0.005929,0.996922,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,4.974906,5.770300,0.781686,50665.513678,51678.285714,51602.142857,56508.537994,-0.030334,0.000000,0.000000,0.000000,0.000000,-0.274147,0.000405,-0.000029,-0.000011,0.002909,-0.037274,0.011809,-0.002946,0.819499,-0.016861,1.187207,-0.008713,0.054688,-0.018150,-0.000409,-1.011171,-0.212321,0.008713,-0.054688,0.018150,0.000409,1.011171,0.212321
0.022000,-0.021910,-0.039771,-0.503884,-0.003267,-0.004624,1.003512,2.653755,-5.627106,3.145672,-0.000000,-0.200001,1.000000,0.051702,-0.045756,-0.023897,-0.002886,-0.000898,-0.001631,-0.020659,3.582228,-2.963810,1.306013,37689.944157,38581.691422,39842.645941,38874.043754,0.414103,0.000000,0.000000,0.000000,0.000000,-0.090721,0.000000,0.000000,0.000000,-0.005536,0.017166,-0.006238,-0.003283,-0.191739,-0.152452,0.974910,0.000000,0.000000,0.000000,-0.008216,0.005886,0.996232,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,4.784080,4.854481,0.301035,50451.941003,51866.668633,51492.476893,56627.947886,-0.049887,0.000000,0.000000,0.000000,0.000000,-0.270805,0.000405,-0.000029,-0.000011,0.002820,-0.036319,0.011322,-0.002959,0.819599,-0.014902,1.187158,-0.008355,0.053484,-0.017560,-0.000324,-1.011339,-0.212248,0.008355,-0.053484,0.017560,0.000324,1.011339,0.212248
0.024000,-0.023281,-0.046377,-0.494433,-0.004466,-0.003377,1.008762,6.936824,-3.085827,-5.643083,-0.000000,-0.200001,1.000000,0.051109,-0.045325,-0.023442,-0.002873,-0.000955,-0.001901,-0.020272,4.700462,-3.356534,0.477687,37523.411856,38816.613105,39613.430577,39017.522621,0.414103,0.000000,0.000000,0.000000,0.000000,-0.090721,0.000000,0.000000,0.000000,-0.005126,0.016788,-0.006081,-0.003172,-0.191841,-0.152452,0.974945,0.000000,0.000000,0.000000,-0.007348,0.005358,0.995337,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,4.807909,4.406994,-0.161433,50263.176884,52041.503518,51356.341709,56744.081407,-0.049616,0.000000,0.000000,0.000000,0.000000,-0.273458,0.000405,-0.000029,-0.000011,0.002782,-0.035946,0.011151,-0.002969,0.819700,-0.014911,1.187118,-0.007908,0.052734,-0.017232,-0.000203,-1.011541,-0.212173,0.007908,-0.052734,0.017232,0.000203,1.011541,0.212173
0.026000,-0.030711,-0.043286,-0.458183,-0.003615,-0.002364,1.010401,13.326453,-3.011133,-7.636750,-0.000000,-0.200001,1.000000,0.051162,-0.045244,-0.023718,-0.002811,-0.001259,-0.001775,-0.018785,6.248941,-3.755789,-0.323961,37368.496722,39062.678265,39402.720625,39134.957136,0.428045,0.000000,0.000000,0.000000,0.000000,-0.072464,0.000000,0.000000,0.000000,-0.005495,0.016870,-0.005928,-0.003201,-0.191753,-0.149299,0.974914,0.000000,0.000000,0.000000,-0.006341,0.004286,0.994384,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,5.077854,4.402886,-0.513673,50145.510417,52170.856250,51222.618750,56831.702083,-0.049616,0.000000,0.000000,0.000000,0.000000,-0.273458,0.000405,-0.000029,-0.000011,0.002782,-0.035946,0.011151,-0.002969,0.819700,-0.014911,1.187118,-0.008277,0.052816,-0.017079,-0.000231,-1.011454,-0.212204,0.008277,-0.052816,0.017079,0.000231,1.011454,0.212204
0.028000,-0.034979,-0.034390,-0.428778,-0.001177,-0.002477,1.011424,9.836374,-4.593526,-4.726312,-0.000000,-0.200001,1.000000,0.051210,-0.045159,-0.023991,-0.002754,-0.001434,-0.001410,-0.017580,7.119490,-4.316971,-0.814190,37261.833333,39220.027778,39288.305556,39195.361111,0.440997,0.000000,0.000000,0.000000,0.000000,-0.055503,0.000000,0.000000,0.000000,-0.005837,0.016946,-0.005786,-0.003227,-0.191672,-0.146370,0.974886,0.000000,0.000000,0.000000,-0.005399,0.003283,0.993634,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,5.042684,4.420126,-0.676763,50084.161997,52222.125828,51166.402955,56879.010698,-0.049616,0.000000,0.000000,0.000000,0.000000,-0.273458,0.000405,-0.000029,-0.000011,0.002782,-0.035946,0.011151,-0.002969,0.819700,-0.014911,1.187118,-0.008619,0.052892,-0.016937,-0.000258,-1.011372,-0.212232,0.008619,-0.052892,0.016937,0.000258,1.011372,0.212232
0.030000,-0.027230,-0.026858,-0.418103,0.001656,-0.002652,1.011980,-0.107206,-1.752357,-2.875768,-0.000000,-0.200001,1.000000,0.051153,-0.045088,-0.024003,-0.002754,-0.001116,-0.001101,-0.017142,6.890145,-4.192846,-1.107161,37188.775510,39280.077259,39223.572886,39274.091837,0.440997,0.000000,0.000000,0.000000,0.000000,-0.055503,0.000000,0.000000,0.000000,-0.005837,0.016946,-0.005786,-0.003227,-0.191672,-0.146370,0.974886,0.000000,0.000000,0.000000,-0.004866,0.002291,0.993338,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,4.814234,4.575991,-0.522241,50160.163582,52154.172086,51205.674837,56850.215608,-0.086184,0.000000,0.000000,0.000000,0.000000,-0.236831,0.000405,-0.000029,-0.000011,0.002844,-0.035600,0.010833,-0.002949,0.819436,-0.014364,1.187199,-0.008681,0.052546,-0.016619,-0.000279,-1.011108,-0.212313,0.008681,-0.052546,0.016619,0.000279,1.011108,0.212313
0.032000,-0.007077,-0.024340,-0.403804,0.004166,-0.002579,1.010862,-5.542099,12.287799,-0.531514,-0.000000,-0.200001,1.000000,0.050753,-0.044726,-0.023831,-0.002749,-0.000290,-0.000998,-0.016556,6.232376,-2.375919,-1.051651,37243.792559,39191.296636,39190.301223,39327.238532,0.440997,0.000000,0.000000,0.000000,0.000000,-0.055503,0.000000,0.000000,0.000000,-0.005614,0.016623,-0.005651,-0.003167,-0.191759,-0.146370,0.974916,0.000000,0.000000,0.000000,-0.005021,0.001802,0.993231,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,4.939406,4.895748,-0.095849,50331.199108,51992.939079,51312.285290,56726.161961,-0.098974,0.000000,0.000000,0.000000,0.000000,-0.224020,0.000405,-0.000029,-0.000011,0.002784,-0.035958,0.011973,-0.002963,0.819214,-0.014173,1.187520,-0.008397,0.052581,-0.017624,-0.000204,-1.010972,-0.212604,0.008397,-0.052581,0.017624,0.000204,1.010972,0.212604
0.034000,0.020054,-0.024888,-0.389974,0.006243,-0.003426,1.008422,-7.084925,22.720131,4.480914,-0.000000,-0.200001,1.000000,0.050357,-0.044367,-0.023661,-0.002743,0.000822,-0.001020,-0.015989,5.396021,0.237108,-0.416832,37458.218069,38937.908619,39273.610073,39275.231568,0.440997,0.000000,0.000000,0.000000,0.000000,-0.055503,0.000000,0.000000,0.000000,-0.005402,0.016318,-0.005523,-0.003110,-0.191841,-0.146370,0.974945,0.000000,0.000000,0.000000,-0.005620,0.001953,0.993568,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,5.246225,4.804048,0.279471,50472.832570,51879.970483,51428.387277,56604.846310,-0.098974,0.000000,0.000000,0.000000,0.000000,-0.224020,0.000405,-0.000029,-0.000011,0.002754,-0.036131,0.012426,-0.002971,0.819167,-0.014173,1.187626,-0.008156,0.052449,-0.017949,-0.000139,-1.011007,-0.212681,0.008156,-0.052449,0.017949,0.000139,1.011007,0.212681
0.036000,0.045955,-0.028282,-0.400839,0.008175,-0.005259,1.005975,-7.686174,12.827301,5.715595,-0.000000,-0.200001,1.000000,0.050242,-0.044012,-0.024064,-0.002810,0.001884,-0.001160,-0.016434,4.431447,1.161489,0.146355,37575.317404,38757.903924,39390.527163,39186.287223,0.456246,0.000000,0.000000,0.000000,0.000000,-0.019441,0.000000,0.000000,0.000000,-0.005832,0.016372,-0.004941,-0.003143,-0.191749,-0.150708,0.974917,0.000000,0.000000,0.000000,-0.006571,0.002069,0.994524,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,5.173516,3.879625,0.382382,50466.840310,51881.224806,51508.094574,56548.356072,-0.098974,0.000000,0.000000,0.000000,0.000000,-0.224020,0.000405,-0.000029,-0.000011,0.002754,-0.036131,0.012426,-0.002971,0.819167,-0.014173,1.187626,-0.008585,0.052503,-0.017366,-0.000172,-1.010915,-0.212710,0.008585,-0.052503,0.017366,0.000172,1.010915,0.212710
0.038000,0.067999,-0.037838,-0.435234,0.008989,-0.006898,1.003187,-10.505267,-2.394158,2.745504,-0.000000,-0.200001,1.000000,0.050139,-0.043711,-0.024392,-0.002861,0.002788,-0.001551,-0.017845,3.192651,0.877060,0.417144,37580.429364,38672.778507,39487.052472,39139.880928,0.468087,0.000000,0.000000,0.000000,0.000000,0.008564,0.000000,0.000000,0.000000,-0.006166,0.016415,-0.004488,-0.003168,-0.191677,-0.154077,0.974895,0.000000,0.000000,0.000000,-0.007645,0.002230,0.995491,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,5.026239,2.947039,0.317747,50395.491704,51936.720965,51532.429864,56540.785822,-0.098974,0.000000,0.000000,0.000000,0.000000,-0.224020,0.000405,-0.000029,-0.000011,0.002754,-0.036131,0.012426,-0.002971,0.819167,-0.014173,1.187626,-0.008919,0.052546,-0.016914,-0.000197,-1.010844,-0.212732,0.008919,-0.052546,0.016914,0.000197,1.010844,0.212732
