a_hat_res_rms,a_hat_vs_a_res_rmse,a_res_rms,a_res_z_mean,a_res_z_rms,cmd_logged,controller,e_R_peak,e_R_rmse,effort_proxy,fs_hz,gyro_band_frac,gyro_x_band_pow,gyro_x_dom_hz,gyro_y_band_pow,gyro_y_dom_hz,gyro_z_band_pow,gyro_z_dom_hz,motor_mean_ratio,motor_rms_ratio,motor_sat_frac,motor_spread_mean,n_raw,n_robots,n_samples,nan_fraction,notes,phase,phase_t_hi,phase_t_lo,pos_err_valid,pos_peak_m,pos_peak_z,pos_rmse_m,pos_rmse_x,pos_rmse_y,pos_rmse_z,rate_hz_est,run,scenario,spectrum_ok,study_controller,t_end,t_start,tau_peak,tau_rms,vehicle_id
0.0,0.1783129734160942,0.1783129734160942,-0.0692324774783354,0.1070714473832182,1,geometric,0.05385715611689871,0.028026471373711333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10501,1,10501,0.0,,scenario,21.0,0.0,1,0.030398598306500917,0.027094999999999994,0.02625381829227544,0.006954470195214311,0.004006986974314072,0.02499684729351623,500.0,C5_2026-09-23_18-16-49.meta,C5,0,geometric,21.0,0.0,nan,nan,cf5
0.0,0.21562808826943855,0.21562808826943855,-0.14457818789144047,0.16452158590893676,1,geometric,0.017213101637996563,0.010886611289155551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,479,1,479,0.0,,land,21.956,21.0,1,0.02744725430712514,0.02701999999999999,0.026245280430523626,0.0037171327306073196,0.0007952808592528463,0.025968542459960674,500.0000000000002,C5_2026-09-23_18-16-49.meta,C5,0,geometric,21.956,21.0,nan,nan,cf5
