# Motion type:     circle
# Target height:   0.50 m
# Date & time:     2026-02-28 23:27:36
# URI:             radio://0/80/2M/E7E7E7E7E7

t_ms,x,y,z,vx,vy,vz,roll,pitch,yaw,thrust,zrange_mm,vbat,varPX,varPY,varPZ,flow_deltaX,flow_deltaY,flow_squal,flow_rawPixelSum,acc_x,acc_y,acc_z
67633,-4.634253855329007e-05,0.00033219196484424174,0.010988086462020874,-0.002887534908950329,0.015013294294476509,0.0001336953428108245,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
67634,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005580536089837551,0.0021811663173139095,0.0019221424590796232,0.0,0,3.853372573852539,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
67653,-0.00021896453108638525,-0.00012751042959280312,0.011284262873232365,-0.006665798835456371,-0.011197283864021301,0.0005409672157838941,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
67654,0.0,0.0,0.0,0.0,0.0,0.0,0.14926129579544067,0.06737738102674484,0.0036862303968518972,0.0,0,3.8586511611938477,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
67655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00010154007031815127,0.00010154049232369289,0.0001419998734490946,0,0,0,0,0.0,0.0,0.0
67656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,0,0,0,-0.0037553911097347736,-0.040342263877391815,1.0002444982528687
67673,-1.521240938018309e-05,-0.0016186567954719067,0.011050721630454063,-0.00032710155937820673,-0.04377375543117523,7.061271753627807e-05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
67674,0.0,0.0,0.0,0.0,0.0,0.0,0.6299081444740295,-0.10012444853782654,0.0031197096686810255,0.0,0,3.8586511611938477,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
67693,-1.5992418411769904e-05,0.00021912026568315923,0.009374089539051056,-0.00033613969571888447,-0.007109698839485645,-0.0014530500629916787,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
67694,0.0,0.0,0.0,0.0,0.0,0.0,-0.5067916512489319,-0.10537328571081161,0.003642959287390113,0.0,0,3.853372573852539,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
67695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00012247673294041306,0.00012248169514350593,0.00017779988411348313,0,0,0,0,0.0,0.0,0.0
67696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0,0,0,0,-0.0031950168777257204,-0.04108453541994095,0.9997118711471558
67713,0.00017805845709517598,-0.000196057342691347,0.009359962306916714,0.0023269460070878267,-0.016177544370293617,-0.001463597291149199,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
67714,0.0,0.0,0.0,0.0,0.0,0.0,-0.4446103870868683,-0.180641770362854,0.0035464137326925993,0.0,0,3.8480939865112305,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
