scenario,date,stamp,merge_path,vehicle_prefix,vehicle_role,motor,n_samples,n_valid,valid_pct,deck_zero_pct,dshot_zero_pct,bias_rpm,bias_pct,rmse_rpm,max_abs_err_rpm,lag_ms
A1,2026-09-21,12-51-16,experiments/logs/c1_2026-09-21_merged/A1_2026-09-21_12-51-16/A1_2026-09-21_12-51-16_merged_usd.csv,cf5_A1_12-51-16,bottom,1,7554,7554,100.0,0.0,0.0,17.431940994175257,0.1049561947177524,1351.675991465534,41603.80621,0.0
A1,2026-09-21,12-51-16,experiments/logs/c1_2026-09-21_merged/A1_2026-09-21_12-51-16/A1_2026-09-21_12-51-16_merged_usd.csv,cf5_A1_12-51-16,bottom,2,7554,7552,99.97352396081546,0.0,0.0,-2.4999684103548643,-0.013489604140970222,896.5454562523358,34275.713421,4.0
A1,2026-09-21,12-51-16,experiments/logs/c1_2026-09-21_merged/A1_2026-09-21_12-51-16/A1_2026-09-21_12-51-16_merged_usd.csv,cf5_A1_12-51-16,bottom,3,7554,7553,99.98676198040773,0.0,0.0,4.049896437706878,0.022791562517434538,856.0480815878248,42393.668675,2.0
A1,2026-09-21,12-51-16,experiments/logs/c1_2026-09-21_merged/A1_2026-09-21_12-51-16/A1_2026-09-21_12-51-16_merged_usd.csv,cf5_A1_12-51-16,bottom,4,7554,7553,99.98676198040773,0.0,0.0,15.637836705150262,0.08347023733166094,958.0423534868859,39663.237569,0.0
A1,2026-09-21,12-51-16,experiments/logs/c1_2026-09-21_merged/A1_2026-09-21_12-51-16/A1_2026-09-21_12-51-16_merged_usd.csv,cf_second_A1_12-51-16,top,1,7554,7553,99.98676198040773,0.0,0.0,10.578744121673509,0.06736224304613228,1060.5476540194563,42905.908195,6.0
A1,2026-09-21,12-51-16,experiments/logs/c1_2026-09-21_merged/A1_2026-09-21_12-51-16/A1_2026-09-21_12-51-16_merged_usd.csv,cf_second_A1_12-51-16,top,2,7554,7545,99.88085782366957,0.0,0.0,-15.586283079787941,-0.09811114137661806,647.073890345661,40891.355372,2.0
A1,2026-09-21,12-51-16,experiments/logs/c1_2026-09-21_merged/A1_2026-09-21_12-51-16/A1_2026-09-21_12-51-16_merged_usd.csv,cf_second_A1_12-51-16,top,3,7554,7554,100.0,0.0,0.0,-13.252702672226642,-0.08233850254665252,509.3838530581872,43418.307533,0.0
A1,2026-09-21,12-51-16,experiments/logs/c1_2026-09-21_merged/A1_2026-09-21_12-51-16/A1_2026-09-21_12-51-16_merged_usd.csv,cf_second_A1_12-51-16,top,4,7554,7554,100.0,0.0,0.0,-5.8192925304474405,-0.03689511632373083,822.1339770605392,42012.64,4.0
A1,2026-09-21,13-25-10,experiments/logs/c1_2026-09-21_merged/A1_2026-09-21_13-25-10/A1_2026-09-21_13-25-10_merged_usd.csv,cf5_A1_13-25-10,bottom,1,8054,8053,99.98758380928732,0.0,0.0,-12.183533641748422,-0.07646453089140308,642.2965167721221,41950.837973999995,-10.0
A1,2026-09-21,13-25-10,experiments/logs/c1_2026-09-21_merged/A1_2026-09-21_13-25-10/A1_2026-09-21_13-25-10_merged_usd.csv,cf5_A1_13-25-10,bottom,2,8054,8053,99.98758380928732,0.0,0.0,-43.90236639215199,-0.28119883237334387,200.80188748127924,15629.050698,4.0
