scenario,vehicle_role,n_flights,n_motor_rows,bias_pct_mean,bias_pct_median,bias_pct_worst_abs,lag_ms_mean,lag_ms_median,lag_ms_min,lag_ms_max,deck_zero_pct_worst,dshot_zero_pct_worst
A1,bottom,6,24,0.018572288455268746,0.0255899481473891,0.28119883237334387,0.6666666666666666,0.0,-10.0,4.0,0.0,0.0
A1,top,6,24,-0.01717790900752461,-0.043661104630341584,0.3010168375150892,4.666666666666667,4.0,-8.0,44.0,0.0,0.0
A2,bottom,2,8,-0.06287407240407272,-0.06683435177699737,0.22318611731132484,1.0,1.0,0.0,2.0,0.0,0.0
A2,top,2,8,-0.8992330186088371,-0.49484533521296115,3.7228619469833313,0.0,0.0,0.0,0.0,69.82505248425473,0.0
A3,bottom,7,28,-0.06454582236197397,-0.031101392079744685,0.33576053781882037,1.7857142857142858,2.0,0.0,4.0,0.0,0.0
A3,top,7,28,-0.0726049716659346,-0.07671105332967229,0.22259365809248596,2.7142857142857144,2.0,-4.0,24.0,0.0,0.0
A7,bottom,3,12,-0.003159715556432766,-0.005235350839108792,0.16031717948795438,1.5,2.0,0.0,2.0,0.0,0.0
A7,top,3,12,-0.0695137727098466,-0.07372224704058342,0.20522353910177732,5.5,2.0,-4.0,36.0,0.0,0.0
A8,bottom,3,12,-0.05325674486374763,-0.04436148153700119,0.3383379374510319,2.1666666666666665,2.0,0.0,6.0,0.0,0.0
A8,top,3,12,-0.07755711397687426,-0.0903260064392135,0.2686738295863253,0.0,0.0,-8.0,10.0,0.0,0.0
C5,bottom,8,32,-0.0914532296821586,-0.05338431596059587,0.42003525360505434,2.625,2.0,-6.0,24.0,0.0,0.0
