# Motion type:     hover
# Target height:   0.50 m
# Date & time:     2026-02-28 23:05:10
# URI:             radio://0/80/2M/E7E7E7E7E7

t_ms,x,y,z,vx,vy,vz,roll,pitch,yaw,thrust,zrange_mm,vbat,varPX,varPY,varPZ,flow_deltaX,flow_deltaY,flow_squal,flow_rawPixelSum,acc_x,acc_y,acc_z
437689,-4.097364580957219e-06,1.820628676796332e-05,2.8391878004185855e-06,-0.0005816368502564728,0.0014614176470786333,0.0004205530567560345,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437689,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010668138274922967,8.96007550181821e-05,0.00039009100873954594,0.0,0,3.985337257385254,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437709,5.101393981021829e-05,-9.658682392910123e-05,0.009144293144345284,0.0006935262936167419,-0.002410090761259198,0.0008482697885483503,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437709,0.0,0.0,0.0,0.0,0.0,0.0,-0.03751847520470619,-0.020124463364481926,1.6968901036307216e-05,0.0,0,3.9800586700439453,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.816344390856102e-05,9.81637931545265e-05,0.00014199985889717937,0,0,0,0,0.0,0.0,0.0
437711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0,0,0,0,-0.0038213247898966074,0.002513033105060458,1.0027217864990234
437729,-0.00011781264038290828,-0.00012847933976445347,0.00917346216738224,-0.0036849132739007473,-0.0015198857290670276,0.0013255985686555505,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437729,0.0,0.0,0.0,0.0,0.0,0.0,-0.040794000029563904,0.030377110466361046,-0.00023620255524292588,0.0,0,3.9800586700439453,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437749,-9.226531255990267e-05,0.00016864226199686527,0.009631769731640816,-0.002647848566994071,0.00429087970405817,0.0021284339018166065,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437749,0.0,0.0,0.0,0.0,0.0,0.0,-0.17296473681926727,-0.012565579265356064,-0.0018696612678468227,0.0,0,3.985337257385254,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0001162048356491141,0.00011620461737038568,0.00018347331206314266,0,0,0,0,0.0,0.0,0.0
437751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0,0,0,0,-0.005131886340677738,0.0019247194286435843,1.0014877319335938
437769,7.663177530048415e-05,0.00022177316714078188,0.009682759642601013,3.816920070676133e-06,0.004669711459428072,0.002447709208354354,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437769,0.0,0.0,0.0,0.0,0.0,0.0,-0.15422362089157104,-0.11318200826644897,-0.00048052050988189876,0.0,0,3.9906158447265625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437789,-4.790288949152455e-05,0.0001569990417920053,0.009740753099322319,-0.0021346211433410645,0.0035580431576818228,0.002945634303614497,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437789,0.0,0.0,0.0,0.0,0.0,0.0,-0.10251504927873611,-0.07318052649497986,0.0003779280814342201,0.0,0,3.985337257385254,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00013733547530137002,0.00013733496598433703,0.00020816705364268273,0,0,0,0,0.0,0.0,0.0
437791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0,0,0,0,-0.0037803833838552237,0.0023998585529625416,1.0028470754623413
437809,-0.0004889672854915261,-6.644014501944184e-05,0.009518628939986229,-0.007641803473234177,0.0011290140682831407,0.0026404864620417356,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437809,0.0,0.0,0.0,0.0,0.0,0.0,-0.029568474739789963,0.06570834666490555,-0.00230016908608377,0.0,0,3.985337257385254,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437829,-0.00039802887476980686,-0.0008455824572592974,0.009587450884282589,-0.005972557235509157,-0.007758942432701588,0.0027617085725069046,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437829,0.0,0.0,0.0,0.0,0.0,0.0,0.21113261580467224,-0.0017849429277703166,-0.005253356881439686,0.0,0,3.9800586700439453,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00015583519416395575,0.00015583372442051768,0.00026316349976696074,0,0,0,0,0.0,0.0,0.0
437831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0,0,0,0,-0.003556103678420186,0.0020112497732043266,1.0017858743667603
437849,-6.117437442298979e-05,0.0003475563717074692,0.010628723539412022,-0.0014229724183678627,0.006489190272986889,0.007655058987438679,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437849,0.0,0.0,0.0,0.0,0.0,0.0,-0.15502670407295227,-0.13470588624477386,-0.006073305383324623,0.0,0,3.9906158447265625,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
437869,-0.0004999239463359118,-0.0008478567469865084,0.010802985168993473,-0.005854938179254532,-0.0067025041207671165,0.00796534214168787,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
