scenario,controller,n_robots,vehicle_id,t_start,t_end,n_samples,n_raw,rate_hz_est,nan_fraction,pos_rmse_m,pos_rmse_x,pos_rmse_y,pos_rmse_z,pos_peak_m,pos_peak_z,dz_cmd_m,dz_mean_m,dz_err_mean_m,dz_err_rms_m,a_res_rms,a_res_z_mean,a_res_z_rms,a_hat_res_rms,a_hat_vs_a_res_rmse,e_R_rmse,e_R_peak,notes,effort_proxy,fs_hz,gyro_band_frac,gyro_x_band_pow,gyro_x_dom_hz,gyro_y_band_pow,gyro_y_dom_hz,gyro_z_band_pow,gyro_z_dom_hz,min_dz_m,min_sep_m,min_sep_vs_cmd_m,motor_mean_ratio,motor_rms_ratio,motor_sat_frac,motor_spread_mean,spectrum_ok,t_below_min_safe_s,tau_peak,tau_rms
A1,geometric,2,cf5,0.0,16.108,8055,8055,500.0,0.0,0.17570084675554362,0.0448974246559788,0.03201889312268984,0.16682265821246672,0.22303974377002855,0.20303499999999997,,,,,2.1471715358792496,-1.9254472351334575,2.0828549258977573,0.0,2.1471715358792496,0.42119304121916673,0.6900153687230451,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,0,,nan,nan
A1,geometric,2,cf_second,0.0,16.108,8055,8055,500.0,0.0,0.08413852485108973,0.027451085256825995,0.020153869389883467,0.07693861729297864,0.0883020529659419,0.08010300000000004,,,,,0.0,0.0,0.0,0.0,0.0,0.0390932849732534,0.0390932849732534,,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,0,,nan,nan
A1,geometric,2,__formation__,,,,,,,,,,,,,0.5,0.5891482109248913,-0.08914821092489138,0.09051152312910613,,,,,,,,time offset between the two logs' own t[0]: +0.0000 s,,,,,,,,,,0.5590600000000001,0.5599370273816512,0.05993702738165119,,,,,,0.0,,
