run_id,rms_total,rms_roll,rms_pitch,rms_yaw,q_pos,q_vel,q_att,r_height,r_flow,plot
18,7.0941,6.7491,6.0523,8.2945,1e-07,1e-05,0.0001,0.0001,0.5,run_0018.png
19,5.2249,5.7474,5.1564,4.7201,1e-07,1e-05,0.0001,0.0001,2.0,run_0019.png
20,5.0098,5.3933,4.8763,4.7359,1e-07,1e-05,0.0001,0.0001,8.0,run_0020.png
21,7.2734,7.0055,6.3206,8.3474,1e-07,1e-05,0.0001,0.001,0.5,run_0021.png
22,5.1424,5.8274,5.1271,4.3687,1e-07,1e-05,0.0001,0.001,2.0,run_0022.png
23,5.7112,5.3192,4.6136,6.9479,1e-07,1e-05,0.0001,0.001,8.0,run_0023.png
24,7.4552,7.5761,6.6406,8.0775,1e-07,1e-05,0.0001,0.01,0.5,run_0024.png
25,5.3839,6.0866,5.1884,4.7952,1e-07,1e-05,0.0001,0.01,2.0,run_0025.png
26,5.8101,5.3702,4.366,7.3054,1e-07,1e-05,0.0001,0.01,8.0,run_0026.png
27,1.804,1.9291,1.5493,1.9084,1e-07,0.0001,1e-06,0.0001,0.5,run_0027.png
28,1.643,1.8049,1.462,1.6443,1e-07,0.0001,1e-06,0.0001,2.0,run_0028.png
29,1.5195,1.694,1.3877,1.4598,1e-07,0.0001,1e-06,0.0001,8.0,run_0029.png
30,1.8115,1.9422,1.5514,1.9148,1e-07,0.0001,1e-06,0.001,0.5,run_0030.png
31,1.6429,1.804,1.46,1.6466,1e-07,0.0001,1e-06,0.001,2.0,run_0031.png
32,1.5139,1.6878,1.3866,1.4507,1e-07,0.0001,1e-06,0.001,8.0,run_0032.png
33,1.8476,2.0435,1.5761,1.8924,1e-07,0.0001,1e-06,0.01,0.5,run_0033.png
34,1.6549,1.8067,1.4581,1.6811,1e-07,0.0001,1e-06,0.01,2.0,run_0034.png
35,1.5125,1.6787,1.3811,1.462,1e-07,0.0001,1e-06,0.01,8.0,run_0035.png
36,3.0511,3.627,2.9375,2.4788,1e-07,0.0001,1e-05,0.0001,0.5,run_0036.png
37,2.7644,3.3769,2.6579,2.1114,1e-07,0.0001,1e-05,0.0001,2.0,run_0037.png
38,2.3872,3.1246,2.3746,1.302,1e-07,0.0001,1e-05,0.0001,8.0,run_0038.png
39,3.0757,3.6491,2.9468,2.526,1e-07,0.0001,1e-05,0.001,0.5,run_0039.png
40,2.7686,3.3552,2.6445,2.1782,1e-07,0.0001,1e-05,0.001,2.0,run_0040.png
41,2.3502,3.0738,2.3505,1.2636,1e-07,0.0001,1e-05,0.001,8.0,run_0041.png
42,3.2648,3.9418,3.0702,2.6484,1e-07,0.0001,1e-05,0.01,0.5,run_0042.png
43,2.805,3.3924,2.6454,2.2576,1e-07,0.0001,1e-05,0.01,2.0,run_0043.png
44,2.33,3.0555,2.323,1.2468,1e-07,0.0001,1e-05,0.01,8.0,run_0044.png
45,6.4098,6.076,5.4701,7.511,1e-07,0.0001,0.0001,0.0001,0.5,run_0045.png
46,4.924,5.1692,4.5663,5.0167,1e-07,0.0001,0.0001,0.0001,2.0,run_0046.png
47,4.6863,4.7126,4.0627,5.2126,1e-07,0.0001,0.0001,0.0001,8.0,run_0047.png
48,6.218,6.2015,5.629,6.771,1e-07,0.0001,0.0001,0.001,0.5,run_0048.png
49,4.8031,5.1762,4.6024,4.6081,1e-07,0.0001,0.0001,0.001,2.0,run_0049.png
50,4.708,4.6125,4.0179,5.3923,1e-07,0.0001,0.0001,0.001,8.0,run_0050.png
51,6.4282,6.7161,5.9478,6.5941,1e-07,0.0001,0.0001,0.01,0.5,run_0051.png
52,4.8648,5.3363,4.6762,4.5449,1e-07,0.0001,0.0001,0.01,2.0,run_0052.png
53,4.8951,4.6628,3.9895,5.8504,1e-07,0.0001,0.0001,0.01,8.0,run_0053.png
54,1.4382,1.6328,0.9539,1.6215,1e-07,0.001,1e-06,0.0001,0.5,run_0054.png
55,1.4265,1.4555,1.0423,1.703,1e-07,0.001,1e-06,0.0001,2.0,run_0055.png
56,1.411,1.4071,1.0553,1.6968,1e-07,0.001,1e-06,0.0001,8.0,run_0056.png
57,1.4575,1.6585,0.9646,1.6407,1e-07,0.001,1e-06,0.001,0.5,run_0057.png
58,1.427,1.4524,1.0418,1.707,1e-07,0.001,1e-06,0.001,2.0,run_0058.png
59,1.4062,1.3965,1.054,1.6944,1e-07,0.001,1e-06,0.001,8.0,run_0059.png
60,1.4864,1.7017,1.0057,1.6496,1e-07,0.001,1e-06,0.01,0.5,run_0060.png
61,1.4326,1.4636,1.0468,1.7084,1e-07,0.001,1e-06,0.01,2.0,run_0061.png
62,1.407,1.3983,1.0562,1.6936,1e-07,0.001,1e-06,0.01,8.0,run_0062.png
63,1.7085,2.0563,1.505,1.5046,1e-07,0.001,1e-05,0.0001,0.5,run_0063.png
64,1.6153,1.8449,1.4365,1.5365,1e-07,0.001,1e-05,0.0001,2.0,run_0064.png
65,1.5668,1.7721,1.395,1.5094,1e-07,0.001,1e-05,0.0001,8.0,run_0065.png
66,1.7427,2.1034,1.5119,1.5494,1e-07,0.001,1e-05,0.001,0.5,run_0066.png
67,1.6186,1.8456,1.4284,1.5534,1e-07,0.001,1e-05,0.001,2.0,run_0067.png
68,1.5608,1.7605,1.3856,1.513,1e-07,0.001,1e-05,0.001,8.0,run_0068.png
69,1.8782,2.3383,1.6375,1.56,1e-07,0.001,1e-05,0.01,0.5,run_0069.png
70,1.6406,1.8891,1.4429,1.5568,1e-07,0.001,1e-05,0.01,2.0,run_0070.png
71,1.5622,1.764,1.3838,1.5149,1e-07,0.001,1e-05,0.01,8.0,run_0071.png
72,4.4542,4.4419,3.9012,4.9567,1e-07,0.001,0.0001,0.0001,0.5,run_0072.png
73,3.2397,3.7735,3.1704,2.6826,1e-07,0.001,0.0001,0.0001,2.0,run_0073.png
74,2.8927,3.4935,2.8349,2.2048,1e-07,0.001,0.0001,0.0001,8.0,run_0074.png
75,4.5122,4.5303,3.9402,5.0031,1e-07,0.001,0.0001,0.001,0.5,run_0075.png
76,3.2501,3.7626,3.1581,2.7494,1e-07,0.001,0.0001,0.001,2.0,run_0076.png
77,2.8719,3.4546,2.8045,2.2236,1e-07,0.001,0.0001,0.001,8.0,run_0077.png
78,4.6976,5.1192,4.2552,4.6787,1e-07,0.001,0.0001,0.01,0.5,run_0078.png
79,3.3162,3.8702,3.2115,2.7748,1e-07,0.001,0.0001,0.01,2.0,run_0079.png
80,2.8887,3.4542,2.8023,2.2913,1e-07,0.001,0.0001,0.01,8.0,run_0080.png
81,4.1513,3.5129,2.5312,5.7404,1e-06,1e-05,1e-06,0.0001,0.5,run_0081.png
82,2.7499,3.0011,2.1333,3.0214,1e-06,1e-05,1e-06,0.0001,2.0,run_0082.png
83,2.467,2.4168,1.8217,3.0165,1e-06,1e-05,1e-06,0.0001,8.0,run_0083.png
84,4.1931,3.5089,2.5304,5.8337,1e-06,1e-05,1e-06,0.001,0.5,run_0084.png
85,2.7129,2.9784,2.1181,2.9533,1e-06,1e-05,1e-06,0.001,2.0,run_0085.png
86,2.4119,2.3811,1.7912,2.9282,1e-06,1e-05,1e-06,0.001,8.0,run_0086.png
87,4.592,3.5237,2.526,6.668,1e-06,1e-05,1e-06,0.01,0.5,run_0087.png
88,2.6239,2.9407,2.0989,2.7572,1e-06,1e-05,1e-06,0.01,2.0,run_0088.png
89,2.3058,2.3447,1.7509,2.7179,1e-06,1e-05,1e-06,0.01,8.0,run_0089.png
90,5.6886,5.0316,4.2132,7.3493,1e-06,1e-05,1e-05,0.0001,0.5,run_0090.png
91,4.801,4.4818,3.6266,5.9924,1e-06,1e-05,1e-05,0.0001,2.0,run_0091.png
