cf5_A3_13-00-57.a_hat_x,cf5_A3_13-00-57.a_hat_y,cf5_A3_13-00-57.a_hat_z,cf5_A3_13-00-57.a_res_x,cf5_A3_13-00-57.a_res_y,cf5_A3_13-00-57.a_res_z,cf5_A3_13-00-57.e_r_x,cf5_A3_13-00-57.e_r_y,cf5_A3_13-00-57.e_r_z,cf5_A3_13-00-57.pos_des_x,cf5_A3_13-00-57.pos_des_y,cf5_A3_13-00-57.pos_des_z,cf5_A3_13-00-57.pos_x,cf5_A3_13-00-57.pos_y,cf5_A3_13-00-57.pos_z,cf5_A3_13-00-57.t,cf_second_A3_13-00-57.a_hat_x,cf_second_A3_13-00-57.a_hat_y,cf_second_A3_13-00-57.a_hat_z,cf_second_A3_13-00-57.a_res_x,cf_second_A3_13-00-57.a_res_y,cf_second_A3_13-00-57.a_res_z,cf_second_A3_13-00-57.e_r_x,cf_second_A3_13-00-57.e_r_y,cf_second_A3_13-00-57.e_r_z,cf_second_A3_13-00-57.pos_des_x,cf_second_A3_13-00-57.pos_des_y,cf_second_A3_13-00-57.pos_des_z,cf_second_A3_13-00-57.pos_x,cf_second_A3_13-00-57.pos_y,cf_second_A3_13-00-57.pos_z,cf_second_A3_13-00-57.t
0.000000,0.000000,0.000000,-0.007572,-0.107690,-0.003696,0.009430,-0.017539,-0.020323,-0.600000,0.000002,1.000000,-0.613676,-0.002107,0.977005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006788,0.024463,1.122695,0.000000
0.000000,0.000000,0.000000,-0.021203,-0.111607,-0.029616,0.008868,-0.017509,-0.020322,-0.599999,0.000002,1.000000,-0.613553,-0.002143,0.977007,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006788,0.024463,1.122695,0.002000
0.000000,0.000000,0.000000,-0.032254,-0.107289,-0.032227,0.007951,-0.017283,-0.020320,-0.599999,0.000002,1.000000,-0.613337,-0.002206,0.977011,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006892,0.024730,1.122849,0.004000
0.000000,0.000000,0.000000,-0.039036,-0.101017,-0.019207,0.007793,-0.017281,-0.020323,-0.599999,0.000002,1.000000,-0.613337,-0.002206,0.977011,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006791,0.024470,1.122963,0.006000
0.000000,0.000000,0.000000,-0.041892,-0.096131,0.000990,0.007506,-0.017782,-0.020309,-0.599999,0.000002,1.000000,-0.613464,-0.002167,0.977009,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006789,0.024465,1.122965,0.008000
0.000000,0.000000,0.000000,-0.041562,-0.092169,0.018384,0.007136,-0.018697,-0.020284,-0.599999,0.000002,1.000000,-0.613677,-0.002101,0.977005,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006789,0.024465,1.122965,0.010000
0.000000,0.000000,0.000000,-0.036010,-0.086157,0.028076,0.006653,-0.018582,-0.020265,-0.599999,0.000002,1.000000,-0.613538,-0.002138,0.977008,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006789,0.024465,1.122965,0.012000
0.000000,0.000000,0.000000,-0.024794,-0.077816,0.029034,0.006000,-0.018333,-0.020237,-0.599999,0.000002,1.000000,-0.613342,-0.002190,0.977011,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006893,0.024732,1.122986,0.014000
0.000000,0.000000,0.000000,-0.011985,-0.067443,0.034040,0.005651,-0.018941,-0.020241,-0.599999,0.000002,1.000000,-0.613495,-0.002146,0.977008,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006792,0.024470,1.123093,0.016000
0.000000,0.000000,0.000000,-0.001160,-0.056122,0.047811,0.005275,-0.019685,-0.020245,-0.599999,0.000002,1.000000,-0.613679,-0.002094,0.977005,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006792,0.024470,1.123093,0.018000
0.000000,0.000000,0.000000,0.005131,-0.047078,0.063528,0.005119,-0.019803,-0.020247,-0.599999,0.000002,1.000000,-0.613679,-0.002094,0.977005,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006792,0.024470,1.123093,0.020000
0.000000,0.000000,0.000000,0.007330,-0.042987,0.075268,0.004757,-0.019653,-0.020226,-0.599999,0.000002,1.000000,-0.613528,-0.002129,0.977008,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006797,0.024484,1.123091,0.022000
0.000000,0.000000,0.000000,0.005353,-0.046231,0.086830,0.004321,-0.019390,-0.020201,-0.599999,0.000002,1.000000,-0.613348,-0.002171,0.977011,0.024000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006888,0.024719,1.123054,0.024000
0.000000,0.000000,0.000000,-0.002237,-0.056224,0.073731,0.003971,-0.020121,-0.020193,-0.599999,0.000002,1.000000,-0.613516,-0.002128,0.977008,0.026000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006795,0.024474,1.123149,0.026000
0.000000,0.000000,0.000000,-0.013030,-0.068511,0.044654,0.003638,-0.020882,-0.020185,-0.599999,0.000002,1.000000,-0.613682,-0.002084,0.977005,0.028000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006795,0.024474,1.123149,0.028000
0.000000,0.000000,0.000000,-0.022568,-0.079703,0.028595,0.003476,-0.021020,-0.020187,-0.599999,0.000002,1.000000,-0.613682,-0.002084,0.977005,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006807,0.024506,1.123140,0.030000
0.000000,0.000000,0.000000,-0.026376,-0.086255,0.015973,0.003320,-0.020652,-0.020222,-0.599999,0.000002,1.000000,-0.613517,-0.002118,0.977009,0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003738,-0.006483,-0.000040,-0.000000,-0.000001,1.250000,-0.006899,0.024744,1.123072,0.032000
