t,x,y,z,vx,vy,vz,roll,pitch,yaw,thrust,zrange_mm
0.0272,nan,nan,nan,nan,nan,nan,-0.1724293977022171,-0.08300593495368958,-0.0036775709595531225,35882.03515625,11
0.0283,0.00042226287769153714,0.00018347491277381778,0.010805696249008179,0.0031695549841970205,0.0021656262688338757,0.004617434926331043,-0.1724293977022171,-0.08300593495368958,-0.0036775709595531225,35882.03515625,11
0.0463,0.00042226287769153714,0.00018347491277381778,0.010805696249008179,0.0031695549841970205,0.0021656262688338757,0.004617434926331043,-0.17232508957386017,-0.05255279317498207,-0.004925538320094347,35868.6171875,11
0.0486,-0.0002949825138784945,0.00019600006635300815,0.010903803631663322,-0.0004875245504081249,0.0025270867627114058,0.004746044520288706,-0.17232508957386017,-0.05255279317498207,-0.004925538320094347,35868.6171875,11
0.0668,-0.0002949825138784945,0.00019600006635300815,0.010903803631663322,-0.0004875245504081249,0.0025270867627114058,0.004746044520288706,-0.17366020381450653,-0.009750835597515106,-0.00811116211116314,36009.015625,9
0.0677,-0.001241790596395731,0.00020198829588480294,0.010117091238498688,-0.005142119247466326,0.002915964461863041,0.000586449692491442,-0.17366020381450653,-0.009750835597515106,-0.00811116211116314,36009.015625,9
0.0862,-0.001241790596395731,0.00020198829588480294,0.010117091238498688,-0.005142119247466326,0.002915964461863041,0.000586449692491442,-0.15832193195819855,-0.03834487125277519,-0.007560631260275841,36006.78125,9
0.0885,-0.0005386741831898689,-4.1984516428783536e-05,0.010152720846235752,-0.0012886192416772246,0.001932616112753749,0.0005681032198481262,-0.15832193195819855,-0.03834487125277519,-0.007560631260275841,36006.78125,9
0.1062,-0.0005386741831898689,-4.1984516428783536e-05,0.010152720846235752,-0.0012886192416772246,0.001932616112753749,0.0005681032198481262,-0.19587312638759613,-0.0161424670368433,-0.00800994224846363,35942.19921875,11
0.1086,-0.0012139196041971445,0.0006703149410896003,0.010535133071243763,-0.0045634424313902855,0.0059249852783977985,0.002707064151763916,-0.19587312638759613,-0.0161424670368433,-0.00800994224846363,35942.19921875,11
0.1264,-0.0012139196041971445,0.0006703149410896003,0.010535133071243763,-0.0045634424313902855,0.0059249852783977985,0.002707064151763916,-0.15535764396190643,-0.08047882467508316,-0.015158038586378098,35927.546875,11
0.1273,0.00037873612018302083,-2.245384530397132e-05,0.010608550161123276,0.004101079422980547,0.0024585030041635036,0.0033157283905893564,-0.15535764396190643,-0.08047882467508316,-0.015158038586378098,35927.546875,11
0.1464,0.00037873612018302083,-2.245384530397132e-05,0.010608550161123276,0.004101079422980547,0.0024585030041635036,0.0033157283905893564,-0.15510226786136627,-0.010586743243038654,-0.027397964149713516,35937.609375,11
0.1473,-0.0013948559062555432,-2.1900090359849855e-05,0.01067325472831726,-0.004933721385896206,0.002755792811512947,0.0019331055227667093,-0.15510226786136627,-0.010586743243038654,-0.027397964149713516,35937.609375,11
0.1671,-0.0013948559062555432,-2.1900090359849855e-05,0.01067325472831726,-0.004933721385896206,0.002755792811512947,0.0019331055227667093,-0.15458807349205017,-0.014331073500216007,-0.09946651756763458,36252.1640625,7
0.168,-0.0011804753448814154,-2.674308416317217e-05,0.00906315352767706,-0.0036964251194149256,0.0031560345087200403,-0.005056691821664572,-0.15458807349205017,-0.014331073500216007,-0.09946651756763458,36252.1640625,7
0.1866,-0.0011804753448814154,-2.674308416317217e-05,0.00906315352767706,-0.0036964251194149256,0.0031560345087200403,-0.005056691821664572,-0.15402355790138245,-0.004843889735639095,-0.4616614282131195,36216.7890625,7
0.1876,-0.0014605369651690125,2.979249802592676e-05,0.008963589556515217,-0.004714678041636944,0.003609787905588746,-0.0054999543353915215,-0.15402355790138245,-0.004843889735639095,-0.4616614282131195,36216.7890625,7
0.2066,-0.0014605369651690125,2.979249802592676e-05,0.008963589556515217,-0.004714678041636944,0.003609787905588746,-0.0054999543353915215,-0.23508426547050476,-0.01200444158166647,-0.8270809650421143,36002.37109375,12
0.2076,-0.0014145731693133712,0.0020998043473809958,0.010194889269769192,-0.0041158776730299,0.014290529303252697,0.0005673316773027182,-0.23508426547050476,-0.01200444158166647,-0.8270809650421143,36002.37109375,12
