# Motion type:     circle
# Target height:   0.50 m
# Date & time:     2026-02-28 23:26:47
# URI:             radio://0/80/2M/E7E7E7E7E7

t_ms,x,y,z,vx,vy,vz,roll,pitch,yaw,thrust,zrange_mm,vbat,varPX,varPY,varPZ,flow_deltaX,flow_deltaY,flow_squal,flow_rawPixelSum,acc_x,acc_y,acc_z
18389,2.704790313146077e-05,-9.461332228966057e-05,0.00799691490828991,0.001665197778493166,-0.008082669228315353,8.384645298065152e-07,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
18390,0.0,0.0,0.0,0.0,0.0,0.0,0.013324948959052563,-0.003001994686201215,0.0014462891267612576,0.0,0,3.943108558654785,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
18410,-1.9311673895572312e-05,6.179706542752683e-05,0.00805677380412817,-0.0011813972378149629,-0.0001956855703610927,0.00013456038141157478,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
18410,0.0,0.0,0.0,0.0,0.0,0.0,-0.1702326536178589,0.0033477419055998325,0.0010432880371809006,0.0,0,3.9378299713134766,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
18411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.425351163372397e-05,9.425455937162042e-05,0.000140999851282686,0,0,0,0,0.0,0.0,0.0
18412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0,0,0,0,-0.0029842874500900507,-0.019069017842411995,1.000362753868103
18429,-0.00026824240921996534,3.095689680776559e-05,0.00805747415870428,-0.006620913278311491,-0.0032208869233727455,0.00030565509223379195,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
18430,0.0,0.0,0.0,0.0,0.0,0.0,-0.023976463824510574,-0.05726145952939987,-0.001777755911462009,0.0,0,3.9378299713134766,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
18450,8.700424587004818e-06,-0.0004442593199200928,0.00752729969099164,-0.0005968852783553302,-0.012625995092093945,-1.305938985751709e-05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
18450,0.0,0.0,0.0,0.0,0.0,0.0,-0.05023115500807762,0.2654668688774109,-0.0021486999467015266,0.0,0,3.943108558654785,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
