# timestamp,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,motion.deltaX,motion.deltaY,motion.std,range.zrange,stateEstimate.qw,stateEstimate.qx,stateEstimate.qy,stateEstimate.qz,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,stateEstimate.x,stateEstimate.y,stateEstimate.z
0.000000000000000000e+00,nan,nan,nan,5.195900440216064453e+00,6.516583919525146484e+00,-4.001209512352943420e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.900000000023283007e-05,3.006632253527641296e-02,2.071516960859298706e-02,9.823437929153442383e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.880000000011932189e-04,nan,nan,nan,5.195426940917968750e+00,6.467330455780029297e+00,-2.121298909187316895e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.007000000001426025e-03,3.188802674412727356e-02,2.089087478816509247e-02,9.782443046569824219e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.983000000000174727e-03,nan,nan,nan,5.201762676239013672e+00,6.278547286987304688e+00,-3.669187128543853760e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.003000000000611062e-03,3.504875674843788147e-02,2.159607037901878357e-02,9.750945568084716797e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.969000000000960454e-03,nan,nan,nan,5.286301136016845703e+00,6.278415203094482422e+00,-4.818065166473388672e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.989000000001396790e-03,3.545261174440383911e-02,2.179818972945213318e-02,9.740977287292480469e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.018000000000029361e-03,nan,nan,nan,5.537299633026123047e+00,6.371087551116943359e+00,-5.615019202232360840e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.039000000000669659e-03,3.301132470369338989e-02,1.819948479533195496e-02,9.750673174858093262e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.953000000001339144e-03,nan,nan,nan,5.668987751007080078e+00,6.323362827301025391e+00,-5.951049327850341797e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.974000000001979442e-03,3.117258287966251373e-02,1.460471469908952713e-02,9.779016971588134766e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.846000000001367464e-03,nan,nan,nan,nan,nan,nan,-0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.948000000000320218e-03,nan,nan,nan,5.658568859100341797e+00,6.339284420013427734e+00,-5.435253381729125977e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.968000000000756554e-03,2.806254290044307709e-02,1.228085439652204514e-02,9.820874333381652832e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.940000000002327987e-03,nan,nan,nan,5.774463176727294922e+00,6.484933853149414062e+00,-4.173346459865570068e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.960000000002765190e-03,2.329803816974163055e-02,7.336665876209735870e-03,9.867597818374633789e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.112000000000989926e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.996616840362548828e-01,-2.263827994465827942e-02,4.075337783433496952e-04,-1.272243540734052658e-02,-2.988672256469726562e-02,1.280974596738815308e-02,5.401543155312538147e-02,4.634757060557603836e-03,-3.625142946839332581e-02,1.074818849563598633e+00
7.930000000000290983e-03,nan,nan,nan,5.866334438323974609e+00,6.563329219818115234e+00,-2.692880928516387939e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.950000000000727318e-03,2.105318568646907806e-02,4.114972893148660660e-03,9.913842082023620605e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.967000000000552654e-03,nan,nan,nan,5.805548667907714844e+00,6.673020839691162109e+00,-1.293640732765197754e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.986000000000785026e-03,2.083150856196880341e-02,5.968607962131500244e-03,9.951865673065185547e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.905000000002474325e-03,nan,nan,nan,5.866734504699707031e+00,6.882042407989501953e+00,-2.770163491368293762e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.924000000002706698e-03,2.009015344083309174e-02,6.955839693546295166e-03,9.979314804077148438e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.089700000000084351e-02,nan,nan,nan,5.993510723114013672e+00,6.966193675994873047e+00,1.385852787643671036e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.091700000000127985e-02,2.056408300995826721e-02,8.341046050190925598e-03,1.000152349472045898e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.189099999999962236e-02,nan,nan,nan,5.965843200683593750e+00,6.939616203308105469e+00,2.100633829832077026e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.190999999999985473e-02,2.206278406083583832e-02,1.404900290071964264e-02,1.001347303390502930e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.288600000000224115e-02,nan,nan,nan,5.971503257751464844e+00,6.993005275726318359e+00,2.117341570556163788e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.290500000000247352e-02,2.231473103165626526e-02,1.854243502020835876e-02,1.001101493835449219e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.392100000000209489e-02,nan,nan,nan,5.964353561401367188e+00,7.042084217071533203e+00,9.429465979337692261e-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.394000000000232900e-02,2.263910509645938873e-02,2.154168859124183655e-02,1.000325798988342285e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.487099999999918522e-02,nan,nan,nan,5.665026187896728516e+00,7.003963470458984375e+00,-3.740703978110104799e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.489099999999962155e-02,2.359225600957870483e-02,2.738668397068977356e-02,9.990943074226379395e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.576300000000264989e-02,nan,nan,nan,nan,nan,nan,-0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.586500000000160004e-02,nan,nan,nan,5.364520549774169922e+00,7.003198623657226562e+00,2.074235118925571442e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.588600000000224208e-02,2.322402223944664001e-02,2.962877601385116577e-02,9.968999028205871582e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.684600000000136683e-02,nan,nan,nan,5.287827968597412109e+00,7.004052639007568359e+00,7.569433003664016724e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.686600000000180316e-02,2.203816361725330353e-02,2.518557943403720856e-02,9.945629239082336426e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.703100000000267594e-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.996685385704040527e-01,-2.229658886790275574e-02,1.027708058245480061e-03,-1.275343447923660278e-02,-2.746530622243881226e-02,2.154101245105266571e-02,5.201818794012069702e-02,6.269923411309719086e-03,-3.242753446102142334e-02,1.075348019599914551e+00
1.783599999999933156e-02,nan,nan,nan,5.121369361877441406e+00,6.856315135955810547e+00,1.709348708391189575e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.785499999999956219e-02,2.137850224971771240e-02,2.185796014964580536e-02,9.925215840339660645e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.887399999999979719e-02,nan,nan,nan,4.947110652923583984e+00,6.643050670623779297e+00,3.022032678127288818e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.889300000000002783e-02,2.042181976139545441e-02,1.789307780563831329e-02,9.902042150497436523e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.982700000000113538e-02,nan,nan,nan,5.009530544281005859e+00,6.493226051330566406e+00,4.241524338722229004e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.984600000000136949e-02,1.892433874309062958e-02,9.434206411242485046e-03,9.881654977798461914e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.081400000000212594e-02,nan,nan,nan,5.021971702575683594e+00,6.351565361022949219e+00,5.218309760093688965e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
