cf5_A8_12-11-46.a_hat_x,cf5_A8_12-11-46.a_hat_y,cf5_A8_12-11-46.a_hat_z,cf5_A8_12-11-46.a_res_x,cf5_A8_12-11-46.a_res_y,cf5_A8_12-11-46.a_res_z,cf5_A8_12-11-46.e_r_x,cf5_A8_12-11-46.e_r_y,cf5_A8_12-11-46.e_r_z,cf5_A8_12-11-46.pos_des_x,cf5_A8_12-11-46.pos_des_y,cf5_A8_12-11-46.pos_des_z,cf5_A8_12-11-46.pos_x,cf5_A8_12-11-46.pos_y,cf5_A8_12-11-46.pos_z,cf5_A8_12-11-46.t,cf_second_A8_12-11-46.a_hat_x,cf_second_A8_12-11-46.a_hat_y,cf_second_A8_12-11-46.a_hat_z,cf_second_A8_12-11-46.a_res_x,cf_second_A8_12-11-46.a_res_y,cf_second_A8_12-11-46.a_res_z,cf_second_A8_12-11-46.e_r_x,cf_second_A8_12-11-46.e_r_y,cf_second_A8_12-11-46.e_r_z,cf_second_A8_12-11-46.pos_des_x,cf_second_A8_12-11-46.pos_des_y,cf_second_A8_12-11-46.pos_des_z,cf_second_A8_12-11-46.pos_x,cf_second_A8_12-11-46.pos_y,cf_second_A8_12-11-46.pos_z,cf_second_A8_12-11-46.t
0.000000,0.000000,0.000000,-0.102956,-0.165896,-0.054804,0.005334,-0.053948,-0.016704,-0.000000,-0.199999,1.000000,-0.018651,-0.199174,0.978907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.799995,1.250000,-0.013654,0.816633,1.122952,0.000000
0.000000,0.000000,0.000000,-0.107288,-0.170729,-0.047388,0.005328,-0.053973,-0.016704,-0.000000,-0.199999,1.000000,-0.018651,-0.199174,0.978907,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.799995,1.250000,-0.013654,0.816633,1.122952,0.002000
0.000000,0.000000,0.000000,-0.107310,-0.173603,-0.041787,0.005330,-0.053969,-0.016704,-0.000000,-0.199999,1.000000,-0.018651,-0.199174,0.978907,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.799995,1.250000,-0.013787,0.816773,1.122970,0.004000
0.000000,0.000000,0.000000,-0.102844,-0.171896,-0.038607,0.005206,-0.054234,-0.016707,-0.000000,-0.199999,1.000000,-0.018720,-0.199140,0.978926,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.799995,1.250000,-0.013831,0.816820,1.122977,0.006000
0.000000,0.000000,0.000000,-0.092269,-0.166441,-0.021468,0.005128,-0.054252,-0.016742,-0.000000,-0.199999,1.000000,-0.018757,-0.199122,0.978990,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.799995,1.250000,-0.013678,0.816677,1.122950,0.008000
0.000000,0.000000,0.000000,-0.074254,-0.159316,0.007567,0.005302,-0.053668,-0.016785,-0.000000,-0.199999,1.000000,-0.018653,-0.199173,0.979040,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.799995,1.250000,-0.013628,0.816631,1.122942,0.010000
0.000000,0.000000,0.000000,-0.051552,-0.151239,0.032420,0.005297,-0.053688,-0.016785,-0.000000,-0.199999,1.000000,-0.018653,-0.199173,0.979040,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.799995,1.250000,-0.013628,0.816631,1.122942,0.012000
0.000000,0.000000,0.000000,-0.027522,-0.144284,0.043884,0.005152,-0.053981,-0.016789,-0.000000,-0.199999,1.000000,-0.018729,-0.199136,0.979031,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.799995,1.250000,-0.013628,0.816631,1.122942,0.014000
0.000000,0.000000,0.000000,-0.007218,-0.139026,0.050820,0.004952,-0.054394,-0.016794,-0.000000,-0.199999,1.000000,-0.018830,-0.199086,0.979019,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.799995,1.250000,-0.013777,0.816778,1.123370,0.016000
0.000000,0.000000,0.000000,0.004760,-0.133541,0.059444,0.005040,-0.053875,-0.016825,-0.000000,-0.199999,1.000000,-0.018749,-0.199126,0.979058,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004394,-0.012353,0.002011,-0.000000,0.799995,1.250000,-0.013656,0.816665,1.123482,0.018000
