time,roll_rad,pitch_rad,yaw_rad,x,y,z
0.671178997,0.115343764,0.028780615,-0.023652362,0.012956,0.063806,1.088500
0.681083024,0.115859509,0.030597642,-0.023298319,0.013575,0.062329,1.088475
0.691003025,0.116225481,0.032327518,-0.022898452,0.009531,0.062809,1.088446
0.700909019,0.116993375,0.034357257,-0.022529168,0.009065,0.055444,1.087837
0.710819006,0.117439285,0.036404144,-0.022144504,0.008940,0.055734,1.087753
0.720735013,0.118047461,0.038793951,-0.021779032,0.012596,0.052397,1.087651
0.730641007,0.118571945,0.041092347,-0.021418283,0.013329,0.050321,1.087536
0.740549982,0.119241960,0.043852493,-0.021034600,0.017528,0.046624,1.085724
0.750464976,0.119479939,0.046394985,-0.020653063,0.018194,0.047689,1.085502
0.760376990,0.119782157,0.049269963,-0.020224292,0.022602,0.045441,1.085261
0.770291984,0.119819298,0.052255165,-0.019763932,0.027061,0.043837,1.085012
0.780197978,0.119997144,0.055225391,-0.019314855,0.030859,0.034533,1.083731
0.790107012,0.119464830,0.057694670,-0.018830223,0.023744,0.036777,1.083407
0.800026000,0.119352654,0.060255796,-0.018523153,0.026945,0.031723,1.083097
0.809931993,0.119111009,0.062585875,-0.018345419,0.028118,0.028686,1.082789
0.819855988,0.118672274,0.064362742,-0.018336762,0.026370,0.030909,1.082501
0.829762995,0.118942663,0.064981438,-0.018195635,0.008822,0.018806,1.081728
0.839667022,0.119115569,0.066346265,-0.018155424,0.006387,0.007182,1.081399
0.849586010,0.118681222,0.067711957,-0.018248526,0.007556,0.003555,1.081079
0.859489024,0.117810622,0.069393530,-0.018387422,0.007208,0.003928,1.080783
0.869404018,0.116953842,0.071409024,-0.018578356,0.003976,-0.001533,1.082201
0.879308999,0.115842603,0.074356034,-0.018729359,0.006334,-0.003722,1.081997
0.889238000,0.114879146,0.078326181,-0.018712364,0.010328,-0.016375,1.081776
0.899152994,0.112980999,0.083484381,-0.018591257,0.016337,-0.017479,1.081563
0.909054995,0.110871546,0.089565061,-0.018353850,0.022852,-0.018531,1.081565
0.918960989,0.109080747,0.096018486,-0.018007824,0.025661,-0.026807,1.081357
0.928879023,0.107416488,0.102638282,-0.017576132,0.027899,-0.038498,1.081144
0.938777030,0.105152205,0.109110527,-0.017256683,0.032456,-0.039478,1.080944
0.948704004,0.103169851,0.114648402,-0.016955422,0.035043,-0.044400,1.080743
0.958615005,0.101080619,0.119137913,-0.016893959,0.037013,-0.047926,1.082984
0.968523026,0.099507399,0.122370541,-0.016748326,0.032080,-0.056290,1.082935
0.978434026,0.098268285,0.124981403,-0.016646078,0.035958,-0.071907,1.082872
0.988339007,0.096185140,0.126255393,-0.016772648,0.035450,-0.072752,1.082837
0.998255014,0.094141088,0.126916647,-0.017106049,0.038306,-0.076547,1.083492
1.008162022,0.091849141,0.127857521,-0.017529907,0.048106,-0.076930,1.083496
1.018072963,0.089470737,0.128192022,-0.017814150,0.047463,-0.083663,1.083499
1.027981043,0.086921625,0.128835946,-0.018073628,0.047660,-0.089863,1.083499
1.037897944,0.084336676,0.129834920,-0.018258629,0.048024,-0.099437,1.083491
1.047814965,0.080964811,0.131369650,-0.018441157,0.052773,-0.095422,1.082379
1.057719946,0.078095421,0.133075342,-0.018615723,0.057960,-0.101637,1.082299
1.067630053,0.076456286,0.135142058,-0.018376186,0.059222,-0.129946,1.082189
1.077546954,0.074018173,0.137478650,-0.018410068,0.062797,-0.136163,1.082108
1.087452054,0.071423046,0.139695913,-0.018494980,0.064380,-0.135955,1.081879
1.097365022,0.068782561,0.141778141,-0.018563190,0.065919,-0.134844,1.081784
1.107270956,0.066592395,0.144211575,-0.018397320,0.073902,-0.151095,1.081651
1.117182970,0.063710883,0.146464482,-0.018308941,0.081053,-0.162758,1.081516
1.127097964,0.059869159,0.147903427,-0.018492654,0.084705,-0.168248,1.083677
1.137011051,0.056614306,0.148801461,-0.018341321,0.089128,-0.194211,1.083649
1.146921039,0.052535702,0.148892641,-0.018557010,0.092973,-0.200864,1.083632
1.156831980,0.047406353,0.148559213,-0.019001644,0.096659,-0.192389,1.083631
1.166757941,0.043005526,0.147712648,-0.019122049,0.095834,-0.204646,1.083618
1.176659942,0.038339853,0.147277907,-0.018975215,0.102840,-0.214458,1.080114
1.186566949,0.032889076,0.146262765,-0.019159885,0.105320,-0.222091,1.079912
1.196478009,0.027013944,0.145320699,-0.019388273,0.108045,-0.225543,1.079715
1.206397057,0.021068364,0.144859463,-0.019552346,0.117773,-0.232833,1.079498
1.216302991,0.015042522,0.144154921,-0.019222705,0.114669,-0.230921,1.075701
1.226227045,0.009471403,0.143678069,-0.019261362,0.121246,-0.242482,1.075266
1.236140013,0.003591227,0.143276200,-0.019474827,0.124479,-0.243800,1.074852
1.246042967,-0.001834012,0.142959654,-0.019678505,0.127654,-0.246197,1.074436
1.255944967,-0.006328903,0.142533615,-0.019805027,0.130382,-0.256390,1.074009
1.265862942,-0.011255294,0.141723767,-0.020390378,0.132575,-0.252921,1.075752
1.275769949,-0.014815385,0.141170025,-0.020523194,0.134668,-0.261565,1.075467
1.285688043,-0.017904488,0.140361592,-0.020684024,0.136843,-0.267398,1.075194
1.295601010,-0.020330084,0.139515549,-0.020799929,0.138757,-0.277317,1.074940
1.305500984,-0.022611525,0.139641777,-0.020671351,0.152550,-0.277990,1.070544
1.315423965,-0.024949102,0.138643041,-0.020836463,0.151078,-0.280948,1.070112
1.325335026,-0.027168969,0.138186887,-0.021037528,0.156875,-0.286975,1.069686
1.335234046,-0.029789010,0.138455182,-0.021383602,0.176590,-0.293508,1.069257
1.345147967,-0.032345191,0.138040036,-0.021629840,0.182373,-0.302421,1.068145
1.355057001,-0.035609480,0.137361228,-0.021955242,0.184220,-0.303823,1.067751
1.364982009,-0.038951539,0.136498913,-0.022221161,0.185284,-0.308452,1.067386
1.374887943,-0.042648092,0.135694712,-0.022675587,0.195765,-0.309912,1.067048
1.384812951,-0.046164263,0.134195089,-0.022991881,0.202131,-0.317917,1.066753
1.394709945,-0.050090358,0.132364854,-0.023589276,0.213815,-0.319286,1.067850
1.404620051,-0.053681944,0.129839227,-0.023841102,0.221624,-0.327471,1.067692
1.414538980,-0.057176180,0.126889661,-0.024064960,0.228880,-0.332759,1.067572
1.424437046,-0.060230445,0.123434596,-0.024164451,0.232373,-0.341762,1.067495
1.434357047,-0.063539900,0.120153919,-0.024372991,0.242263,-0.340961,1.066891
1.444262981,-0.066494331,0.116325788,-0.024478907,0.248262,-0.343823,1.066851
1.454179049,-0.069319747,0.112607323,-0.024634970,0.260760,-0.346980,1.066838
1.464082003,-0.072407648,0.108054072,-0.024735495,0.267454,-0.350264,1.066873
1.473994970,-0.075329080,0.103987224,-0.024609232,0.270087,-0.352527,1.065477
1.483909011,-0.078309670,0.100666963,-0.024730204,0.292546,-0.355722,1.065479
1.493819952,-0.081161514,0.095889337,-0.024572037,0.287714,-0.361694,1.065557
1.503738046,-0.084447756,0.091768898,-0.024667826,0.296467,-0.358199,1.065647
1.513656974,-0.087415621,0.087402105,-0.024616303,0.301409,-0.358169,1.065791
1.523558021,-0.089755014,0.083052002,-0.024133876,0.303539,-0.367578,1.064015
1.533473015,-0.092714876,0.079338700,-0.024165582,0.321807,-0.365040,1.064085
1.543375969,-0.095290169,0.074568003,-0.023986652,0.322887,-0.365754,1.064207
1.553290963,-0.097526178,0.069567114,-0.023666492,0.320836,-0.369669,1.064357
1.563230038,-0.099862583,0.065342650,-0.023607450,0.335788,-0.371820,1.066215
1.573119998,-0.102040477,0.061013937,-0.023367332,0.341200,-0.373395,1.066482
1.583026052,-0.103703544,0.056589145,-0.023040108,0.340392,-0.381391,1.066795
1.592944026,-0.105824761,0.053203166,-0.022926044,0.356568,-0.380311,1.067107
1.602846980,-0.107701577,0.049478732,-0.022653434,0.360178,-0.382138,1.067472
1.612759948,-0.109355070,0.045995612,-0.022437321,0.364170,-0.387874,1.069524
1.622670054,-0.111510053,0.043559898,-0.022340436,0.381718,-0.386543,1.069972
1.632586002,-0.113846339,0.040687032,-0.022230178,0.386169,-0.384930,1.070444
1.642503977,-0.116241857,0.037749924,-0.022057615,0.387727,-0.383111,1.070931
1.652408004,-0.118340321,0.035799742,-0.021641687,0.405414,-0.390779,1.070859
1.662315965,-0.121026732,0.033100899,-0.021383282,0.409565,-0.388863,1.071302
1.672227025,-0.123437956,0.030139467,-0.020905435,0.414002,-0.393374,1.071748
1.682147980,-0.126367524,0.027145112,-0.020559449,0.421054,-0.388419,1.072178
1.692046046,-0.128615156,0.023887211,-0.019923475,0.427629,-0.396510,1.073129
1.701956987,-0.131204575,0.020680830,-0.019357065,0.440277,-0.395356,1.073554
1.711881995,-0.133583620,0.016777990,-0.018738430,0.443399,-0.394355,1.073982
1.721784949,-0.135710761,0.013080538,-0.018077154,0.449650,-0.396783,1.074408
1.731713057,-0.137686551,0.009476430,-0.017487416,0.456448,-0.399240,1.074833
1.741606951,-0.139785394,0.006140366,-0.016981278,0.463605,-0.399196,1.075925
1.751513958,-0.141610175,0.003020275,-0.016422145,0.471045,-0.402191,1.076372
1.761427999,-0.143534675,0.000703643,-0.015906697,0.491446,-0.402062,1.076789
1.771345019,-0.145581380,-0.002356095,-0.015430923,0.493013,-0.401649,1.077209
1.781255960,-0.147427455,-0.005545055,-0.014990125,0.500147,-0.405983,1.081542
1.791159034,-0.149854243,-0.006969983,-0.014513219,0.521703,-0.402436,1.082102
1.801077962,-0.152052760,-0.009480138,-0.014157834,0.521039,-0.404694,1.082660
1.810986996,-0.154604509,-0.011851217,-0.013730176,0.526182,-0.403479,1.083184
1.820904016,-0.157195851,-0.014390849,-0.013173698,0.534299,-0.405718,1.085142
