time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.000027,0.000000,0.000000,0.002680,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,0.000000,0.000098,0.000000,0.000000,0.007143,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030000,0.000000,0.000000,0.000228,0.000000,0.000000,0.012943,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040000,0.000000,0.000000,0.000425,0.000000,0.000000,0.019745,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0.000000,0.000000,0.000698,0.000000,0.000000,0.027299,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060000,0.000000,0.000000,0.001052,0.000000,0.000000,0.035417,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070000,0.000000,0.000000,0.001492,0.000000,0.000000,0.043958,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080000,0.000000,0.000000,0.002020,0.000000,0.000000,0.052816,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.090000,0.000000,0.000000,0.002639,0.000000,0.000000,0.061912,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.000000,0.000000,0.003351,0.000000,0.000000,0.071187,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.110000,0.000000,0.000000,0.004157,0.000000,0.000000,0.080596,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.120000,0.000000,0.000000,0.005058,0.000000,0.000000,0.090105,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.130000,0.000000,0.000000,0.006055,0.000000,0.000000,0.099689,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.140000,0.000000,0.000000,0.007148,0.000000,0.000000,0.109329,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.150000,0.000000,0.000000,0.008338,0.000000,0.000000,0.119012,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.160000,0.000000,0.000000,0.009626,0.000000,0.000000,0.128727,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.170000,0.000000,0.000000,0.011010,0.000000,0.000000,0.138466,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.180000,0.000000,0.000000,0.012492,0.000000,0.000000,0.148222,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.190000,0.000000,0.000000,0.014072,0.000000,0.000000,0.157992,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.000000,0.000000,0.015750,0.000000,0.000000,0.167772,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.210000,0.000000,0.000000,0.017526,0.000000,0.000000,0.177559,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.220000,0.000000,0.000000,0.019399,0.000000,0.000000,0.187352,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.230000,0.000000,0.000000,0.021371,0.000000,0.000000,0.197149,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.240000,0.000000,0.000000,0.023440,0.000000,0.000000,0.206950,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,0.000000,0.000000,0.025608,0.000000,0.000000,0.216753,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260000,0.000000,0.000000,0.027873,0.000000,0.000000,0.226557,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.270000,0.000000,0.000000,0.030237,0.000000,0.000000,0.236363,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.280000,0.000000,0.000000,0.032699,0.000000,0.000000,0.246170,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.290000,0.000000,0.000000,0.035258,0.000000,0.000000,0.255978,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,0.000000,0.000000,0.037916,0.000000,0.000000,0.265786,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.310000,0.000000,0.000000,0.040672,0.000000,0.000000,0.275595,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.320000,0.000000,0.000000,0.043526,0.000000,0.000000,0.285404,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
