# phase_offset=0.000
time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,thrust,tx,ty,tz,omega1,omega2,omega3,omega4,pos_error_x,pos_error_y,pos_error_z,vel_error_x,vel_error_y,vel_error_z
0.160000,0.000025,-0.000040,0.500000,0.000670,-0.001073,0.000000,0.999999,0.001104,0.000694,0.000000,0.029016,0.018509,0.000006,0.000033,-0.000053,0.500000,0.000815,-0.001303,0.000000,0.264871,0.000003,0.000002,0.000000,26472.658203,26489.916016,26501.603516,26484.298828,-0.000008,0.000013,0.000000,-0.000145,0.000229,0.000000
0.170000,0.000032,-0.000052,0.500000,0.000816,-0.001304,0.000000,0.999999,0.001253,0.000789,0.000000,0.030669,0.019625,0.000008,0.000042,-0.000067,0.500000,0.000974,-0.001555,0.000000,0.264871,0.000003,0.000002,0.000000,26473.113281,26489.800781,26501.210938,26484.468750,-0.000010,0.000016,0.000000,-0.000159,0.000251,0.000000
0.180000,0.000041,-0.000066,0.500000,0.000981,-0.001566,0.000000,0.999999,0.001410,0.000890,0.000000,0.032268,0.020714,0.000009,0.000052,-0.000084,0.500000,0.001153,-0.001837,0.000000,0.264872,0.000003,0.000002,0.000000,26473.585938,26489.683594,26500.812500,26484.644531,-0.000011,0.000018,0.000000,-0.000172,0.000271,0.000000
0.190000,0.000052,-0.000083,0.500000,0.001166,-0.001858,0.000000,0.999998,0.001576,0.000996,0.000000,0.033812,0.021776,0.000012,0.000065,-0.000104,0.500000,0.001351,-0.002150,0.000000,0.264872,0.000003,0.000002,0.000000,26474.070312,26489.574219,26500.414062,26484.832031,-0.000013,0.000021,0.000000,-0.000185,0.000291,0.000000
0.200000,0.000064,-0.000103,0.500000,0.001372,-0.002184,0.000001,0.999998,0.001748,0.001108,0.000000,0.035299,0.022809,0.000015,0.000080,-0.000127,0.500000,0.001570,-0.002495,0.000000,0.264873,0.000002,0.000002,0.000000,26474.574219,26489.472656,26500.015625,26485.023438,-0.000015,0.000024,0.000000,-0.000198,0.000311,0.000001
0.210000,0.000079,-0.000127,0.500000,0.001601,-0.002545,0.000001,0.999997,0.001928,0.001224,0.000000,0.036728,0.023813,0.000018,0.000096,-0.000154,0.500000,0.001811,-0.002874,0.000000,0.264873,0.000002,0.000002,0.000000,26475.085938,26489.375000,26499.609375,26485.218750,-0.000017,0.000027,0.000000,-0.000210,0.000329,0.000001
0.220000,0.000097,-0.000154,0.500000,0.001853,-0.002941,0.000001,0.999997,0.002115,0.001346,0.000000,0.038100,0.024787,0.000021,0.000116,-0.000185,0.500000,0.002075,-0.003287,0.000000,0.264874,0.000002,0.000002,0.000000,26475.613281,26489.277344,26499.203125,26485.429688,-0.000019,0.000031,0.000000,-0.000222,0.000346,0.000001
0.230000,0.000116,-0.000186,0.500000,0.002129,-0.003375,0.000001,0.999996,0.002309,0.001472,0.000001,0.039413,0.025732,0.000025,0.000138,-0.000220,0.500000,0.002362,-0.003737,0.000000,0.264874,0.000002,0.000002,0.000000,26476.160156,26489.191406,26498.804688,26485.640625,-0.000022,0.000034,0.000000,-0.000233,0.000361,0.000001
0.240000,0.000139,-0.000222,0.500000,0.002431,-0.003848,0.000001,0.999996,0.002509,0.001603,0.000001,0.040666,0.026645,0.000030,0.000163,-0.000260,0.500000,0.002674,-0.004223,0.000000,0.264875,0.000002,0.000001,0.000000,26476.720703,26489.115234,26498.404297,26485.869141,-0.000024,0.000038,0.000000,-0.000243,0.000375,0.000001
0.250000,0.000165,-0.000263,0.500000,0.002758,-0.004361,0.000001,0.999995,0.002716,0.001739,0.000001,0.041858,0.027527,0.000034,0.000192,-0.000304,0.500000,0.003010,-0.004748,0.000000,0.264876,0.000002,0.000001,0.000000,26477.291016,26489.041016,26498.009766,26486.103516,-0.000026,0.000042,0.000000,-0.000252,0.000388,0.000001
0.260000,0.000194,-0.000309,0.500000,0.003113,-0.004914,0.000001,0.999994,0.002928,0.001878,0.000001,0.042990,0.028377,0.000040,0.000223,-0.000355,0.500000,0.003373,-0.005313,0.000000,0.264877,0.000002,0.000001,0.000000,26477.878906,26488.972656,26497.617188,26486.343750,-0.000029,0.000046,0.000000,-0.000260,0.000399,0.000001
0.270000,0.000227,-0.000361,0.500000,0.003496,-0.005510,0.000001,0.999993,0.003145,0.002022,0.000001,0.044060,0.029196,0.000046,0.000259,-0.000411,0.500000,0.003763,-0.005917,0.000000,0.264878,0.000002,0.000001,0.000000,26478.476562,26488.921875,26497.226562,26486.593750,-0.000032,0.000050,0.000000,-0.000267,0.000408,0.000001
0.280000,0.000264,-0.000419,0.500000,0.003907,-0.006149,0.000001,0.999992,0.003368,0.002170,0.000002,0.045068,0.029981,0.000053,0.000299,-0.000473,0.500000,0.004180,-0.006563,0.000000,0.264879,0.000002,0.000001,0.000000,26479.085938,26488.871094,26496.847656,26486.851562,-0.000034,0.000054,0.000000,-0.000273,0.000415,0.000001
0.290000,0.000306,-0.000484,0.500000,0.004348,-0.006832,0.000001,0.999991,0.003596,0.002322,0.000002,0.046014,0.030734,0.000060,0.000343,-0.000542,0.500000,0.004625,-0.007252,0.000000,0.264880,0.000002,0.000001,0.000000,26479.712891,26488.837891,26496.474609,26487.123047,-0.000037,0.000058,0.000000,-0.000277,0.000420,0.000001
0.300000,0.000352,-0.000556,0.500000,0.004819,-0.007560,0.000001,0.999990,0.003828,0.002478,0.000002,0.046898,0.031454,0.000068,0.000391,-0.000618,0.500000,0.005099,-0.007983,0.000000,0.264882,0.000001,0.000001,0.000000,26480.351562,26488.812500,26496.105469,26487.402344,-0.000040,0.000062,0.000000,-0.000281,0.000423,0.000001
0.310000,0.000402,-0.000636,0.500000,0.005320,-0.008334,0.000001,0.999988,0.004065,0.002637,0.000003,0.047719,0.032140,0.000076,0.000445,-0.000702,0.500000,0.005603,-0.008758,0.000000,0.264883,0.000001,0.000001,0.000000,26480.998047,26488.794922,26495.748047,26487.693359,-0.000043,0.000066,0.000000,-0.000283,0.000424,0.000001
0.320000,0.000458,-0.000723,0.500000,0.005853,-0.009155,0.000001,0.999987,0.004305,0.002799,0.000003,0.048477,0.032793,0.000085,0.000504,-0.000794,0.500000,0.006137,-0.009578,0.000000,0.264885,0.000001,0.000001,0.000000,26481.656250,26488.789062,26495.398438,26487.992188,-0.000046,0.000071,0.000000,-0.000284,0.000423,0.000001
0.330000,0.000519,-0.000819,0.500000,0.006419,-0.010024,0.000001,0.999985,0.004549,0.002964,0.000004,0.049173,0.033412,0.000094,0.000568,-0.000894,0.500000,0.006702,-0.010443,0.000000,0.264886,0.000001,0.000001,0.000000,26482.330078,26488.794922,26495.060547,26488.298828,-0.000048,0.000075,0.000000,-0.000283,0.000419,0.000001
0.340000,0.000586,-0.000924,0.500000,0.007017,-0.010941,0.000001,0.999984,0.004797,0.003133,0.000004,0.049805,0.033998,0.000105,0.000638,-0.001003,0.500000,0.007298,-0.011354,0.000000,0.264888,0.000001,0.000001,0.000000,26483.011719,26488.812500,26494.730469,26488.617188,-0.000051,0.000079,0.000000,-0.000282,0.000414,0.000001
0.350000,0.000660,-0.001038,0.500000,0.007648,-0.011907,0.000001,0.999982,0.005047,0.003304,0.000005,0.050375,0.034549,0.000115,0.000714,-0.001121,0.500000,0.007927,-0.012312,0.000000,0.264890,0.000001,0.000001,0.000000,26483.705078,26488.841797,26494.419922,26488.947266,-0.000054,0.000083,0.000000,-0.000278,0.000406,0.000001
0.360000,0.000740,-0.001162,0.500000,0.008314,-0.012922,0.000000,0.999980,0.005300,0.003478,0.000005,0.050882,0.035067,0.000127,0.000796,-0.001249,0.500000,0.008588,-0.013318,0.000000,0.264892,0.000001,0.000001,0.000000,26484.412109,26488.888672,26494.119141,26489.291016,-0.000057,0.000087,0.000000,-0.000274,0.000396,0.000000
0.370000,0.000826,-0.001297,0.500000,0.009013,-0.013987,0.000000,0.999978,0.005556,0.003655,0.000006,0.051328,0.035550,0.000139,0.000886,-0.001388,0.500000,0.009282,-0.014371,0.000000,0.264894,0.000001,0.000001,0.000000,26485.125000,26488.941406,26493.824219,26489.640625,-0.000060,0.000091,0.000000,-0.000268,0.000384,0.000000
0.380000,0.000920,-0.001442,0.500000,0.009748,-0.015102,-0.000000,0.999976,0.005814,0.003834,0.000007,0.051710,0.036000,0.000152,0.000982,-0.001537,0.500000,0.010009,-0.015472,0.000000,0.264896,0.000001,0.000001,0.000000,26485.853516,26489.017578,26493.552734,26490.005859,-0.000062,0.000095,0.000000,-0.000261,0.000370,-0.000000
0.390000,0.001021,-0.001599,0.500000,0.010518,-0.016268,-0.000000,0.999974,0.006073,0.004015,0.000008,0.052031,0.036415,0.000165,0.001086,-0.001697,0.500000,0.010771,-0.016622,0.000000,0.264898,0.000000,0.000001,0.000000,26486.589844,26489.097656,26493.292969,26490.378906,-0.000065,0.000098,0.000000,-0.000253,0.000353,-0.000000
