t,ref_x,ref_y,ref_z,sim_x,sim_y,sim_z,ref_vx,ref_vy,ref_vz,sim_vx,sim_vy,sim_vz,ref_thrust,ref_tx,ref_ty,ref_tz,ref_yaw,ref_ox,ref_oy,ref_oz,cmd_thrust,cmd_tx,cmd_ty,cmd_tz,mekf_roll,mekf_pitch,mekf_yaw,mekf_px,mekf_py,mekf_pz
0.080000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200040,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000599,0.264692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200040
0.085000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200043,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000581,0.264696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200043
0.090000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200046,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000562,0.264700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200046
0.095000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200048,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000540,0.264704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200049
0.100000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200051,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000518,0.264710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200051
0.105000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200054,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000494,0.264715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200054
0.110000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200056,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000470,0.264720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200056
0.115000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200058,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000445,0.264726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200059
0.120000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200060,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000420,0.264732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264732,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200061
0.125000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200062,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000395,0.264738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200063
0.130000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200064,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000370,0.264744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200065
0.135000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200066,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000345,0.264750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200067
0.140000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200068,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000320,0.264756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200068
0.145000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200069,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000296,0.264762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200070
0.150000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200071,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000273,0.264768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200071
0.155000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200072,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000250,0.264773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200073
0.160000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200073,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000228,0.264779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200074
0.165000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200074,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000207,0.264784,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264784,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200075
0.170000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200075,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000186,0.264789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200076
0.175000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200076,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000166,0.264794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264794,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200077
0.180000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200077,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000148,0.264799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200077
0.185000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200078,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000129,0.264804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264804,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200078
0.190000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200078,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000112,0.264808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200079
0.195000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200079,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000096,0.264812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264812,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200079
