t,ref_x,ref_y,ref_z,sim_x,sim_y,sim_z,ref_vx,ref_vy,ref_vz,sim_vx,sim_vy,sim_vz,ref_thrust,ref_tx,ref_ty,ref_tz,ref_yaw,ref_ox,ref_oy,ref_oz,cmd_thrust,cmd_tx,cmd_ty,cmd_tz
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.264870,-0.000000,0.000000,0.000000
0.001000,-0.000000,0.000000,1.000000,0.000000,0.000000,0.250000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.264870,0.000000,-0.000000,-0.000000,-0.000000,0.000001,-0.000005,-0.000000,0.264870,0.000000,-0.000000,-0.000000
0.002000,-0.000000,0.000000,1.000000,-0.000000,-0.000000,0.250000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.264870,0.000000,-0.000000,-0.000000,-0.000000,0.000003,-0.000020,-0.000000,0.264870,0.000000,-0.000000,-0.000000
0.003000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,0.250000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000000,-0.000000,-0.000000,0.000007,-0.000044,-0.000000,0.264870,0.000000,-0.000000,-0.000000
0.004000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,0.250000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000001,-0.000000,-0.000000,0.000013,-0.000078,-0.000000,0.264870,0.000000,-0.000001,-0.000000
0.005000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,0.250000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000001,-0.000000,-0.000000,0.000020,-0.000122,-0.000000,0.264870,0.000000,-0.000001,-0.000000
0.006000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,0.250000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000001,-0.000000,-0.000000,0.000029,-0.000176,-0.000000,0.264870,0.000000,-0.000001,-0.000000
0.007000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,0.250000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000001,-0.000000,-0.000000,0.000040,-0.000238,-0.000000,0.264870,0.000000,-0.000001,-0.000000
0.008000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,0.250000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000001,-0.000000,-0.000000,0.000052,-0.000310,-0.000000,0.264870,0.000000,-0.000001,-0.000000
0.009000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,0.250000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000001,-0.000000,-0.000000,0.000065,-0.000391,-0.000000,0.264870,0.000000,-0.000001,-0.000000
0.010000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,0.250000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000002,-0.000000,-0.000000,0.000081,-0.000482,-0.000000,0.264870,0.000000,-0.000002,-0.000000
0.011000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,0.250000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000002,-0.000000,-0.000000,0.000097,-0.000581,-0.000000,0.264870,0.000000,-0.000002,-0.000000
