# Motion type:     figure8
# Target height:   0.50 m
# Date & time:     2026-02-28 23:28:56
# URI:             radio://0/80/2M/E7E7E7E7E7

t_ms,x,y,z,vx,vy,vz,roll,pitch,yaw,thrust,zrange_mm,vbat,varPX,varPY,varPZ,flow_deltaX,flow_deltaY,flow_squal,flow_rawPixelSum,acc_x,acc_y,acc_z
124914,-1.6156514902831987e-05,0.00012647273251786828,0.8259870409965515,-0.0016411897959187627,0.012055753730237484,1.4970154552429449e-05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
124915,0.0,0.0,0.0,0.0,0.0,0.0,-8.797744158073328e-06,-0.000822219648398459,-0.0006669898284599185,0.0,0,3.8111438751220703,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
124934,-2.3890359443612397e-05,0.00017024268163368106,0.011050773784518242,-0.0010137634817510843,0.0037317287642508745,0.00014766681124456227,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
124935,0.0,0.0,0.0,0.0,0.0,0.0,0.03266073018312454,-0.003452577395364642,0.0008749433909542859,0.0,0,3.8111438751220703,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
124936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00011513016215758398,0.0001151305841631256,0.00014499980898108333,0,0,0,0,0.0,0.0,0.0
124937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,0,0,0,-0.0021949198562651873,-0.012360507622361183,1.0022135972976685
124954,-0.0002595094556454569,-0.0006165790255181491,0.01115656178444624,-0.006154676433652639,-0.01778983511030674,0.0005954544176347554,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
124955,0.0,0.0,0.0,0.0,0.0,0.0,0.3652810752391815,0.0772608071565628,0.0001806353684514761,0.0,0,3.816422462463379,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
124974,-0.00041749910451471806,-0.0010098094353452325,0.011170401237905025,-0.00770960096269846,-0.021480130031704903,0.0006531112012453377,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
124975,0.0,0.0,0.0,0.0,0.0,0.0,0.3591897487640381,0.08992449194192886,0.0023543343413621187,0.0,0,3.8217010498046875,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
124976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00013340379518922418,0.00013340741861611605,0.00018899908172897995,0,0,0,0,0.0,0.0,0.0
124977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,0,0,0,-0.0004620215331669897,-0.010847841389477253,1.0020660161972046
124994,-0.00012626958778128028,-0.003352162428200245,0.010905896313488483,-0.0012163977371528745,-0.05530121177434921,-0.00039198450394906104,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
124995,0.0,0.0,0.0,0.0,0.0,0.0,1.1814041137695312,-0.0909983441233635,0.0039757066406309605,0.0,0,3.816422462463379,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
125014,-0.0006027453928254545,-0.00514045637100935,0.010928395204246044,-0.008204190991818905,-0.07174883037805557,-0.0009082050528377295,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
125015,0.0,0.0,0.0,0.0,0.0,0.0,1.4894905090332031,0.11003360897302628,0.0035185711458325386,0.0,0,3.8111438751220703,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
125016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00015518224972765893,0.00015522503235843033,0.0002300814667250961,0,0,0,0,0.0,0.0,0.0
125017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0,0,0,0,-0.0037613085005432367,-0.011415941640734673,1.0019539594650269
125034,-0.0004011570126749575,-0.005128173157572746,0.010753442533314228,-0.004275470040738583,-0.059382785111665726,-0.00033921419526450336,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
125035,0.0,0.0,0.0,0.0,0.0,0.0,0.9344518780708313,-0.023620257154107094,0.0037007888313382864,0.0,0,3.8111438751220703,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
125054,-0.00013898854376748204,-0.006358177401125431,0.010760278441011906,-0.0007160395616665483,-0.0648040920495987,-0.00029322647606022656,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
