time_ms,x,y,z,vx,vy,vz,roll,pitch,yaw,thrust
0,3.2494,3.0680,0.0096,0.0018,0.0009,-0.0013,0.00,0.00,0.00,0
51,3.2496,3.0666,0.0108,0.0021,-0.0073,0.0048,0.00,0.00,0.00,0
101,3.2482,3.0677,0.0106,-0.0051,-0.0009,0.0040,0.00,0.00,0.00,0
153,3.2495,3.0673,0.0110,0.0021,-0.0024,0.0045,0.00,0.00,0.00,0
204,3.2479,3.0664,0.0125,-0.0068,-0.0077,0.0118,0.00,0.00,0.00,0
254,3.2493,3.0675,0.0129,0.0013,-0.0013,0.0109,0.00,0.00,0.00,0
305,3.2498,3.0694,0.0133,0.0041,0.0095,0.0105,0.00,0.00,0.00,0
356,3.2497,3.0665,0.0117,0.0040,-0.0066,-0.0007,0.00,0.00,0.00,0
408,3.2483,3.0678,0.0124,-0.0038,0.0004,0.0031,0.00,0.00,0.00,0
459,3.2496,3.0675,0.0119,0.0026,-0.0014,0.0001,0.00,0.00,0.00,0
509,3.2497,3.0666,0.0115,0.0028,-0.0066,-0.0011,0.00,0.00,0.00,0
561,3.2493,3.0675,0.0118,0.0003,-0.0014,0.0003,0.00,0.00,0.00,0
611,3.2495,3.0664,0.0119,0.0020,-0.0075,0.0013,0.00,0.00,0.00,0
663,3.2493,3.0678,0.0102,0.0004,-0.0003,-0.0073,0.00,0.00,0.00,0
714,3.2483,3.0676,0.0108,-0.0051,-0.0010,-0.0022,0.00,0.00,0.00,0
764,3.2494,3.0680,0.0118,0.0033,0.0012,0.0039,0.00,0.00,0.00,0
815,3.2483,3.0676,0.0107,-0.0044,-0.0012,-0.0019,0.00,0.00,0.00,0
867,3.2494,3.0666,0.0127,0.0018,-0.0065,0.0095,0.00,0.00,0.00,0
918,3.2495,3.0694,0.0119,0.0018,0.0083,0.0038,0.00,0.00,0.00,0
969,3.2494,3.0666,0.0103,0.0018,-0.0070,-0.0040,0.00,0.00,0.00,0
1020,3.2489,3.0673,0.0101,-0.0011,-0.0033,-0.0041,0.00,0.00,0.00,0
1071,3.2484,3.0677,0.0095,-0.0034,-0.0010,-0.0054,0.00,0.00,0.00,0
1121,3.2490,3.0678,0.0096,0.0002,-0.0008,-0.0039,0.00,0.00,0.00,0
1173,3.2495,3.0674,0.0078,0.0030,-0.0035,-0.0111,0.00,0.00,0.00,0
1223,3.2497,3.0667,0.0089,0.0037,-0.0065,-0.0028,0.00,0.00,0.00,0
1275,3.2495,3.0690,0.0098,0.0027,0.0064,0.0033,0.00,0.00,0.00,0
1326,3.2494,3.0680,0.0092,0.0019,-0.0000,-0.0003,0.00,0.00,0.00,0
1377,3.2483,3.0676,0.0091,-0.0043,-0.0013,0.0008,0.00,0.00,0.00,0
1428,3.2492,3.0680,0.0109,0.0009,0.0006,0.0102,0.00,0.00,0.00,0
1479,3.2484,3.0677,0.0104,-0.0038,-0.0016,0.0058,0.00,0.00,0.00,0
1529,3.2493,3.0675,0.0110,0.0020,-0.0030,0.0076,0.00,0.00,0.00,0
1580,3.2462,3.0665,0.0099,-0.0153,-0.0068,0.0016,0.00,0.00,0.00,0
1632,3.2447,3.0633,0.0105,-0.0196,-0.0208,0.0046,0.00,0.00,0.00,0
1683,3.2454,3.0656,0.0110,-0.0112,-0.0038,0.0067,0.00,0.00,0.00,0
1734,3.2461,3.0666,0.0118,-0.0045,0.0022,0.0092,0.00,0.00,0.00,0
1785,3.2453,3.0660,0.0119,-0.0076,-0.0003,0.0072,0.00,0.00,0.00,0
1836,3.2467,3.0657,0.0104,0.0008,-0.0013,-0.0006,0.00,0.00,0.00,0
1886,3.2443,3.0630,0.0117,-0.0114,-0.0145,0.0064,0.00,0.00,0.00,0
1937,3.2466,3.0629,0.0108,0.0023,-0.0129,0.0006,0.00,0.00,0.00,0
