time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
0.044,-0.049856554716825485,-0.01888161711394787,0.5499578714370728,0.04434938356280327,0.04057390242815018,-0.47789159417152405,-2.2955594062805176,-1.087712287902832,0.2184004932641983,0.00017144532466772944,3.33079195022583,15.09188461303711,5.67881965637207,0.7006632089614868,-0.013779307715594769,-0.014051314443349838,1.1056350469589233
0.095,-0.05247892811894417,-0.004327359143644571,0.5288473963737488,0.05369057506322861,0.08008909225463867,-0.4567898213863373,-1.1491636037826538,-0.37108683586120605,0.28363895416259766,0.0003188237315043807,3.3360705375671387,15.99814510345459,-9.003952026367188,1.2688817977905273,-0.000996131799183786,-0.015483606606721878,1.0979892015457153
0.144,-0.054064810276031494,0.0163642019033432,0.5094466209411621,0.056270990520715714,0.10881059616804123,-0.40406110882759094,1.3287022113800049,1.1999800205230713,0.30466851592063904,0.0009091688552871346,3.3255133628845215,46.516204833984375,-33.82221221923828,1.4997395277023315,-0.004182085394859314,-0.018364744260907173,1.1068142652511597
0.194,-0.0426226444542408,0.026868119835853577,0.49352914094924927,0.04878075420856476,0.12651294469833374,-0.35590827465057373,3.683978796005249,1.3212356567382812,0.28678634762763977,0.0008450907189399004,3.33079195022583,53.546913146972656,-16.86308479309082,-0.9407405853271484,-0.004383291117846966,-0.0248197540640831,1.091786503791809
0.244,-0.0420912429690361,0.03559146448969841,0.4785226285457611,0.045399025082588196,0.10881786793470383,-0.3057578504085541,4.870689868927002,0.2681722939014435,0.29076746106147766,0.0001280053984373808,3.314955949783325,27.8774356842041,19.095378875732422,-0.34296950697898865,-0.0049671330489218235,-0.009767567738890648,1.096232295036316
0.295,-0.04273570701479912,0.040714047849178314,0.468384325504303,0.03557242825627327,0.07236392796039581,-0.26049819588661194,5.737693786621094,0.05859074741601944,0.24737975001335144,0.0001649978366913274,3.3255133628845215,16.733156204223633,12.874536514282227,-1.4489507675170898,-0.0006603922229260206,-0.010404461063444614,1.1008046865463257
0.344,-0.038846056908369064,0.049129754304885864,0.4600066542625427,0.03252121061086655,0.02607545629143715,-0.20553447306156158,6.725612163543701,0.8205925226211548,0.10539815574884415,0.0008052345365285873,3.3255133628845215,19.744110107421875,-17.200231552124023,-0.21364882588386536,-0.0010102437809109688,-0.013165446929633617,1.0987675189971924
0.395,-0.03840227797627449,0.04839973896741867,0.45553749799728394,0.03196992352604866,-0.022018902003765106,-0.15696121752262115,6.992903232574463,0.6653330326080322,0.05789491534233093,0.0008109486661851406,3.3360705375671387,10.594930648803711,-10.250557899475098,-0.819056510925293,-0.005288361106067896,-0.008982931263744831,1.085780143737793
0.444,-0.041121382266283035,0.04409338906407356,0.4497857093811035,0.022417083382606506,-0.08393171429634094,-0.10765715688467026,6.512728214263916,-0.7121500968933105,0.169073686003685,0.00011784472735598683,3.33079195022583,-5.975913047790527,27.3870906829834,-0.8211876153945923,-0.006780566181987524,-0.004473385866731405,1.073384404182434
0.494,-0.039992451667785645,0.034930020570755005,0.44796741008758545,0.01664866879582405,-0.1449587047100067,-0.07900328189134598,6.039277076721191,-1.6813092231750488,0.17670860886573792,-6.979680620133877e-07,3.3413491249084473,-9.620603561401367,27.336158752441406,-1.822309970855713,0.004378435201942921,-0.0012060707667842507,1.076036810874939
