# meta:run_trajectory=circle
# meta:run_mode=1
# meta:run_kt=0.05
# meta:run_speed=1.0
# meta:run_reps=1
# meta:run_lap_time_s=7.8969
# meta:run_eval_mode=hlc_e
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_fc_bw=100.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:indi_filt_order=1
# meta:indi_ff_free=0
# meta:indi_filt_tau=1
# meta:indi_notch_en=0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:yaml_stabilizer_controller=6
# meta:yaml_ctrl_mode=3
# meta:takeoff_stabilizer_controller=6
# meta:takeoff_ctrl_mode=0
# meta:trajectory_stabilizer_controller=6
# meta:trajectory_ctrl_mode=3
# meta:landing_stabilizer_controller=6
# meta:landing_ctrl_mode=0
time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpm_m1,rpm_m2,rpm_m3,rpm_m4,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,alp_raw_x,alp_raw_y,alp_raw_z,alp_notch_x,alp_notch_y,alp_notch_z
0.0036,0.1729613095521927,0.02289518341422081,-0.02400880493223667,-0.004151098430156708,-0.01047594752162695,-0.0005660473834723234,-0.24961507320404053,0.19580651819705963,-0.0637350082397461,0.0,3.932551383972168,-0.4679713547229767,-0.02348269894719124,0.29139748215675354,0.006383347325026989,-0.0033089208882302046,0.9931789040565491,2673.0,2706.0,2716.0,2352.0,-0.0033798334188759327,0.005488178227096796,-0.0008185332990251482,2.4285502433776855,4.84186315536499,0.1467447578907013,2.712838888168335,2.740675210952759,-7.994502067565918,3.20249342918396,2.7651162147521973,-5.875504970550537
0.0135,0.17296116054058075,0.022897014394402504,-0.024008212611079216,-0.003944315481930971,-0.010544263757765293,-0.0010393355041742325,-0.24910758435726166,0.19249288737773895,-0.0643758475780487,0.0,3.932551383972168,1.030465006828308,0.7427464723587036,0.5459979772567749,-0.004049928393214941,-0.01513012032955885,0.9996339082717896,2673.0,2706.0,2716.0,2352.0,-0.0033798334188759327,0.005488178227096796,-0.0008185332990251482,0.7374211549758911,-0.6116516590118408,1.8330522775650024,-5.131112098693848,-6.523756504058838,-7.415935039520264,-4.333883762359619,-5.688270568847656,-6.272584915161133
0.0236,0.17296114563941956,0.022896820679306984,-0.024008553475141525,-0.004125148989260197,-0.010919556021690369,-0.000823782233055681,-0.24451056122779846,0.19327272474765778,-0.06526856869459152,0.0,3.932551383972168,-0.46392643451690674,-0.8056895136833191,0.6080914735794067,0.011190834455192089,-0.00235958700068295,1.0007742643356323,2673.0,2706.0,2716.0,2352.0,-0.0033798334188759327,0.005488178227096796,-0.0008185332990251482,-1.0738576650619507,1.459404706954956,5.077301979064941,1.3524079322814941,4.415505886077881,-4.212918758392334,0.7673711180686951,4.005060195922852,-2.253164291381836
0.0336,0.17296166718006134,0.022896254435181618,-0.024008648470044136,-0.003725486109033227,-0.010734550654888153,-0.0010093479650095105,-0.24688488245010376,0.19766774773597717,-0.06500016897916794,0.0,3.932551383972168,0.26550620794296265,0.20557397603988647,0.35461151599884033,-0.0032336071599274874,-0.017071325331926346,0.9969668984413147,2673.0,2706.0,2716.0,2352.0,-0.0033798334188759327,0.005488178227096796,-0.0008185332990251482,1.2030377388000488,1.7402945756912231,3.801806926727295,-0.3382067382335663,-0.481083482503891,-2.414398670196533,-0.21718081831932068,0.5283970832824707,-0.25704169273376465
0.0435,0.17296163737773895,0.022895822301506996,-0.02400963008403778,-0.004246762953698635,-0.010981556959450245,-0.0012060747249051929,-0.24393610656261444,0.19671282172203064,-0.06432995200157166,0.0,3.932551383972168,-0.21781764924526215,0.05822198837995529,0.09421223402023315,0.006122671067714691,0.0005482343258336186,0.9977168440818787,2673.0,2706.0,2716.0,2352.0,-0.0033798334188759327,0.005488178227096796,-0.0008185332990251482,-2.453042507171631,0.43093520402908325,0.8248338103294373,-0.1651928722858429,-1.9594981670379639,-0.3751377463340759,-2.3592729568481445,-0.00434836745262146,0.2094869613647461
0.0535,0.17296135425567627,0.022896913811564445,-0.02401067689061165,-0.0038320859894156456,-0.01020276639610529,-0.0012414103839546442,-0.24470503628253937,0.19665107131004333,-0.06436923891305923,0.0,3.932551383972168,-0.15578128397464752,-0.11294922977685928,0.49615463614463806,-0.0032990912441164255,-0.010831451043486595,0.9978227615356445,2707.0,2758.0,2754.0,2444.0,-0.0033798334188759327,0.005488178227096796,-0.0008185332990251482,-0.8396494388580322,-1.0327728986740112,2.5903303623199463,0.1938934326171875,-1.3254950046539307,-4.199663162231445,-0.48823225498199463,-1.8289461135864258,-0.21159744262695312
0.0635,0.17296092212200165,0.02289828099310398,-0.024011176079511642,-0.004362107720226049,-0.010641049593687057,-0.001200071070343256,-0.24504274129867554,0.198893740773201,-0.06443587690591812,0.0,3.932551383972168,0.22930245101451874,0.05278768017888069,0.45720043778419495,0.0031348243355751038,-0.0067474921233952045,0.9990854859352112,2707.0,2758.0,2754.0,2444.0,-0.0033798334188759327,0.005488178227096796,-0.0008185332990251482,0.8512834906578064,2.018676996231079,4.196045398712158,2.0558571815490723,0.403750479221344,3.7778642177581787,1.1521481275558472,1.2103488445281982,3.7493844032287598
0.0735,0.17296074330806732,0.022899191826581955,-0.02401120401918888,-0.0038247813936322927,-0.010104615241289139,-0.0011528920149430633,-0.24268871545791626,0.19590257108211517,-0.06124010682106018,0.0,3.932551383972168,0.03251618519425392,0.6834375858306885,0.05516098439693451,0.008895989507436752,0.0009819582337513566,1.00208580493927,2707.0,2758.0,2754.0,2444.0,-0.0033798334188759327,0.005488178227096796,-0.0008185332990251482,-1.3644856214523315,-0.18047912418842316,0.5941950678825378,-1.4380543231964111,-3.8316149711608887,1.9547652006149292,-1.4541071653366089,-2.5666117668151855,1.535050868988037
0.0835,0.17296160757541656,0.022901175543665886,-0.02401060052216053,-0.003972089849412441,-0.01001373864710331,-0.0009466616902500391,-0.244382843375206,0.19500628113746643,-0.061197683215141296,0.0,3.932551383972168,-0.12190528959035873,-0.6475799083709717,-0.46285054087638855,-0.003248409600928426,-0.014435864984989166,1.0025110244750977,2707.0,2758.0,2754.0,2444.0,-0.0033798334188759327,0.005488178227096796,-0.0008185332990251482,1.210200548171997,-1.0377894639968872,-1.0868785381317139,1.5169475078582764,3.503005266189575,5.240254878997803,1.6441264152526855,3.0730433464050293,4.039355754852295
0.0929,0.1729619950056076,0.02290259674191475,-0.02401008829474449,-0.0038370827678591013,-0.0099221495911479,-0.0010642168344929814,-0.24181883037090302,0.19414684176445007,-0.06104271113872528,0.0,3.932551383972168,0.4543837010860443,0.9620842337608337,-0.12415487319231033,0.008809317834675312,-0.000777904991991818,0.9980608820915222,2707.0,2758.0,2754.0,2444.0,-0.0033798334188759327,0.005488178227096796,-0.0008185332990251482,-0.5203820466995239,1.3603427410125732,-1.442100167274475,-2.770235300064087,-2.183332920074463,3.3694303035736084,-2.761774778366089,-2.0876107215881348,2.2152507305145264
