time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust
0.015,-0.021115103736519814,0.015205835923552513,0.3572942316532135,-0.02653944492340088,0.026378899812698364,-0.004344651475548744,0.630977988243103,0.17645153403282166,-1.323643684387207,8.435856580035761e-05
0.059,-0.021830948069691658,0.011905726976692677,0.3579702377319336,-0.028681853786110878,0.027768298983573914,-0.006776206195354462,0.8184599280357361,0.22129330039024353,-1.3324452638626099,0.00020777898316737264
0.107,-0.025429151952266693,0.010284744203090668,0.3590608835220337,-0.029360661283135414,0.014417421072721481,0.000976772978901863,0.6309607028961182,0.05895674228668213,-1.3437281847000122,0.00018481691950000823
0.158,-0.027584219351410866,0.008725360035896301,0.3599270284175873,-0.034348830580711365,0.004403833299875259,0.007987955585122108,0.49071410298347473,-0.4098221957683563,-1.3440310955047607,0.0001290790969505906
0.207,-0.03118668682873249,0.008750436827540398,0.3620012104511261,-0.03432711586356163,-0.002853442681953311,0.012719554826617241,0.7399986386299133,-0.8391997218132019,-1.314445972442627,5.797211633762345e-05
0.258,-0.03418702259659767,0.004762402735650539,0.36123931407928467,-0.03238245099782944,-0.007277205586433411,0.019609056413173676,1.4808349609375,-1.3079664707183838,-1.2769811153411865,0.000238907101447694
0.309,-0.03333651274442673,0.004838897380977869,0.36098113656044006,-0.026382718235254288,-0.021591829136013985,0.009500917047262192,2.502575159072876,-2.280311346054077,-1.2115308046340942,0.00023307438823394477
0.358,-0.035513654351234436,0.005686948541551828,0.3605755865573883,-0.009819102473556995,-0.035512931644916534,0.0031628250144422054,3.626019239425659,-3.453752040863037,-1.0750468969345093,0.0001610935287317261
0.412,-0.031473301351070404,-0.00017926757573150098,0.36071938276290894,0.009373980574309826,-0.055811747908592224,-0.0012965641217306256,4.9152936935424805,-4.691012382507324,-0.8625146746635437,0.0001569215819472447
0.459,-0.030459033325314522,-0.004661446902900934,0.36299648880958557,0.04727545008063316,-0.09558819979429245,0.0006184404483065009,6.486987590789795,-5.91287899017334,-0.6203482747077942,9.027443593367934e-05
0.509,-0.02477763593196869,-0.011798049323260784,0.36502358317375183,0.08747070282697678,-0.14183859527111053,0.012948460876941681,8.310022354125977,-7.124224662780762,-0.3017102777957916,0.00013101396325509995
0.561,-0.014611122198402882,-0.02283146232366562,0.36638525128364563,0.14216385781764984,-0.20254364609718323,0.019712038338184357,10.05489730834961,-8.28400993347168,0.049664899706840515,4.0210754377767444e-05
0.608,-0.001490362687036395,-0.04055722430348396,0.36732354760169983,0.2094622403383255,-0.27902695536613464,0.01710871048271656,11.493398666381836,-9.138687133789062,0.39655429124832153,5.046364094596356e-05
0.658,0.019291523844003677,-0.06229403614997864,0.36891281604766846,0.28504326939582825,-0.37376248836517334,0.012208065018057823,12.46315860748291,-9.54814624786377,0.6468889713287354,0.00018245339742861688
0.710,0.03802327811717987,-0.08830784261226654,0.36928924918174744,0.3729541301727295,-0.47735878825187683,0.009089828468859196,12.652015686035156,-9.574441909790039,0.8639345169067383,0.00018535496201366186
0.762,0.06434018164873123,-0.12761379778385162,0.36739230155944824,0.45338165760040283,-0.5858059525489807,0.0018910648068413138,11.808533668518066,-9.495923042297363,0.9938625693321228,0.00033483037259429693
0.810,0.08725086599588394,-0.15817902982234955,0.365815132856369,0.5393506288528442,-0.7050577998161316,-0.013753469102084637,9.783865928649902,-9.480673789978027,0.9863563179969788,0.00019972548761870712
0.858,0.11767318844795227,-0.20431730151176453,0.36469829082489014,0.6119738817214966,-0.787813127040863,-0.01811583712697029,7.458168983459473,-9.029351234436035,0.907141923904419,0.000288020062725991
0.909,0.14134378731250763,-0.2462543100118637,0.3654075264930725,0.6909706592559814,-0.8729693293571472,-0.014200970530509949,4.999381065368652,-8.157187461853027,0.6930517554283142,0.0004173806228209287
0.961,0.17016537487506866,-0.2871570885181427,0.36462754011154175,0.7444441914558411,-0.9228828549385071,-0.0008441994432359934,1.8440419435501099,-7.486238479614258,0.4082397222518921,0.0005366075201891363
1.008,0.20827727019786835,-0.34376996755599976,0.3619988262653351,0.7945912480354309,-0.9438725709915161,0.0025208168663084507,-1.8119291067123413,-7.036283016204834,0.2283698469400406,0.0004000362241640687
1.060,0.24214908480644226,-0.37944716215133667,0.36209386587142944,0.8531606793403625,-0.9650838971138,-0.0033418245147913694,-5.8157057762146,-6.1143622398376465,-0.08428140729665756,0.000291022181045264
1.108,0.2908269464969635,-0.4217143654823303,0.3666099011898041,0.8926243185997009,-0.9121478199958801,0.007722448091953993,-9.46919059753418,-4.6627936363220215,-0.2866545617580414,0.00043358109542168677
1.160,0.33133241534233093,-0.4535891115665436,0.37188124656677246,0.9466849565505981,-0.8436535596847534,0.03470364958047867,-12.854386329650879,-2.845850944519043,-0.3430528938770294,0.0005265825893729925
1.210,0.37369775772094727,-0.47476017475128174,0.37518659234046936,0.965835452079773,-0.732700526714325,0.05138667672872543,-15.791961669921875,-0.9026309847831726,-0.19700926542282104,0.0006526910583488643
1.259,0.4248313903808594,-0.49791696667671204,0.38100704550743103,0.9701183438301086,-0.582547664642334,0.045915186405181885,-17.718576431274414,0.8830279111862183,0.09590907394886017,0.0007471079006791115
1.310,0.4666036069393158,-0.5162855386734009,0.38281428813934326,0.9769893884658813,-0.43576952815055847,0.04488467052578926,-18.82122802734375,2.4743564128875732,0.4765321910381317,0.000608209113124758
1.358,0.5149137377738953,-0.5210671424865723,0.38608527183532715,0.9503843784332275,-0.28303757309913635,0.020942455157637596,-19.445390701293945,3.837109088897705,0.833949863910675,0.0007019388140179217
1.411,0.5559555888175964,-0.5193575620651245,0.3866575360298157,0.9271968603134155,-0.11049050092697144,0.008309761062264442,-19.697484970092773,5.048006534576416,1.1402206420898438,0.0007057900656946003
1.458,0.5960828065872192,-0.5084033608436584,0.3846904933452606,0.8806635737419128,0.062132470309734344,-0.013014918193221092,-19.146591186523438,5.795697212219238,1.2569345235824585,0.0007096049375832081
1.508,0.6373242735862732,-0.4878219664096832,0.38059648871421814,0.8277104496955872,0.23659648001194,-0.03794094920158386,-17.615373611450195,6.198845863342285,1.2601152658462524,0.000576834543608129
1.563,0.6692847013473511,-0.46175873279571533,0.37598276138305664,0.7765078544616699,0.4062564969062805,-0.06144898012280464,-15.42273235321045,6.675019264221191,1.1139533519744873,0.0005863033584319055
1.608,0.7064288258552551,-0.41912904381752014,0.36925143003463745,0.7090891003608704,0.5574014782905579,-0.07213795185089111,-13.357186317443848,6.7792558670043945,1.0488096475601196,0.0006672910531051457
1.659,0.7322204113006592,-0.38910773396492004,0.3621247112751007,0.6528105139732361,0.709488034248352,-0.08163126558065414,-10.898528099060059,6.599737644195557,0.7075023651123047,0.000468826707219705
1.715,0.7533777356147766,-0.3593434691429138,0.35572341084480286,0.5826488137245178,0.8061017990112305,-0.081575408577919,-7.993644714355469,6.288498878479004,0.2967067062854767,0.00043137051397934556
1.758,0.7699277400970459,-0.32070139050483704,0.35465651750564575,0.5108273029327393,0.8716514706611633,-0.06785284727811813,-6.072010517120361,5.901250839233398,0.08366235345602036,0.0004243520670570433
1.808,0.7975665926933289,-0.2753647565841675,0.3495534062385559,0.4494156539440155,0.9412353038787842,-0.03417590633034706,-4.252963066101074,5.142423152923584,-0.24916335940361023,0.00031484506325796247
1.862,0.814797043800354,-0.2237282693386078,0.34940606355667114,0.40454673767089844,0.9641402959823608,-0.022477975115180016,-3.0280888080596924,5.01672887802124,-0.34500735998153687,0.00019872195844072849
1.907,0.832058846950531,-0.1810443252325058,0.35114163160324097,0.35532069206237793,1.0038669109344482,0.005611194763332605,-1.4521080255508423,5.176869869232178,-0.42643454670906067,0.00040232992614619434
1.957,0.8432892560958862,-0.15090003609657288,0.35499319434165955,0.31213995814323425,1.0095415115356445,0.02875174582004547,-0.4065414369106293,5.331697463989258,-0.5302247405052185,0.00023422819504048675
2.007,0.8566769957542419,-0.10461307317018509,0.35807088017463684,0.2659752666950226,0.9960978031158447,0.05024949088692665,0.23141415417194366,5.716274738311768,-0.5926787257194519,0.00026280313613824546
2.060,0.8648164868354797,-0.06902845203876495,0.3601948618888855,0.22061139345169067,0.9889492988586426,0.04968517646193504,0.8764196038246155,6.2755279541015625,-0.7640342712402344,0.0002035805518971756
2.106,0.8725800514221191,-0.028492681682109833,0.3660169839859009,0.16622817516326904,0.9576994180679321,0.03820298612117767,1.7687140703201294,6.980156421661377,-0.8789318799972534,0.00029905542032793164
2.161,0.8790321946144104,0.02191571705043316,0.36991575360298157,0.11112344264984131,0.9310351014137268,0.04478595033288002,2.2614028453826904,7.669899940490723,-0.8513591289520264,0.0003233376191928983
2.208,0.8807204365730286,0.0611136332154274,0.3734597861766815,0.05230538547039032,0.9201064109802246,0.03259925916790962,2.3043646812438965,8.033294677734375,-0.941763699054718,0.0001166003494290635
2.257,0.8799076080322266,0.10324668139219284,0.3746543824672699,-0.01203798409551382,0.8893894553184509,0.019487176090478897,2.6571738719940186,8.20434856414795,-0.9905956983566284,-5.160965429240605e-06
2.306,0.8759192824363708,0.14228856563568115,0.3754808008670807,-0.07719017565250397,0.8662880659103394,-0.0005763185326941311,3.5291032791137695,8.823897361755371,-1.1215900182724,0.00013668392784893513
2.356,0.8703771233558655,0.17414043843746185,0.37497472763061523,-0.1459849327802658,0.8336338400840759,-0.01431990321725607,4.104219913482666,9.247159957885742,-1.2723885774612427,0.0003094929561484605
2.405,0.8586755990982056,0.2079133689403534,0.3746528923511505,-0.21618987619876862,0.7842574715614319,-0.026409678161144257,4.342891693115234,8.714186668395996,-1.228938341140747,-0.00015542135224677622
2.459,0.8473429083824158,0.23826807737350464,0.3726547062397003,-0.292125403881073,0.7402145266532898,-0.029023868963122368,4.458131313323975,8.262484550476074,-1.2789758443832397,-0.0002422742691123858
2.514,0.8301271200180054,0.26495808362960815,0.3700062334537506,-0.35446518659591675,0.6925131678581238,-0.03415774554014206,4.37448787689209,8.390893936157227,-1.4027607440948486,-2.823042632371653e-05
2.557,0.8124368786811829,0.2918280065059662,0.3656965494155884,-0.4237331748008728,0.641759991645813,-0.037586867809295654,4.342516899108887,8.276808738708496,-1.4581522941589355,3.3767122658900917e-05
2.609,0.7927637696266174,0.3112286627292633,0.36297979950904846,-0.48763641715049744,0.5973212718963623,-0.04223328456282616,4.749804496765137,7.616470813751221,-1.516114354133606,-0.00015899258141871542
2.659,0.7656046152114868,0.3335443437099457,0.3608819246292114,-0.5455394983291626,0.5407435894012451,-0.03414946049451828,5.028557300567627,6.749698638916016,-1.5191441774368286,-0.00037583618541248143
2.709,0.7394872307777405,0.34810271859169006,0.3609004616737366,-0.5948712825775146,0.4976452887058258,-0.024672171100974083,5.292344570159912,6.1388750076293945,-1.6144403219223022,-0.0004022842040285468
2.758,0.7102996110916138,0.36202049255371094,0.3601347506046295,-0.6533203125,0.42789044976234436,-0.0036246362142264843,5.904872417449951,5.843688488006592,-1.694894552230835,-0.00016804345068521798
2.805,0.6843209862709045,0.36922356486320496,0.3615770936012268,-0.6979179978370667,0.3672080338001251,0.004280511289834976,6.6773529052734375,5.336147785186768,-1.856720209121704,-0.00020083042909391224
2.856,0.656450629234314,0.3802074193954468,0.36162611842155457,-0.7269656658172607,0.29459479451179504,0.01613011583685875,7.230331897735596,4.809442520141602,-1.9123485088348389,-0.0002428944717394188
2.910,0.6209337711334229,0.3912639915943146,0.3619517982006073,-0.7520459294319153,0.2317880392074585,0.013396525755524635,7.657531261444092,4.3961286544799805,-1.8944534063339233,-0.00028211064636707306
2.958,0.5893598794937134,0.3961547911167145,0.36512133479118347,-0.779269278049469,0.18299300968647003,0.011940224096179008,8.06401538848877,3.5938644409179688,-1.885168433189392,-0.0002637147263158113
3.010,0.5509581565856934,0.4001942276954651,0.3665054440498352,-0.7985711097717285,0.11430396884679794,0.02346254512667656,8.830020904541016,2.532822608947754,-1.7010047435760498,-0.00047663727309554815
3.056,0.5180445909500122,0.3998953700065613,0.3667031228542328,-0.8227781057357788,0.04440843313932419,0.023783141747117043,10.187837600708008,1.5913479328155518,-1.5739963054656982,-0.00043970352271571755
3.108,0.48545530438423157,0.3943445682525635,0.36678314208984375,-0.8246766924858093,-0.03381974250078201,0.015218650922179222,11.389095306396484,0.6384626626968384,-1.4184329509735107,-0.0005000836681574583
3.156,0.44631507992744446,0.38492411375045776,0.36719363927841187,-0.8182008266448975,-0.12613947689533234,0.007728490047156811,11.858644485473633,-0.08743058890104294,-1.221623182296753,-0.0004730510991066694
3.227,0.4146788418292999,0.3686359226703644,0.36969828605651855,-0.817556619644165,-0.22801125049591064,0.004509845748543739,11.861991882324219,-0.8851435780525208,-1.125486969947815,-0.0004162823606748134
3.258,0.37819868326187134,0.34964802861213684,0.3718000650405884,-0.7971305251121521,-0.3320169448852539,0.011043515056371689,11.538369178771973,-1.2758526802062988,-1.0300871133804321,-0.0004490944847930223
3.309,0.3479785621166229,0.3258835971355438,0.37369677424430847,-0.7831840515136719,-0.4316159188747406,0.0160958431661129,11.226114273071289,-1.5779614448547363,-0.9863485097885132,-0.00029916653875261545
3.356,0.31869059801101685,0.29987818002700806,0.3777197599411011,-0.7556229829788208,-0.5263440608978271,0.016848191618919373,10.831122398376465,-1.7268887758255005,-0.958187460899353,-0.0003780464467126876
3.405,0.2876008450984955,0.2642892301082611,0.37978243827819824,-0.7269718050956726,-0.611488401889801,0.024109452962875366,10.33051586151123,-1.4043540954589844,-0.9561209082603455,-0.0003323637938592583
3.460,0.2595111131668091,0.22762271761894226,0.37704697251319885,-0.7048875689506531,-0.7058793306350708,0.015407867729663849,9.4783296585083,-1.057267427444458,-0.9696298241615295,-0.00022640623501501977
3.508,0.23344092071056366,0.18863926827907562,0.376178503036499,-0.6820285320281982,-0.7869758009910583,-0.015228734351694584,8.010624885559082,-0.8810007572174072,-0.9671793580055237,-0.000308626564219594
3.572,0.20214501023292542,0.14651037752628326,0.37412795424461365,-0.659636378288269,-0.8551061153411865,-0.024950824677944183,6.3025288581848145,-0.5343800187110901,-0.8927706480026245,-0.0003871271328534931
3.608,0.1765173077583313,0.10758886486291885,0.37223803997039795,-0.6511276364326477,-0.9128037095069885,-0.029512643814086914,4.769653797149658,-0.12188412994146347,-0.8901451826095581,-0.0003079348534811288
