# meta:run_trajectory=circle
# meta:run_mode=1
# meta:run_kt=0.05
# meta:run_speed=1.0
# meta:run_reps=1
# meta:run_lap_time_s=7.8969
# meta:run_eval_mode=hlc_e
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_fc_bw=60.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:indi_filt_order=1
# meta:indi_ff_free=0
# meta:indi_filt_tau=1
# meta:indi_notch_en=0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:yaml_stabilizer_controller=6
# meta:yaml_ctrl_mode=3
# meta:takeoff_stabilizer_controller=6
# meta:takeoff_ctrl_mode=0
# meta:trajectory_stabilizer_controller=6
# meta:trajectory_ctrl_mode=3
time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpm_m1,rpm_m2,rpm_m3,rpm_m4,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,alp_raw_x,alp_raw_y,alp_raw_z,alp_notch_x,alp_notch_y,alp_notch_z
0.0014,0.31299951672554016,0.0009184585069306195,-0.022993726655840874,-2.4687503810127964e-06,-0.00850022304803133,0.000530403689481318,-0.3262544572353363,0.3234095871448517,-0.03570312261581421,0.0,3.6633431911468506,-0.14133380353450775,-0.11602818965911865,-0.1759280115365982,0.006631011608988047,-0.01015652995556593,1.0006663799285889,0.0,0.0,0.0,0.0,0.001959574408829212,0.0015798152890056372,-0.0018453440861776471,-0.4353492856025696,1.1859397888183594,1.3893386125564575,1.8476003408432007,0.14755524694919586,-0.6523914337158203,-1.3916242122650146,-1.2623190879821777,1.6154159307479858
0.0114,0.31300002336502075,0.0009180240449495614,-0.02299419976770878,0.00011627461935859174,-0.008604757487773895,0.0005852335598319769,-0.3262039124965668,0.3224346935749054,-0.03688434883952141,0.0,3.6633431911468506,-0.15629029273986816,-0.042309656739234924,0.07167711853981018,0.005672301631420851,-0.009421838447451591,1.0005651712417603,0.0,0.0,0.0,0.0,0.001959574408829212,0.0015798152890056372,-0.0018453440861776471,-0.3220841586589813,-0.16736844182014465,0.17191003262996674,0.5680238604545593,0.9080366492271423,-0.49996745586395264,-1.2488980293273926,-0.2362024188041687,-0.8772249221801758
0.0215,0.3130004107952118,0.0009173403377644718,-0.02299411967396736,4.8815498303156346e-05,-0.008691700175404549,0.0006577464519068599,-0.3262520432472229,0.3219970166683197,-0.03632337599992752,0.0,3.6633431911468506,-0.13804295659065247,-0.13162676990032196,-0.06808806210756302,0.004741378594189882,-0.009531892836093903,1.000418782234192,0.0,0.0,0.0,0.0,0.001959574408829212,0.0015798152890056372,-0.0018453440861776471,0.1578216850757599,-1.3510522842407227,0.2716320753097534,-0.4245525598526001,0.43478691577911377,2.372802972793579,0.4197733998298645,0.6676571369171143,-3.176636219024658
0.0324,0.31300032138824463,0.0009167265961878002,-0.022993920370936394,-2.9107354748703074e-06,-0.008717946708202362,0.0006508693331852555,-0.3272111415863037,0.32202860713005066,-0.03502817451953888,0.0,3.6633431911468506,-0.0341101810336113,0.07654139399528503,-0.189565509557724,0.005218625999987125,-0.00848863273859024,1.0004079341888428,0.0,0.0,0.0,0.0,0.001959574408829212,0.0015798152890056372,-0.0018453440861776471,0.4541178345680237,-1.231080174446106,-0.61188143491745,-0.18942098319530487,-0.8179689049720764,0.4870515763759613,0.7992326617240906,1.1412875652313232,-0.67220139503479
0.0414,0.3130000829696655,0.0009164449293166399,-0.022993752732872963,-2.0972347556380555e-05,-0.008683512918651104,0.000686227751430124,-0.3272682726383209,0.32365500926971436,-0.03577013686299324,0.0,3.6633431911468506,0.1130213513970375,-0.15684115886688232,-0.13623173534870148,0.006038909777998924,-0.009107663296163082,1.0005775690078735,0.0,0.0,0.0,0.0,0.001959574408829212,0.0015798152890056372,-0.0018453440861776471,0.15541701018810272,0.4482855796813965,-0.7336618900299072,-1.4532136917114258,0.04644175246357918,0.5686338543891907,-0.37306129932403564,0.3918316662311554,0.3542250990867615
0.0505,0.31300002336502075,0.0009163501672446728,-0.02299334667623043,2.0820636564167216e-05,-0.008700021542608738,0.0007834375719539821,-0.32773181796073914,0.32395797967910767,-0.037486106157302856,0.0,3.6633431911468506,-0.28844428062438965,0.018080811947584152,0.012399152852594852,0.005675721913576126,-0.008990038186311722,1.0026720762252808,0.0,0.0,0.0,0.0,0.001959574408829212,0.0015798152890056372,-0.0018453440861776471,0.18074874579906464,-0.4119803309440613,1.239357590675354,-0.20015378296375275,0.9143124222755432,0.10847160220146179,2.063068389892578,0.4201553463935852,-2.404303550720215
0.0615,0.31299999356269836,0.0009164056973531842,-0.02299230359494686,-2.4167291485355236e-05,-0.00864170491695404,0.0010314902756363153,-0.32935604453086853,0.32327800989151,-0.03697478026151657,0.0,3.6633431911468506,0.1712011694908142,0.04449731856584549,-0.2932164967060089,0.0050789848901331425,-0.008272955194115639,1.0026280879974365,0.0,0.0,0.0,0.0,0.001959574408829212,0.0015798152890056372,-0.0018453440861776471,0.48904862999916077,-0.9889068603515625,0.08793174475431442,-1.1111809015274048,0.49954953789711,1.0864660739898682,-0.2986255884170532,-0.6597319841384888,0.816138744354248
0.0715,0.3129996359348297,0.000916789285838604,-0.022990746423602104,-0.00012177650205558166,-0.00855463556945324,0.0012118725571781397,-0.3282860219478607,0.3229098618030548,-0.03730904310941696,0.0,3.6633431911468506,-0.08663401007652283,-0.009551430121064186,0.21387487649917603,0.004084790125489235,-0.00906013697385788,1.0018924474716187,0.0,0.0,0.0,0.0,0.001959574408829212,0.0015798152890056372,-0.0018453440861776471,-0.6786971092224121,0.48158499598503113,-0.7887377142906189,0.9272232055664062,-0.7631387114524841,-0.890828013420105,-0.013330221176147461,2.512694835662842,0.14395266771316528
0.0815,0.31299889087677,0.0009170232806354761,-0.022989198565483093,-0.00025526699027977884,-0.008622855879366398,0.0013528818963095546,-0.3287499248981476,0.32301226258277893,-0.03659634292125702,0.0,3.6633431911468506,-0.1709919571876526,0.20142129063606262,-0.05763401836156845,0.004840384237468243,-0.010239965282380581,1.0020643472671509,0.0,0.0,0.0,0.0,0.001959574408829212,0.0015798152890056372,-0.0018453440861776471,-1.0346466302871704,-0.6821760535240173,-0.03788416460156441,0.4979478716850281,0.03666675090789795,-0.14039826393127441,0.9842758178710938,-0.3637273907661438,-0.9251734018325806
0.0906,0.3129981458187103,0.000916669552680105,-0.022987699136137962,-0.00027918157866224647,-0.008745945058763027,0.0015160513576120138,-0.3290441930294037,0.32201892137527466,-0.035836976021528244,0.0,3.6633431911468506,0.0965125635266304,-0.03680262714624405,-0.051002319902181625,0.006203966215252876,-0.010145414620637894,1.0022155046463013,0.0,0.0,0.0,0.0,0.001959574408829212,0.0015798152890056372,-0.0018453440861776471,-1.0626871585845947,0.293174684047699,-1.194411277770996,-0.9409314393997192,-0.13228528201580048,1.6093882322311401,1.34135103225708,0.4037236273288727,0.3638601303100586
