time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,gyro_x,gyro_y,gyro_z
0.072,-0.06172023341059685,0.14029109477996826,0.8777138590812683,0.03814215213060379,0.009828240610659122,0.012534533627331257,3.8727071285247803,-0.053070567548274994,-0.41095519065856934,0.00013945864338893443,5.039198875427246,-3.777616262435913,-0.5750265121459961
0.084,-0.05826772376894951,0.1387769728899002,0.876708447933197,0.039047837257385254,-0.026850994676351547,0.02341601625084877,3.144521713256836,0.41982418298721313,-0.4814209043979645,0.000322493928251788,-6.971571445465088,-8.620294570922852,-0.7941164970397949
0.113,-0.05528584495186806,0.12631404399871826,0.8727316856384277,0.039695121347904205,-0.057055000215768814,0.0055007594637572765,1.7870118618011475,0.9905227422714233,-0.5354374051094055,0.00043855246622115374,-27.308847427368164,-12.160341262817383,-0.7291018962860107
0.120,-0.052542056888341904,0.12130922824144363,0.8683778047561646,0.03536035493016243,-0.08970602601766586,-0.022260183468461037,0.2518761456012726,1.2410465478897095,-0.5612576007843018,0.0005287983221933246,-30.59475326538086,-11.810379981994629,-0.355657160282135
0.128,-0.055309586226940155,0.11247724294662476,0.8698641657829285,0.027096332982182503,-0.10019049793481827,-0.03892921656370163,-1.1470749378204346,1.1448917388916016,-0.5895240902900696,0.00029622967122122645,-32.559207916259766,-0.44250261783599854,-0.2542247474193573
0.152,-0.059832118451595306,0.09728454053401947,0.8705673813819885,0.011800351552665234,-0.10104989260435104,-0.013397395610809326,-1.8440417051315308,0.958721399307251,-0.6018477082252502,0.0003040266747120768,-17.429155349731445,4.141702175140381,-0.5655983686447144
0.204,-0.06870843470096588,0.0930696427822113,0.8696305155754089,-0.003117786953225732,-0.10017774999141693,0.002681074431166053,-2.303124189376831,0.40919560194015503,-0.6040583252906799,0.00048459338722750545,-9.652666091918945,6.517208576202393,-0.5114798545837402
0.252,-0.08189332485198975,0.08827429264783859,0.8690639138221741,-0.019974635913968086,-0.08213891834020615,0.0025244485586881638,-2.4758293628692627,-0.5959993004798889,-0.5939642190933228,0.00039015559013932943,-8.678966522216797,17.566041946411133,0.42125454545021057
0.301,-0.0833263099193573,0.08915508538484573,0.8705765604972839,-0.03441671282052994,-0.06269264221191406,0.0026366058737039566,-1.36149001121521,-2.0258617401123047,-0.49817609786987305,0.0004326873749960214,9.064130783081055,24.344802856445312,2.9110305309295654
0.352,-0.08611206710338593,0.0876975879073143,0.8721686601638794,-0.024253107607364655,-0.040026117116212845,0.01213088072836399,0.9375081658363342,-3.565415859222412,-0.2893741726875305,0.0002596070116851479,42.041053771972656,30.691133499145508,2.752596139907837
0.402,-0.0883387103676796,0.09875571727752686,0.8685055375099182,-0.0034296081867069006,-0.03562031686306,0.016848037019371986,3.1937034130096436,-4.981822967529297,0.08840528875589371,0.00024505829787813127,47.734432220458984,28.56735610961914,5.867960453033447
0.453,-0.09130211919546127,0.11560522764921188,0.8716789484024048,0.02818136103451252,-0.03570250794291496,-0.0076925065368413925,5.455132007598877,-5.947992324829102,0.5436921119689941,0.00021548749646171927,44.50395965576172,25.18575668334961,7.7533698081970215
0.503,-0.08917781710624695,0.12601038813591003,0.8725419640541077,0.0683065876364708,-0.04732520133256912,0.009727325290441513,8.495003700256348,-6.418472766876221,1.0795705318450928,0.0005933217471465468,52.83060073852539,11.63379192352295,9.791793823242188
0.558,-0.08085782825946808,0.1195162907242775,0.8754710555076599,0.11939067393541336,-0.08723152428865433,0.016851110383868217,12.231866836547852,-7.337899684906006,1.7135050296783447,0.0006099728052504361,72.73356628417969,13.565783500671387,9.508326530456543
0.604,-0.07623091340065002,0.12014550715684891,0.8796809911727905,0.18098267912864685,-0.17427875101566315,0.030744338408112526,14.981030464172363,-8.373982429504395,2.4173760414123535,0.00015128641098272055,61.99107360839844,28.162044525146484,9.541841506958008
0.651,-0.06022440269589424,0.10238766670227051,0.8885043859481812,0.2452375739812851,-0.2761794328689575,0.04643942043185234,16.724769592285156,-8.65649700164795,2.939068555831909,0.000519226654432714,42.65871047973633,14.45262622833252,7.864542484283447
0.701,-0.037716202437877655,0.07622899860143661,0.8972037434577942,0.3258585035800934,-0.4117818772792816,0.07495918869972229,17.603498458862305,-9.32685661315918,3.4104418754577637,0.0007118458161130548,22.124387741088867,9.4761962890625,6.83250093460083
0.751,-0.01966165006160736,0.03946153074502945,0.8971191048622131,0.4123530387878418,-0.5573819279670715,0.0866708979010582,17.536746978759766,-10.366233825683594,3.81089448928833,0.00023546136799268425,6.513805866241455,22.995620727539062,2.995039939880371
0.801,0.003880069125443697,0.00011226534843444824,0.8992921113967896,0.4963972270488739,-0.7098584771156311,0.03944622725248337,14.887651443481445,-10.518171310424805,3.701781749725342,0.00018362571427132934,-29.767173767089844,15.670019149780273,-0.9495704174041748
0.851,0.031131457537412643,-0.055951520800590515,0.8940284252166748,0.5863587260246277,-0.8441352248191833,0.008204043842852116,10.630667686462402,-9.485075950622559,3.0740816593170166,0.0008961858693510294,-78.9499740600586,-17.006389617919922,-6.7994866371154785
0.903,0.06228571757674217,-0.09560486674308777,0.8878905773162842,0.6730990409851074,-0.9675148129463196,-0.04248914495110512,5.950411796569824,-8.68026065826416,2.4305617809295654,0.0009935111738741398,-89.6170425415039,-24.070463180541992,-10.429017066955566
0.952,0.09790036082267761,-0.13520444929599762,0.8778626918792725,0.7495697140693665,-1.0290625095367432,-0.07351961731910706,1.287001609802246,-8.159290313720703,1.9328300952911377,0.00043386209290474653,-91.41201782226562,-8.56378173828125,-9.596138954162598
1.001,0.1418132483959198,-0.19650402665138245,0.8708697557449341,0.82354336977005,-1.0513765811920166,-0.10255740582942963,-3.474170446395874,-6.377480983734131,1.5131158828735352,0.0005455304635688663,-90.39767456054688,-21.669309616088867,-10.670113563537598
1.053,0.16982945799827576,-0.23189637064933777,0.8656399846076965,0.8942172527313232,-1.0567556619644165,-0.09268959611654282,-8.207552909851074,-3.7234017848968506,1.33970046043396,0.0013974080793559551,-99.97107696533203,-54.35870361328125,-9.415348052978516
1.104,0.2107866406440735,-0.2747931182384491,0.8709665536880493,0.9206229448318481,-0.9855440855026245,-0.06172135844826698,-11.226936340332031,-2.4692325592041016,0.9926554560661316,0.0014298257883638144,-72.64190673828125,-38.659217834472656,-9.373494148254395
1.152,0.2548506259918213,-0.3217138648033142,0.8757418394088745,0.9363388419151306,-0.886683464050293,0.017134329304099083,-13.08614444732666,-2.1221542358398438,0.6037729978561401,0.0007653696229681373,-38.92026138305664,-7.108059883117676,-7.8091721534729
1.200,0.28814518451690674,-0.3478371798992157,0.8865904211997986,0.950528085231781,-0.7830322980880737,0.05813441798090935,-15.19408130645752,-1.4550230503082275,0.2048456370830536,0.0006531568360514939,-39.74317932128906,-5.2838850021362305,-8.472389221191406
1.254,0.3358980715274811,-0.3734053373336792,0.8931384682655334,0.9447005391120911,-0.6480173468589783,0.099159836769104,-16.566463470458984,-0.5201324820518494,0.17181509733200073,0.0010989027796313167,-33.388336181640625,-13.354915618896484,-6.621464729309082
1.301,0.37727826833724976,-0.38365888595581055,0.8966193199157715,0.9531384706497192,-0.5105266571044922,0.08976070582866669,-17.336681365966797,0.15618069469928741,0.16914914548397064,0.0010604173876345158,-21.231821060180664,-16.156042098999023,-3.356111764907837
1.351,0.4146222174167633,-0.3882583975791931,0.8969478607177734,0.9453105330467224,-0.35423362255096436,0.05104409530758858,-17.278440475463867,0.6151331663131714,0.1524033397436142,0.000711524102371186,-3.8650362491607666,-5.489068031311035,-3.3448879718780518
1.404,0.4623165428638458,-0.38315343856811523,0.895362913608551,0.9302364587783813,-0.20072337985038757,0.0037326544988900423,-16.274194717407227,1.655316948890686,0.3473060727119446,0.0009171799174509943,14.756941795349121,-15.31501579284668,-2.556039810180664
1.452,0.4989055097103119,-0.37716376781463623,0.8899665474891663,0.9237751364707947,-0.04744978994131088,-0.03767265006899834,-15.13440227508545,2.8419671058654785,0.5603641271591187,0.0010559679940342903,26.059070587158203,-24.61918067932129,-2.1263086795806885
1.505,0.5370391607284546,-0.3534473180770874,0.8821254372596741,0.8938828706741333,0.09294283390045166,-0.07640683650970459,-14.147917747497559,3.523855686187744,0.6158579587936401,0.0009840074926614761,21.164945602416992,-17.77510643005371,-2.26800274848938
1.551,0.5709101557731628,-0.33356156945228577,0.8758118152618408,0.858893871307373,0.24262891709804535,-0.10413407534360886,-12.801755905151367,3.9841256141662598,0.6023194193840027,0.0007570089655928314,22.601173400878906,-8.75424861907959,-2.223980665206909
1.601,0.5980234742164612,-0.3036668002605438,0.8658136129379272,0.8154625296592712,0.36989209055900574,-0.10465391725301743,-11.0940580368042,4.921389579772949,0.648719847202301,0.0010192686459049582,34.147491455078125,-15.651923179626465,-1.6997202634811401
1.650,0.6297077536582947,-0.2583313286304474,0.8579289317131042,0.7593265771865845,0.49500927329063416,-0.1089094802737236,-9.312296867370605,5.357421875,0.6046937704086304,0.0012986862566322088,37.636390686035156,-16.10650062561035,-2.1229426860809326
1.701,0.6509841084480286,-0.2239551544189453,0.8527981042861938,0.7045198678970337,0.6158339381217957,-0.09348566085100174,-7.275569915771484,4.616488456726074,0.33267876505851746,0.0007640246767550707,35.0424919128418,8.084137916564941,-2.165464401245117
1.751,0.6713941097259521,-0.1784846931695938,0.8446137309074402,0.6404938697814941,0.698104739189148,-0.062065333127975464,-5.493748188018799,3.752119302749634,0.032225944101810455,0.00026676480774767697,41.13119125366211,25.213899612426758,-3.0212032794952393
1.800,0.688105583190918,-0.14136600494384766,0.8407645225524902,0.5874679684638977,0.7756803035736084,-0.04952641576528549,-4.309820175170898,3.8550238609313965,-0.1391744166612625,0.0006041158339940012,29.456979751586914,7.938839435577393,-3.0756454467773438
1.850,0.7016525268554688,-0.1052466407418251,0.841428279876709,0.5359472632408142,0.8210320472717285,-0.014898800291121006,-3.1744394302368164,3.734210252761841,-0.20571352541446686,0.0009951026877388358,22.585227966308594,-3.9842867851257324,-2.328775644302368
1.900,0.714935839176178,-0.06129809468984604,0.8443957567214966,0.49040529131889343,0.8594820499420166,0.030408363789319992,-1.4098269939422607,2.820066213607788,-0.33584335446357727,0.000245151633862406,36.35801696777344,17.373571395874023,-0.7625569105148315
