time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust
0.012,-0.06076861545443535,0.05896643176674843,0.34067216515541077,-0.03054036758840084,0.03948824480175972,-0.02198498137295246,1.0953824520111084,-0.6922639012336731,-0.8975697159767151,0.0003277088108006865
0.052,-0.060524098575115204,0.05839717388153076,0.3402597904205322,-0.02042706497013569,0.04002756625413895,-0.006808291655033827,1.2603933811187744,-0.5494068264961243,-0.9075722098350525,0.00027552168467082083
0.102,-0.05879223719239235,0.05877157300710678,0.3420906364917755,-0.013028431683778763,0.02568153105676174,-0.0005341300857253373,1.1509959697723389,-0.227541983127594,-0.9510847926139832,0.0003460797597654164
0.156,-0.05735456570982933,0.05769110843539238,0.3419864773750305,-0.0055356016382575035,0.013906898908317089,0.011422066949307919,1.1706362962722778,0.09569080919027328,-0.9686331748962402,0.00044584559509530663
0.204,-0.05595002695918083,0.05623873695731163,0.34278053045272827,-0.0020540065597742796,0.00163883320055902,0.008445865474641323,1.5775245428085327,0.05415579304099083,-0.9592348337173462,0.00048813983448781073
0.253,-0.05575138330459595,0.05945612117648125,0.3446591794490814,-0.0006273125181905925,-0.011713456362485886,0.009959436021745205,2.3291497230529785,-0.4478338062763214,-0.9229655265808105,0.00037527907988987863
0.306,-0.05457551032304764,0.056987885385751724,0.3449200391769409,0.00039156796992756426,-0.020191144198179245,0.01527089811861515,3.4003028869628906,-1.3113471269607544,-0.8426060676574707,0.0003312646585982293
0.352,-0.0569344162940979,0.06050021946430206,0.3443429470062256,0.008531013503670692,-0.045224640518426895,0.010691606439650059,4.776944160461426,-2.2331905364990234,-0.7102311253547668,0.0003732936456799507
0.406,-0.055477991700172424,0.05151142179965973,0.34466633200645447,0.016917487606406212,-0.06739890575408936,0.0017730275867506862,6.436286449432373,-3.3523778915405273,-0.472916841506958,0.000407894782256335
0.452,-0.053894706070423126,0.04731007665395737,0.3439544439315796,0.039450135082006454,-0.12224111706018448,0.0018161528278142214,8.059381484985352,-4.564017295837402,-0.19367408752441406,0.00040658185025677085
0.507,-0.05067776143550873,0.034304726868867874,0.3470824360847473,0.06998121738433838,-0.17767715454101562,-0.0009838732657954097,9.545467376708984,-5.8674821853637695,0.1713314652442932,0.0003923293552361429
0.557,-0.045853909105062485,0.021911900490522385,0.34965625405311584,0.1113678589463234,-0.2575232982635498,0.01494908332824707,10.325406074523926,-6.966869354248047,0.48659998178482056,0.00037474805139936507
0.602,-0.0377671904861927,-0.0012922849273309112,0.35113608837127686,0.16630922257900238,-0.3453711271286011,0.024087361991405487,11.041781425476074,-8.205798149108887,0.9182197451591492,0.00040474641718901694
0.652,-0.024453915655612946,-0.02888229861855507,0.35133394598960876,0.2314223051071167,-0.4462801516056061,0.02148633450269699,11.286385536193848,-9.297880172729492,1.2861939668655396,0.00037998458719812334
0.703,-0.011685503646731377,-0.05436699837446213,0.3521129786968231,0.31021472811698914,-0.5489029884338379,0.01009531319141388,10.715169906616211,-10.013811111450195,1.510769248008728,0.0003840153804048896
0.753,0.008849646896123886,-0.09408359974622726,0.3536861538887024,0.3883686363697052,-0.6355839967727661,0.006144315470010042,9.609269142150879,-10.260272026062012,1.6326788663864136,0.0005196570418775082
0.807,0.03128412365913391,-0.12390589714050293,0.3521817922592163,0.47802311182022095,-0.7334486842155457,0.008507396094501019,7.8328375816345215,-10.12270450592041,1.5175297260284424,0.0006700612138956785
0.862,0.06278665363788605,-0.16453510522842407,0.35286322236061096,0.5635222792625427,-0.7917518615722656,-0.0044723753817379475,5.485124111175537,-9.936843872070312,1.3262945413589478,0.0005587914492934942
0.904,0.08692377060651779,-0.20396627485752106,0.353024959564209,0.654254674911499,-0.8444983959197998,-0.0008287631208077073,2.856778144836426,-9.101577758789062,1.0803219079971313,0.0005724958027713001
0.955,0.11805514246225357,-0.2378663569688797,0.3515709340572357,0.7177146673202515,-0.8702462315559387,0.002892280463129282,0.14125293493270874,-7.85373592376709,0.6568664312362671,0.0008444834966212511
