# meta:usd_source=gl_04
# meta:usd_n_samples=2378
# meta:usd_rate_hz=101.1
time_s,x,y,z,roll_deg,pitch_deg,yaw_deg,vbat,gyro_x,gyro_y,gyro_z,rpm_m1,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,alp_raw_x,alp_raw_y,alp_raw_z
0.0,0.0,0.0,25.733137130737305,0.020426692441105843,0.028895871713757515,-0.0018492628587409854,4.022287368774414,0.041255444288253784,-0.2129017412662506,-0.10957971215248108,0.0,0.0,0.0,0.0,-0.7956754565238953,-1.0755810737609863,0.2965572476387024,-0.9148808121681213,-0.6249057650566101,-0.09209883213043213
0.009909,0.0,0.0,25.743471145629883,0.021611107513308525,0.032079216092824936,-0.0019163404358550906,4.0170087814331055,0.12634794414043427,-0.0007089690188877285,0.12177745252847672,0.0,0.0,0.0,0.0,0.3170030117034912,-0.5035704970359802,0.5585479140281677,-0.3114503026008606,-0.4394720196723938,0.6484155058860779
0.019797,0.0,0.0,25.75386619567871,0.021051302552223206,0.033649690449237823,-0.0022973190061748028,4.0170087814331055,-0.1259654462337494,0.19330090284347534,0.16405043005943298,0.0,0.0,0.0,0.0,0.41142240166664124,1.1125670671463013,1.7678637504577637,0.9579347968101501,1.4988832473754883,0.29556429386138916
0.029711,0.0,0.0,25.763221740722656,0.021314231678843498,0.03508542478084564,-0.0014100061962381005,4.011730194091797,0.013911239802837372,-0.002846958814188838,0.07787341624498367,0.0,0.0,0.0,0.0,0.31876522302627563,-0.031451113522052765,-1.2049837112426758,-0.41162002086639404,0.19152581691741943,-2.638871669769287
0.039595,0.0,0.0,25.76890754699707,0.021939026191830635,0.037232205271720886,-0.00309574487619102,4.0170087814331055,-0.06481096148490906,-0.046394720673561096,0.20609034597873688,0.0,0.0,0.0,0.0,-0.3530209958553314,0.35399115085601807,2.7173898220062256,-0.18297536671161652,-0.4982738494873047,1.326222538948059
0.049501,0.0,0.0,25.774024963378906,0.022040754556655884,0.03990965336561203,-0.0009118090965785086,4.0170087814331055,-0.3109605312347412,0.03269718214869499,0.1607028692960739,0.0,0.0,0.0,0.0,-1.0432631969451904,0.18946634232997894,-0.4943946301937103,0.15780235826969147,0.3596840798854828,-1.2581703662872314
0.059394,0.0,0.0,25.77972412109375,0.02219606749713421,0.040725208818912506,-0.0007539388025179505,4.022287368774414,-0.11926326155662537,0.023819085210561752,0.14386749267578125,0.0,0.0,0.0,0.0,-0.2239111363887787,-0.7961752414703369,0.07429404556751251,-0.9312242865562439,-1.2794737815856934,0.05065905675292015
0.069307,0.0,0.0,25.784852981567383,0.022009093314409256,0.044732823967933655,-0.001341097871772945,4.022287368774414,-0.01851438544690609,-0.19145052134990692,-0.0004591995384544134,0.0,0.0,0.0,0.0,-0.015186933800578117,0.01487588882446289,1.253744125366211,0.4744430482387543,-0.18959933519363403,1.1264594793319702
0.079198,0.0,0.0,25.782907485961914,0.023068632930517197,0.04751545190811157,-0.0016637650551274419,4.027565956115723,0.05184946209192276,0.020253200083971024,-0.16251666843891144,0.0,0.0,0.0,0.0,0.23393364250659943,0.8447260856628418,-0.38104408979415894,0.4580899178981781,-0.10039552301168442,0.2889050841331482
0.089099,0.0,0.0,25.781156539916992,0.025241585448384285,0.05036842077970505,-0.0018851271597668529,4.022287368774414,0.04093125835061073,-0.029793191701173782,-0.031360041350126266,0.0,0.0,0.0,0.0,0.3399392068386078,-0.7336177825927734,0.21671728789806366,0.4627612233161926,-0.83063805103302,0.748073399066925
