# meta:run_trajectory=hover
# meta:run_mode=0
# meta:run_kt=0.008
# meta:run_speed=1.0
# meta:run_reps=1
# meta:run_lap_time_s=15.0000
# meta:run_eval_mode=hlc_e
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:indi_filt_order=1
# meta:indi_ff_free=0
# meta:indi_filt_tau=1
# meta:indi_notch_en=0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:yaml_stabilizer_controller=6
# meta:yaml_ctrl_mode=3
# meta:takeoff_stabilizer_controller=5
# meta:takeoff_ctrl_mode=0
# meta:trajectory_stabilizer_controller=5
# meta:trajectory_ctrl_mode=3
# meta:landing_stabilizer_controller=5
# meta:landing_ctrl_mode=0
time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpm_m1,rpm_m2,rpm_m3,rpm_m4,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,alp_raw_x,alp_raw_y,alp_raw_z,alp_notch_x,alp_notch_y,alp_notch_z
0.029,0.0276957880705595,-0.36973848938941956,-0.02898114174604416,-0.016043340787291527,0.013847405090928078,0.0011947047896683216,0.3357338607311249,-0.2452482283115387,0.02345985174179077,0.0,3.710850477218628,0.06219476833939552,-0.40221184492111206,-0.1563091278076172,-0.010566732846200466,0.012526889331638813,1.0006606578826904,0.0,0.0,0.0,0.0,0.004482312127947807,0.0025734584778547287,0.0007410825928673148,-0.18073710799217224,0.32747209072113037,-1.1722594499588013,-0.3258853554725647,-0.26521411538124084,-1.2084380388259888,-0.2076583206653595,0.31226086616516113,-1.1682960987091064
0.0639,0.027875304222106934,-0.36989715695381165,-0.028958408161997795,-0.0116883534938097,0.00929609127342701,0.0006038874853402376,0.34130313992500305,-0.23776549100875854,0.024040134623646736,8.694590178492945e-06,3.267448663711548,-0.3612082302570343,-0.8124356269836426,0.6452997326850891,-0.017418405041098595,0.0003176317841280252,1.0029106140136719,8279.0,8490.0,6999.0,8115.0,0.004482312127947807,0.0025734584778547287,0.0007410825928673148,-0.18073710799217224,0.32747209072113037,-1.1722594499588013,-0.3258853554725647,-0.26521411538124084,-1.2084380388259888,-0.2076583206653595,0.31226086616516113,-1.1682960987091064
0.1139,0.02791452594101429,-0.36994096636772156,-0.02899150736629963,-0.0077738636173307896,0.004884502850472927,0.0013387055369094014,0.3434774577617645,-0.22713278234004974,0.01952613890171051,8.632167919131462e-06,3.2621700763702393,0.8155919313430786,0.045158013701438904,0.14703598618507385,-0.010260723531246185,0.007368286605924368,1.0031723976135254,14880.0,14966.0,13239.0,14204.0,0.004482312127947807,0.0025734584778547287,0.0007410825928673148,-0.18073710799217224,0.32747209072113037,-1.1722594499588013,-0.3258853554725647,-0.26521411538124084,-1.2084380388259888,-0.2076583206653595,0.31226086616516113,-1.1682960987091064
0.1628,0.02789110690355301,-0.3699547052383423,-0.029021425172686577,-0.004820132162421942,0.0013720572460442781,-0.0008585230098105967,0.3422049582004547,-0.22136077284812927,0.03627936914563179,-4.385885767987929e-05,3.3255133628845215,-4.718896389007568,-3.320643424987793,-7.417240619659424,-0.015140819363296032,0.049447182565927505,1.0275988578796387,18159.0,18832.0,16811.0,17894.0,0.004482312127947807,0.0025734584778547287,0.0007410825928673148,-0.18073710799217224,0.32747209072113037,-1.1722594499588013,-0.3258853554725647,-0.26521411538124084,-1.2084380388259888,-0.2076583206653595,0.31226086616516113,-1.1682960987091064
0.2129,0.02794516831636429,-0.3700163662433624,-0.029010070487856865,-0.0021517702843993902,-0.0016664698487147689,-0.0009969857055693865,0.34319666028022766,-0.2258027344942093,-0.07352449744939804,1.6224499631789513e-05,3.3782992362976074,2.8072831630706787,0.5951542854309082,0.4870632588863373,-0.02182818204164505,0.026280080899596214,0.979225754737854,20134.0,20718.0,19114.0,19887.0,0.004482312127947807,0.0025734584778547287,0.0007410825928673148,-0.18073710799217224,0.32747209072113037,-1.1722594499588013,-0.3258853554725647,-0.26521411538124084,-1.2084380388259888,-0.2076583206653595,0.31226086616516113,-1.1682960987091064
0.2639,0.027989234775304794,-0.3695337176322937,-0.029014013707637787,1.1719435860868543e-05,-0.002232654020190239,-0.0010694736847653985,0.3372039198875427,-0.21635909378528595,-0.17232565581798553,-4.6119555918267e-05,3.4046921730041504,-3.570406675338745,-2.4364545345306396,-10.224309921264648,0.008433830924332142,-0.026736896485090256,0.9879226684570312,20597.0,22246.0,19874.0,21359.0,0.004482312127947807,0.0025734584778547287,0.0007410825928673148,-0.18073710799217224,0.32747209072113037,-1.1722594499588013,-0.3258853554725647,-0.26521411538124084,-1.2084380388259888,-0.2076583206653595,0.31226086616516113,-1.1682960987091064
0.3138,0.02800903469324112,-0.3690308630466461,-0.028211768716573715,0.001467367634177208,-0.0021866322495043278,0.005139334127306938,0.31319761276245117,-0.23657521605491638,-0.5290036797523499,5.3126677812542766e-05,3.4152493476867676,-6.35212516784668,-9.423871994018555,-2.4438157081604004,-0.0017586282920092344,-0.004881597589701414,0.9880606532096863,21052.0,22787.0,20505.0,21961.0,0.004482312127947807,0.0025734584778547287,0.0007410825928673148,-0.18073710799217224,0.32747209072113037,-1.1722594499588013,-0.3258853554725647,-0.26521411538124084,-1.2084380388259888,-0.2076583206653595,0.31226086616516113,-1.1682960987091064
0.3638,0.028049388900399208,-0.36907461285591125,-0.027894277125597,0.0029113010969012976,-0.004374182317405939,0.0072584571316838264,0.249006986618042,-0.16663065552711487,-0.7200292348861694,-0.00012030338257318363,3.420527935028076,7.923312187194824,4.921695709228516,0.494559109210968,-0.008260401897132397,-0.020841002464294434,0.9996783137321472,21193.0,23346.0,20597.0,22463.0,0.004482312127947807,0.0025734584778547287,0.0007410825928673148,-0.18073710799217224,0.32747209072113037,-1.1722594499588013,-0.3258853554725647,-0.26521411538124084,-1.2084380388259888,-0.2076583206653595,0.31226086616516113,-1.1682960987091064
0.4139,0.027015533298254013,-0.3700663447380066,-0.027942510321736336,0.00025069163530133665,-0.008850841782987118,0.0047476268373429775,0.255522757768631,-0.11847430467605591,-0.753136932849884,1.669031917117536e-05,3.4258065223693848,-5.631735801696777,-3.5339064598083496,-1.5468858480453491,0.002773449756205082,-0.02598509006202221,1.0125689506530762,21443.0,23437.0,21052.0,22471.0,0.004482312127947807,0.0025734584778547287,0.0007410825928673148,-0.18073710799217224,0.32747209072113037,-1.1722594499588013,-0.3258853554725647,-0.26521411538124084,-1.2084380388259888,-0.2076583206653595,0.31226086616516113,-1.1682960987091064
0.4639,0.026487158611416817,-0.37018489837646484,-0.02787458710372448,-0.0006505152559839189,-0.009803005494177341,0.006236272398382425,0.30103254318237305,-0.1502886563539505,-0.8494970202445984,1.8458444174029864e-05,3.420527935028076,-4.517439365386963,0.0033502390142530203,2.823991298675537,-0.011480581015348434,0.013413181528449059,1.006278157234192,21606.0,23501.0,21359.0,22675.0,0.004482312127947807,0.0025734584778547287,0.0007410825928673148,-0.18073710799217224,0.32747209072113037,-1.1722594499588013,-0.3258853554725647,-0.26521411538124084,-1.2084380388259888,-0.2076583206653595,0.31226086616516113,-1.1682960987091064
