# meta:run_trajectory=hover
# meta:run_mode=0
# meta:run_kt=0.008
# meta:run_speed=1.0
# meta:run_reps=1
# meta:run_lap_time_s=20.0000
time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpm_m1,rpm_m2,rpm_m3,rpm_m4
0.0395,0.015036094933748245,0.16916275024414062,0.04297999292612076,0.0037331723142415285,0.016572460532188416,-0.0020334685686975718,0.07267466932535172,0.8736509084701538,2.7696805000305176,0.0,4.090909004211426,-0.06258499622344971,-0.22717222571372986,-0.30018001794815063,0.016196196898818016,0.005218485835939646,0.99960857629776,0.0,0.0,0.0,0.0
0.0764,0.01503683626651764,0.16916075348854065,0.042982932180166245,0.0038867092225700617,0.01643175072968006,-0.0015912055969238281,0.07146348804235458,0.8786099553108215,2.7726762294769287,0.0,4.085630416870117,0.01809186488389969,0.18717524409294128,-0.18706835806369781,0.01674640364944935,0.005479020997881889,1.0004949569702148,0.0,0.0,0.0,0.0
0.1265,0.015035540796816349,0.169159933924675,0.04298526048660278,0.0036565198097378016,0.016283836215734482,-0.0015952112153172493,0.07257378101348877,0.8791463375091553,2.7712435722351074,0.0,4.085630416870117,0.05957570672035217,0.12727411091327667,0.1757831871509552,0.01696440950036049,0.004735149443149567,0.9976173043251038,0.0,0.0,0.0,0.0
0.1765,0.015036282129585743,0.16915801167488098,0.042982399463653564,0.0038028000853955746,0.016062792390584946,-0.001961964415386319,0.07444241642951965,0.8780654072761536,2.77140474319458,0.0,4.085630416870117,0.02523478865623474,0.14041979610919952,0.009704787284135818,0.01658378355205059,0.00416787713766098,0.9969399571418762,0.0,0.0,0.0,0.0
0.2264,0.015033368021249771,0.16915763914585114,0.0429871566593647,0.003429803065955639,0.016028307378292084,-0.0011921296827495098,0.07307080924510956,0.8795508146286011,2.774061441421509,0.0,4.085630416870117,0.00966184027493,-0.03395324945449829,0.09209364652633667,0.01665487140417099,0.004942664876580238,1.0002191066741943,0.0,0.0,0.0,0.0
0.2765,0.01506035402417183,0.16931745409965515,0.04297506436705589,0.0030547857750207186,0.016226807609200478,-0.0012646116083487868,0.07617495208978653,0.8814936876296997,2.7784221172332764,0.0,4.085630416870117,0.1738256812095642,0.05604991689324379,0.011537046171724796,0.01454987097531557,0.004674238618463278,0.9988970160484314,0.0,0.0,0.0,0.0
0.3266,0.015982355922460556,0.16927438974380493,0.04297786206007004,0.000280430685961619,0.013314275071024895,-0.0012027041520923376,0.07867364585399628,0.8617062568664551,2.7893645763397217,7.452800491591915e-05,3.5313782691955566,0.45993050932884216,-0.1968976855278015,-1.1506479978561401,0.03196234256029129,0.021975113078951836,0.9992494583129883,6724.0,7570.0,8014.0,6431.0
0.3764,0.015912305563688278,0.16921405494213104,0.04298105463385582,-0.006432380527257919,0.010277917608618736,-0.0005803428357467055,0.08133503794670105,0.853008508682251,2.7869627475738525,0.00030504976166412234,3.5630500316619873,0.16322167217731476,1.522249698638916,1.3679827451705933,0.009493761695921421,0.026266824454069138,0.9964636564254761,13679.0,15629.0,15033.0,12906.0
0.4265,0.015913087874650955,0.16908478736877441,0.04348068684339523,-0.010631485842168331,0.008035305887460709,-0.0035203429870307446,0.09280227869749069,0.8508120179176331,2.484619379043579,0.0009230549912899733,3.6000001430511475,6.336595058441162,-5.860680103302002,-20.35167121887207,0.021993212401866913,-0.006560314912348986,0.9698032736778259,17735.0,20732.0,18939.0,17281.0
0.4764,0.015864579007029533,0.16906414926052094,0.043935421854257584,-0.015406032092869282,0.005995197221636772,-0.0015380585100501776,0.07985839992761612,0.8206724524497986,2.2035608291625977,0.00022721401182934642,3.6105573177337646,-4.766714096069336,3.6688010692596436,-3.965179920196533,0.01035374030470848,0.004345437977463007,1.0071794986724854,21008.0,23501.0,22329.0,19323.0
